week,bmi,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-59)","[15,18.5)",57,16.2105263157895,7.4011023361033,8.8,9.6,12.0,14.0,19.0,25.4,29.6,0.554359278592624,0.261742749596094,0.138557225465775,0.187667861580849,0.364689588546753,0.57936954498291,0.776843190193176,0.877640342712402,0.922812306880951,26.7769826964672,4.14979439886924,20.7797716894977,21.8575570776256,23.4747716894977,26.8337899543379,29.3792237442922,33.1099543378995,34.1666666666667,57.0,17.4202842043157,0.853654374420854,15.771070098877,16.091960144043,16.8474998474121,17.7556991577148,18.0802001953125,18.2868003845215,18.3593997955322
"[-60,-59)","[18.5,25)",396,17.7479797974981,21.6601277733621,7.0,8.0,11.0,13.5,17.0,24.0,35.25,0.507729369711314,0.27648056328006,0.0483012460172176,0.0912520587444305,0.287105351686478,0.522527724504471,0.726235613226891,0.864479631185532,0.947725802659988,27.6322134011346,4.05174762613223,20.7739726027397,21.651598173516,24.4918664383562,28.0161529680365,30.9077625570776,32.9878424657534,33.765296803653,396.0,21.7064966645439,1.8659698458426,18.9995756149292,19.2306499481201,20.0795993804932,21.6040992736816,23.259524345398,24.4458503723145,24.6803498268127
"[-60,-59)","[25,30]",157,20.1464968152866,15.3379934194864,8.0,9.6,11.0,16.0,25.0,34.0,41.2,0.592466369793294,0.291798756613419,0.0908791869878769,0.184196630120277,0.339856415987015,0.632554531097412,0.879050076007843,0.939298439025879,0.954794180393219,28.1076047756159,3.86469281328807,20.971598173516,21.9392922374429,25.6063926940639,28.4778538812785,31.1832191780822,33.0414611872146,33.9010502283105,157.0,27.048788380471,1.42955228146816,25.1718200683594,25.3368095397949,25.7628507614136,26.8386001586914,28.1968994140625,29.0006008148193,29.4246002197266
"[-59,-58)","[15,18.5)",56,15.875,14.5665401145602,5.75,7.5,9.75,13.0,18.0,21.0,24.5,0.486255151144828,0.29748864828442,0.0187993445433676,0.0611303616315126,0.191364210098982,0.509398624300957,0.731967180967331,0.830413818359375,0.880673766136169,27.377884458578,3.93145391890715,20.7776255707763,21.0437785388128,24.7020833333333,27.3969748858448,31.0091609589041,32.1438356164384,32.7680079908676,56.0,17.4682968968437,0.774985734922247,16.023099899292,16.4882249832153,16.8348498344421,17.5508003234863,18.206600189209,18.36549949646,18.3663744926453
"[-59,-58)","[18.5,25)",440,16.8745454549789,11.2535992631342,7.0,8.91000003814698,11.0,14.0,18.0,28.1,39.0,0.524476473670008,0.28360169083015,0.0480019932612777,0.124417120963335,0.291615784168243,0.561348974704742,0.75198669731617,0.912762159109116,0.952246817946434,27.5969855230386,4.03731897010635,20.7386929223744,21.6548744292237,24.4455194063927,27.7051369863014,30.8160102739726,32.9550456621005,34.1462842465753,440.0,21.8307774905002,1.86741365895597,18.778299331665,19.289400100708,20.1951007843018,21.791750907898,23.4375,24.3828104019165,24.6551504135132
"[-59,-58)","[25,30]",144,20.0486111111111,14.7303643682407,9.0,10.0,12.0,16.0,23.25,32.7,39.55,0.620678323553875,0.265119691267352,0.145782485604286,0.237209849059582,0.41765458136797,0.668277740478516,0.869193971157074,0.932663029432297,0.953221052885055,28.1414803716388,4.07342504954164,21.6915125570776,22.2935502283105,25.1092751141553,28.2038812785388,31.7092180365297,33.3538242009132,33.91024543379,144.0,27.1306394230436,1.44164180538057,25.2202345848084,25.3381697654724,25.800199508667,26.9098501205444,28.5267000198364,29.2699948310852,29.4103753089905
"[-58,-57)","[15,18.5)",72,15.3194444444444,7.05476841813322,9.0,9.1,11.0,14.0,18.0,22.0,28.5,0.521049893228337,0.254716745323566,0.129283887892962,0.169651682674885,0.304934240877628,0.550563424825668,0.748411536216736,0.831251776218414,0.89201632142067,27.0732274226281,4.23294741256229,20.6989726027397,21.5320319634703,23.8396689497717,27.0902397260274,30.3906392694064,33.0495091324201,33.9421974885845,72.0,17.5134264396297,0.792797526725011,16.0624351978302,16.6217903137207,16.9942342638969,17.6145919164022,18.1448993682861,18.36549949646,18.3768005371094
"[-58,-57)","[18.5,25)",418,16.8002392344498,11.8565132487359,8.0,9.0,11.0,14.0,18.0,26.0,35.0,0.52578090801033,0.272321387185481,0.0860389843583107,0.150383517146111,0.302835457026958,0.531740486621857,0.754201158881187,0.885246628522873,0.944546464085579,27.3005150641236,4.13463195115645,20.7939726027397,21.327602739726,23.7366152968037,27.4505136986301,30.7454623287671,32.8388812785388,33.8605194063927,418.0,21.6448350517754,1.70256560113678,19.0520000457764,19.3624992370605,20.2917246818543,21.5018997192383,23.0074062347412,24.1287994384766,24.4723320960999
"[-58,-57)","[25,30]",136,16.8235294117647,10.2775428342693,7.75,9.0,11.0,15.0,19.0,26.0,31.0,0.554975540931884,0.274621691661159,0.0685097500681877,0.159219436347485,0.324251368641853,0.585950434207916,0.790615797042847,0.900088310241699,0.926614299416542,28.4071808689229,4.14443085389293,20.8119577625571,22.1994863013699,25.0311073059361,29.3474885844749,31.393350456621,33.6446917808219,33.9762271689498,136.0,27.1133196097963,1.4201466478272,25.2315745353699,25.3673000335693,25.9645001888275,26.8407001495361,28.2796120643616,29.2694997787476,29.5068312883377
"[-57,-56)","[15,18.5)",54,14.6481481481481,7.35913604293281,8.65,9.0,10.25,12.5,16.75,19.7,30.05,0.474368150048475,0.262671469437156,0.121424815803766,0.157445678114891,0.259598538279533,0.434718132019043,0.676488474011421,0.816137397289276,0.919616669416428,27.5410261288686,3.84631495657951,20.7054337899543,22.0286187214612,24.9794520547945,27.6666095890411,29.946803652968,32.3264726027397,34.2162557077626,54.0,17.4174775288429,0.875125020669366,15.6797950267792,16.1411499023438,16.8421998023987,17.6718997955322,18.1416745185852,18.3428195953369,18.4424991607666
