week,bmi,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-59)","[15,18.5)",56,106.392857142857,9.13072449864357,92.25,96,100,105,112,116.5,121.5,0.389627111144364,0.250433236457293,0.0587246799841523,0.0814385116100311,0.210176136344671,0.297917857766151,0.565738916397095,0.703625589609146,0.865831226110458,26.4063988095238,4.50763165704813,20.2819920091324,20.6739155251142,22.3363299086758,26.0066780821918,29.7796803652968,32.590296803653,33.615696347032,56,17.6944866705508,0.58250570334816,16.7779245376587,16.8061008453369,17.3711500167847,17.8776998519897,18.0472376346588,18.2822999954224,18.4265003204346
"[-60,-59)","[18.5,25)",533,109.509380863039,10.9202898946349,90,96,101,110,118,121,126,0.490433243730468,0.284780186723709,0.0510575287044048,0.0960996240377426,0.223073080182076,0.528983175754547,0.707742869853973,0.861119985580444,0.922514295578003,27.6141141295502,4.33425573975943,20.3517808219178,21.2114611872146,24.0426940639269,28.0760273972603,31.1464611872146,33.3536757990868,34.2309589041096,533,21.7160689036051,1.73524201065696,19.0520000457764,19.4869995117188,20.3953990936279,21.5540990829468,23.2117004394531,24.2800298690796,24.62001953125
"[-60,-59)","[25,30]",173,110.890173410405,10.7440933731802,91.8,97,105,110,118,124,127.8,0.517398778241494,0.273023230317978,0.059715747833252,0.104389204084873,0.307355135679245,0.535147488117218,0.703272104263306,0.891732895374298,0.936391770839691,28.5612578193048,4.09694969437901,21.7665068493151,22.6505936073059,25.5434931506849,28.5300228310502,32.3438356164384,33.7185616438356,34.4383105022831,173,27.0610831917202,1.39796910866182,25.1317203521729,25.3902797698975,25.909049987793,26.9274005889893,28.3220666249593,29.1114593505859,29.4557598114014
"[-59,-58)","[15,18.5)",61,106.688524590164,12.0893079256101,90,94,100,109,113,120,124,0.426025763042386,0.283822548937997,0.0515098869800568,0.0717638358473778,0.212452620267868,0.391329646110535,0.607594311237335,0.851444602012634,0.8814817070961,26.7737536492252,3.43636565066032,21.6973744292237,22.047602739726,24.2530821917808,26.9162100456621,29.2754566210046,31.390296803653,32.2503424657534,61,17.3831283590181,0.957915018832455,15.4270000457764,16.1354007720947,17.0391998291016,17.5697002410889,18.2182998657227,18.317066192627,18.36549949646
"[-59,-58)","[18.5,25)",490,109.170408163265,11.480669351097,90,95,100,110,117,120,126,0.484608611623057,0.286185755741004,0.049386558867991,0.0847865253686905,0.215786918997765,0.526117265224457,0.702472865581513,0.859381371736527,0.933221361041069,26.9720547945206,4.36405298175804,20.3448002283105,20.9363812785388,23.1069920091324,27.0724885844749,30.5105878995434,33.3513242009132,33.9533675799087,490,21.6026372189424,1.7292935035001,18.9172642707825,19.2630207061768,20.1951007843018,21.4705009460449,23.0171756744385,24.0930004119873,24.3846549034119
"[-59,-58)","[25,30]",171,113.994152046784,10.5118963845861,100,100,110,115,120,126,128.5,0.605230860027474,0.261059752749535,0.195458270609379,0.210603520274162,0.501275718212128,0.634845793247223,0.840673267841339,0.921045660972595,0.947606205940247,28.1841491094555,4.19588320485677,21.1668378995434,21.6639269406393,24.7631849315069,28.8240867579909,31.6495433789954,33.4678082191781,34.3942351598174,171,27.1179317129518,1.39691073500667,25.217399597168,25.3901996612549,25.9515991210938,26.9860000610352,28.0243997573853,29.2968997955322,29.5062063932419
"[-58,-57)","[15,18.5)",71,108.154929577465,10.446664385376,90,93,100,110,115.5,120,121.5,0.461910469077108,0.279597249175184,0.050377793610096,0.0662138909101486,0.215786918997765,0.514800667762756,0.66988679766655,0.861119985580444,0.864740282297134,26.3636487877034,4.28762380906757,20.373002283105,20.7554794520548,22.7023401826484,25.4616438356164,30.10850456621,32.4858447488585,33.2739726027397,71,17.4789852088606,0.862491044655931,15.7943000793457,16.0908751487732,16.918999671936,17.7208003997803,18.2346000671387,18.4202003479004,18.4466996192932
"[-58,-57)","[18.5,25)",526,108.884980988593,12.4233490883524,90,94,100,110,118.75,123,127,0.472608743821391,0.300128175591581,0.0484393043443561,0.0692685917019844,0.212803646922112,0.521942973136902,0.733917221426964,0.892602622509003,0.924667835235596,27.3251317342917,4.17700198722723,20.5602739726027,21.1191780821918,23.8682077625571,27.6989155251142,30.735102739726,32.8578767123288,33.6058789954338,526,21.7178780779337,1.74266892518936,19.009250164032,19.3722991943359,20.3228249549866,21.7546248435974,23.100861787796,24.2187995910645,24.6093997955322
"[-58,-57)","[25,30]",176,114.21875,10.8432541570456,100,101,108.75,112,120,129,130.5,0.609185754896316,0.265005038186107,0.207009106874466,0.215536020696163,0.387241125106812,0.585925579071045,0.859581559896469,0.943502098321915,0.968684524297714,27.8575809464508,4.43458773538576,20.9937785388128,21.6574771689498,24.1698915525114,28.5640410958904,31.6973744292237,33.4860159817352,34.2694920091324,176,27.1028126577536,1.40562557670221,25.1958746910095,25.3710498809815,25.8872915903727,26.9253997802734,28.3645000457764,29.1174745559692,29.4605002403259
"[-57,-56)","[15,18.5)",77,108.662337662338,11.625301795302,90.8,94.6,100,108,117,121.4,131.2,0.452527224533744,0.303700377744647,0.0523953028023243,0.0807149454951287,0.208573773503304,0.371448785066605,0.683484137058258,0.869738471508026,0.970299506187439,25.7489651900611,3.39584474867959,21.1520091324201,21.5145890410959,23.5033105022831,25.2590182648402,27.6949771689498,29.7364611872146,33.1778082191781,77,17.6106757312626,0.77220178424673,15.7943000793457,16.5117004394531,17.3352003097534,17.7777996063232,18.195499420166,18.3618396759033,18.4394203186035
