week,bmi,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-59)","[15,18.5)",2,3.04999995231628,0.0707106106836971,3.00499999523163,3.00999999046326,3.02499997615814,3.04999995231628,3.07499992847443,3.08999991416931,3.09499990940094,0.814966887235642,0.146412461902297,0.721790567040443,0.732143491506577,0.763202264904976,0.814966887235642,0.866731509566307,0.897790282964706,0.90814320743084,26.1462899543379,4.57205881200768,23.236649543379,23.5599429223744,24.5298230593607,26.1462899543379,27.7627568493151,28.7326369863014,29.0559303652968,2,18.2232999801636,0.378726860271861,17.9822796821594,18.009059715271,18.0893998146057,18.2232999801636,18.3572001457214,18.4375402450562,18.4643202781677
"[-60,-59)","[18.5,25)",9,2.98888889948527,0.15365904411807,2.7800000667572,2.86000008583069,3,3,3,3.05999999046326,3.17999997138977,0.617498797985415,0.288002784066099,0.124959662742913,0.248321597836912,0.708154737949371,0.708593428134918,0.710186719894409,0.767267477512359,0.878927147388458,24.5444444444444,3.00115541969368,20.8360273972603,21.4081278538813,22.261301369863,24.7818493150685,26.3054794520548,28.4908904109589,28.5171917808219,9,20.624544567532,1.36281743469235,19.3654197692871,19.3683403015137,19.6506004333496,20.1790008544922,20.7756004333496,22.638219833374,22.9146595001221
"[-60,-59)","[25,30]",6,3.01666665077209,0.098319114260514,2.90000009536743,2.90000009536743,2.92500007152557,3.04999995231628,3.09999990463257,3.09999990463257,3.09999990463257,0.676966364185015,0.298947060109714,0.304404772818089,0.305163457989693,0.407049305737019,0.805404275655747,0.91453555226326,0.920331358909607,0.921248972415924,29.2119482496195,2.43472831023003,27.1833904109589,27.3107305936073,27.7564783105023,28.5790525114155,29.4694349315069,31.7460616438356,32.7775399543379,6,28.2299669583639,1.4004193532661,26.4798755645752,26.8980503082275,27.7720999717712,28.023850440979,29.3314499855042,29.768000125885,29.7914502620697
"[-59,-58)","[15,18.5)",2,2.95000004768372,0.0707106106836971,2.90500009059906,2.91000008583069,2.92500007152557,2.95000004768372,2.97500002384186,2.99000000953674,2.99500000476837,0.50060585141182,0.293518450196841,0.313811853528023,0.334566742181778,0.396831408143044,0.50060585141182,0.604380294680595,0.666644960641861,0.687399849295616,30.9242579908676,3.74677802081461,28.5398230593607,28.8047602739726,29.5995719178082,30.9242579908676,32.2489440639269,33.0437557077626,33.3086929223744,2,17.69105052948,0.161149318218374,17.5884957313538,17.5998907089233,17.6340756416321,17.69105052948,17.7480254173279,17.7822103500366,17.7936053276062
"[-59,-58)","[18.5,25)",30,2.97766669591268,0.107629051704557,2.90000009536743,2.90000009536743,2.90000009536743,2.95000004768372,3,3.09999990463257,3.1549999833107,0.541426733136177,0.27734321712862,0.293056964874268,0.297907418012619,0.305352069437504,0.499651044607163,0.709559485316277,0.920652985572815,0.952027103304863,26.5701864535769,4.19587972275485,20.3288356164384,20.5880821917808,23.4721746575343,26.1682077625571,29.7421803652968,32.3630936073059,33.3121575342466,30,21.3115299542745,1.82899884657186,18.8992150306702,19.1241300582886,20.09197473526,20.8126001358032,22.4158754348755,24.2318796157837,24.40174036026
"[-59,-58)","[25,30]",1,3,,3,3,3,3,3,3,3,0.710186719894409,,0.710186719894409,0.710186719894409,0.710186719894409,0.710186719894409,0.710186719894409,0.710186719894409,0.710186719894409,24.433904109589,,24.433904109589,24.433904109589,24.433904109589,24.433904109589,24.433904109589,24.433904109589,24.433904109589,1,25.5102005004883,,25.5102005004883,25.5102005004883,25.5102005004883,25.5102005004883,25.5102005004883,25.5102005004883,25.5102005004883
"[-58,-57)","[15,18.5)",1,2.90000009536743,,2.90000009536743,2.90000009536743,2.90000009536743,2.90000009536743,2.90000009536743,2.90000009536743,2.90000009536743,0.298446357250214,,0.298446357250214,0.298446357250214,0.298446357250214,0.298446357250214,0.298446357250214,0.298446357250214,0.298446357250214,30.2666666666667,,30.2666666666667,30.2666666666667,30.2666666666667,30.2666666666667,30.2666666666667,30.2666666666667,30.2666666666667,1,17.8724994659424,,17.8724994659424,17.8724994659424,17.8724994659424,17.8724994659424,17.8724994659424,17.8724994659424,17.8724994659424
"[-58,-57)","[18.5,25)",24,2.94125003616015,0.0714028409634867,2.81499997377396,2.90000009536743,2.90000009536743,2.90000009536743,3,3,3,0.45575777006646,0.245795678398423,0.0792398745194078,0.292977267503738,0.299440562725067,0.306171849370003,0.698768198490143,0.708720391988754,0.70877480506897,28.8760892313546,3.73246106738588,23.3407705479452,23.6578196347032,26.5612157534247,29.554394977169,31.1113584474886,33.9245205479452,34.4862328767123,24,22.2336035569509,1.7766145171789,19.8356895446777,19.9052892684937,20.7385506629944,22.114333152771,24.2210001945496,24.4288697242737,24.4867529392242
"[-58,-57)","[25,30]",7,2.9857142993382,0.0690064901244554,2.90000009536743,2.90000009536743,2.95000004768372,3,3,3.03999996185303,3.0699999332428,0.617664443595069,0.231314195805941,0.298098012804985,0.301948368549347,0.501233041286469,0.696016013622284,0.704377382993698,0.794131517410278,0.85814905166626,28.0268590998043,4.70111377901019,21.7462671232877,23.2421917808219,25.8325342465753,27.4310502283105,31.3873287671233,33.1117579908676,33.5893264840183,7,27.9448856626238,1.60285272449873,25.7208703994751,26.0511405944824,26.8508005142212,28.6916999816895,29.0713992118836,29.4557794570923,29.5716397285461
"[-57,-56)","[15,18.5)",1,2.90000009536743,,2.90000009536743,2.90000009536743,2.90000009536743,2.90000009536743,2.90000009536743,2.90000009536743,2.90000009536743,0.307082176208496,,0.307082176208496,0.307082176208496,0.307082176208496,0.307082176208496,0.307082176208496,0.307082176208496,0.307082176208496,25.9873287671233,,25.9873287671233,25.9873287671233,25.9873287671233,25.9873287671233,25.9873287671233,25.9873287671233,25.9873287671233,1,16.8241996765137,,16.8241996765137,16.8241996765137,16.8241996765137,16.8241996765137,16.8241996765137,16.8241996765137,16.8241996765137
