week,bmi,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-59)","[15,18.5)",57,0.122807018328131,0.0494525161684553,0.057999999076128,0.0900000035762787,0.100000001490116,0.100000001490116,0.150000005960464,0.200000002980232,0.202000001072884,0.655696255465349,0.232812594326113,0.138314488530159,0.229775390028954,0.602447807788849,0.659501791000366,0.791898787021637,0.960318160057068,0.962666594982147,26.8908195145398,4.11320164642096,21.1901826484018,21.9693150684932,23.3328767123288,27.0639269406393,29.5214611872146,33.2842694063927,33.7991324200913,57.0,17.6059358663726,0.682622823485914,16.3702596664429,16.7079402923584,17.3010501861572,17.6898002624512,18.0802001953125,18.3593997955322,18.3699296951294
"[-60,-59)","[18.5,25)",385,0.117272728284845,0.0517515195366886,0.0500000007450581,0.0700000002980232,0.100000001490116,0.100000001490116,0.140000000596046,0.200000002980232,0.200000002980232,0.612979790510295,0.258415034913623,0.136498671770096,0.191927120089531,0.598599255084992,0.659501791000366,0.769799888134003,0.958363950252533,0.962950921058655,27.7692539880211,4.01890300191637,20.8731506849315,21.8327168949772,24.7178082191781,28.0646118721461,31.0203196347032,32.9905251141552,33.7713242009132,385.0,21.6550239137482,1.81598621867373,19.0551399230957,19.2653007507324,20.0692005157471,21.4843997955322,23.3066997528076,24.1415004730225,24.5674991607666
"[-60,-59)","[25,30]",141,0.124255319727017,0.0548795308199303,0.0599999986588955,0.0799999982118607,0.100000001490116,0.100000001490116,0.159999996423721,0.200000002980232,0.209999993443489,0.645102651776574,0.253081661461424,0.133407905697823,0.196615919470787,0.622069597244263,0.679356932640076,0.810667991638184,0.959546387195587,0.963894784450531,28.1409363969041,4.04638925747894,20.7986301369863,21.9292237442922,25.2616438356164,28.8529680365297,31.3188356164384,33.2948630136986,33.9052511415525,141.0,27.047118073096,1.43724193792546,25.2362995147705,25.3906002044678,25.7117004394531,26.8136005401611,28.1968994140625,29.0418500900269,29.5457000732422
"[-59,-58)","[15,18.5)",62,0.104354839441517,0.0536723809903209,0.0,0.0319999994710088,0.092500003054738,0.100000001490116,0.109999999403954,0.197000002861023,0.200000002980232,0.576081672623273,0.267567477613073,0.107457663118839,0.112433905899525,0.339262895286083,0.661531299352646,0.68669156730175,0.939359295368194,0.960924449563026,27.746302842834,3.76085843743526,20.8766723744292,22.3477511415525,25.1872146118721,27.8518835616438,31.1058219178082,32.3120547945206,32.9138184931507,62.0,17.4714647211054,0.799800676539908,16.023099899292,16.2064994812012,16.8440501689911,17.5905747413635,18.1996250152588,18.3648895263672,18.3688244819641
"[-59,-58)","[18.5,25)",423,0.115094563793875,0.0528712612997021,0.030999999307096,0.0700000002980232,0.100000001490116,0.100000001490116,0.134999997913837,0.200000002980232,0.200000002980232,0.607314471340349,0.253455748604376,0.110156641900539,0.190170630812645,0.598599255084992,0.663560807704926,0.741332292556763,0.953961312770844,0.962359547615051,27.8060092079839,3.94895904835532,21.0055821917808,22.0752511415525,24.7639840182648,27.7928082191781,30.9091894977169,33.0473059360731,34.0580821917808,423.0,21.7828601725934,1.78121119283514,18.909669303894,19.3336994171143,20.3125,21.7777996063232,23.238450050354,24.2349006652832,24.5665292739868
"[-59,-58)","[25,30]",141,0.129503547458361,0.0728337284612444,0.0,0.0700000002980232,0.100000001490116,0.100000001490116,0.159999996423721,0.219999998807907,0.270000010728836,0.647365219256979,0.277849574696717,0.107906892895699,0.189481109380722,0.622069597244263,0.682871341705322,0.83334219455719,0.969358563423157,0.982661008834839,28.8359491887691,3.86112548778609,22.1323059360731,22.9188356164384,26.2667808219178,29.3352739726027,31.8777397260274,33.6530821917808,34.6755707762557,141.0,27.2673772660835,1.40818819021106,25.1953001022339,25.3906002044678,26.0617008209229,27.0168504714966,28.6047992706299,29.2968997955322,29.4423999786377
"[-58,-57)","[15,18.5)",65,0.121846155191843,0.0623471221873022,0.0100000001490116,0.0700000002980232,0.100000001490116,0.100000001490116,0.150000005960464,0.200000002980232,0.207999995350838,0.62283262782372,0.271751904829001,0.113310560584068,0.192141035199165,0.61031699180603,0.671380758285523,0.795737624168396,0.962359547615051,0.963894784450531,27.9957112750263,4.09976657790151,21.0545433789954,22.4581278538813,24.5392694063927,28.5381278538813,31.0969178082192,33.2584931506849,34.4088356164384,65.0,17.6339493873792,0.742850419847694,15.878039932251,16.555899810791,17.4043998718262,17.8565006256104,18.1448993682861,18.3471195220947,18.3642795562744
"[-58,-57)","[18.5,25)",400,0.117100000693463,0.0519840928874768,0.0394999991171062,0.0700000002980232,0.100000001490116,0.100000001490116,0.140000000596046,0.200000002980232,0.200000002980232,0.628446494862437,0.239831839739585,0.110410492122173,0.191927120089531,0.608349695801735,0.671380758285523,0.75769530236721,0.952379465103149,0.960779163241386,27.7958812785388,4.05374031079927,20.9795605022831,21.5892351598174,24.859303652968,27.9078767123288,31.0716038812785,32.9950342465753,34.028144977169,400.0,21.7061015964349,1.70821144036448,19.1443698883057,19.4644100189209,20.3214249610901,21.5079002380371,23.128650188446,24.1440704345703,24.46717710495
"[-58,-57)","[25,30]",134,0.127686568132755,0.0634107537290446,0.0564999993890524,0.0799999982118607,0.100000001490116,0.100000001490116,0.157499998807907,0.200000002980232,0.243499996513128,0.657299878993141,0.247183769442516,0.13962856605649,0.194928288459778,0.623373225331307,0.682871341705322,0.811977401375771,0.96121591925621,0.976962295174599,28.3857544469434,4.23060996023847,20.7838299086758,22.1991438356164,24.8446917808219,29.3474885844749,31.9468607305936,33.5201826484018,33.9910730593607,134.0,27.171018070368,1.38541543772309,25.2112399101257,25.4338693618774,26.0375003814697,26.9955501556397,28.194299697876,29.1687797546387,29.5750996112823
"[-57,-56)","[15,18.5)",57,0.14000000085747,0.0671884334909663,0.0560000002384186,0.0820000022649765,0.100000001490116,0.129999995231628,0.200000002980232,0.213999995589256,0.223999997973442,0.689139528624844,0.27389188361335,0.175898644328117,0.223459059000015,0.647629499435425,0.708534061908722,0.952379465103149,0.96288675069809,0.971621799468994,28.1772070015221,3.69999621600118,21.9984246575343,23.4669863013699,25.4261415525114,27.7547945205479,31.741095890411,33.0044063926941,34.1274885844749,57.0,17.4646777582447,0.755540027705552,16.1675001144409,16.4062995910645,17.006799697876,17.6744995117188,18.0426998138428,18.3700199127197,18.4364729563395
