week,bmi,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-59)","[15,18.5)",38,68.921052631579,21.1601123725461,41.7,43.0,54.25,63.0,86.25,101.0,105.3,0.377698056988026,0.237747115937031,0.0553178796544671,0.0647629592567682,0.196796912699938,0.322927728295326,0.573573514819145,0.72542571425438,0.752197447419167,27.5724885844749,4.27053682895674,22.0564783105023,22.3780936073059,23.8922659817352,27.7337328767123,30.6654394977169,33.6954680365297,34.3147888127854,38.0,17.4612591894049,0.884047609667963,15.7960877418518,16.15452003479,16.8164505958557,17.7355499267578,18.2028751373291,18.3810201644897,18.4326652526855
"[-60,-59)","[18.5,25)",231,80.7012987012987,40.9161597506514,38.0,44.0,53.0,67.0,99.0,131.0,162.5,0.43872214467552,0.294523074332046,0.0338899958878756,0.0810737684369087,0.17628900706768,0.387914925813675,0.685851663351059,0.880808770656586,0.922697126865387,27.9876880349483,3.94385223519656,21.054394977169,22.1138127853881,25.172203196347,28.2091324200913,31.203595890411,33.1077625570776,33.7899543378996,231.0,21.6768605226275,1.88148842220054,18.9068508148193,19.2276992797852,20.1575999259949,21.4454002380371,23.32634973526,24.5193004608154,24.7388000488281
"[-60,-59)","[25,30]",100,94.42,42.9888827536148,51.95,54.9,62.75,79.5,114.0,151.2,177.75,0.556952105052769,0.268959531586649,0.158382785320282,0.200381998717785,0.309726685285568,0.536680608987808,0.798816576600075,0.905614328384399,0.945915207266807,28.0089885844749,3.98153518689103,20.7396803652968,21.9361529680365,25.1329908675799,28.6446917808219,31.1098173515982,32.990502283105,33.8145034246575,100.0,27.2438582277298,1.41370797133677,25.1748052597046,25.3848701477051,25.9654750823975,27.0618252754211,28.6132750511169,29.011190032959,29.4110103607178
"[-59,-58)","[15,18.5)",33,73.1818181818182,35.1909563537411,39.4,45.0,49.0,67.0,83.0,103.6,129.6,0.390632409630626,0.280397924608865,0.0426958456635475,0.0889044985175133,0.122012332081795,0.372708350419998,0.594419598579407,0.761182367801666,0.874031126499176,26.8799225127992,3.88033692598648,20.7685844748858,21.0850913242009,23.9269406392694,26.9240867579909,30.0639269406393,32.0053652968037,32.2458675799087,33.0,17.4693587698118,0.836040950349215,16.0904804229736,16.4330097198486,16.7656993865967,17.6308994293213,18.3281497955322,18.36549949646,18.3668994903564
"[-59,-58)","[18.5,25)",274,79.3105839638815,41.7464569152369,41.65,44.0,52.0,68.0,91.75,126.4,151.05,0.429548097491421,0.282086697341621,0.0517362840473652,0.0810737684369087,0.175505757331848,0.392521739006043,0.658677726984024,0.838617920875549,0.914518257975578,27.7067214111922,4.12830427464956,20.4448630136986,21.5189726027397,24.6550228310502,27.9187785388128,30.9131849315069,33.4494520547945,34.1763698630137,274.0,21.869342680047,1.87350282322158,18.9072896957397,19.2964799880981,20.1952257156372,21.8146495819092,23.4375,24.3897197723389,24.6894852638245
"[-59,-58)","[25,30]",86,93.8139534883721,43.1605788621452,43.75,49.0,56.5,83.0,112.25,162.5,173.25,0.538736360643037,0.300018127640073,0.0767243932932615,0.119460918009281,0.246914740651846,0.576217114925385,0.768063977360725,0.927156955003738,0.944498032331467,28.7699015079112,3.98075135255289,22.0716609589041,22.8174086757991,25.9515125570776,30.0105593607306,32.1037385844749,33.6311073059361,33.8954623287671,86.0,27.216019835583,1.43157411993123,25.217399597168,25.3155999183655,26.0175004005432,26.9860000610352,28.59809923172,29.2693247795105,29.4007749557495
"[-58,-57)","[15,18.5)",41,70.5609756097561,24.708347557544,35.0,43.0,52.0,68.0,83.0,107.0,110.0,0.392298434531634,0.256340000535338,0.0184340570122004,0.0667650774121285,0.158586129546165,0.400087922811508,0.60265064239502,0.741497099399567,0.774161338806152,28.3517485243346,4.06460426978586,21.5953196347032,22.7571917808219,25.3159817351598,28.5381278538813,32.2558219178082,33.075,33.6700913242009,41.0,17.3758187545993,0.869175827460304,15.6225004196167,15.9843997955322,17.0253126621246,17.5781002044678,18.1075000762939,18.2562999725342,18.36549949646
"[-58,-57)","[18.5,25)",267,80.6441947565543,37.725721590924,41.0,43.6,54.0,72.0,96.0,126.4,155.1,0.452052036462934,0.28026962622786,0.0509951636195183,0.0699223890900612,0.192881874740124,0.453159809112549,0.676298558712006,0.846255588531494,0.927057367563248,27.7604458468011,4.248740418994,21.0067808219178,21.5758219178082,24.3394406392694,27.8611872146119,31.113299086758,33.5801598173516,34.2603310502283,267.0,21.6139870014977,1.67136853308516,19.0471694946289,19.3509498596191,20.2986497879028,21.4843997955322,22.952449798584,24.0495597839356,24.428870010376
"[-58,-57)","[25,30]",95,98.1831579107987,64.7028866517933,44.7,50.4,58.5,78.0,122.5,165.4,221.6,0.519322862843738,0.301601926490302,0.0895157851278782,0.147817865014076,0.247777163982391,0.507827043533325,0.821597367525101,0.935437119007111,0.975304049253464,28.6336037010334,3.77821908783976,22.3790410958904,23.2175570776256,25.9176369863014,28.8692922374429,31.7391552511416,33.5958219178082,34.0692579908676,95.0,27.1986718485648,1.4211057191347,25.2362995147705,25.4737998962402,25.9596748352051,27.0051002502441,28.4959502220154,29.2865398406982,29.3985694885254
"[-57,-56)","[15,18.5)",33,75.0606060606061,20.0451668020302,48.8,51.0,58.0,75.0,86.0,104.2,109.4,0.452522436100425,0.215045038264288,0.12090807557106,0.14405537545681,0.271208882331848,0.491921603679657,0.605256736278534,0.737287759780884,0.774097239971161,26.9719351044694,4.18914717398183,20.6984474885845,22.0266894977169,23.4119863013699,27.1243150684932,29.0313926940639,33.5418264840183,34.2458447488584,33.0,17.4081625948049,0.999052489945491,15.6212799072266,15.7286199569702,16.9009990692139,17.5771007537842,18.2898998260498,18.4407194137573,18.4523792266846
