week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-59)",2,462.589996337891,0,462.589996337891,462.589996337891,462.589996337891,462.589996337891,462.589996337891,462.589996337891,462.589996337891,0.604278087615967,0,0.604278087615967,0.604278087615967,0.604278087615967,0.604278087615967,0.604278087615967,0.604278087615967,0.604278087615967,33.2735159817352,0.00209871875694598,33.2721803652968,33.2723287671233,33.2727739726027,33.2735159817352,33.2742579908676,33.274703196347,33.2748515981735,2,20.1956005096436,0,20.1956005096436,20.1956005096436,20.1956005096436,20.1956005096436,20.1956005096436,20.1956005096436,20.1956005096436
"[-59,-58)",8,432.02375793457,197.840560527949,279.05,280.1,292.542510986328,347.635009765625,503.447509765625,674.980017089844,751.490008544922,0.573102466762066,0.168660600232819,0.408181816339493,0.410303026437759,0.450252518057823,0.514309749007225,0.685823753476143,0.797076034545898,0.819590651988983,30.0809503424658,3.24288929373711,26.9861929223744,27.1165639269406,27.230450913242,29.3929223744292,32.7124714611872,33.5523515981735,34.2588242009132,3,25.5736668904622,6.38152785865673,20.9998100280762,21.2384201049805,21.9542503356934,23.1473007202148,27.9799003601074,30.879460144043,31.8459800720215
"[-58,-57)",3,243.960001627604,138.781863211463,138.1,145.2,166.5,202,300.440002441406,359.50400390625,379.192004394531,0.293988885978858,0.316802987056779,0.0732057400047779,0.0832535862922669,0.113397125154734,0.163636356592178,0.409404382109642,0.55686519742012,0.606018802523613,32.9767123287671,1.82544527040651,31.5022374429224,31.6219406392694,31.9810502283105,32.5795662100457,33.773801369863,34.4903424657534,34.7291894977169,1,22.4609498977661,,22.4609498977661,22.4609498977661,22.4609498977661,22.4609498977661,22.4609498977661,22.4609498977661,22.4609498977661
"[-57,-56)",1,375,,375,375,375,375,375,375,375,0.561728417873383,,0.561728417873383,0.561728417873383,0.561728417873383,0.561728417873383,0.561728417873383,0.561728417873383,0.561728417873383,27.2069634703196,,27.2069634703196,27.2069634703196,27.2069634703196,27.2069634703196,27.2069634703196,27.2069634703196,27.2069634703196,0,,,,,,,,,
"[-56,-55)",2,421.5,324.562012564625,214.95,237.9,306.75,421.5,536.25,605.1,628.05,0.471580155193806,0.374319132317879,0.233364918082953,0.259833277761936,0.339238356798887,0.471580155193806,0.603921953588724,0.683327032625675,0.709795392304659,29.4686643835616,7.22419356117037,24.8712157534247,25.3820433789954,26.9145262557078,29.4686643835616,32.0228025114155,33.5552853881279,34.0661130136986,1,18.5077991485596,,18.5077991485596,18.5077991485596,18.5077991485596,18.5077991485596,18.5077991485596,18.5077991485596,18.5077991485596
"[-55,-54)",2,332.399993896484,0,332.399993896484,332.399993896484,332.399993896484,332.399993896484,332.399993896484,332.399993896484,332.399993896484,0.439613521099091,0,0.439613521099091,0.439613521099091,0.439613521099091,0.439613521099091,0.439613521099091,0.439613521099091,0.439613521099091,28.2571917808219,0.00613471636645729,28.2532876712329,28.2537214611872,28.2550228310502,28.2571917808219,28.2593607305936,28.2606621004566,28.261095890411,0,,,,,,,,,
"[-54,-53)",1,722.969970703125,,722.969970703125,722.969970703125,722.969970703125,722.969970703125,722.969970703125,722.969970703125,722.969970703125,0.818181812763214,,0.818181812763214,0.818181812763214,0.818181812763214,0.818181812763214,0.818181812763214,0.818181812763214,0.818181812763214,26.4831050228311,,26.4831050228311,26.4831050228311,26.4831050228311,26.4831050228311,26.4831050228311,26.4831050228311,26.4831050228311,0,,,,,,,,,
"[-53,-52)",8,630.118751525879,430.320743050244,255.516998291016,276.033996582031,318.549987792969,445.970001220703,863.547485351563,1285.28002929688,1285.28002929688,0.638838857412338,0.244315723236969,0.348045355081558,0.407320660352707,0.520935945212841,0.544303774833679,0.853030294179916,0.957575738430023,0.957575738430023,28.7848601598174,5.8141696292145,20.4314897260274,20.4319292237443,24.9766552511416,30.1740296803653,33.9234303652968,34.3189611872146,34.4215239726027,4,30.0418629646301,0.491974605507308,29.615800857544,29.615800857544,29.615800857544,30.0414505004883,30.4675126075745,30.4682550430298,30.4685025215149
"[-52,-51)",1,326.859985351563,,326.859985351563,326.859985351563,326.859985351563,326.859985351563,326.859985351563,326.859985351563,326.859985351563,0.541871905326843,,0.541871905326843,0.541871905326843,0.541871905326843,0.541871905326843,0.541871905326843,0.541871905326843,0.541871905326843,34.5271689497717,,34.5271689497717,34.5271689497717,34.5271689497717,34.5271689497717,34.5271689497717,34.5271689497717,34.5271689497717,1,30.4671001434326,,30.4671001434326,30.4671001434326,30.4671001434326,30.4671001434326,30.4671001434326,30.4671001434326,30.4671001434326
"[-51,-50)",5,620.671997070313,354.307736959559,343.597998046875,387.19599609375,517.989990234375,517.989990234375,537.380004882813,952.952001953125,1091.47600097656,0.626415729522705,0.230605755476539,0.360253179073334,0.420506346225738,0.601265847682953,0.601265847682953,0.684491991996765,0.840829765796661,0.892942357063294,30.0708447488585,3.21248008174029,25.8502739726027,27.0037442922374,30.4641552511416,30.4650684931507,31.4776255707763,32.5413926940639,32.8959817351598,4,27.2383082707723,9.90746629408977,17.2136350631714,17.8983699798584,19.9525747299194,28.3795331319173,35.6652666727702,35.6652666727702,35.6652666727702
