week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-59)",166,1.0302710823984,0.131766848617383,0.822499990463257,0.850000023841858,0.949999988079071,1.00999999046326,1.10000002384186,1.21000003814697,1.25749999284744,0.461990439187152,0.281050576456412,0.0334277777001262,0.0602213777601719,0.235010214149952,0.430666819214821,0.671884849667549,0.892275959253311,0.937552496790886,29.0415724542004,3.80300016548892,22.0614726027397,23.3923515981735,26.0007134703196,29.7573630136986,32.0251712328767,33.5219748858448,34.0656392694064,30,23.6991065661113,4.99641540930347,17.4112097740173,18.4177198410034,20.2290992736816,22.7565498352051,25.8572001457214,31.6347301483154,32.121400642395
"[-59,-58)",180,1.02622222089105,0.127915852863288,0.839999973773956,0.889999985694885,0.939999997615814,1.00999999046326,1.10000002384186,1.18099995851517,1.27999997138977,0.449059174780268,0.277079643798575,0.0525411639362574,0.112733772397041,0.215815376490355,0.423920452594757,0.664277598261833,0.854899990558624,0.948301854729652,28.6003665651953,4.00518868753738,21.3760502283105,22.1542465753425,26.0029680365297,29.1303652968037,31.967294520548,33.4691324200913,34.1583732876712,31,23.2741944507886,5.26128618723858,18.8922500610352,19.4869995117188,20.2290992736816,21.082799911499,24.6098003387451,28.194299697876,35.0992002487183
"[-58,-57)",149,1.02201342002657,0.127956811783501,0.837999999523163,0.877999997138977,0.930000007152557,1,1.0900000333786,1.21000003814697,1.27199997901917,0.444271906447791,0.280802431129654,0.048620879650116,0.0888021647930145,0.21876648068428,0.426772505044937,0.637604475021362,0.892572116851807,0.944142663478851,28.5875432870583,3.80457325982761,21.9288812785388,23.2614383561644,25.7783105022831,28.8873287671233,31.5958904109589,33.6305251141553,34.44100456621,26,27.5100174194727,8.46180392881733,17.8936996459961,18.7345495223999,21.6871579488119,24.0390996932983,35.4743509292603,39.4270000457764,41.3036003112793
"[-57,-56)",167,1.02526946231991,0.127031986473488,0.850000023841858,0.875999999046326,0.925000011920929,1.00999999046326,1.10000002384186,1.17799999713898,1.24400000572205,0.456926349626121,0.283354737205432,0.0506555251777172,0.0935237109661102,0.198095209896564,0.4288350045681,0.672645032405853,0.844475030899048,0.92897298336029,28.6874504415826,3.64417107828996,22.7132876712329,23.6315753424658,26.1985730593607,28.8586757990868,31.5476598173516,33.7732648401827,34.3714611872146,29,24.939726373519,7.53730012135381,17.5709808349609,18.5430801391602,19.2276992797852,22.7189998626709,28.2393493652344,35.5756164550781,37.9140205383301
"[-56,-55)",187,1.03596256856612,0.146538497481354,0.853000020980835,0.885999989509583,0.939999997615814,1.01999998092651,1.10000002384186,1.20000004768372,1.28699996471405,0.467282328366976,0.274397489881894,0.0548112571239472,0.097907842695713,0.224823087453842,0.453498423099518,0.673578709363937,0.869434666633606,0.956023305654526,28.8225728273875,3.37225364542797,22.7533219178082,24.6600684931507,26.473002283105,29.1909817351598,31.3336187214612,33.0402054794521,34.0808447488584,40,23.9654024235408,4.69495409917079,17.649507188797,18.1542594909668,21.0792374610901,23.9361000061035,25.1193246841431,31.1911691665649,33.5455061340332
"[-55,-54)",166,1.0108433724886,0.112634613070547,0.8299999833107,0.865000009536743,0.939999997615814,1,1.08750003576279,1.13999998569489,1.18374998867512,0.42505229372217,0.262072283693956,0.0372435552999377,0.0760849267244339,0.206490501761436,0.414419576525688,0.637604475021362,0.775382995605469,0.849701270461083,28.8590003851021,3.78705702244484,22.598002283105,23.640296803653,25.6451769406393,29.3421803652968,32.0664098173516,33.5835616438356,34.4670662100457,24,26.8644459890941,5.29712940442178,20.633510017395,21.1977799415588,22.7649126052856,24.9799003601074,30.7123379707336,35.0645195007324,36.1528942108154
"[-54,-53)",195,1.01379487147698,0.136078960099813,0.826999986171722,0.860000014305115,0.930000007152557,0.990000009536743,1.0900000333786,1.16999995708466,1.23000001907349,0.421108320438996,0.278813803247115,0.0357628636062145,0.0632311999797821,0.211137503385544,0.356015235185623,0.643499225378037,0.827722227573395,0.913334679603576,28.657041330055,3.75374023953607,22.086198630137,23.849497716895,26.2425228310502,28.6980593607306,31.5190068493151,33.7972146118722,34.4622831050228,34,25.6926176127265,6.13454858796367,19.8845795631409,20.2161196708679,21.4435000419617,24.139349937439,26.9881496429443,34.878643989563,38.0084548950195
"[-53,-52)",198,1.0279629652448,0.123109865324018,0.839999973773956,0.879999995231628,0.959999978542328,1.01999998092651,1.09750002622604,1.18299998044968,1.21000003814697,0.462067753526536,0.268419188962223,0.0491667011752725,0.0962096519768238,0.253061458468437,0.441671177744865,0.669575721025467,0.854989749193192,0.891397422552109,28.7197995941147,3.59725997332367,21.9826369863014,23.787294520548,26.5576769406393,28.5602168949772,31.3384703196347,33.6682534246575,34.4136358447489,23,26.3831000950026,7.25580872092502,17.9730400085449,19.781799697876,21.5264501571655,25.0135002136231,29.1901750564575,36.1333478291829,41.117392985026
"[-52,-51)",175,1.01931428551674,0.126980126111405,0.847000008821487,0.879999995231628,0.930000007152557,1,1.08000004291534,1.19000005722046,1.28299996852875,0.430827770839844,0.275271288135432,0.0542613122612238,0.097100792825222,0.207639016211033,0.410584956407547,0.621394991874695,0.86517825126648,0.957526522874832,28.6833502935421,3.47261233514518,22.0082420091324,24.0358447488585,26.3206050228311,28.7412100456621,31.6328196347032,33.1187214611872,33.9921803652968,29,24.3593835666262,5.22781405490394,19.3491394042969,19.8737800598145,20.8889007568359,23.0867500305176,25.4619998931885,30.2325103759766,35.7906204223633
"[-51,-50)",200,1.03067499816418,0.121159262017611,0.859500014781952,0.899999976158142,0.939999997615814,1,1.12000000476837,1.20000004768372,1.24000000953674,0.466088910460821,0.28366574781512,0.0631007418036461,0.130377411842346,0.223780374974012,0.426144540309906,0.750007018446922,0.874529755115509,0.917638054490089,28.1906244292238,3.6124951104447,22.5197374429224,23.2256050228311,25.4310216894977,28.064897260274,31.1005422374429,33.1894063926941,34.1054109589041,38,23.8638847334343,3.98608461461156,18.5734055519104,19.7963201522827,21.0567002296448,22.145299911499,27.0552005767822,28.3939195632935,28.7273998260498
