week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-59)",34,413.390324312098,157.675084648747,233.11499786377,267.569995117188,286.0,354.844787597656,530.06022644043,598.3,705.6,0.429332340793575,0.272766776368262,0.12379866912961,0.141244931519032,0.203492309898138,0.319237917661667,0.661414071917534,0.810095942020416,0.91374419927597,29.2363819500403,3.89200355103775,22.1106792237443,24.1995433789954,27.1297089041096,28.9885844748858,32.5048515981735,33.7462214611872,34.1822089041096,11.0,27.0047765335479,7.05045477838753,19.8516006469727,20.8325004577637,22.8598494529724,25.9678001403809,28.9706497192383,31.2091999053955,38.0524211611067
"[-59,-58)",33,499.473424738104,267.52907373816,204.2,279.310327148438,335.0,477.0,580.0,686.868933105469,747.875744628906,0.536252190217827,0.291424852794788,0.054438616335392,0.138423800468445,0.31728583574295,0.570764124393463,0.745089292526245,0.903912568092346,0.932743108272552,28.5842777085928,3.95520364315377,21.7384931506849,24.0162785388128,25.4777397260274,29.1954337899543,31.4665525114155,33.3818493150685,34.0091780821918,11.0,27.4259906537605,9.10462133507154,18.9760999679565,19.3621006011963,20.1887162526449,25.0260664621989,32.1955003738403,40.6318988800049,42.5985488891602
"[-58,-57)",36,452.785662333171,195.080967021295,248.5,275.5,337.982704162598,426.5,511.037498474121,595.810272216797,707.25,0.489969856105745,0.237720690469393,0.133144868537784,0.189491502940655,0.334110535681248,0.500968962907791,0.626354783773422,0.785393297672272,0.877103134989739,29.1152841197362,3.42527938143981,22.7584474885845,25.714897260274,26.9974029680365,28.8970890410959,31.8152397260274,33.6392694063927,33.9481735159817,11.0,25.4143772992221,7.07958845128078,17.8476495742798,18.0259990692139,21.7690749168396,23.4221000671387,26.1281499862671,37.0447006225586,38.5269012451172
"[-57,-56)",32,446.442300955455,160.57530589543,179.0,235.3,318.0,470.75,567.37576675415,636.0,675.35,0.490060376507851,0.281227100923579,0.046736191958189,0.0900144904851913,0.245086796581745,0.554198533296585,0.735682770609856,0.844743645191193,0.875720691680908,28.3207084760274,3.33202103706636,22.2282876712329,22.9085844748858,26.8138127853881,28.4067922374429,30.6689783105023,32.1830251141553,32.6967922374429,12.0,28.5272956689199,10.6134087239611,17.3194049835205,18.9165199279785,21.8448495864868,24.589599609375,34.8001251220703,40.146439743042,45.0626495361328
"[-56,-55)",35,441.047744024368,166.117814832422,230.2,246.4,302.5,416.551605224609,557.049995422363,657.704991658529,680.623858642578,0.448666096044083,0.271243337418943,0.0880170106887817,0.113518226146698,0.200397320091724,0.441758990287781,0.69050042082866,0.792849099636078,0.837981188297272,27.8103979125897,4.05113689576212,21.825296803653,23.2961872146119,24.4313926940639,27.8344748858448,31.1301940639269,33.8288584474886,34.1600570776256,15.0,25.342296854655,6.16723945612242,18.8478796005249,19.5285797119141,21.0731000900269,23.0517997741699,29.5676755905151,33.1906410217285,35.4488815307617
"[-55,-54)",28,394.408783503941,159.639004979818,201.35,208.3,257.5,387.5,502.440002441406,571.940008544922,639.70500793457,0.399297588504851,0.282357391469048,0.0509825587272644,0.0664132095873356,0.108180291950703,0.381243258714676,0.619007915258408,0.755770218372345,0.836326777935028,28.6158390410959,3.58778125608603,22.6100399543379,23.6271575342466,26.0730308219178,28.8545662100457,31.1681506849315,32.7330479452055,34.2855079908676,6.0,23.9958333969116,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-54,-53)",30,432.951249525282,141.046982462574,204.820666503906,272.0,340.517219543457,433.199996948242,552.75,613.070001220703,626.515005493164,0.49456075715522,0.258987244083762,0.0807911297306419,0.177086324989796,0.251726258546114,0.511062785983086,0.727664552628994,0.820601809024811,0.829832726716995,29.6620547945206,3.06935598967827,24.1555136986301,24.3672831050228,27.7182077625571,30.2122146118722,31.4955194063927,32.8647831050228,34.214200913242,6.0,23.9166663487752,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-53,-52)",30,450.646887207031,161.858576057788,259.3,293.1,323.0,419.620635986328,533.0,706.470001220703,750.515005493164,0.481771069765091,0.253492165730799,0.148837177455425,0.175443315505981,0.285030663013458,0.427190974354744,0.666697546839714,0.85203395485878,0.905819457769394,27.8387557077626,4.2217874233326,20.7540639269406,21.6076598173516,25.0191780821918,28.0833333333333,30.6935787671233,33.3376598173516,33.7652340182648,6.0,26.2262334823608,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-52,-51)",37,410.541795472841,157.058423519775,147.4,190.8,318.0,386.0,558.0,616.579254150391,635.4,0.431185748277081,0.279387038340186,0.0308992870151997,0.0619444087147713,0.238997370004654,0.356398493051529,0.746792137622833,0.827482450008392,0.852003502845764,28.660181414291,4.13389079919901,21.6310273972603,22.7357305936073,25.3440639269406,29.8535388127854,32.3132420091324,33.2382191780822,33.4026255707763,12.0,24.588741461436,4.97190288275703,19.6108842849731,20.069739151001,20.7320499420166,22.9188499450684,28.6659498214722,30.0826700210571,32.2661251068115
"[-51,-50)",32,423.076343536377,182.354313452353,206.2,237.9,307.374069213867,383.0,514.25,648.027453613281,774.505001831055,0.427262316651953,0.274265760367755,0.0605632167309523,0.0921020314097404,0.240522086620331,0.359134361147881,0.563157379627228,0.864535462856293,0.892481554547946,27.9395619292237,4.07360332513576,21.2837557077626,22.2125684931507,24.6818207762557,28.6970319634703,31.4244006849315,32.3332305936073,33.2573801369863,11.0,31.2111317894676,13.306551552702,18.6223001480103,20.7157001495361,23.0392999649048,26.6277494430542,33.9309501647949,48.0475997924805,54.8831996917725
"[-50,-49)",38,393.892537468358,245.465646057723,113.7,179.119998168945,237.681018829346,330.5,481.637840270996,667.629992675781,721.386172485351,0.366921734138343,0.296969031865214,0.0212298236787319,0.053168155066669,0.119438698515296,0.255357936024666,0.565711915493012,0.822864937782288,0.932666260004044,28.7604181687095,3.62603847085523,21.9743150684932,24.7600228310502,26.205051369863,29.0506278538813,31.4283105022831,32.9970319634703,33.807899543379,11.0,25.010140765797,3.24011695391361,20.4074001312256,21.0937995910645,22.4990501403809,25.4375,27.2199244499207,28.194299697876,29.1444997787476
"[-49,-48)",30,414.022864786784,178.137412358667,178.45,226.9,296.422393798828,370.793060302734,492.5,677.539978027344,718.3,0.420098800646762,0.298368459358474,0.0466742062941194,0.0993326224386692,0.196492616087198,0.320139840245247,0.621486693620682,0.883278119564056,0.915619879961014,28.3308866057839,3.22516963910188,22.8367865296804,23.3550456621005,26.44600456621,29.0920091324201,30.4365867579909,32.1901255707763,32.859394977169,8.0,24.8037624359131,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-48,-47)",26,420.573231623723,145.271457858808,192.0,237.5,313.75,417.5,537.836135864258,603.734985351563,633.867492675781,0.460639862200389,0.259546585239764,0.0556653859093785,0.114727457985282,0.269397132098675,0.471097514033318,0.642917066812515,0.793924629688263,0.866733461618424,29.0187521952933,2.97586555592919,25.2736872146119,25.7315068493151,26.7860159817352,28.9571347031963,30.582448630137,33.5050799086758,33.6493721461187,10.0,23.4210796356201,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-47,-46)",32,412.983245929082,140.624783066585,226.975,266.241372680664,302.5,394.479995727539,500.050003051758,605.5,644.75,0.427606002330625,0.263405369118017,0.102050968632102,0.132144452631474,0.202870294451714,0.357982164559265,0.642643302679062,0.795778954029083,0.860216253995895,28.06258918379,3.40810698346987,21.4996461187215,22.9097602739726,26.6317351598174,28.6769406392694,30.5319063926941,31.6895547945206,32.2927739726027,6.0,22.9165997505188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
