week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-58,-57)",2,210,79.0545295049814,159.690005493164,165.280004882813,182.050003051758,210,237.949996948242,254.719995117188,260.309994506836,0.812662065029144,0.140881994587546,0.723005312681198,0.732967174053192,0.762852758169174,0.812662065029144,0.862471371889114,0.892356956005096,0.90231881737709,28.4570776255708,5.83314662507587,24.7448858447489,25.1573515981735,26.3947488584475,28.4570776255708,30.5194063926941,31.756803652968,32.1692694063927,2,31.1523747444153,12.2915308944778,23.330092382431,24.199234867096,26.8066623210907,31.1523747444153,35.4980871677399,38.1055146217346,38.9746571063995
"[-57,-56)",1,64.0999984741211,,64.0999984741211,64.0999984741211,64.0999984741211,64.0999984741211,64.0999984741211,64.0999984741211,64.0999984741211,0.204188480973244,,0.204188480973244,0.204188480973244,0.204188480973244,0.204188480973244,0.204188480973244,0.204188480973244,0.204188480973244,21.3324200913242,,21.3324200913242,21.3324200913242,21.3324200913242,21.3324200913242,21.3324200913242,21.3324200913242,21.3324200913242,1,29.4423999786377,,29.4423999786377,29.4423999786377,29.4423999786377,29.4423999786377,29.4423999786377,29.4423999786377,29.4423999786377
"[-56,-55)",2,144.000003814697,145.098314736358,51.6600017547608,61.9200019836426,92.7000026702881,144.000003814697,195.300004959106,226.080005645752,236.340005874634,0.519451253116131,0.501896315134627,0.200046394020319,0.235535822808743,0.342004109174013,0.519451253116131,0.696898397058249,0.803366683423519,0.838856112211943,31.0300228310502,5.03531061762749,27.8255707762557,28.1816210045662,29.2497716894977,31.0300228310502,32.8102739726027,33.8784246575342,34.2344748858448,2,25.1382994651794,9.37694347308292,19.1708491802216,19.8338992118835,21.8230493068695,25.1382994651794,28.4535496234894,30.4426997184753,31.1057497501373
"[-55,-54)",2,226.849990844727,110.945049652332,156.244993591309,164.089993286133,187.624992370605,226.849990844727,266.074989318848,289.60998840332,297.454988098145,0.819918960332871,0.174774003495945,0.708693465590477,0.721051853895188,0.758127018809319,0.819918960332871,0.881710901856422,0.918786066770554,0.931144455075264,25.2640410958904,2.52233706604078,23.6588356164384,23.8371917808219,24.3722602739726,25.2640410958904,26.1558219178082,26.6908904109589,26.8692465753425,0,,,,,,,,,
"[-54,-53)",1,269.899993896484,,269.899993896484,269.899993896484,269.899993896484,269.899993896484,269.899993896484,269.899993896484,269.899993896484,0.920212745666504,,0.920212745666504,0.920212745666504,0.920212745666504,0.920212745666504,0.920212745666504,0.920212745666504,0.920212745666504,31.4337899543379,,31.4337899543379,31.4337899543379,31.4337899543379,31.4337899543379,31.4337899543379,31.4337899543379,31.4337899543379,1,38.2581996917725,,38.2581996917725,38.2581996917725,38.2581996917725,38.2581996917725,38.2581996917725,38.2581996917725,38.2581996917725
"[-53,-52)",7,158.957144601004,104.963628690791,72.9700012207031,80.1399993896484,94.5,111.300003051758,197,293.200006103516,322.900006103516,0.594282037445477,0.255036818276049,0.296659974753857,0.354787838459015,0.450249880552292,0.518324613571167,0.787958115339279,0.917277479171753,0.921989512443542,26.4397097195042,3.38086963468804,21.7063926940639,22.0228310502283,24.6763127853881,27.0914383561644,28.3474885844749,29.8732876712329,30.2111301369863,3,37.5791108873155,0.713561746879789,36.8751605987549,36.9916872660319,37.341267267863,37.9239006042481,37.9893493652344,38.0286186218262,38.0417083740234
"[-51,-50)",3,157.46666208903,227.286867885413,14.1099998474121,17.2199996948242,26.5499992370606,42.0999984741211,230.699993133545,343.859989929199,381.579988861084,0.362008467471848,0.507019606613663,0.0186170209664852,0.0319148931652307,0.0718085097614676,0.138297870755196,0.540353126823902,0.781586280465126,0.861997331678867,28.1251902587519,5.64209856533518,22.5756392694064,23.5391780821918,26.4297945205479,31.2474885844749,31.3817351598174,31.4622831050228,31.4891324200913,2,26.8315000534058,3.14210083010367,24.8318793296814,25.0540594100952,25.7205996513367,26.8315000534058,27.9424004554749,28.6089406967163,28.8311207771301
"[-50,-49)",1,141.5,,141.5,141.5,141.5,141.5,141.5,141.5,141.5,0.708860754966736,,0.708860754966736,0.708860754966736,0.708860754966736,0.708860754966736,0.708860754966736,0.708860754966736,0.708860754966736,34.1817351598174,,34.1817351598174,34.1817351598174,34.1817351598174,34.1817351598174,34.1817351598174,34.1817351598174,34.1817351598174,0,,,,,,,,,
"[-49,-48)",3,117.566665649414,100.361663296173,47.6699996948242,50.8399993896484,60.3499984741211,76.1999969482422,154.099998474121,200.839999389648,216.419999694824,0.464194625616074,0.368390700673223,0.197958239912987,0.212372171878815,0.255613967776299,0.327683627605438,0.604519784450531,0.770621478557587,0.825988709926605,27.2283485540335,6.32143113968736,23.4236643835616,23.4628538812785,23.5804223744292,23.7763698630137,29.1502853881279,32.3746347031964,33.4494178082192,1,35.9106998443604,,35.9106998443604,35.9106998443604,35.9106998443604,35.9106998443604,35.9106998443604,35.9106998443604,35.9106998443604
"[-48,-47)",2,119.64999961853,141.209224742433,29.7849992752075,39.7699993133545,69.7249994277954,119.64999961853,169.574999809265,199.529999923706,209.514999961853,0.457848046906292,0.618633416759338,0.0641521512530744,0.107896139658988,0.239128104876727,0.457848046906292,0.676567988935858,0.807799954153597,0.851543942559511,27.7872146118721,3.25462847231069,25.7159817351598,25.9461187214612,26.6365296803653,27.7872146118721,28.937899543379,29.6283105022831,29.8584474885845,1,21.63330078125,,21.63330078125,21.63330078125,21.63330078125,21.63330078125,21.63330078125,21.63330078125,21.63330078125
