week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-59)",10,10.7208000421524,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.445817165076733,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.4967465753425,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-59,-58)",19,13.2918736056278,15.6666381720926,3.25043992996216,3.74599990844727,5.28320002555847,7.71999979019165,15.8000001907349,23.3800003051758,40.0700012207031,0.467044452989572,0.300998177738297,0.0677776647731662,0.0976000010967254,0.227278098464012,0.427152305841446,0.742253959178925,0.860264551639557,0.961705583333969,27.6484078346551,3.10661879475476,23.0661757990868,24.1366666666667,25.5051940639269,28.6971461187215,29.1299086757991,31.2377625570776,33.1404452054794,2.0,25.2175998687744,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-58,-57)",22,16.5326547297564,33.4476530179902,3.72150007486343,4.51900019645691,5.75999987125397,9.59999990463257,11.9000000953674,15.6599996566773,28.535000705719,0.489665013653311,0.26242823787196,0.107642120495439,0.175217041373253,0.274982914328575,0.55670839548111,0.666722655296326,0.758494263887406,0.918869024515152,29.1045454545455,3.1816327729043,23.9070776255708,25.6308105022831,27.5500570776256,28.8011415525114,31.4387557077626,33.5546917808219,34.1964098173516,5.0,25.0642601013184,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-57,-56)",25,11.2080959510803,6.11617777990151,3.77984008789063,5.57952003479004,7.19999980926514,9.4463996887207,14.1408004760742,21.3071994781494,23.3999996185303,0.528530854135752,0.247852146931049,0.118690326809883,0.213178744912148,0.375455647706985,0.509933769702911,0.715231776237488,0.861932861804962,0.872880852222443,29.1312328767123,3.6566347083441,22.2135159817352,24.4103196347032,27.3577625570776,30.0639269406393,32.2124429223744,32.8220091324201,33.1979908675799,10.0,25.9788196563721,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-56,-55)",27,15.7036740338361,18.8610276087167,3.8099999666214,5.4439998626709,6.79640007019043,10.1999998092651,15.8000001907349,25.5480007171631,47.4859992980957,0.54952945580913,0.261965957537978,0.118311277776957,0.249775648117065,0.36087554693222,0.526857137680054,0.757919669151306,0.872348558902741,0.961909621953964,27.263347708439,3.43728911672718,23.0047716894977,23.232397260274,24.9137557077626,26.7985159817352,29.3516552511416,31.8091780821918,33.3614155251142,5.0,25.7491397857666,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-55,-54)",23,9.8962956096815,10.1805359448192,3.46400003433228,3.62799997329712,4.9850001335144,7.0,10.9499998092651,15.3400003433228,18.7500003814697,0.41549390623265,0.250479023273055,0.0831730604171753,0.111079862713814,0.224095873534679,0.36214604973793,0.604294151067734,0.75523624420166,0.810734343528747,30.2213619217788,2.76268945129857,25.2756506849315,26.5489497716895,28.8146689497717,30.4063926940639,32.5461187214612,33.5974885844749,33.6455136986301,10.0,27.5913345336914,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-54,-53)",17,12.4770823394551,17.0253251342946,2.5659999370575,3.36199989318848,4.0,8.23680019378662,10.6000003814697,20.0067197608948,31.7159996986389,0.409713167280835,0.278397845091688,0.0322362955659628,0.08377695530653,0.13973268866539,0.452004849910736,0.572433173656464,0.747588173151016,0.767453074455261,28.746924523234,2.39960410007399,25.7707762557078,25.9938584474886,27.3051369863014,28.3655251141553,29.7679223744292,31.4443378995434,32.6858447488584,5.0,22.2811595916748,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-53,-52)",21,13.4275935680147,13.1062863578235,3.93120002746582,4.0,6.73000001907349,10.5408000946045,16.1000003814697,19.2999992370605,20.8999996185303,0.524351728163541,0.253768033729767,0.108585856854916,0.13410596549511,0.339003652334213,0.579465568065643,0.737768630186717,0.817617893218994,0.823946605126063,27.5003696455751,3.70125671012051,22.7164383561644,23.2206621004566,24.765296803653,26.4146118721461,29.535502283105,33.058904109589,33.5159817351598,2.0,27.2133498191834,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-52,-51)",26,11.8615127893595,9.17605905626134,3.25,4.25,5.64999997615814,9.09999990463257,15.9249997138977,23.8166667222977,29.5250005722046,0.496091354351777,0.276018621338171,0.0854278113692999,0.16084311157465,0.264470741152763,0.492296814918518,0.701925374567509,0.869510680437088,0.92131070792675,27.8457894274675,3.56942872954104,22.8071347031964,23.0529109589041,25.046803652968,28.5369292237443,30.4579908675799,32.0927511415525,33.1043378995434,7.0,25.5510092235747,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-51,-50)",28,11.5179999811309,7.81654221892615,3.82496000528336,4.19368014335632,5.95000004768372,8.55000019073486,15.6499998569489,20.5699996948242,23.7350005149841,0.50243255974991,0.265142644113815,0.121480411291122,0.148975794017315,0.299237243831158,0.455974951386452,0.725396022200584,0.834260040521622,0.872326749563217,28.6716568819309,4.03073984340466,22.894446347032,23.1324657534247,25.3117865296804,28.440696347032,31.6497716894977,34.258801369863,34.7280365296804,10.0,27.1117538134257,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
