week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-59)",532,80.30357140706,38.4239327178303,25,34,51.375,76,104,125.9,151.45,0.520619125019757,0.287652000825708,0.0534199740737677,0.105432739108801,0.272099800407887,0.536583214998245,0.772098660469055,0.894066572189331,0.950651523470879,28.2080702612696,3.99207605817252,21.2856335616438,22.6568150684932,25.1251141552511,28.4162671232877,31.4665810502283,33.5527739726027,34.2663413242009,139,24.3646178083822,5.54229666164964,17.9858293533325,18.6278205871582,20.3687496185303,23.5722999572754,26.2606000900269,31.2880001068115,35.0635692596436
"[-59,-58)",578,80.1399653964389,41.2048550935911,25,34,48,75,105,133,158,0.508802606232484,0.299105498250321,0.0506139513105154,0.1074198551476,0.230602655559778,0.520983189344406,0.781700998544693,0.908356976509094,0.961210694909096,28.1593781106318,3.74352210127336,22.0387785388128,22.8915182648402,25.3325057077626,28.312100456621,31.1700913242009,33.122397260274,33.9186643835617,190,23.526393631132,5.32595738536868,17.3490249633789,18.4994192123413,20.0651755332947,22.0351505279541,25.9988503456116,30.0822553475698,34.9849452018738
"[-58,-57)",550,79.9478181630915,37.4972347021627,28.45,37,55,76,99,127.1,142.864998626709,0.518266177515378,0.276443679891341,0.0695491082966328,0.129820543527603,0.297947600483894,0.534706681966782,0.741808280348778,0.893760877847672,0.935695001482964,28.8036828559568,3.73560665994958,21.9878025114155,23.0746347031964,26.3031107305936,29.3441210045662,31.7462328767123,33.5127054794521,34.0199543378996,168,23.9735260499848,4.86816612937856,18.0912254333496,18.6682304382324,20.542200088501,22.8341999053955,26.4692504405975,30.4953853607178,34.5327991485596
"[-57,-56)",518,76.9099099301617,36.3189851021117,25,31.4900005340576,49,73,100,127,143.045000457764,0.49715825587587,0.286253547687677,0.0471806520596147,0.0927690580487251,0.246103636920452,0.501015841960907,0.743025571107864,0.889524793624878,0.935643032193184,28.7092324712188,3.76502008442748,22.1801883561644,23.5267465753425,25.6660102739726,28.9832762557078,31.7357591324201,33.7392351598174,34.3787214611872,152,24.5166774814888,4.98833191271499,18.3314796447754,19.382239151001,21.2285995483398,23.4098248481751,26.6728000640869,30.8628307342529,33.6484060287476
"[-56,-55)",560,77.1378571476255,36.9252849419569,22,33,50,73,100.625,127.370002746582,144.05,0.498467417703692,0.288459669271679,0.0373043432831764,0.0998564764857292,0.251745775341988,0.501699358224869,0.754824221134186,0.89176516532898,0.941851404309273,28.4948956294847,3.83634970816577,21.6705251141553,23.0086073059361,25.7207762557078,28.8055365296804,31.5031678082192,33.5384474885845,34.4442294520548,178,23.6425784561246,5.17049969537339,18.1974874973297,18.6568841362,19.8507494926453,22.3716502189636,25.9911503791809,30.2958698272705,33.9964813232422
"[-55,-54)",521,81.1808061508208,40.8966532513245,29,38,54,71,101,131,157,0.517736511952968,0.279128124788518,0.0750632435083389,0.129607260227203,0.296200752258301,0.49100261926651,0.756314516067505,0.909767031669617,0.962664783000946,28.2460468540478,3.77382315944488,21.7243150684932,22.6969178082192,25.6752283105023,28.3657534246575,31.2336757990868,33.3109589041096,34.0149543378996,162,24.0954028340664,5.75152944374482,18.0653192520142,18.6730802536011,20.22962474823,22.4357004165649,25.9410743713379,31.8607902526856,34.8490043640137
"[-54,-53)",559,79.9946332634668,39.1687814680211,27,37.8,54,73.5,98.5,129,148,0.514648008908454,0.273892028663201,0.065443104878068,0.138252723217011,0.293318226933479,0.505538702011108,0.736320495605469,0.892417120933533,0.950820165872574,28.4812344287336,3.88029601974396,21.6011415525114,22.8919634703196,25.5702054794521,28.7244292237443,31.7065639269406,33.2985388127854,34.3284931506849,161,23.8640694464498,5.1509565281024,17.4747009277344,18.6851005554199,20.2019996643066,22.6037661234538,26.0226001739502,31.2110996246338,33.3705997467041
"[-53,-52)",571,80.050788124472,38.2537420630504,27.5,35,50,75,105,134,150.5,0.516647062623313,0.292073097456515,0.0667168758809567,0.114759296178818,0.255671769380569,0.529507458209992,0.781747579574585,0.913418531417847,0.9511598944664,28.3271153707747,3.77382714567663,21.8666666666667,22.875,25.4948059360731,28.6256849315069,31.0860730593607,33.5078767123288,34.2474315068493,183,23.2373719964088,4.89445401687999,17.0591798782349,18.36549949646,19.6995496749878,22.4058990478516,25.6109504699707,29.2624599456787,33.1561900138855
"[-52,-51)",505,76.0637624136292,36.481077076978,25.5199996948242,32,49,71,99,125.6,143.480004882812,0.490132638874307,0.289855236934813,0.0509319365024567,0.0973129481077195,0.237714365124702,0.478557497262955,0.743805170059204,0.88789553642273,0.940521442890167,28.2425181970252,4.00640781248666,21.3270091324201,22.5593378995434,25.3606164383562,28.4530821917808,31.5761415525114,33.4059589041096,34.3883333333333,164,24.5733466942144,5.54638348849256,18.4311248779297,19.348219871521,20.9041373729706,23.1877994537354,27.1766247749329,31.3987897872925,36.1677327871323
"[-51,-50)",552,77.8722825948743,38.2976788841336,24,34.1,48,71.25,102,130.9,148.45,0.499413476105817,0.294991340249508,0.0441029107198119,0.103423966467381,0.231038607656956,0.487333804368973,0.760418459773064,0.902202206850052,0.948349815607071,28.3240261647144,3.88992589557239,21.4646632420091,22.9155136986301,25.2709474885845,28.5227739726027,31.498144977169,33.4773630136986,34.2423744292237,162,24.1277857670568,5.71425877220294,17.4830300331116,18.3129492759705,20.1925501823425,22.6282749176025,26.7156252861023,32.5712411880493,35.8719249725342
