week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-59)",809,96.5269056618042,14.2389396932892,75,80.8,89,98,102,112.2,119.6,0.510018127948926,0.303639993936712,0.0459510900080204,0.0906927987933159,0.242851004004478,0.483109712600708,0.758563220500946,0.912292242050171,0.959518122673034,28.5426706402289,3.75370174487604,21.9837671232877,23.3163470319635,25.4971461187215,28.7876712328767,31.6704337899543,33.4822146118722,34.1561415525114,174,24.1073666571962,5.11569535747552,17.9294949531555,18.6823402404785,20.4791502952576,23.1404991149902,26.2279253005981,31.1190795898438,33.2834794044495
"[-59,-58)",751,96.5145583544315,13.2294888777096,75,80,89,98,102,112,118,0.505667308694941,0.301466430462516,0.0493269618600607,0.0909915491938591,0.238207280635834,0.471567124128342,0.773587584495544,0.902294039726257,0.950344145298004,28.4066362049991,3.9194500235025,21.528595890411,22.5461187214612,25.4407534246575,28.7663242009132,31.6038812785388,33.5051369863014,34.3009132420091,169,25.3944894407594,6.56214626672744,18.3888996124268,19.0365001678467,21.0771999359131,23.2254009246826,28.125,35.2009994506836,38.6754611968994
"[-58,-57)",732,95.3634790549079,13.0227042934761,74.55,78.1,87,97,102,111,117,0.49098685430172,0.307051869652817,0.0420857226476073,0.0725590251386166,0.199474602937698,0.466298460960388,0.758814990520477,0.891225230693817,0.943973064422607,28.3075272288345,3.89521817323571,21.472345890411,22.5368721461187,25.4528824200913,28.4820776255708,31.4220319634703,33.4437442922374,34.229046803653,164,25.0770539464989,6.2845995844517,17.8100945472717,19.2050191879272,20.8117008209229,23.3655996322632,27.0082349777222,35.3696833610535,37.5556944847107
"[-57,-56)",744,96.499731176643,12.5233509640021,75,80,89,98,102,112,119,0.503262572366649,0.298195046322777,0.0477451242506504,0.0876546733081341,0.245274856686592,0.469906240701675,0.756718367338181,0.898005163669587,0.953796952962875,28.5762928389061,3.81129517772708,22.0422146118721,23.1666666666667,25.6543093607306,28.8477739726027,31.709703196347,33.4902853881279,34.2873287671233,161,25.1354943587758,6.5538635822429,17.7154006958008,19.1326999664307,20.3953990936279,23.4375,27.6583995819092,34.2057991027832,37.9239006042481
"[-56,-55)",800,97.1488749694824,14.0931249104472,76,81,89,98,104,114,120,0.515909162597673,0.311002555935255,0.0482597947120667,0.095240406692028,0.226892352104187,0.486024469137192,0.785988092422485,0.91230982542038,0.958929291367531,28.6289429223744,3.79629607372094,21.6130308219178,22.9737442922374,25.9113299086758,29.1214611872146,31.6976883561644,33.6211643835616,34.1821746575343,195,24.599380318002,5.52007367518437,17.9966693878174,18.8221797943115,20.626350402832,23.2254009246826,27.5222997665405,32.8388404846191,35.7037612915039
"[-55,-54)",752,96.5045212786248,14.5390490539166,74,79,89,97,102,113,118.45,0.499822927761806,0.30487397534072,0.0454250201582909,0.0753756538033485,0.23612592369318,0.457714080810547,0.755394756793976,0.91205467581749,0.951632282137871,28.6432416144467,3.92071983000308,21.6243150684932,22.9551712328767,25.7365296803653,29.0614726027397,32.0060216894977,33.616198630137,34.293595890411,178,25.2340516826187,6.53951870742192,17.8191455841064,18.6290098190308,20.5817915598551,23.6428995132446,29.4378747940064,34.2145837783814,36.8095798492432
"[-54,-53)",773,96.6385511075078,13.703012525673,75,80,89,98,102,113,120,0.506417515643368,0.304014420164933,0.0512426026165485,0.0915164351463318,0.24291518330574,0.471567124128342,0.75725531578064,0.903820037841797,0.961008763313293,28.7131999208445,3.841439604352,21.7271461187215,23.3292237442922,26.0063926940639,28.913698630137,31.8945205479452,33.6807077625571,34.3923287671233,179,24.5861294733714,5.88446039871675,17.9647396087647,19.0365001678467,20.5754995346069,23.1247005462647,26.5909004211426,33.7919223240444,36.933669090271
"[-53,-52)",841,97.3086801318011,14.2227879950668,76,81,89,98,103,114,122,0.51444868405626,0.304952061688631,0.0517758019268513,0.106579437851906,0.22972509264946,0.486024469137192,0.77772331237793,0.9210125207901,0.969724893569946,28.6043558168955,3.8331919196313,21.7324200913242,23.2093607305936,25.8229452054795,28.6694063926941,31.7215753424658,33.5925799086758,34.2227168949772,181,24.7502597723155,6.26561864533967,17.5277996063232,18.4265003204346,20.4293994903564,23.0468997955322,27.471399307251,33.0063762664795,38.4515504837036
"[-52,-51)",855,96.4318908542685,12.9535087635417,76,81,89,98,102,111,117,0.510676251893335,0.300452159425712,0.0530162516981363,0.0982723236083985,0.228517889976501,0.492312073707581,0.765515446662903,0.891634345054627,0.943304485082626,28.6986900851825,3.81880652753029,21.8560159817352,23.2722831050228,25.8338470319635,28.9542237442922,31.8873287671233,33.6484703196347,34.2302739726027,204,24.3546028947519,5.18955873096227,18.029504776001,19.250340461731,21.1757750511169,23.1438999176025,26.0828251838684,31.8682706832886,34.9595257759094
"[-51,-50)",763,96.5331149053345,12.6837352696948,75,80.2,89,98,103,112,118,0.510033089890726,0.303512150213499,0.0490747582167387,0.0958227301637332,0.239679113030434,0.477477043867111,0.783850967884064,0.90557656288147,0.951045572757721,28.4143297007128,3.76367383853408,21.9249315068493,23.0518264840183,25.429394977169,28.6285388127854,31.4393835616438,33.3126712328767,34.156894977169,199,24.7688585720555,5.54663824512268,18.0668298721313,19.0126605987549,20.5817995071411,23.2334995269775,28.286699295044,31.4388397216797,36.2484292984009
