week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-59)",150,19.6533333333333,14.7051498383164,4,5,10,16,25,39.1,46.1,0.55249243589739,0.261827616333703,0.0853160265833139,0.169577015936375,0.369986079633236,0.570174932479858,0.74451619386673,0.911742329597473,0.945283654332161,28.1235167427702,3.70705126986636,21.9522716894977,22.9387214611872,25.8317636986301,28.0056506849315,30.8925799086758,33.1148401826484,33.5384246575342,45,23.673829848678,5.1567799253266,18.2319999694824,19.0585803985596,19.9946002960205,21.875,25.7656993865967,31.0570069630941,33.5897190093994
"[-59,-58)",182,20.5879120879121,18.2838414617925,4,5,8,15,26,43,55.9,0.539063684887938,0.27754955620365,0.0963018089532852,0.169898967444897,0.296859368681908,0.547126799821854,0.774684384465218,0.928671729564667,0.966448202729225,28.5833584223995,4.02043493309536,21.4821175799087,22.3873515981735,26.0125285388128,29.1585616438356,31.88524543379,33.8295205479452,34.4877397260274,61,23.8835316955066,6.9971104710998,17.5781002044678,17.6308994293213,19.0470008850098,22.0386009216309,26.4855003356934,31.7220001220703,35.2270746231079
"[-58,-57)",151,18.2417218543046,12.5425747362913,3,5,9,15,24,37,45,0.531144973902118,0.257167617848181,0.0825334191322327,0.16952295601368,0.331853866577148,0.532234489917755,0.729672878980637,0.892653286457062,0.935154527425766,28.7329477758626,3.73854082010001,22.0421232876712,22.8832191780822,26.1546803652968,28.8284246575343,32.1146118721461,33.2722602739726,33.8707762557078,61,23.5588000406984,5.50352368316466,18.2182998657227,18.5077991485596,20.3125,22.0317001342773,24.4141006469727,31.7773494720459,34.7635002136231
"[-57,-56)",140,18.4714285714286,16.1959417854783,2.95,5,8,13,25,36.1,44,0.511891656156097,0.270086686351493,0.0831262581050396,0.166311524808407,0.300840280950069,0.476093709468842,0.750410810112953,0.883415496349335,0.929279136657715,28.5117857142857,3.7532536600688,22.1091381278539,23.2664840182648,25.5659246575343,28.87899543379,31.1195205479452,33.8388698630137,34.5344748858448,44,22.3023362737713,3.11673044169377,18.0630997657776,18.513579750061,19.9111998081207,21.5624504089356,24.6316747665405,25.86422996521,26.4617204666138
"[-56,-55)",151,21.4437086092715,19.2366441153646,4.5,6,10,17,26,40,47.5,0.567939776359804,0.260234533873859,0.121637493371964,0.206441059708595,0.358231887221336,0.593286573886871,0.764166414737701,0.912131726741791,0.946565896272659,28.339164323082,3.91281098040017,22.0749429223744,22.8891552511416,25.0257420091324,28.7680365296804,31.3462328767123,33.5276255707763,34.2763698630137,52,24.0345028058077,5.14058887350304,18.3757999420166,19.049880027771,20.7653498649597,22.3515496253967,26.2408003807068,30.6097198486328,34.4976692199707
"[-55,-54)",145,19.5172413793103,16.9460350362047,4.2,5,9,14,25,36.8,47.8,0.539040350091868,0.264304411089281,0.112413975596428,0.169583022594452,0.344162851572037,0.528218686580658,0.761821269989014,0.903750860691071,0.953912484645843,28.2759376476146,3.85899098792505,21.6458447488585,22.7802739726027,25.4996575342466,28.5413242009132,31.3654109589041,33.4025114155251,34.1340410958904,48,22.4995911193616,3.91336547229344,17.5562802314758,17.9985694885254,19.8449569615451,22.0495004653931,24.8901743888855,26.9813703536987,28.0367348670959
"[-54,-53)",139,18.2805755395683,15.9027974829052,2,4.8,8,14,24,36.2,52,0.499515809716318,0.281025642454311,0.065451967716217,0.136354601383209,0.274062588810921,0.50783371925354,0.733670502901077,0.887295818328857,0.967488211393356,29.0429387996452,4.13798544100491,21.1382305936073,22.5362785388128,26.2365867579909,29.3324200913242,32.623401826484,34.3154337899543,34.7681735159817,56,22.6829363164448,4.18987661854316,17.3716869354248,17.8870000839233,20.0044255256653,22.2057504653931,24.4422245025635,29.1268501281738,31.4564752578735
"[-53,-52)",159,18.0377358490566,15.4411446058869,2,4,7,13,27,37,47.1,0.494728399358643,0.287832127267847,0.0678198054432869,0.0990201234817505,0.211378864943981,0.472663342952728,0.762878835201263,0.878450858592987,0.935645973682404,29.3275516211482,3.55146192181042,23.1326940639269,24.1816666666667,27.0930365296804,29.6694063926941,32.2187785388128,33.8201826484018,34.1918607305936,50,24.4445539283752,6.23406228984896,18.2607847690582,18.9931692123413,19.9988503456116,22.1549501419067,26.7784004211426,34.2524188995361,38.0576951980591
"[-52,-51)",137,19.8759124087591,14.1968540712963,3.6,5.6,9,17,27,40.4,48.4,0.554947820675634,0.26708526826408,0.0908587366342545,0.170606210827827,0.306989639997482,0.58338850736618,0.797065377235413,0.905452346801758,0.945985579490662,28.4852814718528,4.34076089432592,21.9505251141553,22.3512328767123,24.6229452054795,28.7095890410959,32.529794520548,34.0255707762557,34.7265753424658,49,23.5537050305581,4.31808040350398,19.011780166626,20.1454200744629,20.9041996002197,22.8190999031067,25.282600402832,28.2750801086426,33.2575996398926
"[-51,-50)",131,19.5038167938931,14.7717891452184,3.5,5,8.5,16,27,41,44.5,0.540850101763966,0.27789739705807,0.0877019986510277,0.1727424710989,0.295895457267761,0.573002398014069,0.796104997396469,0.906174182891846,0.936819404363632,28.7178831607933,3.62014467626793,22.2571917808219,24.0667808219178,26.1010844748858,28.8014840182648,31.5372716894977,33.5494292237443,34.0394406392694,38,23.900890500922,4.84815331412086,18.1068406105042,18.6669897079468,20.5271253585815,22.4704747200012,25.6487503051758,31.5782007217407,32.4017615795136
"[-50,-49)",150,18.5,14.8282109145431,4,5,9,14,25.75,35,42.1,0.524627185091376,0.26273169830994,0.0999748025089502,0.168380701541901,0.331853866577148,0.50713312625885,0.757218852639198,0.879977148771286,0.930419114232063,28.4086141552511,3.93026606685504,21.5085445205479,22.9609132420091,25.4268835616438,28.4244863013699,31.9244577625571,33.6193493150685,34.391752283105,45,22.8101915481516,4.85503508175509,17.6265003204346,17.8300130208333,18.778299331665,21.875,25.4178009033203,29.9374599456787,30.384440612793
"[-49,-48)",143,18.7062937062937,20.0526884038771,2.1,5,8,12,24,36.8,52,0.494984218030126,0.284632270894827,0.0680234357714653,0.142620781064034,0.285560354590416,0.433082789182663,0.736027717590332,0.887545907497406,0.955489104986191,28.3576148737108,3.66904159326661,21.6187785388128,23.0758904109589,25.9312214611872,29.1600456621005,30.9268835616438,32.7432648401827,34.3608219178082,45,24.1006845474243,5.21441727232183,18.3037998199463,18.5904594421387,20.5457000732422,22.6666994094849,26.5625,31.9581390380859,33.6837203979492
"[-48,-47)",135,17.8444444444444,13.6096249230926,2.7,5,8,13,24.5,38.6,44.3,0.503617294958827,0.283810233492685,0.0654511377215385,0.14222252368927,0.25802706182003,0.473778665065765,0.748048782348633,0.905668950080872,0.935214102268219,29.041697108067,3.7090807104326,22.4768493150685,23.5424200913242,26.3778538812785,29.3713470319635,32.276198630137,33.5739269406393,34.0050456621005,39,23.8278238223149,4.30205468823861,17.4264896392822,19.3991798400879,21.0206499099731,23.1833992004395,25.9198503494263,29.6155998229981,31.7583604812622
"[-47,-46)",154,18.1103896103896,14.0487301723343,3,5,7.25,13.5,26.75,38.7,45.35,0.510833480044619,0.277031383989348,0.0768817286938429,0.170530857145786,0.254482194781303,0.498377367854118,0.766103506088257,0.899360829591751,0.945485216379166,28.3451313526656,4.05736346119638,21.6343778538813,22.3607077625571,25.3488869863014,28.7901255707763,31.6146118721461,33.5883105022831,34.2557819634703,47,23.377549550212,4.33575211512679,17.4091901779175,18.2460996627808,20.5407495498657,23.4375,25.2681493759155,28.9010531107585,31.6351247787476
