week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-59)",397,290.73224176748,52.3630310190485,217.4,231.419998168945,258,285.700012207031,320,359.820007324219,385.159997558594,0.493709643856528,0.286135053183189,0.040486366301775,0.114300100505352,0.258585065603256,0.490238457918167,0.727138817310333,0.906504487991333,0.954096662998199,28.3843719448374,3.73809401545915,21.9378082191781,23.0905936073059,25.7022831050228,28.4722602739726,31.3953196347032,33.4608904109589,34.2125114155251,117,24.1951969353998,5.52743839418004,17.8521995544434,18.2868003845215,19.9381008148193,23.2254009246826,27.0552005767822,31.391100692749,33.5808990478516
"[-59,-58)",393,291.066666658901,52.2337140506434,213.6,228.4,253,287,322.5,364.8,382.4,0.498507149603959,0.294758452097451,0.0323047354817391,0.087611922621727,0.231654316186905,0.494796544313431,0.758345067501068,0.906160759925842,0.946198749542236,28.351380900926,3.75049329385511,21.9910502283105,22.8536073059361,25.7106164383562,28.5461187214612,31.0944063926941,33.4546118721461,33.9778538812785,147,23.5486052555292,5.58084397161101,17.3123500823975,18.6157192230225,20.3490748405457,22.0317001342773,24.9755001068115,29.0246299266815,34.1935203552246
"[-58,-57)",356,292.086011136516,49.5639527940177,219.75,233.099998474121,258,287.300003051758,324.050003051758,358.300003051758,375.25,0.514402787695872,0.28474152033153,0.0564297866076231,0.102353967726231,0.294820338487625,0.512129545211792,0.762091785669327,0.903559952974319,0.942776039242744,29.1683103740188,3.63655326326039,22.0517123287671,23.8051940639269,26.771404109589,29.7107876712329,32.2164098173516,33.7612442922374,34.1485445205479,109,22.7810156268082,4.37294897722204,17.7205207824707,18.1298595428467,19.8791007995605,21.9713001251221,24.3418006896973,29.32965965271,31.8009399414062
"[-57,-56)",408,285.68284330181,50.7104335896266,218,228,247,279,318.199996948242,355,376.45500793457,0.460520745800037,0.288542076818521,0.0567086338996887,0.0903951734304428,0.200035080313683,0.44543781876564,0.701650902628899,0.87489560842514,0.951004528999329,28.6787103254544,3.79460900536992,22.0158847031963,22.9730821917808,25.8310502283105,28.8639840182648,31.7385844748859,33.7731164383562,34.3536529680365,132,24.1578191627156,5.21155499142145,18.3314796447754,18.8356693267822,20.6916999816895,22.4993505477905,26.7503995895386,30.0671905517578,34.3216053009033
"[-56,-55)",368,287.746195585831,52.3324721668495,217.35,229,252,281.800003051758,317,355.6,389.78999786377,0.470079125852309,0.290057898106634,0.0441065486520529,0.0928800694644451,0.232117608189583,0.461436212062836,0.712880045175552,0.891905957460404,0.959200999140739,28.3821235358348,3.90701237539923,21.7236929223744,22.8439611872146,25.3878139269406,28.5912671232877,31.4727739726027,33.4850684931507,34.3390353881279,127,23.7139207751768,5.16938664161399,17.908899307251,18.6699401855469,19.9614748954773,22.7861995697022,26.1991500854492,29.7101799011231,33.433659362793
"[-55,-54)",373,286.85469169719,50.801400096744,219.680001831055,231,250.800003051758,278,317,357.239990234375,378.1,0.463563930105303,0.285713769511569,0.0486226804554462,0.0927373141050339,0.223888576030731,0.43087649345398,0.708619773387909,0.886312294006348,0.946331834793091,28.206094911063,3.76536261298243,21.8288584474886,22.8387671232877,25.3795662100457,28.2364155251142,31.3351598173516,33.2607305936073,34.0115296803653,132,24.1014831454895,5.48014579547915,18.3636548042297,19.031099319458,20.2536997795105,22.4921998977661,26.0220994949341,32.2365417480469,34.4494344711304
"[-54,-53)",428,286.866589020346,46.7454477472977,217.870001983643,233.7,251.75,284,317.625,345,365.895004272461,0.480214249534711,0.275213155461211,0.0406257661059499,0.107837188988924,0.240119211375713,0.48332042992115,0.703284099698067,0.85338945388794,0.907382932305336,28.4672350424615,3.91320358676707,21.6196575342466,22.7971232876712,25.4249429223744,28.5925799086758,31.7357876712329,33.6979794520548,34.2000399543379,139,23.6976966199584,5.01561247717382,17.6978203773499,19.0454998016357,20.2943000793457,22.4081993103027,25.8751001358032,30.526420211792,32.160303401947
"[-53,-52)",414,290.333574930827,45.0959813382915,225.46000289917,239,259.300010681152,287,320.150009155273,351.7,367.35,0.498083740893463,0.266152563021873,0.0773073129355907,0.136879754066467,0.275550507009029,0.502641588449478,0.725434452295303,0.876080369949341,0.921062281727791,28.1638764807094,3.62928236700693,21.9281392694064,23.0385273972603,25.5632134703196,28.3463470319635,30.7783105022831,33.1268150684931,33.7818892694064,136,22.4607906075085,4.67715715428368,17.0315999984741,17.7154006958008,19.3441872596741,21.436900138855,24.4170994758606,27.9681491851807,33.1840496063232
"[-52,-51)",377,287.624137939129,48.2783649495212,219.8,231.480001831055,251,282,320,346.8,375.4,0.479785083229864,0.282904593049052,0.0551523238420487,0.098907345533371,0.226851209998131,0.473812878131867,0.72448056936264,0.867137050628662,0.930750250816345,28.5547439531025,3.71130655797771,22.1647716894977,23.0650913242009,25.902397260274,28.749200913242,31.5187214611872,33.4168493150685,34.2898858447489,118,24.2013781913545,5.78369372699994,18.5440057754517,19.0229396820068,20.5467500686646,22.6042003631592,26.2376747131348,30.5891898155212,37.3811135292053
"[-51,-50)",376,284.725531841846,47.9014876932941,218,232.75,250,279.5,312.849990844727,344.699996948242,370,0.46041392990601,0.278092404680855,0.0476640779525042,0.09926737844944,0.218145702034235,0.447515428066254,0.690358236432076,0.864802688360214,0.928375139832497,28.3962972408433,3.82775247903579,21.9858447488584,23.4187785388128,25.3464611872146,28.3996575342466,31.4183219178082,33.4872716894977,34.5039098173516,125,23.7573233133952,5.47700473191761,17.7099594116211,18.7314193725586,19.959400177002,22.3288993835449,25.282600402832,32.9712409973145,35.9163398742676
