week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-59)",310,300.58285005631,134.592817148245,165.35,187.276641845703,223,266.5,336,439.8,535.7,0.517640173140793,0.278677214131167,0.0694885734468699,0.148888112604618,0.284188881516457,0.494174063205719,0.750868782401085,0.90875752568245,0.955219805240631,28.299622182943,3.77802319527348,21.5616267123288,22.7328082191781,25.5413812785388,28.4001712328767,31.410644977169,33.1742123287671,33.8516324200913,78,24.067972957986,5.05076600821861,18.0267251014709,18.6632202148438,20.8917999267578,23.0936994552612,25.9413743019104,28.6214498519897,34.7205150604248
"[-59,-58)",334,303.456486045243,141.261950520093,165,178.941763305664,217,269.5,350.269989013672,438.961602783203,518.1,0.517646615665328,0.292217857586808,0.0679227992892265,0.106553795933724,0.267705760896206,0.521886467933655,0.787960827350617,0.908281797170639,0.94798458814621,28.3748397041533,3.95469735913377,21.6769006849315,22.5480365296804,25.4920662100457,28.4932648401827,31.903852739726,33.4193493150685,34.2543607305936,95,23.4013457756712,5.93497472345874,18.0871000289917,18.6480396270752,20.1062498092651,21.875,24.6095495223999,27.7851802825928,36.9608345031738
"[-58,-57)",335,313.257462937085,144.708232212538,176.2,193.4,223,272.911987304688,371.5,490.6,543,0.54023052070554,0.288991810253204,0.0934338383376598,0.149224928021431,0.292130872607231,0.533468842506409,0.813363343477249,0.942685377597809,0.962401396036148,28.5525219791454,3.66489593587045,21.9925684931507,23.2031735159817,25.8009132420091,28.8255707762557,31.3968607305936,33.3314383561644,33.8995091324201,101,23.6330115749498,5.94302582114594,17.8565006256104,18.1448993682861,19.8372993469238,21.5139007568359,25.970100402832,32.2130012512207,37.3862991333008
"[-57,-56)",313,295.155790627574,120.723147130823,149.608001708984,170.708483886719,220,274,334,441.521917724609,506.040002441406,0.510916227003197,0.290109760459612,0.0320603795349598,0.0846211582422257,0.275040954351425,0.516672432422638,0.737944006919861,0.914506912231445,0.9491708278656,28.5634506251185,3.70210283050858,22.0552054794521,23.2005479452055,25.888698630137,28.7133561643836,31.4666666666667,33.2628538812785,34.3120776255708,95,23.7755243067156,5.18732657916907,17.9951500892639,19.045040512085,20.1876497268677,22.3213996887207,25.4140501022339,32.0917190551758,34.289319229126
"[-56,-55)",344,309.164742203646,147.791818377418,170,186,223,272,348,450.1,558.612963867187,0.531502280100032,0.284187070683486,0.0784362692385912,0.126446953415871,0.29107453674078,0.526396244764328,0.780815795063973,0.917389917373657,0.963913881778717,28.1265198577042,3.83013363375732,21.6512557077626,22.5170205479452,24.9776255707763,28.3886415525114,31.3202054794521,32.7998287671233,33.9919691780822,108,23.1547150270439,4.7152078786177,18.1617131710053,18.6568841362,19.962512254715,21.9608001708984,25.0781507492065,28.9062995910645,31.4452997684479
"[-55,-54)",325,294.620356961764,114.9732074342,167,179.4,215,271,350,435.2,501.424633789063,0.513319051695558,0.292076784721267,0.0607562005519867,0.110608504712582,0.249275356531143,0.526718556880951,0.782155811786652,0.909323501586914,0.947720777988434,28.3496940639269,3.66837454837834,21.9445890410959,23.3137214611872,25.6344748858448,28.2364155251142,31.3762557077626,33.2162557077626,33.9993378995434,101,23.1868386378776,6.12915198473796,17.9417991638184,18.4265003204346,19.8241996765137,21.7784004211426,24.8777503967285,28.4055004119873,31.5555992126465
"[-54,-53)",336,313.575197401501,134.092327992921,155,186,225.75,287.5,355,472.801605224609,599,0.554229539609791,0.290882200153804,0.044199638068676,0.135234609246254,0.290322832763195,0.588480561971664,0.799221858382225,0.929296493530273,0.973190441727638,28.1876919574908,3.86842152908689,21.2708618721461,23.1312785388128,25.397203196347,28.1312214611872,31.1152682648402,33.4364726027397,34.4035102739726,103,23.2270740135588,4.95254274324155,17.6400005340576,18.6920993804932,20.2416000366211,22.4058990478516,24.8282499313355,27.9401805877686,32.5922254562378
"[-53,-52)",358,312.123211184028,134.16587971269,169.836560058594,192,226.110801696777,282,364.843597412109,447.973590087891,549.95,0.549878683298899,0.287367720401014,0.0780502166599036,0.157123881578445,0.299597688019276,0.561645239591599,0.812746360898018,0.916454684734344,0.964682289958,28.1298028111528,3.66986078608266,22.1942180365297,23.0572146118721,25.0519121004566,28.1805936073059,30.8427796803653,33.1783789954338,33.7816723744292,101,22.5999860499165,3.79559944718979,17.7154006958008,18.5900993347168,19.6434497833252,22.0604000091553,24.464599609375,28.1721992492676,30.2733993530273
"[-52,-51)",307,314.23495234884,146.96131242189,166.572004699707,187.6,224.5,279,360.212005615234,463.4,580.5,0.544403434791739,0.290335117045448,0.0707744680345059,0.140464907884598,0.29559488594532,0.554981887340546,0.800749123096466,0.926544296741486,0.97099661231041,28.4333456040932,3.89053144023357,21.7146917808219,23.0146803652968,25.7325913242009,28.5542237442922,31.461301369863,33.537899543379,34.4382077625571,87,23.1983193512099,4.52182512263982,18.2259902954102,18.4525001525879,20.0017247200012,22.1082000732422,25.4191999435425,30.6063003540039,32.7987002372742
"[-51,-50)",293,301.40973712804,124.038891678338,159.6,181.2,220,271,349,450,546.2,0.523665408593517,0.291273541354322,0.0516204364597797,0.115954285860062,0.275949120521545,0.518471658229828,0.782172679901123,0.920850896835327,0.959166026115417,28.6081089189147,3.70342650526051,22.141301369863,23.6578538812785,25.9377853881279,28.7624429223744,31.2939497716895,33.5039497716895,34.2648401826484,80,22.7012598872185,4.85925106339415,17.1018095970154,17.5482192993164,19.5818123817444,21.5112743377686,24.6133868694305,29.7841495513916,33.3406303405762
