week,bmi,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-58)","[15,18.5)",22,54.9090909090909,13.4160851961868,42,42.1,44,51,65,74.3,75,0.320781259755181,0.201624815394992,0.114517942816019,0.125654992461205,0.145916733890772,0.255023650825024,0.483878888189793,0.582730275392532,0.629279983043671,28.004503943545,3.18914370307282,22.6556849315069,23.1338926940639,25.9763127853881,28.0981735159817,30.5447773972603,32.2904794520548,32.4277568493151,22,17.5898854804761,0.91707335868583,15.9948952198029,16.1624906539917,17.1655497550964,17.9146499633789,18.3094997406006,18.4060497283936,18.4870536168416
"[-60,-58)","[18.5,25)",105,72.0285714285714,41.7111074357477,38,41.8,51,64,80,101,119,0.464150365814567,0.264888036985549,0.069060280919075,0.117595130205154,0.256106346845627,0.440260589122772,0.670428991317749,0.819207167625427,0.892213821411133,28.4335018482279,3.84523742346634,21.4535616438356,22.8741324200913,25.9243150684932,29.0447488584475,31.0203196347032,33.5587671232877,34.1264611872146,105,21.7993545150757,1.77156958617887,18.9093605041504,19.3071201324463,20.3867502212524,21.7865009307861,23.3066997528076,24.0843994140625,24.3590674591064
"[-60,-58)","[25,30]",29,67.3448275862069,21.2809033476176,41.2,43.8,53,64,86,89.6,104.6,0.46065530412156,0.252668886497878,0.116675963997841,0.151374650001526,0.26696252822876,0.447619825601578,0.722321629524231,0.76173449754715,0.846200442314148,27.9990001574555,3.08812248723657,22.788904109589,24.1308904109589,25.9955479452055,28.0310502283105,30.2995433789954,31.5285159817352,31.7521917808219,29,27.0447691829725,1.34160542366239,25.3914402008057,25.5005603790283,25.7201504707336,26.8136005401611,28.055700302124,28.8833206176758,29.0087099075317
"[-58,-56)","[15,18.5)",10,58.3,16.3574651662984,38.65,46.3,51.25,54.5,63.75,77.5,84.25,0.354955787025392,0.208806968480688,0.0924625896848738,0.160799821279943,0.23945976421237,0.318135589361191,0.460853360593319,0.602402263879776,0.672487822175026,29.3687100456621,3.48214235937159,24.1367294520548,24.2340753424658,27.6672089041096,29.8557077625571,31.9564783105023,33.1949771689498,33.7348744292237,10,17.9663498878479,0.499722301501418,17.1707897186279,17.4453792572022,17.7441506385803,18.0544500350952,18.36549949646,18.4369603157043,18.4520798206329
"[-58,-56)","[18.5,25)",117,74.1965811965812,51.1008535113684,36.8,40.6,53,63,80,112.4,137.4,0.464949405453622,0.274410134554028,0.0688271418213844,0.0944658234715462,0.281863301992416,0.440260589122772,0.663803458213806,0.860940515995026,0.925162220001221,28.3578269523475,4.18921991381932,20.8809360730594,21.7083105022831,25.4448630136986,28.8173515981735,31.6503424657534,33.7513698630137,34.3987442922374,117,21.3914725871507,1.74443330099076,18.9900802612305,19.3339698791504,20.077299118042,20.9041996002197,22.5827007293701,24.188920211792,24.511979675293
"[-58,-56)","[25,30]",32,83.15625,34.1572354541606,51.2,54.1,60,74,98.25,123.2,148.55,0.575400207191706,0.247098356791504,0.225536482781172,0.293679895997047,0.380043052136898,0.576171010732651,0.795023307204247,0.898872917890549,0.932796692848206,30.4695776255708,3.12734353355075,25.3275627853881,26.452796803653,27.4168664383562,31.0667808219178,33.2626426940639,34.0654794520548,34.5460673515982,32,26.7922171552976,1.47051689947912,25.0326147079468,25.1573696136475,25.6558504104614,26.3018999099731,28.2559871673584,29.0681698799133,29.3409094810486
"[-56,-54)","[15,18.5)",16,77.3125,56.5528882256836,36,41,48.5,59,80.75,117.5,175.75,0.448969630757347,0.30292836340279,0.0725802229717374,0.110532250255346,0.208541315048933,0.396952688694,0.700501769781113,0.844800889492035,0.94737745821476,27.9985873287671,3.85692075517163,22.4214611872146,22.9748858447489,25.3262842465753,28.6577625570776,30.2352168949772,32.7894406392694,33.0699771689498,16,17.8635063171387,0.639836919323784,16.8452997207642,17.198450088501,17.4830870628357,18.043399810791,18.3801245689392,18.4265003204346,18.4332127571106
"[-56,-54)","[18.5,25)",114,64.3947368421053,28.739174467009,32,36.6,46,58.5,75,97,113.6,0.403838620286255,0.281083795456105,0.0284549728035927,0.0553554676473141,0.165652580559254,0.35685458779335,0.616303831338882,0.813117080926895,0.869162622094154,27.9416706721141,3.78419574667973,21.0189326484018,21.6855821917808,25.5420091324201,28.2858447488584,30.7293378995434,32.4907762557078,33.9371175799087,114,21.9000326346236,1.68073651479192,19.1180196762085,19.7218704223633,20.6937999725342,21.852499961853,23.2284994125366,24.2684054374695,24.5441795349121
"[-56,-54)","[25,30]",39,248.589743589744,962.196246476852,40,45.4,54,70,111.5,155.2,319.5,0.569392077338237,0.306008667351377,0.0926623024046421,0.148562377691269,0.314928591251373,0.58482813835144,0.865594774484634,0.937883424758911,0.987612289190292,27.66684229013,3.69823203823647,22.1606506849315,22.3166894977169,25.4982876712329,27.8694063926941,30.572602739726,32.4617579908676,33.0247831050228,39,27.1232211593889,1.5269303338534,25.0685804367065,25.1778400421143,25.6585998535156,27.3437995910645,28.1815497080485,29.0908805847168,29.6316703478495
"[-54,-52)","[15,18.5)",16,78.0625,54.4762562957478,46.75,47,49.75,63.5,74,111.5,170.75,0.4667001478374,0.263192424515089,0.174751810729504,0.190292693674564,0.21799386665225,0.465953812003136,0.596887022256851,0.825596272945404,0.936650976538658,28.1830693493151,3.92869830728824,21.9176940639269,22.3712899543379,25.9617865296804,28.6270547945206,30.7051940639269,32.6722602739726,33.6517694063927,16,17.403567592303,0.804401910271189,15.9065001010895,16.1210503578186,17.0801751613617,17.5441246032715,17.9568247795105,18.2175998687744,18.3751745223999
