week,bmi,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-58)",N/A,9,482.279642740885,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.522354282438755,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.3682648401826,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-60,-58)",N/A,7,455.891610281808,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.498963315039873,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.6036529680365,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-58,-56)",N/A,3,334.333333333333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.324936475604773,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.8803652968037,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-58,-56)",N/A,10,443.415509033203,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4920409925282,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.8392123287671,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-58,-56)",N/A,4,361.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.313371472992003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.4832191780822,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-56,-54)",N/A,2,479.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.533980339765549,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.7900684931507,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-56,-54)","[18.5,25)",11,431.89717240767,174.236091451374,208.5,242.0,267.034454345703,456.0,557.049995422363,643.0,651.349998474121,0.408632492477244,0.271989471078174,0.0680375620722771,0.092771552503109,0.166258435696363,0.441758990287781,0.638501852750778,0.73823781311512,0.753364242613316,26.8648713158987,4.0652872467107,21.5913242009132,22.1762557077626,24.2437214611872,26.4147260273973,29.2764840182648,31.102397260274,32.7845890410959,11.0,22.091927094893,1.68910946299742,19.5700998306274,19.7777004241943,21.0731000900269,22.1893005371094,23.0493497848511,24.0345993041992,24.3446998596191
"[-56,-54)",N/A,4,289.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.166417169384658,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.4696917808219,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-54,-52)",N/A,8,441.653869628906,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.51612838730216,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.0465182648402,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-54,-52)",N/A,2,394.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.41905415058136,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.3529680365297,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-52,-50)","[18.5,25)",11,451.190579501065,166.87005701332,243.5,318.0,343.5,407.0,599.5,649.0,679.948181152344,0.511679916557941,0.271631159349707,0.140339592471719,0.245503306388855,0.31854747235775,0.504464268684387,0.730338543653488,0.870731711387634,0.871910721063614,28.5335097550851,4.55744698215474,22.302397260274,23.461301369863,24.5351598173516,29.0584474885845,33.0146689497717,33.1268264840183,33.333904109589,11.0,21.7085361480713,1.52928626357915,19.5644493103027,20.0287990570068,20.5769500732422,22.2290992736816,23.0392999649048,23.2549991607666,23.3953495025635
"[-52,-50)",N/A,6,387.074689229329,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.362264929028849,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.6656392694064,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-50,-48)",N/A,10,481.572381591797,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.518970492482185,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.1574200913242,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-50,-48)",N/A,7,297.842341286796,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.246120987060879,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.527397260274,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-48,-46)",N/A,2,394.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.40522925555706,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.659703196347,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-48,-46)",N/A,10,466.005590820313,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.523616386950016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.9324771689498,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
