week,bmi,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-58)","[15,18.5)",121,53.2033057725134,10.5776725638269,35.2999992370606,38.0999984741211,46.9000015258789,54.2000007629395,59.4000015258789,64.4000015258789,68.5,0.44326332990996,0.291485204371992,0.0224633123725653,0.0436457730829716,0.182950362563133,0.45584362745285,0.682225346565247,0.83691531419754,0.918295323848724,26.955144533756,4.00811814256064,20.7324200913242,21.311301369863,23.5038812785388,26.9240867579909,29.7599315068493,32.4802511415525,33.4530821917808,121,17.5673780068222,0.798423065954378,16.023099899292,16.4062995910645,16.9747009277344,17.7572994232178,18.2530994415283,18.36549949646,18.423999786377
"[-60,-58)","[18.5,25)",887,56.5501691609655,10.5482475027491,40.1299991607666,43.5999984741211,49.5,56.0999984741211,62.7999992370606,68.9400009155274,76.4700004577637,0.51824373038661,0.293324341790297,0.0554658085107803,0.112689858675003,0.259590074419975,0.523194313049316,0.780001729726791,0.919399964809418,0.973275476694107,27.4254724508759,4.15378979468178,20.6044748858448,21.2954109589041,23.7590182648402,27.6720319634703,30.8549086757991,32.9993835616438,33.7965296803653,887,21.6661608984487,1.81603230788975,18.8393407821655,19.2276992797852,20.1575999259949,21.5139007568359,23.2435998916626,24.2205997467041,24.5612808227539
"[-60,-58)","[25,30]",297,58.1962962808834,10.3889406176984,42.9599998474121,46.1599998474121,51.7999992370606,57.5,63.7000007629395,70.5799987792969,77.6000030517578,0.555183934263402,0.282089015881916,0.097569152712822,0.158629098534584,0.329040676355362,0.574178040027618,0.797871947288513,0.935531544685364,0.976720833778381,27.916025936688,4.05636547698055,20.8990867579909,21.9003881278539,24.9462328767123,28.3296803652968,31.1880136986301,33.0501141552511,33.8236757990868,297,27.1799264759595,1.45317873316746,25.1558990478516,25.3368095397949,25.8064994812012,27.0168504714966,28.3987007141113,29.2720932006836,29.5457000732422
"[-58,-56)","[15,18.5)",135,55.8088889934399,11.226810191372,37.5699989318848,41.2800003051758,48.5500011444092,56.5,62.25,69.3199996948242,73.9600006103516,0.503342625995477,0.311267638656738,0.0389555960893631,0.0699454948306084,0.221654057502747,0.530970335006714,0.761022984981537,0.919357669353485,0.961400699615479,27.4410992727888,4.1137623600733,20.7640753424658,21.6010273972603,24.4618150684932,27.1522831050228,30.6726598173516,32.9661872146119,33.7718835616438,135,17.4906802633074,0.815140465056486,15.6840100288391,16.3015205383301,17.0322562456131,17.6693000793457,18.1448993682861,18.36549949646,18.4242203712463
"[-58,-56)","[18.5,25)",922,56.4833513661217,10.4626654594568,39.405001449585,43.7999992370605,49.9250011444092,56.7000007629395,63.0749988555908,68.9900001525879,73.3750015258789,0.525832029036455,0.295256736435097,0.0500976614654064,0.105889097601175,0.266110993921757,0.541181564331055,0.790329694747925,0.920866644382477,0.958656057715416,27.3701553353342,4.06547360850906,20.9058675799087,21.3999657534247,23.9819349315069,27.6051940639269,30.551198630137,32.8796347031964,34.0180079908676,922,21.6740843835294,1.75283946307446,19.0039005279541,19.3144846916199,20.2395000457764,21.5139007568359,23.0963886260986,24.2187995910645,24.5082472324371
"[-58,-56)","[25,30]",304,57.8865131641689,9.78647525350489,43.2000007629395,46.5299995422363,52,57.7000007629395,63.4250011444092,69.4000015258789,75.184997177124,0.5536523549986,0.275762721000901,0.0999933671206236,0.162906822562218,0.332724444568157,0.566562652587891,0.782539173960686,0.918307495117188,0.968873971700668,28.2333126802451,4.1297143715678,20.8086929223744,22.294098173516,24.92899543379,28.6899543378995,31.5174657534247,33.5112442922374,34.0993150684932,304,27.0756445983702,1.43076930141857,25.1492897033691,25.2599203586578,25.8478746414185,26.8136005401611,28.1968994140625,29.2804597854614,29.5492700576782
"[-56,-54)","[15,18.5)",132,56.6545454083067,11.8994023452326,39.6100004196167,43.430001449585,48.3999996185303,55.25,62.5749998092651,70.579997253418,79.7799976348877,0.509633738900337,0.301975120112287,0.0556153809651732,0.114383253455162,0.229214578866959,0.518634676933289,0.784061193466187,0.929305070638657,0.98329504430294,26.9069617406946,4.0146070179637,20.7974029680365,21.7096232876712,23.3226312785388,26.6612442922374,29.6974885844749,32.7389840182648,33.2450970319635,132,17.5919548610479,0.753340578139119,16.2082704544067,16.6089992523193,17.2248001098633,17.6898002624512,18.2182998657227,18.4192798614502,18.433699798584
"[-56,-54)","[18.5,25)",954,56.2793500928259,10.9626612020062,39.4650005340576,43,49.2000007629395,55.5999984741211,62.7000007629395,70.1999969482422,74.8000030517578,0.509606706874752,0.303106543639058,0.0468257179483771,0.0955087289214134,0.246968906372786,0.504263341426849,0.778803825378418,0.932876795530319,0.966252860426903,27.5203716866259,4.09049840347587,20.80649543379,21.3370433789954,24.2477739726027,27.8106164383562,30.6854452054795,32.8874543378995,34.0224942922374,954,21.652922540671,1.74202690882948,19.002220249176,19.3185647010803,20.2926499843597,21.5018997192383,23.0517997741699,24.1180597305298,24.6096992492676
"[-56,-54)","[25,30]",335,58.0474627195899,10.8292097798257,39.8799999237061,46.1399993896484,51.25,58,64.8000030517578,69.5999984741211,76.1999969482422,0.567057543544015,0.293217439905464,0.0508537162095308,0.148956325650215,0.316959112882614,0.605478823184967,0.845356911420822,0.929885447025299,0.97337366938591,27.8386004906972,4.18547246235787,20.9574885844749,21.5813698630137,24.5340753424658,27.9076484018265,31.1967465753425,33.562100456621,34.3809132420091,335,27.0899564682401,1.41081952299882,25.1763748168945,25.3533000946045,25.7938995361328,27.0415992736816,28.1766996383667,29.0509335835775,29.4698628425598
"[-54,-52)","[15,18.5)",140,54.9028572491237,10.5014418024264,39.564998626709,42.1700008392334,47.7749996185303,55.6000003814697,61.7999992370606,67.3100028991699,69.8800029754638,0.487374557127311,0.297733331946029,0.050618514418602,0.0986792542040348,0.222254514694214,0.497049480676651,0.750124543905258,0.888974970579147,0.934364765882492,26.77757012394,4.22098242461535,20.7781335616438,21.1959931506849,22.8920662100457,26.8713470319635,30.4345605022831,32.125502283105,33.858852739726,140,17.4951272092547,0.834584170740789,15.7761802196503,16.4062995910645,17.1358242034912,17.650975227356,18.2232873439789,18.4040648460388,18.4332852363586
