week,bmi,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-58)","[15,18.5)",52,99.7307692307692,24.3246952580435,67.3,70.1,82.75,94.5,120.25,138.5,139.9,0.368017044545223,0.277580844899196,0.029015491809696,0.0512633293867111,0.12095202319324,0.3026023209095,0.608466953039169,0.783607971668243,0.817273205518723,27.3628929574991,3.9898346080233,20.8396575342466,22.196803652968,23.9920947488585,27.6351598173516,30.1440639269406,32.5028310502283,33.8916095890411,52.0,17.3925034388518,0.882796978872133,15.8482926845551,16.1444706916809,16.7869997024536,17.5524501800537,18.3198370933533,18.36549949646,18.3875246047974
"[-60,-58)","[18.5,25)",409,109.078239608802,29.4055273720891,70.0,76.8,88.0,104.0,125.0,147.0,170.2,0.448166910195746,0.286019972397469,0.0481477998197079,0.084415365755558,0.194409132003784,0.415290236473084,0.687678635120392,0.872259247303009,0.953322494029999,27.7338320996751,4.06013732875848,20.6858904109589,21.697899543379,24.6172374429224,27.8420091324201,31.0203196347032,33.1692237442922,34.1193378995434,409.0,21.78694208783,1.82553181671387,18.9071399688721,19.308279800415,20.2812004089355,21.7192993164063,23.3355007171631,24.3864994049072,24.6096992492676
"[-60,-58)","[25,30]",156,124.788461538462,30.7646654491563,83.75,91.0,106.0,119.5,141.5,164.5,189.0,0.608906875748056,0.260485757152913,0.126812197268009,0.249411135911942,0.445846058428288,0.633809715509415,0.836608439683914,0.940251499414444,0.980465248227119,28.0874912188268,3.82704009366059,21.5639269406393,22.4969178082192,25.4962328767123,28.2640410958904,31.1079337899543,33.1706621004566,33.836444063927,156.0,27.1673308539594,1.3793943823714,25.2362995147705,25.401912689209,25.9695253372192,26.9669251441956,28.3738493919373,29.0431003570557,29.3687000274658
"[-58,-56)","[15,18.5)",55,104.927272727273,30.9951337551287,69.7,74.6,88.0,99.0,119.0,132.0,159.5,0.388627431897277,0.278684983336821,0.0508308794349432,0.0808280751109123,0.177630767226219,0.309999763965607,0.630649626255035,0.788897180557251,0.926168966293335,27.8293233706932,4.30861124434535,20.8565410958904,22.0305479452055,24.4872716894977,27.3078767123288,32.0338470319635,33.650296803653,34.3193264840183,55.0,17.5308451051423,0.848603951792504,15.7769197463989,16.1778003692627,17.0548496246338,17.8980503082275,18.2299752235413,18.36549949646,18.4499092102051
"[-58,-56)","[18.5,25)",409,110.158924205379,27.685146346942,69.4,77.8,93.0,107.0,125.0,147.2,156.6,0.469671521180145,0.277944496127278,0.0407916143536568,0.095352378487587,0.248177453875542,0.436611741781235,0.686873018741608,0.869051158428192,0.927773463726044,27.6121721874267,4.10009020926936,20.9504566210046,21.6212100456621,24.5707762557078,27.4474885844749,30.9735159817352,33.4058675799087,34.2103424657534,409.0,21.586482214131,1.7095473241646,18.8188991546631,19.3119998931885,20.1951007843018,21.5018997192383,22.9480991363525,24.0891597747803,24.4140804290771
"[-58,-56)","[25,30]",146,122.082191780822,29.3239943765758,80.25,87.0,101.0,120.0,143.0,159.0,175.0,0.580499191376961,0.278886984564908,0.117485947906971,0.17805077880621,0.362868562340736,0.599842578172684,0.842720523476601,0.92979684472084,0.965546756982803,28.3525200162632,3.76531773309385,21.987899543379,23.2299086757991,25.4721746575343,28.6873287671233,31.351598173516,33.3256278538813,34.0147260273973,146.0,27.1845755155928,1.47882929698591,25.1570992469788,25.3673000335693,25.7755246162415,26.9253997802734,28.5534744262695,29.2968997955322,29.5280117988586
"[-56,-54)","[15,18.5)",53,107.047169811321,26.7226251285137,70.0,75.8,89.0,103.0,124.0,139.2,154.2,0.432964231572905,0.274490367896374,0.0511992424726486,0.101576808094978,0.194409132003784,0.357071608304977,0.6363245844841,0.838681137561798,0.910143423080444,27.2254178512966,4.54884586596059,20.8294748858447,21.3247716894977,23.6173515981735,26.6971461187215,31.3350456621005,33.7098630136986,34.2737899543379,53.0,17.7297136019447,0.729417766253181,16.4084602355957,17.0722599029541,17.4818000793457,17.8915004730225,18.2898998260498,18.4265003204346,18.4423198699951
"[-56,-54)","[18.5,25)",426,110.923708920188,30.8564330422992,68.0,74.5,90.0,106.0,127.0,149.0,171.75,0.4668518893003,0.292236541674662,0.0376707212999463,0.0699087120592594,0.212706532329321,0.436611741781235,0.724746614694595,0.884790778160095,0.95518159866333,27.7792615280725,4.01913253069094,20.8174372146119,21.9380136986301,24.7578767123288,28.0104452054795,30.8323915525114,33.1255707762557,33.9755422374429,426.0,21.6287425785116,1.74161390407297,18.9549248218536,19.225549697876,20.1740756034851,21.4843997955322,23.0783996582031,24.0345993041992,24.4507868289948
"[-56,-54)","[25,30]",124,114.911290322581,27.2945427991424,73.3,80.0,96.0,111.0,132.25,153.1,163.85,0.51510657083183,0.281585269165313,0.0717959728091955,0.108329132199287,0.288578934967518,0.493619740009308,0.766787454485893,0.891253137588501,0.943879571557045,28.275738326705,4.03564464794955,21.2416723744292,21.9059589041096,25.3899828767123,28.8243150684932,31.5194920091324,33.2872260273973,34.4944121004566,124.0,27.1676329535823,1.403225338239,25.2104298591614,25.3150300979614,25.9410743713379,27.0938501358032,28.3829498291016,29.0480596542358,29.6146301269531
"[-54,-52)","[15,18.5)",71,105.028169014085,23.6486011854437,71.0,78.0,91.0,101.0,119.5,133.0,154.5,0.42196072278623,0.259460582475498,0.0459926594048739,0.114904657006264,0.234854735434055,0.34281986951828,0.640259206295013,0.77479350566864,0.911488384008408,26.704189980063,4.17305893012093,20.7474885844749,21.3214611872146,22.8352739726027,26.9001141552511,30.3296803652968,31.8721461187215,33.1477168949772,71.0,17.4357474067401,0.867080165352585,15.4496998786926,16.2982006072998,17.066516717275,17.6898002624512,18.1153001785278,18.36549949646,18.4153499603272
