week,bmi,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-58)","[15,18.5)",14,11.5714285714286,8.22486180117038,2.65,3.3,4.75,9.0,16.25,24.7,25.0,0.377697705956442,0.263794731052013,0.0618748852983117,0.0750365003943443,0.140528092160821,0.323055312037468,0.579061090946198,0.759227573871613,0.77244608104229,27.8886415525114,4.10089321342273,22.817899543379,23.3108105022831,24.5994863013699,27.3504566210046,31.0044520547945,33.1978652968037,33.8311872146119,14.0,17.6790130478995,0.566171549586877,16.6487100124359,16.8649348258972,17.5864374637604,17.740749835968,18.1163835525513,18.2182998657227,18.2422750473022
"[-60,-58)","[18.5,25)",58,17.6206896551724,15.7121336353686,2.85,4.7,6.25,11.0,25.75,38.6,43.75,0.480586432434362,0.297107167530718,0.078089164942503,0.128446309268475,0.198676306754351,0.415336817502975,0.73909866809845,0.897446358203888,0.931689658761024,28.0217170524327,4.01581721397575,20.4151769406393,22.089200913242,26.003053652968,27.5049086757991,31.0591038812785,33.300399543379,33.7382876712329,58.0,21.1809352184164,1.76851129058637,18.8188991546631,19.0422304153442,19.8303501605988,20.7320747375488,22.6102252006531,23.8421998977661,24.3115198135376
"[-60,-58)","[25,30]",19,22.1052631578947,12.5825926353395,7.7,9.6,15.5,19.0,27.5,43.0,43.9,0.632291930286508,0.218471187342456,0.255103862285614,0.363618671894074,0.556358933448792,0.640341639518738,0.770089328289032,0.933154356479645,0.942553240060806,27.8061523672194,4.01122453573803,21.9344748858448,22.0383333333333,24.7970319634703,27.1133561643836,30.7022260273973,33.0721461187215,33.3951598173516,19.0,26.9384921224494,1.46612308526124,25.3088395118713,25.3803100585938,25.6622495651245,26.7698001861572,27.8307495117188,28.9507205963135,29.915265083313
"[-58,-56)","[15,18.5)",11,11.6363636363636,9.65683930976101,5.5,6.0,7.0,8.0,13.0,15.0,27.0,0.366955189542337,0.218657632581856,0.183079674839973,0.196636393666267,0.220084898173809,0.281825393438339,0.470169126987457,0.570952832698822,0.73100620508194,28.552895392279,3.22140608853945,22.9598744292237,24.0393835616438,28.2106735159817,28.5268264840183,30.3077054794521,32.475,32.55850456621,11.0,17.8363816521385,0.536453769976602,16.9995498657227,17.1028995513916,17.4068999290466,18.0426998138428,18.2540998458862,18.3390998840332,18.3579502105713
"[-58,-56)","[18.5,25)",68,15.6617647058824,10.1166484540983,2.35,5.0,8.0,13.5,21.0,31.2,35.3,0.490095224231482,0.24954954534181,0.0753685597330332,0.150555598735809,0.294547259807587,0.495003908872604,0.684616908431053,0.814535999298096,0.881653314828873,27.5979116304056,4.07670728413127,21.5999543378995,21.8789155251142,24.0358732876712,27.6134132420091,30.7581906392694,33.3285045662101,33.9693664383562,68.0,21.4887743276708,1.65808933129217,19.038579750061,19.4734001159668,20.3055748939514,21.1404004096985,22.9186058044434,24.18267993927,24.3494771957398
"[-58,-56)","[25,30]",17,18.4705882352941,15.6449578421405,5.0,6.8,9.0,11.0,23.0,34.8,42.2,0.515083205173997,0.252705612317456,0.171746015548706,0.252666282653809,0.306989639997482,0.404347568750381,0.695998966693878,0.857993531227112,0.901389074325562,28.977900886382,3.54175572206417,23.3785616438356,23.5906164383562,26.4119863013699,29.751598173516,31.3823059360731,32.390502283105,33.5998173515982,17.0,26.335308897729,1.35433185390476,25.0,25.0129596710205,25.3569498062134,25.809700012207,26.7532005310059,28.4714599609375,28.9339004516602
"[-56,-54)","[15,18.5)",12,17.6666666666667,12.8935031796027,2.0,2.3,8.0,16.0,26.25,33.0,36.6,0.531079270256062,0.313021095974889,0.0639480324462056,0.0814599007368088,0.297624543309212,0.585683733224869,0.787843361496925,0.879542016983032,0.905070409178734,25.2647831050228,3.70884425561602,21.864897260274,22.1736643835616,22.9877568493151,23.8585616438356,26.6267408675799,29.1968264840183,31.746803652968,12.0,17.5000623464584,0.946872604140123,15.6090700387955,15.7727899551392,17.3445501327515,17.908299446106,18.0369243621826,18.0697002410889,18.2423426628113
"[-56,-54)","[18.5,25)",60,17.6166666666667,13.379837685756,4.0,5.0,8.0,13.5,23.25,35.1,38.5,0.507169638822476,0.265929329743587,0.0967638600617647,0.172895087301731,0.283123031258583,0.491222590208054,0.730421841144562,0.881815898418427,0.92021741271019,28.3503691019787,3.98399500780155,20.9819520547945,22.2641438356164,25.2660388127854,29.2953196347032,31.2533390410959,33.1284703196347,33.8268321917808,60.0,21.6734580971978,1.603431634501,19.041952586174,19.8083194732666,20.4067749977112,21.7513008117676,22.9853992462158,23.7394201278687,24.0977378845215
"[-56,-54)","[25,30]",20,25.15,14.3610401323933,8.8,9.9,12.0,23.5,37.25,46.1,47.05,0.668229085952044,0.247377370588608,0.290942824631929,0.36255299448967,0.475160323083401,0.739916145801544,0.909990906715393,0.932863575220108,0.939097464084625,28.0448287671233,4.67379010260805,21.3455422374429,22.1552054794521,23.8497716894977,28.0805936073059,32.6666952054795,34.2466894977169,34.3246917808219,20.0,27.1856675624847,1.63382909988836,25.276265335083,25.5049001693726,25.7638998031616,27.0271501541138,28.3140997886658,29.748934841156,29.8007730960846
"[-54,-52)","[15,18.5)",11,14.4545454545455,17.0256490998942,2.0,2.0,3.5,8.0,16.0,32.0,45.0,0.389312172477896,0.321522934739236,0.0701860673725605,0.0723486989736557,0.120958749204874,0.257224261760712,0.588498264551163,0.818549454212189,0.895669937133789,26.4650269821503,4.86892829065805,20.8722602739726,21.0858447488585,21.7885844748858,26.7434931506849,29.5257420091324,32.5655251141553,33.7051369863014,11.0,17.4410998604514,0.679414955873403,16.3674001693726,16.4365997314453,17.0508995056152,17.5533494949341,17.8870000839233,18.1251993179321,18.2758498191834
