week,bmi,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-58)","[15,18.5)",120,21.5258333524068,6.06565612926264,13,14,17,21,25,29.55,33.1,0.427258387130375,0.291175372223796,0.0308057202026248,0.0432508081197739,0.173154652118683,0.404889509081841,0.669374212622643,0.835811400413513,0.943615165352821,26.9749438736682,3.94288555668496,20.7905821917808,21.9675799086758,23.8224029680365,26.8570776255708,29.6612157534247,32.4414611872146,33.5421803652968,120,17.518439072503,0.775447325420378,16.023099899292,16.4015996932983,16.8474998474121,17.6898002624512,18.206600189209,18.36549949646,18.4108580907186
"[-60,-58)","[18.5,25)",841,23.1108204482143,6.52704264140589,14,16,19,22,27,31,34.2000007629395,0.490281558815174,0.285690223476006,0.0534699857234955,0.0938444435596466,0.245511963963509,0.484284400939941,0.732338488101959,0.888565361499786,0.944956958293915,27.7493551110604,4.02490054719459,20.8091324200913,21.9818493150685,24.6365296803653,27.8802511415525,31.0009132420091,33.0602739726027,34.1432648401826,841,21.8316470669194,1.84290351286116,18.9020004272461,19.3129997253418,20.2812004089355,21.7970008850098,23.4221000671387,24.3864994049072,24.7367000579834
"[-60,-58)","[25,30]",325,23.3468000089205,6.34539023873435,14,16,19,23,27.1000003814697,31.8800003051758,33.6399993896485,0.502504200427256,0.291814878710163,0.0469102598726749,0.094272980093956,0.256990134716034,0.521752655506134,0.752187311649323,0.899367952346802,0.929172658920288,28.0798721461187,3.99877566760335,21.0420776255708,22.1480821917808,25.1052511415525,28.5214611872146,31.3188356164384,33.1926940639269,33.8416210045662,325,27.0713781690353,1.42733561587849,25.1558990478516,25.2713005065918,25.7201504707336,26.8922996520996,28.2093501091003,29.107169342041,29.4153602600098
"[-58,-56)","[15,18.5)",124,22.4403225914125,6.48047988257339,12.4899996757507,14.3,18,22,26,29.7,32,0.462193465780377,0.294126212546688,0.0230922066606581,0.0694122113287449,0.195086650550365,0.463448017835617,0.730355128645897,0.846732449531555,0.916588327288627,27.7084935189277,3.93166421735797,21.0583675799087,21.8833904109589,24.5691780821918,27.5970319634703,30.553053652968,33.0133447488584,34.2349257990868,124,17.500782011914,0.795967312140691,15.8362898826599,16.2918905258179,17.0310997962952,17.6718997955322,18.1448993682861,18.36549949646,18.4347615083059
"[-58,-56)","[18.5,25)",815,23.0732147228498,6.66589024951949,13,16,18,23,27,31,34.2100002288818,0.492804054206272,0.287748319293048,0.0381861437112093,0.094272980093956,0.234095826745033,0.498748153448105,0.740450203418732,0.894589853286743,0.946437656879425,27.4551997366726,4.0897041694485,20.8405365296804,21.4273287671233,24.1131849315069,27.4260273972603,30.7379566210046,33.0501826484018,34.0358904109589,815,21.5651290041684,1.75334696937803,18.8865604400635,19.289400100708,20.077299118042,21.4843997955322,22.9839992523193,24.1415004730225,24.4444007873535
"[-58,-56)","[25,30]",303,22.9481848191113,6.536748869663,14,15,18,22,27,31,34.9,0.47476852287941,0.296487383343001,0.0492511693388224,0.0811126068234444,0.222066879272461,0.451430469751358,0.756713807582855,0.889372754096985,0.948694151639938,28.4469505854695,3.92053570312527,21.3222716894977,22.4849543378995,25.6434360730594,29.1573059360731,31.4091324200913,33.3412100456621,34.021301369863,303,27.0421515323328,1.41270946496706,25.1493295669556,25.2734802246094,25.8131504058838,26.8136005401611,28.194299697876,29.1303658803304,29.4113803863525
"[-56,-54)","[15,18.5)",115,23.3203478439994,6.71636198184668,14.7,16,18.1499996185303,23,27,33,36.2700004577637,0.497247349033537,0.30219753195584,0.0564016565680504,0.0960426524281502,0.242787085473537,0.492240339517593,0.773203194141388,0.936709892749787,0.968819916248322,26.643656938654,4.15983569915398,20.8319520547945,21.3097260273973,22.9863584474886,26.5329908675799,29.4844748858448,32.8493378995434,33.840799086758,115,17.5649610132681,0.812803413037044,15.7508499145508,16.5528999328613,17.2088499069214,17.7085990905762,18.2242250442505,18.423999786377,18.4372262318929
"[-56,-54)","[18.5,25)",883,22.5091732766053,6.55101444141047,12.1999998092651,15,18,22,26,30.7999996185303,34.1529983520508,0.464283124925537,0.294748295100918,0.0258104423061013,0.0675458684563637,0.209712639451027,0.439030379056931,0.731016248464584,0.879207992553711,0.944156163930893,27.8328231899347,4.00467142124476,20.8158105022831,21.6015525114155,24.9383561643836,28.0884703196347,30.9809360730594,32.9967351598174,33.8855707762557,883,21.6534495405868,1.74503055497891,18.9745006561279,19.2941200256348,20.2019996643066,21.5645008087158,23.0517997741699,24.0918800354004,24.5044696807861
"[-56,-54)","[25,30]",329,23.3080547066083,6.28649049937648,14.7799997329712,16,19,22,26,32,36,0.491403396075767,0.282419574148092,0.0596670471131802,0.113584786653519,0.248494148254395,0.465811550617218,0.694232285022736,0.901099228858948,0.964095878601074,28.4041952922236,4.11927306186833,21.2156849315069,22.237899543379,25.4665525114155,28.4638127853881,31.9215753424658,34.081301369863,34.5179223744292,329,27.1722585412248,1.3964839249118,25.2342399597168,25.3906002044678,25.9095001220703,27.1092999776204,28.3736991882324,29.0620994567871,29.4131801605225
"[-54,-52)","[15,18.5)",136,23.9617647283218,6.46686756587416,15.75,16.1000003814697,19,23.1000003814697,27,32.1499996185303,35,0.532190460547367,0.281711251098095,0.0895435605198145,0.129983469843864,0.301092803478241,0.541505813598633,0.752952039241791,0.917813211679459,0.951658114790916,26.7170250805802,4.18343079052785,20.7564212328767,21.2598173515982,23.0039383561644,26.5365867579909,29.9303367579909,32.2353310502283,33.9262271689498,136,17.4818219685087,0.84494189129252,15.7922251224518,16.2168006896973,17.0315999984741,17.6603498458862,18.2538995742798,18.3811502456665,18.4265003204346
