week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-58)",854,18.6913348483816,9.97602959408098,12.0650002479553,13.1000003814697,15.8000001907349,16.5,17.2999992370605,20.5,48.6999999999998,0.461739789030135,0.305789496858796,0.0195407974533737,0.0394601721316576,0.189976543188095,0.479161679744721,0.73224014043808,0.867152613401413,0.91486749947071,27.8549807246051,3.97763756190102,21.2988984018265,22.4583904109589,24.7225742009132,27.8506278538813,31.2104737442922,33.3640296803653,34.0965924657534,131.0,25.5233085882269,6.79564755794542,18.581000328064,19.5312995910645,20.4087495803833,24.0881996154785,28.3618001937866,33.7495002746582,40.2985992431641
"[-58,-56)",862,18.7507926884863,10.4896320561447,12.0,13.0,15.6999998092651,16.3999996185303,17.3999996185303,20.5,50.489999961853,0.454488072806518,0.309307307235419,0.0180397247895598,0.0387641787528992,0.144746977835894,0.458414316177368,0.736047357320786,0.865038120746613,0.929267829656601,27.6912038214199,3.90250638584031,21.094303652968,22.2043721461187,24.7560216894977,27.7739726027397,30.8279965753425,33.0097260273973,33.9040639269406,134.0,24.1301036673399,5.23542282426359,17.6373916943868,18.8256801605225,20.7062501907349,22.5404500961304,26.257800579071,31.2304033915202,35.535470199585
"[-56,-54)",980,19.1092856757495,10.7304311232616,12.0,13.3999996185303,15.6999998092651,16.5,17.3999996185303,21.2999992370606,52.0,0.461540426209341,0.308964010804079,0.0201348101720214,0.0446365736424923,0.151782028377056,0.462800949811935,0.73224014043808,0.872940462827683,0.933125272393226,28.0439288043985,3.95453678659688,21.2781221461187,22.3395662100457,24.8125856164384,28.2741438356164,31.111700913242,33.4428881278539,34.0824657534247,143.0,24.0564285273874,5.14761692123311,17.749810218811,18.9703006744385,20.3860998153687,23.4235992431641,26.8213005065918,30.8998265075684,32.8670402526856
"[-54,-52)",908,18.3204844995742,8.94887711009388,11.8000001907349,13.0,15.8000001907349,16.5,17.3999996185303,20.5300001144409,42.0,0.460968455286914,0.305496639579336,0.0175086093135178,0.0385286130011082,0.189687013626099,0.479161679744721,0.73224014043808,0.866587167978287,0.894083619117737,27.7883181964476,3.95873941197269,21.2435388127854,22.3015182648402,24.7208333333333,27.7314497716895,30.8816780821918,33.193002283105,34.0148230593607,135.0,24.7987903853993,6.02365663089854,17.4536106109619,18.3993003845215,20.4436502456665,23.2801666259766,27.7763996124268,33.2642395019531,36.3025100708008
"[-52,-50)",917,18.5687567514318,10.2076664594506,11.6799999237061,13.1000003814697,15.6999998092651,16.5,17.3999996185303,20.3799995422363,49.0,0.457695632767757,0.309550406029694,0.0150568706914783,0.0394977673888206,0.151080518960953,0.470496892929077,0.738642990589142,0.86076637506485,0.913562643527985,27.8487225068842,3.9169617693327,21.1815753424658,22.0354109589041,24.9219178082192,27.9549086757991,30.9688356164384,33.1509589041096,34.0517808219178,137.0,25.3077945662821,6.72088278033087,18.4218601226807,19.4330005645752,20.8306999206543,22.7189998626709,28.125,35.1754997253418,37.9407287597656
"[-50,-48)",904,18.760951277429,10.2939816888735,12.1000003814697,13.3000001907349,15.5,16.3999996185303,17.324999332428,20.7999992370605,49.5249984741211,0.444923017536644,0.31124886925447,0.020440545398742,0.0426368925720453,0.123504878953099,0.450650438666344,0.73224014043808,0.86414407491684,0.928389713168144,28.018678652968,3.87535225787521,21.3297888127854,22.525399543379,24.909046803653,28.2943493150685,31.1289668949772,33.124303652968,33.9726484018265,126.0,24.4605912259377,5.09808130061286,18.3072748184204,18.8683500289917,20.7621002197266,23.4392995834351,27.071131842477,30.8566999435425,33.7940375804901
"[-48,-46)",936,18.9224892538837,10.1371381954899,11.8999996185303,13.0,15.5,16.5,17.5,21.5,49.0,0.463507989461287,0.315017001062158,0.0179539639502764,0.0393802113831043,0.122076982632279,0.476760476827622,0.760028123855591,0.876344621181488,0.915649652481079,27.7572311741404,3.91705386040899,21.0255136986301,21.9820776255708,24.7944634703196,27.9572488584475,30.716894977169,33.1206621004566,33.8545091324201,142.0,24.0763378792525,5.03031540315865,17.5054850578308,19.1000995635986,20.7730498313904,22.5037002563477,27.2543497085571,31.25,34.1469963709513
"[-46,-44)",936,19.1615384165038,10.5252807524998,12.4749999046326,13.8000001907349,15.8000001907349,16.5,17.7000007629395,20.7999992370605,50.7750005722046,0.471734613597316,0.305965658825552,0.0274777635931969,0.0565224383026362,0.202961903065443,0.469503939151764,0.757745161652565,0.87089142203331,0.926442995667458,27.8248114486984,3.82549193016956,21.3803938356164,22.2285388127854,24.9662956621005,27.9081621004566,30.7922374429224,33.1176369863014,33.9403538812785,138.0,23.9993328153666,4.60223040969281,18.1244297981262,18.8060291290283,20.6861996650696,23.5689249038696,26.0258502960205,31.3523208618164,32.4572597503662
"[-44,-42)",883,18.591732651569,10.0936605345905,11.8000001907349,13.3000001907349,15.5,16.3999996185303,17.3999996185303,20.2999992370605,48.539998626709,0.44615162212042,0.313316987613888,0.0173417134210467,0.0445661395788193,0.114138968288898,0.445423305034637,0.736276775598526,0.862333941459656,0.919025403261184,27.9316004488641,3.84720494527105,21.4016095890411,22.3596803652968,25.1684931506849,28.1820776255708,30.9410388127854,33.0392465753425,34.0918835616438,123.0,24.2340099236506,4.83211802940664,18.0036544799805,19.4772598266602,20.7981338500977,23.3376502990723,26.6972250938416,31.2205200195313,33.2607009887695
"[-42,-40)",840,19.3516665969576,11.3285634883022,12.0,13.0,15.5,16.3999996185303,17.5,22.2999992370605,52.510000038147,0.460338371272831,0.319230563333616,0.0199947603046894,0.0376304253935814,0.120730832219124,0.458414316177368,0.752470806241036,0.87855207324028,0.935225513577461,27.8906773211568,3.91915968609822,21.2025399543379,22.3499429223744,25.1111015981735,27.9481735159817,30.9979452054795,33.1306050228311,34.0819006849315,121.0,24.3804897991422,5.79858575074745,17.5277996063232,18.6709003448486,20.7031002044678,23.0300006866455,26.5643005371094,31.9311008453369,35.4564018249512
