week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-58)",8472,261.327726628895,70.9370484780209,164,182,214,254,299,348,383,0.477171421081472,0.291896127869324,0.0403882252052426,0.0824389606714249,0.216975057497621,0.466249778866768,0.72690087556839,0.890198045969009,0.947454810142517,28.1542922616969,3.83755646199405,21.5836187214612,22.7105136986301,25.2180650684932,28.2743721461187,31.2684360730594,33.3128652968037,34.0932134703196,2262,24.3574485325715,5.60127577486267,17.9981994628906,18.778299331665,20.4381999969482,23.1110992431641,26.8571758270264,31.6017408370972,35.1326847076416
"[-58,-56)",8537,260.445355511304,67.7698809681828,164,182,214,254,299,346,379,0.47627470748615,0.290251863689419,0.0398816242814064,0.0811166197061539,0.220802277326584,0.468773622065783,0.72385448217392,0.886546504497528,0.941939985752106,28.1755683559558,3.85045925442487,21.4657305936073,22.6824200913242,25.2592465753425,28.3631278538813,31.2811643835616,33.2779908675799,34.1077625570776,2190,24.0267087305122,5.41775127131837,17.7211607933044,18.6183708190918,20.3125,22.6756992340088,26.3694493770599,31.248920249939,34.9947204589844
"[-56,-54)",8863,260.936026176238,68.0161773066182,165,184,215,254,298,345,380,0.477920749481766,0.287731501722628,0.0415804013609886,0.0872307270765305,0.225483819842339,0.471017003059387,0.721318244934082,0.885057389736176,0.942586523294449,28.1146359577063,3.87232384590636,21.3962442922374,22.5971917808219,25.1917237442922,28.3103881278539,31.2010273972603,33.3489497716895,34.1328538812785,2299,24.4080325106323,13.5309921527296,17.9930992126465,18.8034135182699,20.4466991424561,22.9480991363525,26.5686254501343,31.2182605743408,34.8521831512451
"[-54,-52)",8978,260.338494096681,66.2859271738647,165,183,215,254,298,344,374.15,0.475885661170297,0.287314863188127,0.042162280716002,0.086887501180172,0.225483819842339,0.466883718967438,0.720994353294373,0.882086038589478,0.936444991827011,28.2343376020124,3.90456061646384,21.5106164383562,22.583904109589,25.3188926940639,28.3954908675799,31.3845319634703,33.4420091324201,34.2397773972603,2388,24.2402054395096,5.45601899699243,17.908899307251,18.7321094512939,20.4499244689941,23.0111999511719,26.6193008422852,31.6214405059815,35.0555992126465
"[-52,-50)",8506,259.269731170154,66.1568561886061,165,183,214,253,296,343,376,0.471499076583401,0.287160010957407,0.0416503772139549,0.0845166482031345,0.21859872341156,0.459909319877625,0.712335467338562,0.880575180053711,0.938997492194176,28.1353903422457,3.8984249305144,21.3686929223744,22.5313356164384,25.1632705479452,28.3423515981735,31.2753424657534,33.3892123287671,34.1509132420091,2247,24.2647042581433,5.3594001488275,17.9851203918457,18.9055805206299,20.5478000640869,22.9568004608154,26.7395836512248,30.8902404785156,35.0451610565185
"[-50,-48)",8682,259.740958304538,65.3501665709237,167,184,215,253,297,343,374,0.473560968622724,0.286202903094941,0.0442483130842447,0.0882096752524376,0.221394315361977,0.460888147354126,0.717361688613892,0.878699719905853,0.936448138952255,28.258116501469,3.88278936299837,21.5517408675799,22.650296803653,25.2741438356164,28.4860159817352,31.3975742009132,33.4229337899543,34.1651655251142,2294,24.1680964771385,5.32680043617278,17.9687995910645,18.7342695236206,20.4408247470856,22.957950592041,26.6256372928619,31.4152797698975,34.1011229515076
"[-48,-46)",8663,259.857785986379,66.2340633061134,166,186,216,254,296,343,377,0.474007944675697,0.284443135771358,0.0434199970215559,0.0924962237477303,0.228121146559715,0.466449052095413,0.711767554283142,0.878699719905853,0.939479333162308,28.1296259824362,3.91441764579731,21.2668150684932,22.4422831050228,25.1394406392694,28.3574200913242,31.2959474885845,33.3377397260274,34.0886757990868,2336,24.077468960646,6.21883171019963,17.9476997852325,18.75,20.3129878044128,22.8624000549316,26.5651497840881,31.1404495239258,34.1626510620117
"[-46,-44)",8548,259.085809546093,66.5265999424753,165,184,215,252,296,343.3,375,0.469591394154262,0.287118853464777,0.041687055490911,0.0877441763877869,0.220258116722107,0.452975779771805,0.713120639324188,0.880688261985779,0.937732094526291,28.1394631417961,3.87689680272699,21.484252283105,22.5940182648402,25.1837043378995,28.3505707762557,31.2642408675799,33.3243835616438,34.0878938356164,2345,24.3854875062412,13.3953198705657,17.9687995910645,18.75,20.4466991424561,22.8927993774414,26.4381008148193,31.6428203582764,34.7435607910156
"[-44,-42)",8498,258.474523417275,65.0038643570418,165,184,214,253,297,342,373,0.469308500841473,0.286034742868174,0.0419042872264981,0.0862994894385338,0.216544460505247,0.459886640310288,0.712483465671539,0.876372933387756,0.934991550445557,28.0879614838195,3.89555528300961,21.3830251141553,22.4718150684932,25.1600742009132,28.2833333333333,31.2076484018265,33.3251369863014,34.1270547945206,2345,23.9803085586005,5.40998381127784,17.7999000549316,18.5841898918152,20.4151992797852,22.8328990936279,26.426399230957,31.2262199401855,33.9623414993286
"[-42,-40)",7954,258.438332914257,65.5569236268748,166,182.3,213,252,295,340,373,0.466760023850918,0.285599223980952,0.0438872985541821,0.0835169643163681,0.212695769965649,0.457577377557755,0.707339346408844,0.872225999832153,0.934764564037323,28.1122268253646,3.88572954378764,21.3927682648402,22.4754680365297,25.1982876712329,28.3188356164384,31.2468321917808,33.2688470319635,34.0779452054795,2286,24.1898451532626,5.37476745612349,17.9525165557861,18.7316493988037,20.5294125080109,22.9472007751465,26.702183564504,31.2481002807617,34.9490766525269
