week,bmi,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)","[15,18.5)",34,72.9411764705882,24.1559844852733,41.45,49.4,60.0,69.0,79.5,98.7,120.1,0.581871327122345,0.245937365544057,0.144129100441933,0.243441370129585,0.43037386983633,0.590783566236496,0.752340599894524,0.888921523094177,0.951379305124283,26.4784213000269,3.87310399002788,21.1315525114155,21.6061757990868,23.0924086757991,27.4045662100457,28.7484589041096,31.6856849315069,32.667448630137,34.0,17.24184477563,0.741474551238151,16.010640001297,16.3974002838135,16.7450008392334,17.2132501602173,17.8169255256653,18.230959892273,18.2501574993134
"[-60,-56)","[18.5,25)",184,66.1521739130435,25.8587735616302,28.0,34.3,49.0,65.0,81.0,99.7,110.0,0.49850253701397,0.299420137925138,0.0233473069965839,0.0571241747587919,0.237088933587074,0.531434714794159,0.753496646881104,0.896232587099075,0.938204476237297,26.6136663688704,3.84190879883536,20.9605251141553,21.3598630136986,23.4205194063927,26.5216324200913,29.0511415525114,32.1898173515982,33.7286929223744,184.0,21.9226072902265,1.95183335297097,18.8369273662567,19.3584949493408,20.0795993804932,21.8724002838135,23.5330009460449,24.6567199707031,24.9108009338379
"[-60,-56)","[25,30]",84,56.0595238095238,17.8037164053688,30.15,34.3,43.0,55.0,66.25,79.7,83.85,0.37552386338246,0.251688793730397,0.0361896829679608,0.0635544050484896,0.150423109531403,0.359312191605568,0.54100213944912,0.749190372228622,0.786167520284653,28.3658227332029,4.12240939163932,21.1210616438356,22.341095890411,25.1736301369863,29.4885844748859,31.240696347032,33.7471575342466,33.8867751141553,84.0,27.0290811213236,1.50085299279479,25.2202345848084,25.2746202468872,25.7500631809235,26.7261753082275,28.0904624462128,29.290470123291,29.7474499702454
"[-56,-52)","[15,18.5)",29,78.0,37.0935111768699,42.8,48.6,57.0,69.0,88.0,103.0,123.2,0.587330079027291,0.27728480430973,0.137973827123642,0.22006638944149,0.390996426343918,0.584973692893982,0.815380871295929,0.906925320625305,0.963318705558777,25.7209337112266,4.30925459594354,20.9081050228311,21.1582648401826,21.3616438356164,24.9052511415525,29.3686073059361,31.4338356164384,32.3701141552511,29.0,17.2762623381341,0.94097416061039,15.5920797983805,15.8016799290975,16.6133003234863,17.5277996063232,18.0662002563477,18.2290203094482,18.3218196868897
"[-56,-52)","[18.5,25)",198,69.6616161616162,28.1161774234649,32.85,38.7,50.25,65.0,84.75,106.3,122.0,0.520842077697373,0.298431599545045,0.0537005240097642,0.100430715084076,0.262927435338497,0.526369035243988,0.798823431134224,0.92686213850975,0.954249215126037,26.8548810017988,4.18264279648217,20.6375799086758,21.0174315068493,23.2408961187215,26.9216894977169,29.8705764840183,32.6291894977169,33.5535388127854,198.0,21.7512719157569,1.84543433826706,18.9464357376099,19.3624496459961,20.1321880817413,21.7746496200562,23.4320998191834,24.2203597068787,24.6719855308533
"[-56,-52)","[25,30]",78,121.012820512821,364.696475598571,27.0,32.0,48.25,64.5,76.0,100.1,115.05,0.484338905916024,0.298580447469282,0.0194277699105442,0.0408031791448593,0.2400210686028,0.530303925275803,0.706211075186729,0.901411038637161,0.948161917924881,28.5881776138625,4.00431462646224,21.8787100456621,22.4386301369863,26.1192636986301,29.2526826484018,31.8894121004566,33.7182876712329,34.1868664383562,78.0,26.9487245286632,1.32342864835495,25.1478996276856,25.3764598846436,25.6560414632162,26.9277000427246,28.0227251052856,28.6581998825073,29.0572035153707
"[-52,-48)","[15,18.5)",27,61.2592592592593,23.5920335194753,29.4,35.6,44.5,58.0,73.0,87.4,100.6,0.434135964795671,0.291379532983796,0.0330258749425411,0.073503765463829,0.166294448077679,0.402135938405991,0.6556656062603,0.820942354202271,0.89689969420433,27.0306823947235,3.68846789507964,21.6042694063927,22.2166438356164,23.7950913242009,27.4442922374429,29.3459474885845,31.0524429223744,32.9827054794521,27.0,17.6968807408839,0.764890578493925,16.3526499430339,16.5911098480225,17.3607492446899,17.9687995910645,18.2853002548218,18.3967990875244,18.4287891387939
"[-52,-48)","[18.5,25)",166,68.9638554216868,25.5202573289641,32.5,42.5,52.0,65.0,81.75,101.0,118.25,0.521688759959505,0.285330667311751,0.0434686625376344,0.138406962156296,0.280210822820663,0.522930711507797,0.76877273619175,0.907332092523575,0.950625449419022,26.854307641525,4.0680883667335,20.9544235159817,21.4478881278539,22.8382420091324,26.652397260274,30.1691210045662,32.7872716894977,33.4690924657534,166.0,21.5964566292054,1.80897696956441,19.0874495506287,19.3480997085571,20.0649242401123,21.4944496154785,22.8611493110657,24.4212999343872,24.6770000457764
"[-52,-48)","[25,30]",75,70.1733333333333,37.6123087002881,39.4,42.0,49.0,66.0,79.0,98.6,100.9,0.50586955272903,0.27705589574163,0.102834761142731,0.13294842839241,0.241404011845589,0.546064794063568,0.73783215880394,0.892194628715515,0.905238211154938,27.5290608828006,4.15751053020547,20.6440410958904,21.4822374429224,24.2228310502283,27.7493150684932,30.9795662100457,32.9262100456621,33.3829337899543,75.0,27.088995010376,1.3546047623024,25.2108798027039,25.4766998291016,26.01917552948,26.9860000610352,28.0981755256653,29.2119348526001,29.6041296005249
"[-48,-44)","[15,18.5)",30,72.1666666666667,28.729515440941,40.9,44.7,52.0,64.0,92.25,108.9,126.9,0.537536348092059,0.308774785772329,0.119591369479895,0.162787050008774,0.283462509512901,0.519682943820953,0.857668831944466,0.928111106157303,0.964238226413727,28.066997716895,4.38524653183492,20.6820947488584,21.1593607305936,24.7785673515982,29.5753424657534,31.6210616438356,32.8408561643836,32.8442751141553,30.0,17.254098033905,1.07232000334637,15.1091302394867,15.3354696273804,16.7608995437622,17.5259008407593,18.1346502304077,18.3653764724731,18.4319994926453
