week,bmi,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",N/A,10,12.0479199647903,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.513121192157269,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.914497716895,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-60,-56)",N/A,4,15.5775003433228,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.581372797489166,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.2063356164384,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-56,-52)","[18.5,25)",12,10.2152998487155,14.0723672344792,2.32999994754791,2.66999990940094,3.44999998807907,4.94120001792908,10.1749999523163,18.5400798511505,34.1211592340469,0.322169419455652,0.317187359675806,0.0228033621329814,0.0398628018796444,0.0788367930799723,0.222873367369175,0.566995337605476,0.732023946940899,0.850836906582117,28.8965943683409,3.17433937135147,24.7470433789954,24.9136187214612,26.1814783105023,29.6557648401827,30.5516552511416,33.3794292237443,33.6453595890411,12.0,21.8207248051961,2.05198255253482,19.0562999725342,19.4420001983643,20.3973498344421,21.9265995025635,23.7415494918823,24.3266401290894,24.3526000976563
"[-56,-52)",N/A,5,15.1920001983643,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.570951853692532,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.6336757990868,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-52,-48)",N/A,2,10.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.460907466709614,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.5107305936073,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-52,-48)",N/A,10,7.65600006580353,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.375981414318085,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.1763127853881,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-52,-48)",N/A,7,11.4911996296474,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.575106033257076,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.1569634703196,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-48,-44)",N/A,3,7.86666663487752,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.393010993798574,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.3570776255708,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-48,-44)",N/A,10,7.492999958992,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.377636466920376,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.3255707762557,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-48,-44)",N/A,7,11.014228616442,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.547437914780208,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.5054794520548,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
