week,bmi,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)","[15,18.5)",99,308.484848484849,77.9941603827065,209.5,232,263,297,343,389,444.5,0.472100452378844,0.293275843902395,0.0462426248937845,0.087769216299057,0.22421944886446,0.456686466932297,0.742965936660767,0.893447291851044,0.95632746219635,27.3235171348185,3.85034860021143,20.8803424657534,21.8409817351598,24.2342465753425,27.6009132420091,29.9119292237443,32.536803652968,33.3335045662101,99,17.4721126325203,0.818103613013637,15.9681801795959,16.2058002471924,16.900749206543,17.7282009124756,18.1448993682861,18.36549949646,18.369779586792
"[-60,-56)","[18.5,25)",635,320.793700787402,89.8600381631348,233.7,249,272,307,348,396.2,428.5,0.521857927044428,0.276698686955309,0.0888780154287815,0.144735199213028,0.275230705738068,0.528933048248291,0.753801167011261,0.902028739452362,0.942333626747131,28.0679128465106,3.97388336722404,20.7880821917808,21.8886529680365,25.4626141552511,28.2446347031964,31.054394977169,33.5146575342466,34.3238127853881,635,21.6046329652481,1.77683371010557,18.8189496994019,19.3111097335815,20.078649520874,21.4876003265381,23.0300006866455,24.2187995910645,24.5607099533081
"[-60,-56)","[25,30]",227,332.372246696035,67.7029820899204,248.6,265.6,289,320,364.5,407.6,446.1,0.585627283146072,0.259243265569857,0.145003832876682,0.220305904746056,0.38478134572506,0.601182162761688,0.81939160823822,0.919791519641876,0.951932621002197,28.762961398427,3.7955352202117,22.1315639269406,23.4821689497717,25.9504566210046,29.2555936073059,31.7625570776256,33.5790639269406,34.0724086757991,227,26.9843081553427,1.41613064516272,25.1804206848145,25.2780403137207,25.7117004394531,26.7532005310059,28.1968994140625,29.03796043396,29.3836099624634
"[-56,-52)","[15,18.5)",97,309.494845360825,58.5293949850807,240,254.8,271,295,336,377,422.6,0.482580436374416,0.271573936372254,0.104612055420876,0.151497358083725,0.253495991230011,0.444620549678803,0.698295712471008,0.859507834911346,0.940062010288239,27.9026526385162,4.35127299991291,21.1938127853881,21.6113470319635,24.1821917808219,28.5599315068493,31.6857305936073,33.2640182648402,34.4644748858448,97,17.3744432344469,0.842629181473508,15.6191600163778,16.088200378418,16.9549999237061,17.4637002944946,18.0426998138428,18.3668994903564,18.4265003204346
"[-56,-52)","[18.5,25)",682,315.328445747801,62.8763783523084,233.05,248.1,273,308.5,345.75,390,424.95,0.515044694692661,0.272124127364197,0.0847905229777098,0.134361512959003,0.281695634126663,0.52880585193634,0.750612035393715,0.885096848011017,0.934718388319016,28.049168106161,3.88392879989819,20.9451141552511,22.031700913242,25.4448630136986,28.4561073059361,31.0932077625571,32.9830936073059,33.7783447488585,682,21.7034014981979,1.76568575937894,18.9454550743103,19.2989595413208,20.2113747596741,21.7528505325317,23.1394491195679,24.1663600921631,24.5568602561951
"[-56,-52)","[25,30]",260,342.517307692308,82.6710388499997,259.9,269.8,288.75,327.5,370.25,435.4,513.15,0.610992100541122,0.263709600332144,0.177084111236036,0.255233061313629,0.378351971507072,0.667043834924698,0.840715646743774,0.942189836502075,0.977322787046432,28.1070183526519,4.09816930009459,21.2678824200913,22.2072146118721,25.0892694063927,27.9740867579909,31.579794520548,33.6947374429224,34.5356335616438,260,27.0709057317636,1.37806582666505,25.1443146705627,25.3288194656372,25.9095001220703,26.9695501327515,28.125,29.0322627385457,29.5832622051239
"[-52,-48)","[15,18.5)",87,318.298850574713,68.6026840180281,224.3,232.2,268,318,351,389.8,451.7,0.533494915427833,0.300853211954122,0.0655529670417309,0.0839808732271195,0.243111856281757,0.623550832271576,0.761737674474716,0.891669178009033,0.956939446926117,27.3754316905474,4.01979975009166,21.1894863013699,21.7976255707763,24.4653538812785,27.1186073059361,30.3243150684932,33.1260730593607,33.8083447488584,87,17.5710945860179,0.737573793910722,16.4118955135345,16.5632299423218,17.0391998291016,17.7085990905762,18.1864004135132,18.36549949646,18.4283403396606
"[-52,-48)","[18.5,25)",667,321.775112443778,90.9466750244221,232.3,248.6,272.5,307,350,396.4,434.4,0.516408000130212,0.280601913443131,0.0815594770014286,0.136663925647736,0.268211632966995,0.514509379863739,0.7668686658144,0.900672256946564,0.945118635892868,28.3452417626803,3.98293871905343,21.2268378995434,22.2710730593607,25.2748858447489,28.6071917808219,31.5517123287671,33.4661187214612,34.2599315068493,667,21.6810791130247,1.81439975299493,18.9619007110596,19.3254199981689,20.1606502532959,21.5645008087158,23.1401996612549,24.234899520874,24.6770000457764
"[-52,-48)","[25,30]",212,352.429245283019,148.505731593146,248.55,260.1,292.5,327,370,445.7,476.9,0.617449029963815,0.271193659523012,0.133077766001225,0.204780541360378,0.426365815103054,0.651184350252152,0.840148091316223,0.954921972751617,0.967056524753571,28.1651524941845,3.77956599219479,21.3118264840183,22.8986187214612,25.4753139269406,28.1805936073059,31.231649543379,33.1190525114155,34.0666894977169,212,27.0098114757418,1.39359027463503,25.1546845436096,25.3301250457764,25.8399624824524,26.7698001861572,27.9829254150391,29.2304522514343,29.6002712567647
"[-48,-44)","[15,18.5)",91,324.516483516484,101.543024557996,241,250,267.5,304,352,394,479,0.512709344419968,0.29134580409035,0.114207670092583,0.146016508340836,0.228998765349388,0.496177583932877,0.78546017408371,0.901244401931763,0.966278105974197,27.633887801696,3.88557730849462,21.0232305936073,22.2146118721461,24.5752853881279,28.5351598173516,30.7201484018265,32.4528538812785,33.7666095890411,91,17.4860719935798,0.891785703419466,15.5817499160767,16.1354007720947,16.9872250556946,17.7458000183105,18.2466750144959,18.36549949646,18.4344997406006
"[-48,-44)","[18.5,25)",676,320.269230769231,76.0660434291344,240.75,253,274,305,353,403,436.25,0.524924060382836,0.276274457425395,0.115959238260984,0.160578034818172,0.293872609734535,0.510292142629623,0.780980557203293,0.911985695362091,0.949290663003922,27.9035641430926,3.89462195812794,21.0843892694064,22.1417237442922,25.022345890411,28.034703196347,30.7768264840183,33.1804794520548,33.9864440639269,676,21.742814857814,1.75279270725493,18.9069004058838,19.3480997085571,20.3125,21.6167001724243,23.2334995269775,24.2201499938965,24.5533752441406
"[-48,-44)","[25,30]",202,331.084158415842,77.1498370687585,244.05,261,285.25,317.5,355.5,406,477.65,0.572893016169419,0.263362797942296,0.114630478993058,0.205344305932522,0.368907831609249,0.609967321157455,0.775157541036606,0.918395763635635,0.97041417658329,28.3681749853068,3.61248398799196,21.5986187214612,22.9446575342466,25.8692351598174,28.7738584474886,31.0351598173516,33.1558789954338,33.6496746575343,202,27.1641712281495,1.48500594173685,25.1838829040527,25.3063592910767,25.8343505859375,27.0483999252319,28.4116253852844,29.3482007980347,29.6004629453023
"[-44,-40)","[15,18.5)",111,308.346846846847,67.4575217449266,225.5,243,269.5,299,326.5,391,428.5,0.475163256615266,0.270369842035103,0.0677291378378868,0.120394706726074,0.263493716716766,0.463674575090408,0.656379252672195,0.885702073574066,0.942487984895706,27.2335040519972,3.71505789522416,21.1574771689498,22.6237442922374,24.323002283105,26.973401826484,30.1573059360731,32.3215753424658,33.4749429223744,111,17.5788887155665,0.773962763522414,16.1043500900269,16.5629997253418,17.1126999855042,17.7180004119873,18.2530994415283,18.423999786377,18.4424991607666
"[-44,-40)","[18.5,25)",669,314.387892422298,73.5552342928979,230.4,245,271,302,341,395,439,0.495621762301088,0.277131132485543,0.0782362252473831,0.125732526183128,0.267533332109451,0.482446789741516,0.732874870300293,0.900032734870911,0.95123804807663,28.0011062309315,4.06046652556657,20.8206849315068,21.8848630136986,25.173401826484,28.3132420091324,31.1768264840183,33.1887899543379,34.3861643835616,669,21.6698526349184,1.72613238668463,19.0027702331543,19.3624895095825,20.2395000457764,21.5729999542236,23.0111999511719,24.0891597747803,24.5088996887207
"[-44,-40)","[25,30]",233,336.678111587983,87.4082488997971,239.6,255.2,290,321,360,433.4,475.8,0.589273264159972,0.267837130255343,0.100558459758759,0.172760984301567,0.396948337554932,0.618279457092285,0.816798686981201,0.947468507289886,0.968598771095276,28.5328282085955,3.85758628688298,21.9725114155251,22.6997260273973,25.7433789954338,28.9051369863014,31.7872146118721,33.2639269406393,34.0764155251142,233,27.0706170443188,1.32957474644809,25.2362995147705,25.3906002044678,25.8875999450684,27.0051002502441,28.194299697876,28.9046398162842,29.3438100814819
"[-40,-36)","[15,18.5)",77,307.532467532468,83.9703243971195,226.4,234.2,263,296,329,377.4,432.2,0.458949350328608,0.284812142130554,0.0690985500812531,0.0821112409234047,0.204462751746178,0.458088636398315,0.657661974430084,0.868163096904755,0.942504513263702,27.0199401055565,3.74011588096105,20.7385388127854,21.6200456621005,24.1794520547945,27.0994292237443,30.0473744292238,31.8184703196347,32.5055936073059,77,17.3873775777363,0.871781551384325,15.7208400726318,16,16.9549999237061,17.5781002044678,18.0662002563477,18.3323402404785,18.36549949646
