week,bmi,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)","[15,18.5)",375,0.407893337448438,0.166127936058923,0.200000002980232,0.200000002980232,0.300000011920929,0.400000005960465,0.5,0.600000023841858,0.706000000238419,0.514504687283266,0.288874784235554,0.0628678128123283,0.0847627818584442,0.291183143854141,0.542994618415833,0.778831511735916,0.91169126033783,0.957975298166275,27.282503805175,4.02693227556569,20.784703196347,21.6213698630137,24.0695776255708,27.2206621004566,30.3858447488584,32.941894977169,33.9102054794521,375,17.528107094362,0.772994942026524,16.0124199867249,16.4062995910645,17.0270730257034,17.6898002624512,18.1713995933533,18.36549949646,18.4213401794434
"[-60,-56)","[18.5,25)",2579,0.413848394371306,0.168698733564188,0.200000002980232,0.237999996542931,0.300000011920929,0.400000005960465,0.5,0.600000023841858,0.699999988079071,0.523922566785857,0.282099952049785,0.0713446289300919,0.10704793035984,0.320365741848946,0.557041168212891,0.78275454044342,0.909861981868744,0.955034595727921,27.4783929649558,4.03617749424117,20.7644520547945,21.5260502283105,24.2546803652968,27.6235159817352,30.6722602739726,32.9549771689498,33.9597146118721,2579,21.6873416484709,1.78986528816881,18.9069004058838,19.289400100708,20.1951007843018,21.5645008087158,23.1473007202148,24.2423992156982,24.6096992492676
"[-60,-56)","[25,30]",905,0.429624312292805,0.163216670285371,0.200000002980232,0.259999990463257,0.300000011920929,0.400000005960465,0.5,0.620000004768372,0.718000018596649,0.563600952433453,0.277959298147047,0.0851020112633705,0.121559076011181,0.357765525579453,0.614640355110169,0.819091320037842,0.918626606464386,0.960313487052917,28.2849563561139,4.00522583394406,21.0647488584475,22.2661187214612,25.2367579908676,28.7843607305936,31.4857305936073,33.3127397260274,34.1033105022831,905,27.154862468297,1.42938543851432,25.1558990478516,25.3356395721436,25.8761005401611,26.9860000610352,28.353099822998,29.2420997619629,29.5457000732422
"[-56,-52)","[15,18.5)",367,0.414414171545642,0.163031800735762,0.200000002980232,0.230000004172325,0.300000011920929,0.400000005960465,0.5,0.600000023841858,0.699999988079071,0.528505912326576,0.271310004153404,0.0751812063157559,0.0971946552395821,0.328914880752564,0.573368489742279,0.773615002632141,0.88973343372345,0.941892194747925,26.8216562153957,4.11862240012236,20.7091666666667,21.3029223744292,23.2908675799087,26.6723744292237,29.851598173516,32.7075570776256,33.8739840182648,367,17.5401357921092,0.793819224018208,15.828054857254,16.4710395812988,17.114049911499,17.6898002624512,18.2068996429443,18.3749402999878,18.4265003204346
"[-56,-52)","[18.5,25)",2695,0.409714288795315,0.16634982347755,0.200000002980232,0.230000004172325,0.300000011920929,0.400000005960465,0.5,0.600000023841858,0.699999988079071,0.516727271915817,0.286124253630548,0.0747204124927521,0.0924882739782333,0.315627753734589,0.542994618415833,0.777832329273224,0.911845517158508,0.95790708065033,27.6750199506951,4.09603477793634,20.7902168949772,21.4838356164384,24.5269406392694,27.9159817351598,30.9338470319635,33.1258219178082,33.9532420091324,2695,21.6769737932623,1.75683416399668,18.9474697113037,19.3129997253418,20.2019996643066,21.6128005981445,23.1404991149902,24.167200088501,24.6096992492676
"[-56,-52)","[25,30]",946,0.427758988315913,0.169149283694381,0.200000002980232,0.25,0.300000011920929,0.400000005960465,0.5,0.649999976158142,0.737500011920929,0.555099480063125,0.283190659489218,0.0847627818584442,0.111659973859787,0.345121264457703,0.614630103111267,0.807677686214447,0.926227509975433,0.960563063621521,28.2239717580391,4.10433346611019,21.0642123287671,22.0450913242009,25.1899543378995,28.4057648401827,31.6420662100457,33.737899543379,34.4214611872146,946,27.0937182602808,1.38141020819675,25.1876876354218,25.3901996612549,25.9023375511169,26.9531002044678,28.1315245628357,29.1518993377686,29.6128506660461
"[-52,-48)","[15,18.5)",360,0.413444448055493,0.16937644827204,0.200000002980232,0.238999995589256,0.300000011920929,0.400000005960465,0.5,0.60200002193451,0.730000019073486,0.513795448738771,0.28358644310373,0.0746161177754402,0.092247612029314,0.300474047660828,0.54244002699852,0.756662353873253,0.9099893450737,0.953005093336105,26.9752923642821,3.81297121834724,20.8967808219178,21.7324885844749,23.9179794520548,27.0844178082192,29.6470034246575,32.3658561643836,33.2523287671233,360,17.6124592143076,0.72466936880703,16.1831645011902,16.5737946510315,17.1753005981445,17.7783246040344,18.206600189209,18.36549949646,18.423999786377
"[-52,-48)","[18.5,25)",2613,0.422747803078533,0.174817691039592,0.200000002980232,0.25,0.300000011920929,0.400000005960465,0.5,0.629999995231628,0.730000019073486,0.538808743388933,0.282780164883721,0.0810520276427269,0.111659973859787,0.341834634542465,0.573368489742279,0.80239737033844,0.918626606464386,0.96241295337677,27.6932982173782,4.11264496555197,20.8784474885845,21.5681735159817,24.488698630137,27.8119863013699,30.9324200913242,33.2692237442922,34.1148401826484,2613,21.7146798318327,1.77735804469051,19.0038995742798,19.3531200408936,20.2847995758057,21.6310997009277,23.1473007202148,24.2436000823975,24.6096992492676
"[-52,-48)","[25,30]",927,0.445393746033584,0.171299287311709,0.212999995052815,0.280000001192093,0.300000011920929,0.400000005960465,0.509999990463257,0.68400000333786,0.75,0.589282483708901,0.274298562330329,0.0888992249965668,0.160191208124161,0.368687033653259,0.6347736120224,0.827733635902405,0.931165659427643,0.964230537414551,28.1613759956259,4.04182727247558,21.1771118721461,22.3382191780822,25.1449771689498,28.5380136986301,31.576198630137,33.2963242009132,34.1248858447489,927,27.1359619722618,1.41398058233037,25.1485996246338,25.3137599945068,25.9362504482269,27.0538005828857,28.253999710083,29.3056297302246,29.6023294448853
"[-48,-44)","[15,18.5)",378,0.421084658001308,0.182331315395175,0.200000002980232,0.230000004172325,0.300000011920929,0.400000005960465,0.5,0.699999988079071,0.751499998569488,0.520773692420258,0.29098722330928,0.0713446289300919,0.0907730028033257,0.301241762936115,0.542994618415833,0.785451352596283,0.930185317993164,0.964958998560905,26.9486401029209,4.12146729997948,20.6452739726027,21.0427054794521,23.4311073059361,26.8926369863014,30.1960045662101,32.428002283105,33.6371632420091,378,17.5461620036696,0.795833184690653,15.9599247455597,16.3847007751465,17.108699798584,17.7373504638672,18.1662006378174,18.36549949646,18.4265003204346
