week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",4,6.45929992198944,1.64403178404662,4.94679293632507,5.04918594360352,5.35636496543884,6.21351003646851,7.3164449930191,8.06604580879212,8.31591274738312,0.765203788876534,0.0750848789486864,0.677368411421776,0.691578942537308,0.734210535883904,0.781246215105057,0.812239468097687,0.825994694232941,0.830579769611359,31.7804223744292,1.2271498193263,30.54899543379,30.7244748858448,31.2509132420091,31.6969178082192,32.2264269406393,32.9031735159817,33.1287557077626,1,33.0475997924805,,33.0475997924805,33.0475997924805,33.0475997924805,33.0475997924805,33.0475997924805,33.0475997924805,33.0475997924805
"[-56,-52)",9,5.96333114306132,5.33096197417599,1.70835599899292,2.02945203781128,2.20000004768372,4.62419986724854,7.05999994277954,13.1855762481689,15.0704883575439,0.469695186863343,0.370676161857306,0.0519806765019894,0.0691787458956242,0.145161285996437,0.531034469604492,0.780219793319702,0.945721030235291,0.950638294219971,28.3989852866565,5.21573048188897,21.4009132420091,22.6689497716895,24.0366438356164,30.1735159817352,32.6312785388128,34.3290639269406,34.4540867579909,7,21.1574711118426,2.30500114712185,18.9060192108154,19.3042392730713,19.931999206543,20.0339002609253,22.1196751594543,23.6594697952271,24.5583597183228
"[-52,-48)",13,9.42635419735542,17.1538380375511,1.48200001716614,1.86800003051758,2.42000007629395,3.50999999046326,5.75,15.3200006484985,36.2400016784667,0.441197505220771,0.330798063666826,0.0564509578049183,0.0972800254821777,0.165289252996445,0.417582422494888,0.70114940404892,0.917445719242096,0.968916428089142,29.0685985247629,3.33821659103814,24.711598173516,24.8524429223744,27.228196347032,29.1571917808219,30.2558219178082,33.7374657534247,34.1779680365297,6,20.9224166870117,4.82315390697786,16.5289001464844,16.5289001464844,17.2190251350403,19.6844997406006,23.1839995384216,26.5538501739502,27.7213754653931
"[-48,-44)",6,4.85833328962326,3.67054437119803,1.44249996542931,1.58499997854233,1.95250001549721,3.81000006198883,7.70000004768372,9.17999982833862,9.53999972343445,0.404175888436536,0.378268536924962,0.0274912589229643,0.0299825174733996,0.0592816257849336,0.399449042975903,0.715277791023254,0.783096104860306,0.808903411030769,28.0723554033486,3.6026594803703,23.6156392694064,24.490296803653,26.4806221461187,28.2311643835616,29.4826484018265,31.4956050228311,32.4647545662101,1,28.8889007568359,,28.8889007568359,28.8889007568359,28.8889007568359,28.8889007568359,28.8889007568359,28.8889007568359,28.8889007568359
"[-44,-40)",10,5.47386803627014,2.69712037093628,2.52907803058624,3.01815609931946,3.3272500038147,4.75999999046326,7.76593005657196,8.51684036254883,9.18842000961304,0.549937027692795,0.240776945581269,0.224226354062557,0.264544662833214,0.374151937663555,0.579010486602783,0.768412455916405,0.786707091331482,0.788957947492599,28.4081506849315,3.59134027316577,23.7388584474886,24.7288584474886,25.4941780821918,28.7983447488585,30.6701484018265,32.8653310502283,33.2646289954338,4,22.8733124732971,5.34779837900825,17.3443551063538,17.7925100326538,19.136974811554,23.2783498764038,27.014687538147,27.6300849914551,27.8352174758911
"[-40,-36)",6,4.9891566435496,2.13704391474254,2.86249995231628,2.88499999046326,3.25249999761581,4.53219985961914,6.61150503158569,7.55027008056641,7.72513508796692,0.558446158965429,0.230432158399947,0.27173912525177,0.282608687877655,0.367391288280487,0.60869562625885,0.74786202609539,0.784034162759781,0.787621483206749,29.2330859969559,1.05010370616947,28.1803652968037,28.2914383561644,28.6285388127854,28.9777397260274,29.6420091324201,30.4300799086758,30.7141267123288,2,21.322699546814,1.53187542512314,20.3478199958801,20.4561399459839,20.7810997962952,21.322699546814,21.8642992973328,22.189259147644,22.2975790977478
"[-36,-32)",11,3.87261999737133,1.801304858282,1.63999998569489,2,2.68701004981995,3.36999988555908,5.09000015258789,6.16559982299805,6.50690984725952,0.369932501830838,0.265912299285019,0.042735043913126,0.085470087826252,0.199910037219524,0.32231405377388,0.542593777179718,0.735042750835419,0.778047680854797,30.6877542548775,3.66358787897902,24.6136415525114,27.1989726027397,29.239497716895,31.7764840182648,32.3365867579909,34.4691780821918,34.714497716895,0,,,,,,,,,
"[-32,-28)",4,5.79999995231628,3.68561161326263,2.44399995803833,2.58799996376038,3.01999998092651,5.35000002384186,8.12999999523163,9.37199988365173,9.78599984645843,0.52825110591948,0.334717648049814,0.16230994053185,0.202397658675909,0.322660813108087,0.573903501033783,0.779493793845177,0.81758263707161,0.830278918147087,30.4491438356164,3.15871914986818,27.2407191780822,27.6146575342466,28.7364726027397,30.2818493150685,31.9945205479452,33.4174657534247,33.8917808219178,0,,,,,,,,,
"[-28,-24)",4,5.00333505868912,4.00077250246191,1.82999995946884,1.8599999666214,1.94999998807907,3.96499991416931,7.01833498477936,8.97733826637268,9.63033936023712,0.444244680926204,0.390249372034725,0.105957201495767,0.106651244312525,0.108733372762799,0.424510274082422,0.760021582245827,0.797625643014908,0.810160329937935,28.3415525114155,3.02823096235093,24.7781563926941,25.3526598173516,27.0761700913242,29.0723744292237,30.3377568493151,30.7457876712329,30.8817979452055,1,32.1553993225098,,32.1553993225098,32.1553993225098,32.1553993225098,32.1553993225098,32.1553993225098,32.1553993225098,32.1553993225098
"[-24,-20)",1,2.42219996452332,,2.42219996452332,2.42219996452332,2.42219996452332,2.42219996452332,2.42219996452332,2.42219996452332,2.42219996452332,0.264367818832397,,0.264367818832397,0.264367818832397,0.264367818832397,0.264367818832397,0.264367818832397,0.264367818832397,0.264367818832397,33.3931506849315,,33.3931506849315,33.3931506849315,33.3931506849315,33.3931506849315,33.3931506849315,33.3931506849315,33.3931506849315,0,,,,,,,,,
