week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",16021,0.487812251695412,0.365595560133983,0.100000001490116,0.200000002980232,0.300000011920929,0.400000005960465,0.600000023841858,0.899999976158142,1.0,0.514996703297272,0.286420157030309,0.0482510924339294,0.149097383022308,0.302381336688995,0.47660893201828,0.745755076408386,0.919916152954102,0.950954496860504,28.147362016862,3.85989163030296,21.4946347031963,22.661301369863,25.1982876712329,28.3131278538813,31.2775114155251,33.2996575342466,34.1050228310502,4214.0,24.2137041750482,5.52149507941083,17.908899307251,18.7327995300293,20.4151992797852,22.9365997314453,26.6308507919312,31.6041573206584,35.0127983093262
"[-56,-52)",16805,0.480529014609047,0.313278764415719,0.100000001490116,0.200000002980232,0.300000011920929,0.400000005960465,0.600000023841858,0.800000011920929,1.0,0.511014659911709,0.284358638169099,0.0482510924339294,0.149097383022308,0.302381336688995,0.475366622209549,0.742667317390442,0.885989367961884,0.949819684028625,28.1600182186482,3.90218606208043,21.4234246575343,22.5473287671233,25.2229452054795,28.3331050228311,31.288698630137,33.4009817351598,34.2039497716895,4450.0,24.3307709076015,10.4520554461316,17.9281997680664,18.7773794174194,20.4491004943848,22.9480991363525,26.5730991363525,31.4114596366882,35.0685794830322
"[-52,-48)",16206,0.48176828050885,0.322720520024924,0.100000001490116,0.200000002980232,0.300000011920929,0.400000005960465,0.600000023841858,0.800000011920929,1.0,0.510616755528536,0.284499125331855,0.0482510924339294,0.149097383022308,0.302381336688995,0.475366622209549,0.742667317390442,0.88791835308075,0.949819684028625,28.1956836339999,3.90232378638001,21.4264269406393,22.5737442922374,25.209845890411,28.4233447488585,31.3510844748858,33.4256849315069,34.1604452054795,4332.0,24.2057829797148,5.35000793122068,17.9687995910645,18.8188991546631,20.4491004943848,22.9568247795105,26.6667003631592,31.2077899932861,34.5137381235758
"[-48,-44)",16222,0.487549012822192,0.299813160461771,0.100000001490116,0.200000002980232,0.300000011920929,0.400000005960465,0.600000023841858,0.899999976158142,1.0,0.520435927527441,0.283068993701083,0.0488020963966847,0.149244621396065,0.302402168512344,0.476702779531479,0.743216097354889,0.919916152954102,0.950954496860504,28.1312413057075,3.90540493610113,21.3466095890411,22.4912214611872,25.1388984018265,28.3680365296804,31.294149543379,33.3382077625571,34.1022773972603,4456.0,24.2791994953897,10.6521385981027,17.9281997680664,18.7666006088257,20.3845999240875,22.9130001068115,26.5730991363525,31.25,34.552924156189
"[-44,-40)",15607,0.494443524199945,0.311487639939762,0.100000001490116,0.200000002980232,0.300000011920929,0.400000005960465,0.600000023841858,0.899999976158142,1.0,0.527803083315376,0.283355354232536,0.0486586838960648,0.149244621396065,0.303210616111755,0.480643957853317,0.745755076408386,0.919916152954102,0.950954496860504,28.127626009638,3.89565413647057,21.3826369863014,22.4905707762557,25.2026255707763,28.3438356164384,31.2749429223744,33.3269863013699,34.1262442922374,4433.0,24.0782773568866,5.40185032788013,17.7999000549316,18.6709003448486,20.4491004943848,22.8374004364014,26.5625,31.246000289917,34.6119804382324
"[-40,-36)",16122,0.488203081944831,0.311852422955392,0.100000001490116,0.200000002980232,0.300000011920929,0.400000005960465,0.600000023841858,0.800000011920929,1.0,0.521726934058342,0.278689777669796,0.0494613572955132,0.149549394845963,0.303210616111755,0.476702779531479,0.743216097354889,0.887779891490936,0.949819684028625,28.010615432895,3.87722876370821,21.3926997716895,22.4884817351598,25.0393835616438,28.1522831050228,31.1051369863014,33.2777168949772,34.091095890411,4394.0,24.1745194145244,5.41800731278969,17.8506002426147,18.8188991546631,20.4293994903564,22.9281249046326,26.5625495910645,31.2391605377197,34.5047740936279
"[-36,-32)",64633,0.421455144690845,0.272211952595551,0.100000001490116,0.200000002980232,0.300000011920929,0.400000005960465,0.5,0.699999988079071,0.899999976158142,0.452536127105638,0.268898543261875,0.0482494384050369,0.148982882499695,0.301223278045654,0.471957355737686,0.628209531307221,0.826881110668182,0.9207803606987,28.1416170185905,3.79313088518282,21.587397260274,22.7342237442922,25.2913242009132,28.3187214611872,31.149200913242,33.2365296803653,34.0397260273973,15140.0,24.8807895305571,144.815112660165,17.7567461013794,18.6851005554199,20.3073997497559,22.589599609375,25.8674001693726,30.4223405838013,33.3471652984619
"[-32,-28)",86867,0.375324659176107,0.251690047697015,0.100000001490116,0.100000001490116,0.200000002980232,0.300000011920929,0.5,0.600000023841858,0.800000011920929,0.398662921524503,0.259986602379553,0.0478871911764145,0.0494613572955132,0.150203287601471,0.305445969104767,0.623629331588745,0.752218842506409,0.88238936662674,28.3661879681388,3.8800535312169,21.5462328767123,22.7410502283105,25.4424086757991,28.6311643835616,31.5269406392694,33.4873515981735,34.2173515981735,17982.0,24.1425602170037,15.1811217201293,17.8565006256104,18.7306093215942,20.3616878986359,22.8328990936279,26.4374504089356,31.1791000366211,34.375
"[-28,-24)",58733,0.346048394070967,0.311084469667687,0.100000001490116,0.100000001490116,0.200000002980232,0.300000011920929,0.400000005960465,0.600000023841858,0.699999988079071,0.3571768092104,0.252358229221168,0.047750897705555,0.0482510924339294,0.149840548634529,0.30484738945961,0.476702779531479,0.741705119609833,0.82847386598587,28.0620614596183,3.970962574379,21.2639269406393,22.338196347032,24.9576484018265,28.264497716895,31.2941780821918,33.3899315068493,34.1598630136986,10689.0,25.9554146733905,172.321180938472,17.861780166626,18.778299331665,20.5499000549316,23.1404991149902,26.7451337178548,31.6242073059082,34.6277004241943
"[-24,-20)",70427,0.323805222391688,0.268246064069073,0.100000001490116,0.100000001490116,0.200000002980232,0.300000011920929,0.400000005960465,0.600000023841858,0.699999988079071,0.329559498824001,0.242140332079853,0.0477176979184151,0.0482494384050369,0.149549394845963,0.302402168512344,0.47310483455658,0.739928483963013,0.824805676937103,28.3716247167555,3.8707947393221,21.4805136986301,22.7192694063927,25.502796803653,28.6584474885845,31.4976598173516,33.4505251141553,34.1850114155251,12028.0,24.0112410748198,5.21054457252105,17.8256679058075,18.7304992675781,20.4293994903564,22.9209995269775,26.3973007202148,30.8540000915527,33.8913138389587
