week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",1264,77.5923259499707,72.9171148209491,35.15,41.0,52.0,66.0,87.0,117.0,142.7,0.490828400993669,0.281048040221696,0.0538350351154804,0.0977610796689988,0.251301527023315,0.494938641786575,0.732958480715752,0.886102116107941,0.932289826869965,28.6647092292353,3.76598118887182,21.8196917808219,23.0110844748858,26.0092180365297,29.0355593607306,31.6482876712329,33.6219748858448,34.2331849315068,372.0,24.4129426088812,6.34613380506514,18.128074836731,18.7020498275757,20.3125,22.6378498077393,26.2224998474121,33.5127338409424,36.4399738311768
"[-56,-52)",1260,84.3457142905583,185.366253573956,35.95,41.0,50.0,65.0,88.0,122.1,154.0,0.485091074918917,0.287124625035006,0.0505620088428259,0.102987825870514,0.235424622893333,0.468788683414459,0.739920973777771,0.891580873727799,0.944440910220146,28.6041969268682,3.62278302571367,21.885553652968,23.4362557077626,26.1777111872146,28.786301369863,31.430051369863,33.4051369863014,34.2045205479452,366.0,23.8381055330877,4.74541248708437,17.9518747329712,18.8027000427246,20.6592993736267,22.8086004257202,25.7769503593445,30.1148500442505,34.1076126098633
"[-52,-48)",1199,86.0675562969141,171.06546581921,36.9,41.0,51.0,66.0,88.5,123.0,160.1,0.4939866501984,0.287385349565388,0.0613532491028309,0.101205390691757,0.245243638753891,0.485663145780563,0.748403966426849,0.896379411220551,0.9492416203022,28.6597229997601,3.77832154388731,22.0688470319635,23.5396118721461,25.8707191780822,28.7329908675799,31.7383561643836,33.6891552511416,34.4321461187215,355.0,23.9836178062971,5.43470442713894,18.0426597595215,19.0374599456787,20.2734003067017,22.6002998352051,25.9222054481506,31.3672397613525,34.7560611724854
"[-48,-44)",1181,86.7828111769687,147.27186764927,36.0,41.0,52.0,66.0,86.0,121.0,147.0,0.49448847583697,0.279343265395743,0.0545877814292908,0.104186177253723,0.260769665241241,0.494938641786575,0.721127271652222,0.892037212848663,0.934566736221313,28.5423258866606,3.69699955701179,21.6832191780822,23.1022831050228,25.8533105022831,28.9982876712329,31.3351598173516,33.3158675799087,34.1352739726027,371.0,23.7553465850484,4.90375251942776,17.6509000460307,18.5568008422852,20.6758499145508,22.5827007293701,25.7938995361328,30.217212677002,33.5652008056641
"[-44,-40)",1194,95.014405360773,367.978205389079,38.0,42.0,53.0,68.0,89.0,116.0,150.35,0.509390389688127,0.278296871219067,0.0685908030718565,0.115914292633533,0.26696252822876,0.51690012216568,0.745494723320007,0.882456696033478,0.939485073089599,28.6159193991265,3.7415440881833,21.7186187214612,23.1542579908676,25.9948059360731,28.8037100456621,31.6817351598174,33.3447488584475,34.0806849315069,367.0,23.7950944177245,5.21488470584952,18.0957401275635,18.9329494476318,20.2760000228882,22.6002998352051,25.8636503219605,30.9517002105713,33.878719329834
"[-40,-36)",1260,292.062619045803,5225.76458738855,35.0,41.0,51.0,64.0,86.0,109.1,144.0,0.478448574405509,0.279154060790788,0.0509664997458458,0.102987825870514,0.244555220007896,0.467101037502289,0.717290356755257,0.863438159227371,0.932832822203636,28.6448022214974,3.65949408560509,22.2031050228311,23.5277625570776,26.000399543379,28.8723744292237,31.5455194063927,33.4450684931507,34.167950913242,321.0,23.6050053433094,4.75215181123446,17.8505992889404,18.9745006561279,20.5499000549316,22.5388498306274,25.5593500137329,29.3400001525879,33.7924995422363
"[-36,-32)",2734,65.3311265556151,43.703743185695,31.0,36.0,45.0,57.0,74.0,97.0,121.0,0.390778626101174,0.272789426992114,0.0242972061038017,0.053254209458828,0.156094610691071,0.347916841506958,0.596546709537506,0.801683366298676,0.89176487326622,28.6762964596006,3.60646987086918,22.1177625570776,23.4804452054795,26.1770262557078,28.9201484018265,31.4494577625571,33.4384474885845,34.2025627853881,591.0,23.5179714953849,4.46514200845755,18.2868003845215,19.031099319458,20.4309492111206,22.5827007293701,25.3906002044678,30.1194000244141,32.7375690460205
"[-32,-28)",1866,55.1161307613949,64.1791224288395,25.0,29.0,36.0,47.0,62.0,81.0,99.0,0.269600550748349,0.256832449516205,0.0069026767741888,0.016568960621953,0.0545601043850184,0.182473704218864,0.421604096889496,0.680746227502823,0.811702370643616,28.933050208734,3.69435090244365,22.2134132420091,23.4721461187215,26.3379566210046,29.3779109589041,31.9427226027397,33.6009132420091,34.3584760273973,340.0,24.0234551259272,4.8791180880659,17.9931001186371,18.778299331665,20.4359998703003,23.0468997955322,26.73615026474,30.4777996063232,34.0384540557861
"[-28,-24)",1050,626.32647618975,8140.63050180664,22.0,25.0,32.0,43.0,57.0,77.1,100.0,0.225814418055566,0.255404609958223,0.0035391040495596,0.0087099624797701,0.0285362163558602,0.128858752548695,0.33518572896719,0.631065946817398,0.812217983603478,28.7292648401827,3.7002423885679,22.057203196347,23.4095205479452,25.949200913242,28.9837328767123,31.8485159817352,33.4478767123288,34.2126255707763,178.0,123.705260662295,1334.73642186781,17.2325276851654,18.4245195388794,20.1087746620178,22.320650100708,26.0206503868103,30.6678199768067,35.0236156463623
"[-24,-20)",894,148.462975393206,1437.32186513369,21.0,23.0,30.0,40.0,53.0,74.0,102.4,0.198858193183069,0.25252834734739,0.0026061077485792,0.0059205587022006,0.02032870054245,0.0880049392580986,0.27341715246439,0.598193377256394,0.817802679538725,28.6301981500209,3.82545031521787,21.6069863013699,23.0105479452055,25.9555079908676,28.8965753424658,31.7833047945206,33.6013470319635,34.2570034246575,127.0,24.0742959732146,6.96322597190294,17.6600996017456,18.8243396759033,20.2213331858317,22.6562995910645,25.4397497177124,30.1126598358154,34.2771999359131
"[-20,-16)",792,44.5492424242424,28.0737262961027,21.0,23.0,29.0,39.0,51.0,67.0,79.0,0.174419809409025,0.221504045765006,0.0028670392464846,0.0054758987389504,0.0195450522005558,0.0820737108588219,0.235248848795891,0.501691153645515,0.665178024768829,28.5692244937964,3.80497797348325,21.7658732876712,23.0075684931507,25.5950627853881,28.8332762557078,31.7368436073059,33.6696917808219,34.1660673515982,117.0,23.447062083459,4.84084426690655,17.4603401184082,18.7343597412109,20.2019996643066,22.3132991790771,25.4312992095947,29.9476596832276,32.4353981018066
"[-16,-12)",1029,52.1534499473312,72.5666872948165,19.0,22.8,29.0,40.0,56.0,79.0,120.6,0.216142484817109,0.270426227183078,0.0019938490819186,0.0043987606652081,0.0180986057966948,0.0909127369523048,0.32568547129631,0.663836419582367,0.886789047718048,28.9627168284143,3.72982776884688,21.8859360730594,23.3914383561644,26.5658675799087,29.4075342465753,31.8353881278539,33.615,34.3057077625571,126.0,24.154832426707,5.20661210490968,17.8787994384766,18.7844495773315,20.077299118042,22.9421501159668,27.2931995391846,32.386625289917,34.3633508682251
"[-12,-8)",1018,52.520137524558,49.9103802255438,18.0,21.0,29.0,40.0,59.0,87.3000000000001,121.0,0.236622408856416,0.286595509155106,0.0018564467900432,0.0035295942798256,0.0171253671869636,0.0944000445306301,0.382887966930866,0.741414994001389,0.893094283342362,28.5027519489374,3.80845530971716,21.6326084474886,23.0744520547945,25.7299086757991,28.8450342465753,31.6951198630137,33.5867351598174,34.2545148401827,117.0,25.246407500699,7.50739063678869,18.2676406860352,18.8441402435303,20.2019996643066,22.8624992370606,27.8852005004883,36.7187995910645,38.2525207519531
"[-8,-4)",1491,64.0979208584843,150.308868139281,20.0,23.0,30.0,43.0,65.5,104.0,148.5,0.281391557295886,0.315061037674264,0.0022184995468705,0.005078091751784,0.0229580942541361,0.128640428185463,0.490606784820557,0.835117757320404,0.937226504087448,28.6986238588303,3.61347603411348,22.0925228310502,23.5433789954338,26.1802511415525,28.9627853881279,31.5443493150685,33.4009132420091,34.1586757990868,139.0,24.4018557294667,5.82096516848375,18.2776702880859,18.6193599700928,20.7321500778198,23.3957996368408,26.5347003936768,30.8400001525879,33.2952701568604
"[-4,0)",3014,68.6737889857504,119.648458289204,20.0,24.0,34.0,49.0,76.0,117.0,159.0,0.341081734017353,0.331888806334257,0.0024219631683081,0.0060266614891588,0.038140507414937,0.214473277330399,0.632159113883972,0.886936581134796,0.947714161872864,28.8007645447576,3.59556417560966,22.0635787671233,23.5512100456621,26.3531107305936,29.1264269406393,31.5359589041096,33.5024429223744,34.1575627853881,156.0,25.1207798896692,5.36201704334766,18.7102499008179,19.5417499542236,21.0580997467041,23.6336994171143,27.9294753074646,32.080650806427,35.5885252952576
"[0,4)",3092,190.774579560155,464.585232579846,26.0,33.0,51.0,91.0,189.25,362.0,569.45,0.621390018077773,0.367995462763815,0.0101135103031993,0.0355292078107596,0.247734814882278,0.763299703598023,0.965261325240135,0.988775819540024,0.992885860800743,28.5834773934206,3.83156819245638,21.5167751141553,23.1129566210046,25.9093892694064,28.9304794520548,31.6334474885845,33.5990639269406,34.3154737442922,218.0,24.4016806780381,5.45088012436523,17.2435152053833,18.6620006561279,20.3125,23.3355007171631,27.552149772644,31.9801605224609,34.7223905563354
"[4,8)",1170,74.6944444444445,50.9863113675442,34.0,39.0,49.0,63.0,85.0,116.1,140.0,0.463993541257203,0.290585686700445,0.036847660690546,0.0812927633523941,0.213011220097542,0.436648413538933,0.717029854655266,0.879732757806778,0.927789595723152,28.9675168793662,3.69267004709975,22.0895605022831,23.5639726027397,26.4087899543379,29.447602739726,32.0084474885845,33.6696917808219,34.2784988584475,116.0,24.8108570849759,4.98804670328408,18.2552247047424,19.317850112915,20.9520492553711,23.8075494766235,28.0773253440857,31.0279006958008,33.4421756267548
"[8,12)",1019,81.5780176643768,62.0092406099072,37.9,43.0,53.0,69.0,92.0,127.0,160.0,0.520396466085905,0.282698622506426,0.064568018168211,0.123542942106724,0.281113877892494,0.530332982540131,0.763918071985245,0.90503123998642,0.948707836866379,28.7492589430949,3.77323833050039,22.0187899543379,23.2020776255708,26.1227739726027,29.0558219178082,31.7313926940639,33.670502283105,34.284098173516,120.0,25.5370914167828,5.36370062697886,18.4415741920471,19.8346996307373,21.0155997276306,25.1422500610352,28.7920002937317,32.820719909668,36.0787627220154
"[12,16)",977,92.7932446264074,170.791480318546,37.0,43.0,54.0,72.0,98.0,132.4,162.2,0.539825908689566,0.290699425042701,0.0626793876290321,0.119665078818798,0.297822237014771,0.57162469625473,0.801970601081848,0.915065467357635,0.950349116325378,29.121824918327,3.68194777030141,22.2908219178082,23.5346575342466,26.6478310502283,29.5872146118722,32.2175799086758,33.7577397260274,34.3555251141553,139.0,25.3172333051833,4.96096438618211,18.3347593307495,19.4521999359131,21.6321992874146,24.9769992828369,28.0672006607056,31.0910995483398,34.3643806457519
"[16,20)",1056,88.28125,145.694009897944,38.0,43.0,56.0,73.0,98.0,131.5,160.25,0.552038388194695,0.283666272246899,0.070367231965065,0.134697236120701,0.321280613541603,0.586658239364624,0.806868374347687,0.912307024002075,0.949212789535522,29.2784942749412,3.49468709087739,22.7640410958904,24.0943493150685,27.0899543378995,29.7023401826484,31.9753710045662,33.688698630137,34.284446347032,180.0,25.5056931071811,5.73610261116666,18.8051194190979,19.9834699630737,21.63330078125,24.1543502807617,27.957700252533,32.2645099639893,36.0614321708679
"[20,24)",1064,89.1246240605089,82.1170712528565,38.0,45.0,57.0,74.0,96.25,133.0,166.7,0.561252235552199,0.277890519128317,0.0650402765721083,0.144836266338825,0.337987422943115,0.598992645740509,0.79907613992691,0.916417425870895,0.95339947938919,29.2160829084698,3.5612641290708,22.5953767123288,24.0568835616438,26.7323344748858,29.7492579908676,32.044948630137,33.6289269406393,34.30024543379,190.0,25.2388223323009,5.43590013187004,18.7877702713013,19.5301296234131,21.2245006561279,23.8515996932983,28.4275755882263,32.1102794647217,34.4774261474609
"[24,28)",947,88.2525167226875,83.2407156168194,39.0,45.0,56.0,71.0,95.0,131.0,166.0,0.546763934592538,0.276200729208705,0.0750192031264305,0.156131115555763,0.329017072916031,0.562472283840179,0.78321772813797,0.914900410175323,0.952710890769958,29.3855119266321,3.48921124690373,23.1017808219178,24.2716666666667,26.8270547945206,29.7082191780822,32.2611301369863,33.8353652968037,34.4363698630137,174.0,25.7387041534044,6.22526573397756,17.7703252792358,19.2666095733643,21.6032004356384,25.1276998519898,29.0317993164063,34.701530456543,36.79483350118
"[28,32)",963,91.9573208738587,112.284023481514,39.1,45.0,55.0,71.0,94.0,123.8,176.0,0.544462610918286,0.275555973863568,0.0852074794471264,0.152861887216568,0.314760640263557,0.558102548122406,0.786727994680405,0.896622395515442,0.958009326457977,29.0984520879861,3.57889340187239,22.6334246575342,24.1562328767123,26.4607305936073,29.549200913242,31.9312785388128,33.6313242009133,34.3903767123288,182.0,25.1542689584426,4.9866306961021,18.4241248130798,19.2580593109131,21.3914499282837,24.2187995910645,28.379225730896,32.0094699859619,34.9594943523407
"[32,36)",907,89.5920617420066,126.506144930301,37.0,43.0,55.0,72.0,94.0,142.0,179.7,0.546935389781794,0.285076049223447,0.0594467334449291,0.124622493982315,0.320120602846146,0.578474700450897,0.780652165412903,0.929734623432159,0.961494046449661,29.0865109271873,3.63691448725502,22.6869406392694,23.9554337899543,26.5325342465754,29.2180365296804,32.0709474885845,33.7899771689498,34.4680251141553,183.0,25.414206095732,5.22519072076597,18.3768005371094,19.5376396179199,21.5645008087158,24.8015995025635,28.6613502502441,31.2442600250244,34.2802185058594
"[36,40)",882,90.3098639447132,214.237534068368,37.05,44.0,54.0,70.0,90.0,122.0,155.95,0.524181351807618,0.277225259200508,0.0665499981492758,0.129085229337215,0.295168697834015,0.543092042207718,0.755639120936394,0.896262621879578,0.945634359121322,29.1446767672061,3.68815730136208,22.1653310502283,23.7313242009132,26.8820776255708,29.5811073059361,32.1730878995434,33.7345091324201,34.4172146118722,194.0,24.9570983226357,5.35870597408204,18.4471400260925,19.3430002212524,20.8487000465393,24.0146503448486,27.6472496986389,33.0085193634033,34.8189205169678
