week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",1301,20.9907338133599,10.6213278747941,7.90000009536743,9.69999980926514,13.1399002075195,18.5,26.7999992370606,36.701099395752,42.5914001464844,0.550325346935246,0.301906015919729,0.0619956105947495,0.120460502803326,0.292618960142136,0.561210215091705,0.829096615314484,0.950960099697113,0.980328500270844,28.509204019388,3.63295508522286,22.0474885844749,23.302397260274,25.8858447488585,28.6420091324201,31.3133561643836,33.346803652968,34.088698630137,418.0,24.3504908011861,5.7099944498917,18.0275647163391,18.6808404922485,20.2422378063202,22.9153251647949,26.9051747322083,32.7661205768585,35.8838781356812
"[-56,-52)",1355,21.2011018420497,10.579110820589,8.46470499038696,9.83999996185303,12.9133501052856,18.8036499023438,27.0,37.6043792724609,42.6539798736572,0.559948786753582,0.301786873722369,0.0783830396831036,0.131062150001526,0.280540287494659,0.595558106899262,0.83558052778244,0.95650714635849,0.980189198255539,28.0574848775885,3.81448245379783,21.5544063926941,22.8220547945206,25.0967465753425,28.2528538812785,31.0077625570776,33.1933105022831,34.0381735159817,465.0,23.7480567992647,5.3003160790927,17.7424406051636,18.5099597930908,20.1746006011963,22.3213996887207,25.8477993011475,31.3192499160767,34.2510082244873
"[-52,-48)",1235,21.195825142706,10.6255269568252,7.95077495574951,9.5,13.1999998092651,18.8036499023438,27.2930002212524,37.1325202941895,43.6599987030029,0.559871247431624,0.303446192419289,0.0643921405076981,0.115979836881161,0.297789633274078,0.589362442493439,0.838074386119843,0.95370180606842,0.983351546525955,28.3529770025697,3.77278927691977,21.8524657534247,22.9006392694064,25.6940639269406,28.4284246575343,31.3708904109589,33.4766438356164,34.2524315068493,381.0,23.8260571538918,4.78985375139938,18.1469669342041,18.8707008361816,20.4466991424561,22.8624992370606,25.9515991210938,30.8365001678467,32.8891983032227
"[-48,-44)",1158,21.6903628458837,11.2705769126408,8.55949974060059,9.96819972991943,13.1050002574921,18.6385507583618,28.2000007629395,39.0299995422363,45.6244636535644,0.562040217970596,0.304742936138649,0.081660121306777,0.138101215660572,0.285042941570282,0.577602237462997,0.854889839887619,0.965999680757523,0.987683835625648,28.4863123122057,3.76052372403242,21.8391152968037,23.0329223744292,25.7817351598174,28.7817922374429,31.3728595890411,33.5342808219178,34.0747888127854,391.0,23.9081243517792,5.27046365936886,17.4988508224487,18.5546998977661,20.2847995758057,22.6562995910645,26.4308500289917,30.3302507400513,34.4677158991496
"[-44,-40)",1145,22.0430306124375,10.9034634115676,8.38587989807129,9.96819972991943,13.5,19.5499992370605,28.6000003814697,38.5599990844727,43.6793212890625,0.580685141228656,0.303983827260942,0.0766314685344696,0.131570938229561,0.311244338750839,0.619722604751587,0.863834321498871,0.96240017414093,0.983238160610199,28.3222237841718,3.76573982218059,21.6226484018265,22.9542465753425,25.5412100456621,28.5051369863014,31.3544520547945,33.3368721461187,34.0906164383562,380.0,23.7912351968536,6.62259415070466,17.4802900314331,18.3248191833496,19.947874546051,22.2052001953125,26.0261993408203,31.2456792831421,34.6358955383301
"[-40,-36)",1182,22.7628590112612,11.7370327832089,8.15800986289978,9.90681962966919,13.5930004119873,19.7098503112793,30.3894248008728,40.0999336242676,46.0999984741211,0.590113995833241,0.310657381403222,0.0693145699799061,0.13050565123558,0.31875567138195,0.630441963672638,0.891830176115036,0.973392248153687,0.988935261964798,28.2765760571433,3.83972538312861,21.2563641552511,22.5924315068493,25.5358162100457,28.4560502283105,31.4573630136986,33.3091780821918,34.1150570776256,321.0,23.8995365791479,5.67591974837546,17.7085990905762,18.5900993347168,20.077299118042,22.589599609375,26.0375003814697,30.9152336120606,35.1562995910645
"[-36,-32)",2146,25.9281450384483,11.7900566591853,9.0620002746582,11.3275003433228,16.2000007629395,24.6000003814697,34.7000007629395,42.875,46.8750009536743,0.680231829200119,0.293008351400223,0.100401079282165,0.199602201581001,0.461814768612385,0.77861362695694,0.935667619109154,0.980896711349487,0.990900829434395,28.5404253214008,3.76746064572714,21.8976598173516,23.1042237442922,25.8509417808219,28.7514840182648,31.5725171232877,33.4871575342466,34.2543664383562,501.0,23.8046636663285,5.08968929848243,18.1972999572754,18.9020004272461,20.5499000549316,22.6562995910645,25.6543998718262,30.1194000244141,34.2656993865967
"[-32,-28)",1356,28.0748533418397,12.0880769866839,9.96819972991943,12.1999998092651,18.0,28.0960998535156,37.3201866149902,44.7999992370606,49.1153364181519,0.725118694852373,0.284222689418887,0.133330665528774,0.234883859753609,0.554674714803696,0.853271216154099,0.955343320965767,0.985832810401917,0.993942856788635,28.9007590145607,3.70891116861993,22.1893835616438,23.4899543378995,26.3016837899543,29.2751141552511,31.9152682648402,33.5666095890411,34.3310787671233,271.0,24.166735389478,5.92048514859848,17.6002502441406,18.3265247344971,19.9218997955322,22.4913005828857,26.6079998016357,32.8125,36.0575504302979
"[-28,-24)",696,28.0116725742132,12.2213318706686,9.51877522468567,11.75,17.4443492889404,27.6195497512817,37.6018238067627,44.4038009643555,48.0,0.721668436406073,0.289087274485555,0.115666998550296,0.210792012512684,0.534677147865295,0.84890940785408,0.956520512700081,0.985448449850082,0.992108508944511,28.5970993741143,3.74661654015492,21.8105593607306,22.9861301369863,26.0232020547945,29.0641552511416,31.6017123287671,33.3611301369863,34.144948630137,132.0,24.6207193856288,4.59035063258019,18.4940696001053,19.9276298522949,21.3266749382019,24.3325004577637,26.8740005493164,30.7996092605591,33.2220294952393
"[-24,-20)",654,28.5558452573391,12.3399996267525,9.66500000953674,12.035004901886,18.5771007537842,27.8999996185303,37.7999992370606,45.2420360565186,49.7000007629395,0.733658595687414,0.283816674781638,0.118246623501182,0.230821734666824,0.578073158860207,0.852913945913315,0.958165839314461,0.987070840597153,0.9946987003088,28.620448626646,3.82621355329173,21.4168264840183,22.768801369863,26.0721461187215,28.9586757990868,31.7646404109589,33.4205365296804,34.2103139269406,109.0,24.0775745899305,5.48273332814893,17.6755199432373,18.8173404693604,20.0692005157471,23.1473007202148,26.2187995910645,30.4351871490479,33.0578399658203
"[-20,-16)",438,25.9789373226906,12.3405275644747,7.09999990463257,10.4212999343872,15.8146250247955,24.8469743728638,35.7000007629395,42.1383018493652,48.4817008972168,0.671556975799889,0.311812006236369,0.0467306634411216,0.152548177540302,0.434570789337158,0.788627177476883,0.944941088557243,0.97963233590126,0.992355984449387,28.8157198035904,3.59377596395209,22.734845890411,23.6785159817352,26.1871575342466,29.0365296803653,31.5611872146119,33.565102739726,34.2352739726027,67.0,24.642156973407,5.26061497387552,17.6285303115845,18.2416397094727,20.1580495834351,24.3495998382568,28.1254997253418,32.1995407104492,34.2125106811523
"[-16,-12)",673,24.1491123878938,12.3842550425432,7.40569009780884,9.06960029602051,13.6999998092651,21.9753494262695,34.0,41.5,46.7400001525879,0.618586077282111,0.32908104171958,0.0468367591500282,0.100600990653038,0.323879331350327,0.707780778408051,0.93004184961319,0.977067959308624,0.990420746803284,29.0302596226262,3.78017632599908,22.2339269406393,23.3764383561644,26.4534246575342,29.5082191780822,32.0448630136986,33.8156392694064,34.4642237442922,97.0,25.1376909308417,5.57082191223486,18.7044597625732,19.2684799194336,20.9190998077393,22.8374004364014,28.353099822998,34.1336965942383,36.7833198547363
"[-12,-8)",672,22.5585324870689,13.0492974312644,6.16258234977722,7.47853503227234,12.0,19.3499994277954,32.7350006103516,41.4427837371826,47.0000801086426,0.561038448918463,0.352217657525513,0.0254991580732167,0.0511883229017258,0.227878496050835,0.602265149354935,0.916413202881813,0.976267433166504,0.990435644984245,28.5716118653512,3.66023467771809,21.9711015981735,23.3461415525114,26.0701198630137,28.85850456621,31.5022545662101,33.419703196347,34.1111700913242,71.0,23.8064676741479,5.6833588413878,17.4851503372192,18.2919998168945,19.9940996170044,22.2063007354736,25.936749458313,31.2394008636475,31.7947998046875
"[-8,-4)",772,21.4770695483746,12.6313993613562,5.05499994754791,6.80000019073486,11.3000001907349,18.4200000762939,30.2999992370606,40.5472034454346,45.310001373291,0.539138506328207,0.352652387756828,0.0133525559213012,0.0380696412175894,0.1906105466187,0.561315268278122,0.887956112623215,0.973755651712418,0.985716119408607,28.6950571663473,3.80962492730064,22.0056563926941,23.3274885844749,25.8853310502283,29.1009132420091,31.9071917808219,33.5632077625571,34.1884132420091,81.0,23.5213778578205,5.85062400377776,17.7777996063232,18.3143005371094,19.297399520874,21.9671001434326,25.9515991210938,31.710599899292,34.4496002197266
"[-4,0)",606,19.6068682981403,12.29721067809,5.03807485103607,6.56995010375977,9.97614979743958,15.8999996185303,26.9898624420166,38.7332992553711,44.7009496688843,0.480181941607466,0.35114999083778,0.0120804207399488,0.0301925223320723,0.138809323310852,0.433827728033066,0.841476678848267,0.964909285306931,0.986079066991806,28.6651673900267,3.86609312378206,22.1443207762557,23.0546232876712,25.7991438356164,29.0203767123288,31.8640410958904,33.8299086757991,34.4309931506849,46.0,23.0650405883789,5.09685232830449,17.2543745040894,19.201849937439,20.1068744659424,21.2831001281738,25.5359001159668,29.7447500228882,32.9440498352051
"[0,4)",299,21.0768206964767,13.1739632331827,5.2106499671936,6.75720014572144,10.1947498321533,17.8974494934082,28.5726499557495,42.1199989318848,45.540001296997,0.517965953394515,0.357323660021966,0.015746405813843,0.0317698173224926,0.156578667461872,0.547029912471771,0.861085623502731,0.978637659549713,0.988743954896927,28.187580366824,4.15033848337007,21.1721803652968,21.9675570776256,25.0763698630137,28.5188356164384,31.8764269406393,33.6477397260274,34.2139726027397,38.0,24.377993357809,4.60828899359661,19.0186047554016,20.0255403518677,22.1922755241394,23.275050163269,24.6556754112244,30.4657293319702,35.3875102996826
"[4,8)",793,22.2151511364897,12.3525269401624,6.5,7.92924976348877,12.3000001907349,20.1000003814697,30.58424949646,40.6200004577637,46.2162017822266,0.564314107136454,0.340100190454972,0.0306219693273306,0.0619679778814316,0.239477351307869,0.638425290584564,0.88584166765213,0.972926950454712,0.989568102359772,28.8249838771903,3.8096295827979,21.9845890410959,23.2223059360731,26.0803652968037,29.1715753424658,31.7300228310502,33.950502283105,34.4256849315069,94.0,23.751472241701,5.36866364436024,18.6956998825073,19.0183303833008,20.5882000923157,23.6632995605469,26.8070993423462,30.3378192901611,32.4717004776001
"[8,12)",810,20.5491425187499,11.2930807691952,6.53147754669189,7.92924976348877,12.03036236763,17.75,27.175000667572,38.2999992370605,43.4536809921265,0.527564824652547,0.327479576874292,0.0296424950473011,0.0629292115569115,0.229208342730999,0.53846687078476,0.834273308515549,0.96094001531601,0.982292649149895,28.8088788826879,3.60505553075897,22.3919863013699,23.8330821917808,26.1392694063927,29.2092465753425,31.524200913242,33.535799086758,34.2757591324201,109.0,25.8386542119017,5.68197265907275,19.4884799957275,20.1618404388428,21.6713008880615,23.9512004852295,29.0174007415772,33.6728790283203,37.0003005981445
"[12,16)",922,20.1032275858774,10.1696714180513,7.02689733505249,8.60890007019043,12.4602499008179,18.2000007629395,26.1000003814697,34.17825050354,40.0849985122681,0.529543699499562,0.309654942145887,0.0410712843760848,0.0829194582998753,0.24770574644208,0.551228851079941,0.816308632493019,0.934917032718658,0.971714571118355,28.9406632890579,3.75875557045378,22.0324029680365,23.3461187214612,26.3378710045662,29.3036529680365,32.0715182648402,33.6856621004566,34.3590182648402,132.0,26.2201913631324,5.35896664784454,19.5846496582031,20.0796104431152,22.0053000450134,25.2693996429443,29.7475996017456,33.5923107147217,35.9908149719238
"[16,20)",1145,19.9725966726328,10.5521529727637,7.03843984603882,8.78200035095215,12.3000001907349,17.5,25.3736000061035,35.2599998474121,42.5007804870605,0.518159934404491,0.310043573697538,0.0416797392070293,0.0871884524822235,0.243797093629837,0.52289217710495,0.802034795284271,0.940808570384979,0.980052876472473,28.7765907957967,3.68118829794649,22.1999315068493,23.5812328767123,26.1686073059361,29.0505707762557,31.8397260273973,33.5241552511416,34.2606621004566,198.0,26.2045383879332,7.03780629818418,18.5651844024658,20.0978797912598,21.5645008087158,24.665150642395,29.0649251937866,35.4884311676025,41.0714645385742
"[20,24)",1217,19.3312194135802,9.58980810396086,7.02304983139038,8.82127017974853,12.3999996185303,17.3999996185303,24.6000003814697,32.9000015258789,37.5999984741211,0.510057049432045,0.299523412781844,0.0434436343610287,0.0898519083857536,0.245163649320602,0.518693804740906,0.776142418384552,0.918690729141236,0.957528424263,28.8997866037828,3.65889021540369,22.3374657534247,23.7446803652968,26.2480593607306,29.2503424657534,31.8146118721461,33.6690639269406,34.3626712328767,195.0,26.2182548294719,6.54739150547294,18.2347599029541,19.3491394042969,21.6179008483887,24.5351009368897,29.7449998855591,35.1520800272624,39.4779453277588
"[24,28)",1158,18.913022457215,9.44518562996792,6.89400010108948,8.82481517791748,12.3999996185303,16.7646999359131,23.2000007629395,33.1899993896484,38.8299993515014,0.49542894049945,0.294693377131392,0.0377445921301842,0.0890037149190903,0.243277855217457,0.492290839552879,0.742901667952538,0.922172027826309,0.964303842186928,28.8902053217246,3.59833156075987,22.5370376712329,23.8687100456621,26.3080194063927,29.0912100456621,31.8613299086758,33.5597831050228,34.2181678082192,246.0,25.8949412188048,6.43762850520163,17.6733250617981,18.7555494308472,21.3332996368408,24.3728003501892,29.3382127285004,35.7195987701416,39.2405078070504
"[28,32)",1131,18.4542454047924,8.93454198317625,7.2247998714447,8.60890007019043,12.233699798584,16.7000007629395,22.7000007629395,30.8999996185303,37.2000007629395,0.486443197264198,0.289771260325499,0.0448401514440775,0.0871884524822235,0.236554600298405,0.484153032302856,0.730238199234009,0.895893156528473,0.953250229358673,28.8589504378475,3.69385194302319,22.2282534246575,23.6147260273973,26.2192922374429,29.137899543379,31.8805936073059,33.6122146118722,34.2954337899543,249.0,25.3008099393832,6.11082710930314,18.0862396240234,19.0520000457764,21.0614500045776,23.6651992797852,27.8875999450684,34.9468795776367,39.2486198425293
"[32,36)",1127,18.0516849361697,8.663521740435,7.47615003585815,9.0620002746582,11.9549999237061,16.2999992370605,22.1000003814697,29.9399997711182,35.1152496337891,0.472730163777128,0.283336460609199,0.0506102405488491,0.101169815659523,0.222396343946457,0.456412881612778,0.709539771080017,0.880886089801788,0.938060665130615,28.9214493361371,3.64455454231453,22.3901369863014,23.735799086758,26.4009703196347,29.1687214611872,31.7984589041096,33.6958904109589,34.438401826484,237.0,26.3645733821241,6.87085903626111,18.2868003845215,19.4333599090576,21.3675003051758,24.9134998321533,28.943499883016,36.9496200561524,40.5639198303223
"[36,40)",1106,18.1181575948032,8.82151415177381,7.47615003585815,8.60890007019043,11.7805995941162,16.2999992370605,22.6000003814697,30.0,35.9910879135132,0.473418198105268,0.290038713188159,0.0494893956929445,0.0831276103854179,0.212976697832346,0.456029087305069,0.721158564090729,0.881476819515228,0.945369318127632,28.9097561453921,3.63082230457961,22.0991438356164,23.6736872146119,26.5439783105023,29.2077625570776,31.8161529680365,33.5380136986301,34.2242865296804,302.0,25.2314847881882,6.32531290153106,17.9281997680664,18.6361392974854,20.7265000343323,24.1939001083374,28.5623993873596,32.7414601325989,36.7845993041992
"[40,44)",1142,18.3326626677856,8.73894343536515,7.59999990463257,9.00620002746582,11.8999996185303,16.5,22.9749999046326,30.3957696914673,35.5999984741211,0.482286895686559,0.289068069455483,0.0533277176320553,0.0957386329770088,0.221367333084345,0.467587873339653,0.736014202237129,0.892228418588639,0.943784072995186,29.0378939455733,3.64492749207369,22.6262614155251,23.823698630137,26.2537385844749,29.5680936073059,32.096803652968,33.6498173515982,34.2518493150685,299.0,25.3711813832548,6.906553186668,17.6972703933716,18.5877094268799,20.5092000961304,24.0443992614746,27.6589002609253,34.1215187072754,39.3559608459473
"[44,48)",1118,18.0847065791035,8.51835762160596,7.59999990463257,9.0620002746582,12.0,16.5,22.5571126937866,28.8599994659424,34.7150005340576,0.474956512806021,0.283703085530269,0.0554352341219783,0.0934958532452583,0.224692791700363,0.468498036265373,0.72311182320118,0.871024793386459,0.937937620282173,29.2651353730161,3.59184139526839,22.649600456621,23.9045091324201,26.8455194063927,29.6366438356164,32.251598173516,33.7934246575342,34.4398287671233,303.0,26.0731118953998,6.60524489101937,18.1926098823547,19.289400100708,21.1471004486084,24.4444007873535,29.4214506149292,36.3149589538574,38.2635896682739
"[48,52)",1096,17.5882100676098,8.57910019808686,7.02304983139038,8.65444993972778,11.5540504455566,15.8584995269775,21.7999992370605,28.785924911499,34.7250003814697,0.454688876637982,0.284716120932711,0.0395041396841407,0.0865544676780701,0.204222612082958,0.436114490032196,0.699447453022003,0.863020211458206,0.934339717030525,29.2057123454321,3.56625805711349,22.7981735159817,24.0270547945205,26.6851598173516,29.6271118721461,32.0777397260274,33.7845890410959,34.3399257990868,295.0,25.9702773910611,6.68574389800129,17.5894603729248,19.0121601104736,21.331600189209,24.464599609375,28.7900748252869,36.1271873474121,39.9024398803711
