week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",3205,7.23196724053478,9.64339909371808,2.59999990463257,3.48100001811981,4.80000019073486,6.19999980926514,7.80000019073486,9.80000019073486,12.0800003051758,0.51279821307531,0.28425613072213,0.0613658115267754,0.114232383668423,0.268946409225464,0.513921022415161,0.763208568096161,0.900146579742432,0.944789469242096,28.3306731419942,3.80071082196858,21.7768721461187,22.9573287671233,25.4914383561644,28.4035388127854,31.4043378995434,33.548196347032,34.2662328767123,898.0,24.5442114899411,5.57882602039198,17.9001543045044,18.7448398590088,20.7611999511719,23.2294502258301,27.0932102203369,32.7949655532837,35.8646810531616
"[-56,-52)",3439,6.78788339931385,4.78193829065237,2.59999990463257,3.5,4.80000019073486,6.30000019073486,7.80000019073486,9.60000038146973,11.5,0.512716306320136,0.280487155857932,0.0634130924940109,0.115871950984001,0.275264203548431,0.521038591861725,0.753927946090698,0.893087506294251,0.936835813522339,28.2684006381275,3.81808061198091,21.7355821917808,22.8315296803653,25.3940639269406,28.4261415525114,31.3120433789954,33.3606392694064,34.1761643835617,965.0,24.383246941137,5.66998357835729,17.8216999053955,18.7824993133545,20.3428001403809,22.9480991363525,27.1110992431641,32.2549606323242,35.1295799255371
"[-52,-48)",3567,6.86148443869058,5.6485438525945,2.70000004768372,3.59999990463257,4.8199999332428,6.30000019073486,7.80000019073486,9.69999980926514,11.6999998092651,0.515428783453098,0.280813366248126,0.0619424507021904,0.120774053037167,0.275264203548431,0.527993679046631,0.755738914012909,0.892699301242828,0.937900638580322,28.2966985866127,3.85567176383914,21.544600456621,22.8177397260274,25.4327625570776,28.4365296803653,31.4697488584475,33.4708904109589,34.2001369863014,966.0,24.6816141356126,6.0506473015097,18.0915369987488,18.8188991546631,20.6611995697022,23.2334995269775,27.3437995910645,32.5426008701325,35.7551765441895
"[-48,-44)",3914,6.75484415201597,4.48346384132382,2.59999990463257,3.40000009536743,4.80000019073486,6.28500008583069,7.80000019073486,9.69999980926514,11.3999996185303,0.510592467761558,0.281012191660901,0.0612568905577064,0.111414045095444,0.275682210922241,0.525691539049149,0.753927946090698,0.889862841367722,0.936661303043365,28.2954385148268,3.82041631898122,21.6711643835616,22.9362557077626,25.4146974885845,28.4327625570776,31.3309931506849,33.4885844748858,34.2532876712329,1084.0,24.4191465280586,5.49105553687542,18.1261003494263,18.9099796295166,20.4488003253937,23.1438999176025,27.0729002952576,31.852200126648,35.6479539871216
"[-44,-40)",4394,6.75551889336409,4.37618898498993,2.59999990463257,3.50599999427795,4.80000019073486,6.30000019073486,7.80000019073486,9.80000019073486,11.6000003814697,0.513338640495015,0.282481912972611,0.0613126941025257,0.120672112703323,0.270199447870255,0.525689899921417,0.761652231216431,0.898973405361176,0.939061462879181,28.3928790401191,3.82338048845292,21.5428310502283,22.7898630136986,25.587100456621,28.6694063926941,31.4436929223744,33.4805593607306,34.1717694063927,1211.0,24.4073621461229,5.4852615995143,17.9587998390198,18.75,20.4371747970581,23.1205997467041,27.3268995285034,31.6544990539551,35.6740493774414
"[-40,-36)",3992,6.65182390670387,4.3983727897792,1.89999997615814,3.0,4.59999990463257,6.1100001335144,7.80000019073486,10.0,12.3999996185303,0.495542313564276,0.295299413176,0.0266486849635839,0.0799194052815437,0.238981708884239,0.500815868377686,0.753927946090698,0.906051099300385,0.945423462986946,28.4109543573448,3.84311982805638,21.647049086758,22.7881735159817,25.4687214611872,28.6367579908676,31.5033961187215,33.5465410958904,34.2432819634703,1051.0,24.4183641785181,5.4732498335801,18.0679497718811,18.9020004272461,20.5457000732422,23.2254009246826,26.7885920206706,31.7082996368408,34.785551071167
"[-36,-32)",936,3.46333973816572,4.30415579206772,0.200000002980232,0.400000005960465,0.800000011920929,1.70000004768372,5.32500016689301,8.30000019073486,10.8000001907349,0.207568968788234,0.310598560893189,0.0008543572039343,0.001433523138985,0.0048124054446816,0.0234098676592112,0.357083238661289,0.787619382143021,0.912065580487251,28.1822171486555,3.74547940713014,21.4275684931507,22.9749429223744,25.5692922374429,28.221803652968,30.921546803653,33.3393264840183,34.1549657534247,267.0,23.8570796219193,5.25647337873478,17.6514797210693,18.3743999481201,19.8571500778198,22.9333992004395,26.3465003967285,31.4951801300049,34.3268348693848
"[-32,-28)",138,4.67963045646531,7.32190369909381,0.200000002980232,0.300000011920929,0.53499998152256,2.30000007152557,6.75250017642975,9.83000001907349,12.4299997329712,0.295468064899214,0.355515445569153,0.0008529854239895,0.0011774076963774,0.0030516193364746,0.0445887930691242,0.5993482619524,0.903632235527039,0.938831815123558,28.3966415194229,4.08401995609353,21.175296803653,22.2535502283105,25.1344748858448,29.0434360730594,31.7577625570776,33.3821347031963,34.051752283105,33.0,23.0771267438176,3.1028677540155,18.7250995635986,19.696900177002,20.8208999633789,22.3827991485596,24.7951329549154,27.4779804229736,29.0376201629639
"[-28,-24)",44,3.97090911424973,4.05904324877447,0.100000001490116,0.200000002980232,0.375000007450581,2.54499995708466,6.47500002384186,8.56000013351441,10.734999704361,0.29087916274437,0.343895323755097,0.0002124381891917,0.000464908851427,0.0027630267431959,0.0643243044614792,0.468751557171345,0.882242786884308,0.940084388852119,27.417950913242,3.83437715528364,21.0510159817352,22.1396575342466,24.2247146118721,27.6998287671233,29.9154680365297,32.8162442922374,33.5803652968037,13.0,25.7158077680148,5.20625426178454,18.3384601593018,18.9451202392578,23.0111999511719,24.6711006164551,29.3204498291016,31.5747507095337,33.7486402511597
"[-24,-20)",21,4.98566667593661,4.05967677843157,0.100000001490116,0.100000001490116,0.400000005960465,6.5,7.0,9.19999980926514,11.6000003814697,0.416861502952608,0.359631616749745,0.0003669051511678,0.0003669051511678,0.0012664640089497,0.552240192890167,0.693725943565369,0.888044595718384,0.909017205238342,28.6142965862144,3.81215033638701,21.0147260273973,23.9682648401827,25.8914383561644,29.6284246575343,30.9244292237443,33.4012557077626,33.5351598173516,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
