week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",11561,57.8571288600443,10.8665925294556,40.4000015258789,44.5999984741211,50.9000015258789,57.5999984741211,64.4000015258789,71.5,76.5999984741211,0.553921779947004,0.298255275504825,0.0609705932438374,0.122210711240768,0.298031032085419,0.575461268424988,0.825084865093231,0.944718241691589,0.97420996427536,28.015656568948,3.89171773385641,21.3324200913242,22.4593607305936,25.0474885844749,28.1675799086758,31.1544520547945,33.2672374429224,34.0747716894977,3049.0,24.0950526128359,5.50938339851577,17.9134998321533,18.7476001739502,20.3309993743897,22.8570995330811,26.3465003967285,31.25,34.894401550293
"[-56,-52)",12155,57.9450061331851,11.1658507654183,40.2999992370606,44.4000015258789,50.75,57.7000007629395,64.6999969482422,71.9000015258789,76.8000030517578,0.555642177883999,0.302212441324052,0.0574548773467541,0.118854036927223,0.29183766245842,0.582613945007324,0.83383110165596,0.94807243347168,0.975223362445831,28.0585736181627,3.92180396232775,21.3129109589041,22.3999543378995,25.0683789954338,28.2336757990868,31.2216324200913,33.3601141552511,34.1829908675799,3300.0,24.2199641920936,11.6930415467033,17.8980007171631,18.796199798584,20.4381999969482,22.7796993255615,26.2595996856689,31.150184413365,34.8899002075195
"[-52,-48)",11606,57.8279079676584,11.0501678764671,40.2999992370606,44.4500007629395,50.7999992370606,57.5999984741211,64.3000030517578,71.6999969482422,77.1749973297119,0.551256421070091,0.299482054536714,0.0579237872734666,0.120473518967628,0.29183766245842,0.572479903697968,0.822765171527863,0.946745634078979,0.975933268666267,28.0999277062644,3.92484927135517,21.3524543378995,22.4335045662101,25.0863584474886,28.2860730593607,31.2749429223744,33.3803082191781,34.1573344748858,3182.0,24.1175061066014,5.39344251425727,17.9687995910645,18.8092002868652,20.4466991424561,22.8597497940064,26.3869660695394,30.9307349205017,34.3746450424194
"[-48,-44)",11517,57.7307719016765,10.9294384934699,40.5799987792969,44.7000007629395,50.7000007629395,57.4000015258789,64.0999984741211,71.4000015258789,76.5999984741211,0.549658004207125,0.298342281928783,0.0599377386271954,0.122569768130779,0.29183766245842,0.568277895450592,0.819240510463715,0.944162106513977,0.974213242530823,28.0355538051156,3.93207031599856,21.2753652968037,22.3327397260274,25.0422374429224,28.2776255707763,31.2065068493151,33.3164155251142,34.0759589041096,3172.0,23.8672433017434,5.06258493598954,17.8538450241089,18.7304992675781,20.3125,22.7731990814209,26.1718997955322,30.6520704269409,33.798003578186
"[-44,-40)",10853,57.0301299359209,10.7126838944465,39.9000015258789,44.0999984741211,50.2999992370606,56.9000015258789,63.2999992370606,70.3000030517578,75.5399993896484,0.531757726082172,0.29645859523185,0.0543226040899754,0.114625871181488,0.272214442491531,0.547374784946442,0.795962810516357,0.933290159702301,0.969976019859314,27.9748524280684,3.94088971575863,21.2108219178082,22.3084246575342,24.9658675799087,28.1638127853881,31.137899543379,33.2810273972603,34.0954337899543,3135.0,23.9996440772883,5.29091307763568,17.7982801437378,18.6709003448486,20.4491004943848,22.6800003051758,26.3583498001099,31.1153713226318,34.6021003723145
"[-40,-36)",11164,57.0750089612583,9.93983621927254,40.5,44.9000015258789,51.0,57.0999984741211,63.0999984741211,68.9000015258789,73.3000030517578,0.53977259409883,0.28536048957664,0.0608359655365348,0.125844973325729,0.299838125705719,0.55824425816536,0.787271201610565,0.917390888929367,0.958499249815941,27.8950099001356,3.88586873527438,21.2884132420091,22.4002739726027,24.8914098173516,27.9844748858448,30.9706621004566,33.2053538812786,34.0730251141553,2973.0,24.0787294182052,5.4188854882192,17.8505992889404,18.75,20.3243999481201,22.8624000549316,26.3701992034912,30.8311992645264,34.1711795806885
"[-36,-32)",48781,61.7435128434789,8.63613661883119,46.9000015258789,50.7999992370606,56.5999984741211,62.2000007629395,67.4000015258789,71.9000015258789,74.6999969482422,0.687523374508031,0.248656746480862,0.174412712454796,0.295262306928635,0.534663379192352,0.759723603725433,0.89166921377182,0.94833505153656,0.966594099998474,28.1244814443718,3.79794812292244,21.5844748858448,22.702397260274,25.2698630136986,28.296803652968,31.1313926940639,33.2420091324201,34.0397260273973,11161.0,25.2562765452503,168.639147833921,17.7777996063232,18.6709003448486,20.3125,22.5827007293701,25.7630004882813,30.1194000244141,33.2985992431641
"[-32,-28)",64294,65.0969361969969,8.04902061997922,51.0999984741211,55.0,60.5,65.6999969482422,70.4000015258789,74.4000015258789,76.9000015258789,0.778579176450612,0.211949807636308,0.300420552492142,0.457303315401077,0.69521963596344,0.855522334575653,0.933301031589508,0.964424550533295,0.975291073322296,28.3370592201805,3.89060062683065,21.5214611872146,22.7132420091324,25.3928082191781,28.5949771689498,31.5187214611872,33.4776255707763,34.2070433789954,12897.0,23.9564375229843,5.18586179346482,17.8760402679443,18.7444931030273,20.3621006011963,22.7731990814209,26.2595996856689,30.8535205841064,34.051919555664
"[-28,-24)",42814,67.0951487761096,7.87803733726421,53.3650007247925,57.2999992370606,62.5999984741211,67.6999969482422,72.0999984741211,76.0,78.5999984741211,0.825016667210082,0.187434186049657,0.401248008012772,0.563630223274231,0.772221148014069,0.896480143070221,0.950406730175018,0.972156524658203,0.980555057525635,28.0100046116439,3.97061644692868,21.2694063926941,22.3063242009132,24.896946347032,28.1975456621005,31.2420662100457,33.3653767123288,34.132345890411,7414.0,26.6088059313153,206.879432572638,17.8505999088287,18.7809394836426,20.5499000549316,23.0468997955322,26.6345129013062,31.25,34.28284034729
"[-24,-20)",52150,69.1236605986401,6.99352165031028,56.9000015258789,60.2999992370606,65.0999984741211,69.5999984741211,73.6999969482422,77.1099983215331,79.3000030517578,0.869753267041311,0.149277952773525,0.547374784946442,0.687983632087708,0.843043208122253,0.92513781785965,0.960888683795929,0.976028144359589,0.982174530625343,28.354275817912,3.86580979601626,21.480747716895,22.7247602739726,25.4836757990868,28.6282534246575,31.4721461187215,33.4474885844749,34.1696974885845,8587.0,23.9092993162574,5.05390948803721,17.9151000976563,18.7318794250488,20.4237003326416,22.8374004364014,26.175199508667,30.4878005981445,33.7091835021973
