week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",3698,114.224580854516,29.800907014026,72.0,79.0,93.0,111.0,131.0,154.0,168.0,0.499814849396458,0.287546265326028,0.051957699470222,0.100548665225506,0.251082956790924,0.496478319168091,0.745427906513214,0.902106046676636,0.95168125629425,28.4054230535573,3.8072465892542,21.7926940639269,22.8840410958904,25.5263698630137,28.5763127853881,31.47274543379,33.5040410958904,34.1742351598174,1421.0,24.3951261967555,5.66727024577396,18.1075000762939,18.778299331665,20.569299697876,23.0517997741699,26.8124504089356,31.8878002166748,35.1562995910645
"[-56,-52)",3708,112.449973031284,29.0193022002271,70.0,78.0,92.0,110.0,129.0,150.0,165.0,0.486486087953758,0.286131407430437,0.0434255860745907,0.0884599924087524,0.238272674381733,0.487415313720703,0.725815460085869,0.884985667467117,0.941466829180717,28.3268896265264,3.8489715903647,21.6303025114155,22.7602168949772,25.4769691780822,28.5160388127854,31.516095890411,33.4123401826484,34.2140639269406,1414.0,24.0947673203321,5.3523524598012,17.8392205238342,18.6851005554199,20.4386749267578,22.8278334935506,26.4463005065918,31.2370004653931,35.2754411697388
"[-52,-48)",3590,113.472005571031,30.1918562722757,72.0,78.9,92.0,109.0,130.0,153.0,168.55,0.490228724724764,0.287893325814064,0.0505289414897561,0.0972596280276775,0.242056634277105,0.476498126983643,0.737831115722656,0.897702157497406,0.951692008972168,28.3539857989596,3.90374189015811,21.5264554794521,22.7890753424658,25.3743150684932,28.5529680365297,31.523401826484,33.5691324200913,34.2145605022831,1416.0,24.2278317674064,5.26090021288878,17.9507002830505,18.8188991546631,20.5155501365662,23.0545997619629,26.6728000640869,31.2452249526978,34.6259994506836
"[-48,-44)",3600,113.042777777778,30.6581978220976,70.0,78.0,92.0,109.0,130.0,153.0,169.0,0.486318101610393,0.291043549727023,0.0447426550090313,0.0889198951423168,0.226170148700476,0.479418486356735,0.734758019447327,0.899856239557266,0.951044261455536,28.4376911149163,3.83410605060132,21.7269920091324,22.8829337899543,25.5373002283105,28.754394977169,31.5087043378995,33.4639383561644,34.138144977169,1407.0,24.0139759383118,4.82608428702668,18.2867548942566,19.0520000457764,20.5828495025635,22.9480991363525,26.3465003967285,30.5462005615234,33.247900390625
"[-44,-40)",3733,112.875033485133,29.3243355270884,73.0,79.0,92.0,109.0,130.0,151.0,165.0,0.486518563772706,0.28616625125148,0.0553701929748058,0.0971148163080216,0.238682880997658,0.477661430835724,0.734450995922089,0.891313338279724,0.942830741405487,28.3687044586907,3.84725069425993,21.6393835616438,22.8021232876712,25.5296803652968,28.6200913242009,31.4694063926941,33.4584246575343,34.1718721461187,1485.0,24.2835245303569,5.59437303636428,18.0060802459717,18.7267192840576,20.5687999725342,23.0817199707031,26.7698001861572,31.7041103363037,35.0451194763184
"[-40,-36)",3934,109.949288256228,28.6902238235924,69.0,77.0,90.0,106.0,126.0,149.0,163.0,0.459102110324097,0.28461822240196,0.040692001581192,0.0810974761843681,0.211865723133087,0.440344154834747,0.691714227199554,0.873078185319901,0.935743737220764,28.2463282285566,3.90349169233735,21.5158847031963,22.7038926940639,25.2756563926941,28.409303652968,31.5049942922374,33.4009132420091,34.168002283105,1346.0,24.0362863460035,5.22414862990428,17.9687995910645,18.9387745857239,20.570999622345,22.9950499534607,26.2187995910645,30.4696502685547,34.118800163269
"[-36,-32)",8380,99.9080548926014,25.6505229273487,64.0,71.0,83.0,97.0,114.0,132.0,145.0,0.354735969719304,0.263616304789464,0.0221405252814293,0.0451602563261986,0.129413813352585,0.30267995595932,0.546839773654938,0.756800413131714,0.857736602425575,28.2267275040595,3.81879123531859,21.6366438356164,22.7456735159817,25.353595890411,28.3804223744292,31.2831335616438,33.3380136986301,34.1215867579909,2340.0,23.7959469379676,5.0742869941458,17.708009147644,18.6600155830383,20.3468499183655,22.6473999023438,26.0419424374898,30.6425354480743,34.0907413387299
"[-32,-28)",4088,104.571795499022,26.8968918064489,67.0,73.0,87.0,101.0,120.0,139.0,153.0,0.401949355904622,0.275104284995438,0.0290064550936222,0.0557153932750225,0.166810557246208,0.366973668336868,0.617533877491951,0.809887099266053,0.896403914690018,28.6991257405571,3.88512427946665,21.7837899543379,22.9916324200913,25.7982020547945,29.1269406392694,31.9003139269406,33.7049771689498,34.3725570776256,1016.0,23.9401875897589,5.13512853898858,17.9817008972168,18.6780004501343,20.4491004943848,22.8374004364014,26.1718997955322,30.7685995101929,33.8415498733521
"[-28,-24)",1887,120.146793852676,30.8755226565025,74.3,83.0,99.0,117.0,139.0,160.0,175.0,0.561623386547968,0.285624067478175,0.0674772471189499,0.134498181939125,0.328426420688629,0.587078869342804,0.815857470035553,0.925241732597351,0.964693731069565,28.2821141649304,4.00161736058202,21.312100456621,22.4365296803653,25.1188926940639,28.6063926940639,31.6023401826484,33.5373059360731,34.2211529680365,471.0,61.9860129555488,820.518108259819,18.1203503608704,18.8188991546631,20.5345001220703,22.75830078125,26.6902251243591,31.4417009353638,34.4790668487549
"[-24,-20)",1634,137.258261933905,34.7354714699363,88.0,97.0,113.0,134.0,157.0,182.0,200.35,0.700387031897258,0.25880562682988,0.184310845285654,0.292517802119255,0.533369481563568,0.775186598300934,0.918462112545967,0.975220376253128,0.991368040442467,28.5254761824919,3.9431300667428,21.4617123287671,22.8045890410959,25.5620433789954,28.810502283105,31.8057077625571,33.6239155251142,34.3401312785388,358.0,24.0520619195711,5.39842926457341,17.9894542694092,18.631575012207,20.4149255752563,22.8053002357483,26.9804744720459,30.4842500686646,33.0997038269043
