week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",1237,56.9725141471302,77.5213983689776,0.0,0.0,10.0,25.0,60.0,165.0,250.0,0.631609909989319,0.231475755883584,0.177250936627388,0.194366201758385,0.476398497819901,0.64323902130127,0.813764333724976,0.933970212936401,0.985738456249237,28.7587953068072,3.75095802686947,22.022397260274,23.2196575342466,26.1998858447489,29.1135844748858,31.7270547945206,33.6443835616438,34.3807762557078,362.0,23.4147060171487,4.59616055467979,17.8743194580078,18.518829536438,20.1771001815796,22.7073001861572,25.4748749732971,29.227689743042,31.8887530962626
"[-56,-52)",1379,55.9833212472806,77.4092596572817,0.0,0.0,10.0,20.0,60.0,165.0,250.0,0.617325862338787,0.243543875399983,0.175156742334366,0.178782448172569,0.475405544042587,0.592130064964294,0.817823767662048,0.932799506187439,0.985514044761658,28.7588571726584,3.60400490930721,22.2690182648402,23.519200913242,26.2440068493151,28.916095890411,31.6449771689498,33.4863698630137,34.2854566210046,341.0,23.9670116304218,5.31796964961399,17.9011993408203,18.7327995300293,20.2019996643066,22.8571500778198,26.063099861145,30.4867000579834,34.1700000762939
"[-52,-48)",1200,51.63125,74.5554804479513,0.0,0.0,10.0,20.0,50.0,150.0,250.0,0.610358166644971,0.234023550363098,0.17536735534668,0.189176872372627,0.475405544042587,0.578814446926117,0.794863641262054,0.922112047672272,0.985738456249237,28.7838874619483,3.64844611963889,22.1085901826484,23.5141780821918,26.2381278538813,29.0573630136986,31.5545091324201,33.6048858447489,34.3607191780822,329.0,23.7937137149905,5.41361363645285,18.0133598327637,18.6875396728516,20.1172008514404,22.5827007293701,25.8477993011475,30.8865406036377,33.9296285356794
"[-48,-44)",1279,55.8318999218139,76.9932158591132,0.0,0.0,10.0,20.0,60.0,165.0,250.0,0.626689114055194,0.230605144675618,0.176620155572891,0.199462363123894,0.476398497819901,0.611104905605316,0.816371262073517,0.933970212936401,0.985738456249237,28.702381105387,3.74389351418047,21.8817922374429,23.0887899543379,26.2353310502283,28.9982876712329,31.6359589041096,33.5098630136986,34.2612899543379,351.0,23.4830179085096,4.89163556165651,17.7119998931885,18.206600189209,19.9349994659424,22.6002998352051,26.3338994979858,29.7520999908447,33.1224250793457
"[-44,-40)",1265,60.7671936758893,82.5763297093869,0.0,10.0,10.0,25.0,60.0,250.0,250.0,0.63745067185564,0.22809914517305,0.177606418728828,0.459738731384277,0.476398497819901,0.633846759796143,0.819270968437195,0.984717845916748,0.986274361610413,28.5019846770264,3.80500128709404,21.6402739726027,22.9182191780822,25.8421232876712,28.7711187214612,31.602397260274,33.3855707762557,34.1516210045662,338.0,23.8674724687956,5.08674873138502,17.7051556587219,18.423999786377,20.3490748405457,22.5037250518799,26.4396870136261,31.2118326187134,34.1111012935638
"[-40,-36)",1253,48.2649640861931,69.5192185711083,0.0,0.0,10.0,20.0,50.0,150.0,250.0,0.61148817636257,0.219536781418785,0.177606418728828,0.200736403465271,0.476421117782593,0.582830309867859,0.788184225559235,0.917612671852112,0.985446572303772,28.2001203504284,3.69861237935647,21.7458447488584,23.0502283105023,25.4694063926941,28.3844748858448,31.2284246575343,33.1587442922374,34.0228310502283,331.0,23.6337248754943,5.86111116760844,17.5739002227783,18.36549949646,19.9509243965149,22.2656002044678,25.2016506195068,31.2091999053955,34.0428009033203
"[-36,-32)",7501,26.8292894280763,45.4883349957073,0.0,0.0,10.0,10.0,25.0,60.0,150.0,0.508986490964492,0.228364339999112,0.173965290188789,0.176620155572891,0.459738731384277,0.488835722208023,0.660166382789612,0.817823767662048,0.911760866641998,28.7402048372241,3.61035945669591,22.1434931506849,23.5933789954338,26.2261415525114,28.951598173516,31.5816210045662,33.5022831050228,34.2229452054795,1743.0,33.859080149072,426.561270019857,18.0259990692139,18.778299331665,20.3243999481201,22.6210999488831,25.7196502685547,30.1103000640869,33.2049007415772
"[-32,-28)",12200,26.8886065573771,46.42137770734,0.0,0.0,0.0,10.0,25.0,60.0,150.0,0.502232487872243,0.233284456001068,0.172853827476501,0.175156742334366,0.200736403465271,0.488835722208023,0.649654448032379,0.816745042800903,0.913702011108398,29.0798122707538,3.62685307209435,22.4173287671233,23.8994748858448,26.5563641552511,29.4204908675799,32.0202910958904,33.7187328767123,34.359845890411,2589.0,24.6525029676049,37.8462162424249,17.9002407073975,18.7323394775391,20.3856000900269,22.8328990936279,26.0932998657227,30.8478401184082,33.9156497955322
"[-28,-24)",7191,31.6859268530107,52.7635960446757,0.0,0.0,10.0,10.0,25.0,66.0,150.0,0.532726563404489,0.228751794722324,0.173965290188789,0.176620155572891,0.463779330253601,0.503419458866119,0.676301717758179,0.842034041881561,0.917612671852112,28.9030516487822,3.78535983878645,22.0094748858447,23.3738584474886,26.2331050228311,29.2694063926941,31.9872146118722,33.7214611872146,34.3405821917808,1367.0,24.5595376647752,5.79315597614204,18.0696995735168,18.8904401779175,20.6514749526978,23.0468997955322,27.0552005767822,32.2066874186198,35.2796961784363
"[-24,-20)",6162,28.6040246673158,46.9788124241246,0.0,0.0,10.0,10.0,25.0,60.0,150.0,0.531958114460996,0.214888404315477,0.174024862796068,0.177250936627388,0.467635929584503,0.497408986091614,0.660166382789612,0.816371262073517,0.91517972946167,28.9713343974485,3.71261821107,22.1499771689498,23.5601712328767,26.3693493150685,29.3339611872146,32.003852739726,33.6909360730594,34.3406335616438,1047.0,24.3490574037846,5.3337355406682,17.6813901901245,18.6648204803467,20.673999786377,23.1247005462647,26.979100227356,31.1696804046631,34.9319911956787
