week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",151,29.0728476947507,4.06467603717003,22.4000005722046,24.0,26.5500001907349,29.0,32.0,33.2999992370605,34.8000011444092,0.499530800565035,0.279734892644688,0.0393136907368898,0.0953316241502762,0.280524805188179,0.496264308691025,0.754561603069305,0.837658524513245,0.90790331363678,29.6404752184826,3.47165591741219,23.3942351598174,24.8173515981735,27.3032534246575,29.9462328767123,32.585901826484,34.0146118721461,34.6823630136986,34.0,28.8390008748746,6.49153743043085,19.6814070065816,21.1122497558594,24.6617751121521,27.8625202178955,34.7288999557495,36.8919612884522,37.9708456039429
"[-56,-52)",143,29.5723775716928,4.1017716469604,22.110000038147,24.4999996185303,26.8999996185303,30.1000003814697,32.1499996185303,34.0,35.360001373291,0.535816607858426,0.276604710046696,0.0345972623676062,0.119035640358925,0.306633785367012,0.582390248775482,0.764928132295609,0.87688684463501,0.928030973672867,29.6661940798927,3.46978090863815,23.7322831050228,25.4014611872146,26.6462328767123,30.1159817351598,32.5435502283105,34.0411415525114,34.5982420091324,34.0,26.8814725501865,7.38806214799016,19.0178647041321,20.478080368042,22.4121994972229,23.8219003677368,30.1960501670837,37.4694402694702,43.6358434041341
"[-52,-48)",159,29.3852201557759,3.83163695792171,23.3999996185303,24.4599998474121,26.8000001907349,29.1000003814697,31.9499998092651,34.3199996948242,35.7700008392334,0.513146688564206,0.274664621975318,0.072285109013319,0.121274644136429,0.307554334402084,0.502643883228302,0.744952201843262,0.885073208808899,0.945592033863068,29.1960426179604,3.53911755465787,22.7952853881279,24.3629680365297,26.7707762557078,29.5795662100457,31.7777397260274,33.8305479452055,34.2592694063927,52.0,28.2309133492983,5.91809443643925,20.3694597244263,21.8998697280884,24.0231747627258,26.7826247215271,31.9750003814697,36.8434289932251,39.7268228530884
"[-48,-44)",144,30.3322916958067,4.90227022555084,23.7300005912781,24.9299997329712,27.1000003814697,30.1000003814697,33.4000015258789,35.5,36.8250015258789,0.565577818229536,0.286821158792286,0.0871572978794575,0.151935847103596,0.331301301717758,0.590094923973084,0.840200409293175,0.931840574741364,0.956284235417843,29.4097618594622,3.52434944511202,23.0106906392694,24.2142922374429,27.2542808219178,30.102397260274,32.0536815068493,33.6837328767123,34.5420262557078,43.0,27.9736808673356,6.48700548672632,19.5599496841431,20.0675804138184,22.2542495727539,26.6728000640869,32.8539168039958,35.1454990386963,37.0673686981201
"[-44,-40)",130,29.2803846285893,4.29276698565051,22.9449997901917,23.6900007247925,26.125,29.75,32.0999984741211,34.410001373291,35.8400011062622,0.510226325971934,0.293950792805887,0.0522229554131627,0.082955813407898,0.236682295799255,0.558580815792084,0.765149503946304,0.894739681482315,0.936251971125603,29.0372488584475,3.28744257393119,23.2209817351598,24.6738470319635,27.1386700913242,29.179394977169,31.7955764840183,33.3273858447489,33.7628824200913,34.0,26.7302788005156,6.39635181606724,17.6210655212402,19.4261604309082,22.7548499107361,25.4295749664307,30.3900377750397,35.6525997161865,36.9860122203827
"[-40,-36)",110,29.5422725850886,4.57861587585896,23.0900003433228,23.489999961853,26.0,29.3499994277954,32.2999992370606,36.0099998474121,37.6100004196167,0.524476331440647,0.30528640912791,0.057997116073966,0.0770508930087089,0.254905998706818,0.531528383493424,0.778964340686798,0.944827109575272,0.969504475593567,29.2982575757576,3.49181032181451,23.1633732876712,24.3157648401827,26.8652682648402,29.441894977169,32.2734589041096,33.9113242009132,34.3777910958904,36.0,25.9050742944082,4.94042756230789,18.8016743659973,20.3638496398926,22.2796750068665,25.7338500022888,28.6488630771637,32.8169002532959,34.6142696380615
"[-36,-32)",145,27.8479310200132,4.57288166776477,20.8399993896484,21.8399993896484,24.7999992370606,27.7000007629395,31.2999992370606,34.0999984741211,35.2000007629395,0.416324203714311,0.309134849627902,0.0150797354057431,0.0266800511628389,0.141425892710686,0.375635027885437,0.696010172367096,0.878024709224701,0.929672956466675,29.3631199811053,3.43385994894898,22.858698630137,25.0393835616438,26.5761415525114,29.6743150684932,32.3761415525114,33.463698630137,34.1665753424658,45.0,27.0138986587524,5.93002290620866,20.047200012207,20.3141998291016,22.0386009216309,25.7001991271973,31.0203990936279,33.7065391540527,35.8933792114258
"[-32,-28)",206,28.9684465741648,3.9401280116949,23.1750001907349,24.5500001907349,26.5250000953674,28.9499998092651,31.3999996185303,33.25,34.3750009536743,0.481314461376491,0.260236923561609,0.0599445439875126,0.122748550027609,0.274218164384365,0.493965476751328,0.705452904105187,0.833720803260803,0.896662846207619,29.3579941924901,3.44407124803179,23.5147260273973,24.3885273972603,27.0395547945206,29.4337328767123,32.0502568493151,33.7942922374429,34.4831050228311,47.0,26.2060565001576,5.49907273803267,19.0737495422363,19.5894996643066,22.3414506912231,24.3418006896973,30.3612829844157,34.0584182739258,35.6005187988281
"[-28,-24)",152,28.0805921240857,3.17050273294851,22.275,23.9099996566773,25.9749999046326,28.25,30.1000003814697,32.2000007629395,32.7999992370606,0.425634590862932,0.237990675097495,0.0359192796051502,0.090693885833025,0.230897635221481,0.436253920197487,0.588226899504662,0.776154708862305,0.810838639736176,29.5928450192262,3.62345942000837,22.4419121004566,23.7975684931507,27.7244577625571,30.3695776255708,32.4206335616438,33.8115867579909,34.055348173516,35.0,27.7495272681827,4.96608609826203,21.3260599136353,22.2363403320312,24.005500793457,26.4463005065918,32.3542162577311,34.9056213378906,35.8371646881104
"[-24,-20)",124,27.9741935037798,3.25889962140828,22.8299993515015,23.6900001525879,26.0,28.3500003814697,30.1000003814697,32.0999984741211,32.5699989318848,0.421981348337854,0.242818394818671,0.0522506276145577,0.0886111885309219,0.233470492064953,0.437786296010017,0.592642545700073,0.762695580720902,0.792555314302445,29.4246253130063,3.30677086319368,23.6903767123288,24.6720547945206,27.323002283105,29.8430936073059,31.7180365296804,34.0285159817352,34.3087728310502,29.0,27.1959476032476,5.48643734196582,20.9394195556641,21.9277606964111,23.1404991149902,25.7812995910645,30.4486999511719,33.7415588378906,34.3087409973145
