week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",204,28.3029333843904,6.46115014921464,19.4495544433594,20.7424503326416,23.1375756263733,27.3127498626709,33.3416252136231,37.5140899658203,39.1782384872437,0.635345795484004,0.26038854335721,0.140424756705761,0.247884155809879,0.432134300470352,0.669250905513763,0.868052512407303,0.931994092464447,0.95854280591011,28.758803943952,3.92860909236346,21.3345205479452,23.1172602739726,25.7705479452055,29.2191780821918,31.8712328767123,33.6772602739726,34.0546575342466,176.0,28.3372965724216,6.38462422042293,19.535774230957,21.1773748397827,23.1743745803833,27.3127498626709,32.9318190302168,37.0858497619629,39.3667159080505
"[-56,-52)",239,28.0903431481397,6.65385169784713,19.2869901657105,20.5490600585938,22.9011001586914,27.3262004852295,33.1067504882813,37.2120399475098,39.7178607940674,0.618756480524745,0.276787864029433,0.114193852245808,0.197037589550018,0.396012336015701,0.683341205120087,0.862081527709961,0.938344824314117,0.962459975481033,28.854739592289,3.80704130996533,22.2424657534247,23.2772602739726,25.7575342465753,29.4082191780822,31.6383561643836,33.6931506849315,34.2895890410959,199.0,28.0101341573891,6.56120181912379,19.7143398284912,20.8281799316406,22.8499002456665,27.3262004852295,32.591365814209,37.2126403808594,39.9113237380981
"[-52,-48)",190,27.9942520944696,6.03516098442028,19.8883953094482,20.8958696365356,23.3064742088318,27.3437995910645,32.749475479126,34.9865818023682,37.9768402099609,0.638172046737255,0.247924081912072,0.169743868708611,0.262151697278023,0.47236405313015,0.699390977621079,0.841973215341568,0.91605196595192,0.946856945753098,28.6939864215333,3.87114664266669,21.4613698630137,22.8734246575342,25.9808219178082,29.3128424657534,31.5431506849315,33.7871232876712,34.4041095890411,159.0,28.3728405781358,5.97194128971913,19.9818551063538,20.9356994628906,23.3715496063232,27.7514667510986,32.8815507888794,35.7491441579966,37.5542929331462
"[-48,-44)",182,28.7317807857807,7.99352703992507,19.0478492736816,20.2887596130371,23.3156995773315,27.5239496231079,32.2016763687134,36.9887016296387,42.1537548065186,0.634304108927129,0.269322437184988,0.122428676858544,0.1821453794837,0.439208291471005,0.708711594343185,0.855092421174049,0.931128615140915,0.975895425677299,28.8188607055045,3.82588714988472,21.5849315068493,23.1528767123288,26.0753424657534,29.0671232876712,31.891095890411,33.8566552511416,34.3176712328767,155.0,28.2193452966901,6.561916566127,19.3538248062134,20.2847995758057,23.0957498550415,27.2679996490479,32.619300365448,37.0856941223145,41.9997695922852
"[-44,-40)",214,28.3127153967028,6.07347276941571,20.309174823761,21.2287097930908,23.9666748046875,27.5675497055054,32.3333740234375,37.2376804351807,39.9471008300781,0.637620990073187,0.249433456899536,0.185535561293364,0.267138540744782,0.454755745828152,0.689162075519562,0.848236307501793,0.930950593948364,0.957746922969818,29.5519283702471,3.70115502295061,23.0608219178082,24.3953424657534,26.7082191780822,30.3,32.5746575342466,34.2186301369863,34.5623287671233,171.0,28.0551323088212,6.1515572449031,19.5380249023438,20.7157001495361,23.4593992233276,26.9531002044678,32.5256500244141,37.1716995239258,38.3576984405518
"[-40,-36)",219,29.4098132582016,6.68063884363758,19.8791007995605,21.7250198364258,24.3864994049072,28.6287994384766,33.14674949646,38.5329406738281,40.7449783325195,0.679583649980287,0.246694951006061,0.166916309297085,0.290258598327637,0.52087464928627,0.733347237110138,0.885348677635193,0.950201296806335,0.971139001846313,28.9430417422489,3.96543792948933,21.0172602739726,22.4153424657534,26.1219178082192,29.813698630137,31.8397260273973,33.8367123287671,34.3375342465753,134.0,29.4127317617706,7.02335196112606,20.0685449918111,21.2348794937134,23.8293251991272,28.7948166529338,34.5429625511169,38.8889420318604,40.2344017028809
"[-36,-32)",364,27.4832239648798,6.11504763436987,19.682069683075,20.8289798736572,22.8328990936279,26.1505002975464,31.6443004608154,36.0222305297852,38.3683536529541,0.60701168032624,0.250053041655683,0.151376961171627,0.254764166474342,0.427622154355049,0.619272828102112,0.826242193579674,0.920687484741211,0.941112896800041,29.0426344773948,3.74406579035478,21.9693150684932,23.4043835616438,26.5342465753425,29.3972602739726,31.9335616438356,33.7665753424658,34.471095890411,130.0,28.6098839009114,5.98167333489644,19.9573001861572,21.8236597061157,23.5830507278442,28.0896666844686,33.4853982925415,37.0553296089172,38.0270901679993
"[-32,-28)",535,28.1580052794697,6.64558717797825,19.1318500518799,20.2540802001953,23.0574998855591,27.5872993469238,32.3081493377686,36.7182197570801,40.0769603729248,0.63049293366461,0.266904978889098,0.122112084180117,0.200624525547028,0.43655914068222,0.695189952850342,0.85246667265892,0.930806219577789,0.959798455238342,28.6603608159433,3.60774772836603,21.9638356164384,23.561095890411,26.2054794520548,29.0904109589041,31.2027397260274,33.3605479452055,34.232602739726,147.0,28.7370226467084,6.96272049214826,19.5777296066284,20.3833801269531,23.1360006332397,27.4755992889404,34.2494249343872,37.5163993835449,40.2006513595581
"[-28,-24)",771,28.9650425311038,6.36059463923463,20.1521501541138,21.4843997955322,24.1022500991821,27.9155006408691,33.2030982971191,37.7412986755371,40.5862998962402,0.671791427211378,0.236363142967659,0.187852866947651,0.317146599292755,0.529067099094391,0.711809933185577,0.863507777452469,0.939998090267181,0.968331307172775,28.8867263057525,3.61461969089972,22.4520547945205,23.7643835616438,26.0931506849315,29.2301369863014,31.8041095890411,33.6767123287671,34.3821917808219,215.0,30.3108230952013,6.91724445794872,20.3396595001221,21.9289001464844,25.0995006561279,30.0711994171143,33.7924995422363,40.1219005584717,41.5067096710205
"[-24,-20)",844,29.2244276051273,5.99495733926722,20.7031002044678,21.8299999237061,24.6711006164551,28.6021995544434,33.1452741622925,37.032479095459,40.3420310974121,0.689454463689165,0.227848491029397,0.220556212961674,0.344640353322029,0.559957846999168,0.743854492902756,0.86660535633564,0.93429274559021,0.96128576695919,28.7491512746435,3.76536640572858,22.2197260273973,23.5421917808219,25.7308219178082,29.0191780821918,31.9034246575343,33.6328767123288,34.4468493150685,205.0,29.1442491739608,6.22952640261228,20.5800800323486,21.3156597137451,23.9361000061035,29.0732002258301,33.320499420166,37.4579200744629,40.1476409912109
