week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",233,113.787553648069,13.247842034027,95.0,100.0,107.0,114.0,120.0,128.0,133.4,0.596063856920827,0.282086793821307,0.0874142765998841,0.211286586523056,0.348522782325745,0.596488475799561,0.849305987358093,0.946926462650299,0.971959972381592,28.8353655907657,3.7406150990145,22.6832191780822,23.4688584474886,26.1078767123288,29.0239726027397,31.6393835616438,33.8843607305936,34.4338812785388,103.0,26.7244527201051,7.13044601899238,18.8272092819214,20.0855392456055,22.2359504699707,25.3444004058838,29.5766000747681,35.4799194335938,37.6201183319092
"[-56,-52)",245,112.073469387755,13.3121689600987,92.0,100.0,105.0,111.0,120.0,126.0,130.0,0.552444317797199,0.283598362663645,0.0578458681702614,0.188071128726006,0.302586078643799,0.554681301116943,0.831179082393646,0.920030689239502,0.955403125286102,29.1488020687727,3.58809528715631,22.9243150684932,24.1873287671233,26.3711187214612,29.3981735159817,31.9519406392694,33.6379908675799,34.6325570776256,135.0,26.8296036814466,6.46919164223948,18.4049995422363,20.2083602905273,22.0495004653931,25.4027996063232,31.1380004882813,35.6430466651917,37.7844428062439
"[-52,-48)",234,114.173076923077,11.488890021468,98.3,100.0,106.25,111.5,120.0,130.0,134.0,0.584697895420668,0.282318635713031,0.118555609509349,0.208736211061478,0.326647564768791,0.554681301116943,0.852176621556282,0.960457801818848,0.975356194376945,28.6605217968232,4.10601280710583,21.0214326484018,22.0378767123288,25.8207191780822,29.2846461187215,31.7854737442922,33.9835730593607,34.5820034246575,114.0,27.1617757249297,6.27978232824323,19.8164397239685,20.3626197814941,22.1343746185303,25.5857000350952,32.7988397479057,34.5013298034668,36.0562985102336
"[-48,-44)",218,114.894495412844,11.4676610808777,96.0,100.0,108.0,115.0,122.0,130.0,133.15,0.606512511388288,0.281388389566186,0.0964019298553467,0.208104373514652,0.348548471927643,0.629492044448853,0.866286739706993,0.953707790374756,0.971955201029778,28.9869093251225,3.79813507897137,21.6520890410959,23.6452853881279,26.5140696347032,29.1288812785388,32.015953196347,33.8833333333333,34.3408789954338,111.0,27.6150040905104,6.20650982253613,19.4627504348755,20.077299118042,22.3601999282837,26.6096992492676,32.4017505645752,36.1626332600912,37.4896240234375
"[-44,-40)",213,114.1220657277,11.9737973144586,94.0,98.4,108.0,115.0,121.0,127.0,130.0,0.598979824522681,0.291775062205616,0.0717303469777107,0.13261154294014,0.343886017799377,0.659867405891419,0.852420628070831,0.933738613128662,0.963868796825409,28.880601110468,3.66415190292658,22.0032191780822,23.1733333333333,26.4369863013699,29.2946347031964,31.6889269406393,33.3574200913242,34.3103881278539,107.0,27.3548179385818,6.07032505011692,20.0359848022461,20.8981601715088,22.6724755764008,25.9106998443604,30.9043998718262,35.6475189208984,38.1693988800049
"[-40,-36)",196,114.908163265306,10.2283785563087,100.0,101.0,109.75,115.0,120.0,127.0,132.25,0.619400523588708,0.261276797036585,0.206225108355284,0.226440072059631,0.468327455222607,0.637494146823883,0.849840641021729,0.932562470436096,0.968919605016708,29.1790961932718,3.86159194518579,21.8383276255708,23.1456621004566,26.6225742009132,30.0380707762557,32.0065924657534,34.0597602739726,34.4759988584475,88.0,26.5201246955178,5.54654530470041,18.5684553146362,20.664054775238,22.8078002929688,24.8884000778198,29.4777255058289,33.5047191619873,37.2453734397888
"[-36,-32)",525,112.6,11.1732112149982,95.2,99.0,105.0,112.0,120.0,126.0,130.8,0.555865037901593,0.284360649545268,0.0885600775480271,0.127877938747406,0.294347554445267,0.572670638561249,0.836613655090332,0.920289957523346,0.966501152515411,28.8418082191781,3.68720767909768,22.0148401826484,23.471095890411,26.1956621004566,29.313698630137,31.7004566210046,33.3919634703196,34.286095890411,153.0,27.9221639957303,6.56984727829774,19.044739151001,20.7810699462891,23.0680999755859,26.3465003967285,32.5078010559082,36.6767799377441,40.6240005493164
"[-32,-28)",1156,111.805795847751,11.705962929664,93.0,97.0,105.0,112.0,120.0,126.0,130.0,0.535692641818106,0.292481437110447,0.0652762316167355,0.105242393910885,0.289875984191895,0.562094807624817,0.836613655090332,0.918658822774887,0.954749166965485,28.581420442875,3.58575287626057,22.1281678082192,23.4984589041096,26.0633561643836,28.848801369863,31.4242579908676,33.2477739726027,34.0097602739726,294.0,26.7451342590272,5.98002352688555,18.8910455703735,20.0086397171021,22.0386009216309,25.6936995188395,30.927375793457,34.5479646682739,37.5163993835449
"[-28,-24)",1463,111.383458646617,11.2357640494599,94.0,97.0,104.0,111.0,120.0,125.0,129.0,0.519994317596111,0.291167608325038,0.0712883301079273,0.105116237699986,0.260446697473526,0.546288430690765,0.815295457839966,0.909150743484497,0.943862843513489,28.8616481271672,3.55491459129959,22.5587328767123,23.8630593607306,26.2285388127854,29.1707762557078,31.7012557077626,33.4859360730594,34.3395890410959,355.0,27.4600495499539,6.38252087432518,18.8564002990723,19.9405300140381,22.6470499038696,26.6436004638672,32.0191507339478,35.3766387939453,39.0893352508545
"[-24,-20)",1569,111.567134055662,11.6536533257099,93.0,97.0,103.0,111.0,119.0,126.0,130.0,0.519197747738472,0.28978914895995,0.0653062015771866,0.103072412312031,0.259279072284699,0.554392039775848,0.7279993891716,0.915946781635284,0.963763952255249,28.9210341781841,3.5648789885511,22.7042694063927,23.9200456621005,26.316894977169,29.2503424657534,31.7767123287671,33.5723744292237,34.3031506849315,360.0,27.6522421406817,5.95819663617116,19.0630394935608,20.3243999481201,23.1646494865418,26.5634002685547,31.7246994972229,35.4578590393067,39.0844724655151
