week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",10,398.437213134766,146.110463204767,270.654797363281,273.109582519531,276.5,346.4482421875,545,599.458489990234,603.229244995117,0.399976029992104,0.269847281577275,0.154903554171324,0.161209689080715,0.176219254732132,0.294419325888157,0.678084179759026,0.771704679727554,0.772400471568108,28.1850456621005,3.47858557421618,23.3033904109589,26.2769863013699,27.524200913242,28.1831621004566,29.1742294520548,30.5521461187215,32.5025570776256,2,35.9205493927002,6.66285434202582,31.680334854126,32.1514698028565,33.5648746490479,35.9205493927002,38.2762241363525,39.6896289825439,40.1607639312744
"[-56,-52)",5,427.39306640625,80.1224254875882,350.579248046875,357.434436035156,378,413.241271972656,450,511.2,531.6,0.496633917093277,0.144188646218437,0.362910610437393,0.372696214914322,0.402053028345108,0.43607571721077,0.594196438789368,0.656310212612152,0.677014803886414,30.0820319634703,1.72376504531037,27.9882191780822,28.1893378995434,28.7926940639269,30.633904109589,31.4337899543379,31.6311187214612,31.696894977169,2,29.0464496612549,13.0273818263487,20.7558746337891,21.6770496368408,24.4405746459961,29.0464496612549,33.6523246765137,36.4158496856689,37.3370246887207
"[-52,-48)",13,423.301581749549,205.580901757617,157.6,201.2,295,389.299987792969,503,724.8,738.4,0.432525838940189,0.310128957024601,0.0450511373579502,0.0788181841373444,0.263902425765991,0.325581401586533,0.54385381937027,0.899982035160065,0.913768243789673,28.3020723568669,3.89657715783452,22.9614611872146,24.6787442922374,26.1603881278539,29.0071917808219,31.9654109589041,32.749703196347,33.2027397260274,5,27.9098201751709,2.15109709943417,25.220059967041,25.5266201019287,26.4463005065918,28.6851005554199,29.7520999908447,29.7520999908447,29.7520999908447
"[-48,-44)",5,488,74.9733285909063,420.6,429.2,455,467,495,564.6,587.8,0.629774463176727,0.119185846284565,0.523599970340729,0.528065836429596,0.541463434696198,0.626341462135315,0.640718579292297,0.749016273021698,0.785115504264832,31.0733105022831,2.33349759243431,28.1970319634703,28.7740867579909,30.5052511415525,30.773401826484,33.0038812785388,33.2799771689498,33.3720091324201,2,29.3484487533569,13.1113855530528,21.0044140815735,21.931529045105,24.7128739356995,29.3484487533569,33.9840235710144,36.7653684616089,37.6924834251404
"[-44,-40)",10,407.397219848633,202.339510155222,217.1,225.2,253.284461975098,369.899993896484,457.525772094727,640.3,749.65,0.415100071579218,0.318707340445947,0.0803697716444731,0.0846483878791332,0.136221531778574,0.391458734869957,0.58002233505249,0.875813949108124,0.921298259496689,29.5216210045662,2.681737342841,25.3177397260274,25.327602739726,28.0039098173516,30.7628424657534,31.3783961187215,31.7196461187215,32.2287728310502,5,28.0643466949463,7.47124434894621,19.2527599334717,20.4628200531006,24.0930004119873,28.9811000823975,31.3823337554932,35.2464931488037,36.5345462799072
"[-40,-36)",11,402.181818181818,163.531537130804,222.5,242,289.5,373,485,568,660.5,0.407286816022613,0.273848307426535,0.069800540804863,0.0839381515979767,0.225190080702305,0.39264327287674,0.565460115671158,0.672425270080566,0.81054300069809,28.750300954753,2.74444041649006,24.1680936073059,24.4639269406393,27.8148401826484,28.7849315068493,30.7708333333333,31.233904109589,32.0026826484018,4,26.4365502198537,0.717155310103087,25.5820152282715,25.7734302520752,26.3476753234863,26.6667003631592,26.7555752595266,26.9155500729879,26.9688750108083
"[-36,-32)",3,371.333333333333,189.003527303946,233.7,241.4,264.5,303,444,528.6,556.8,0.311547850569089,0.31991127937574,0.0884593769907952,0.0986451596021652,0.129202507436275,0.180131420493126,0.428184978663921,0.577017113566399,0.626627825200558,25.6421613394216,1.79016534644307,23.9214726027397,24.157100456621,24.8639840182648,26.0421232876712,26.6203196347032,26.9672374429224,27.0828767123288,2,24.3735494613648,1.87616594993808,23.1795647621155,23.3122297286987,23.7102246284485,24.3735494613648,25.036874294281,25.4348691940308,25.567534160614
"[-32,-28)",4,642.93098449707,159.845540734572,469.3,487.6,542.5,664.5,764.93098449707,781.006756591797,786.365347290039,0.78029690682888,0.201918657780623,0.546705338358879,0.579698807001114,0.678679212927818,0.833695352077484,0.935313045978546,0.938176250457764,0.939130651950836,28.2812214611872,0.682491146627209,27.6391438356164,27.6875342465753,27.8327054794521,28.1940639269406,28.6425799086758,28.9446347031964,29.0453196347032,1,42.7159004211426,,42.7159004211426,42.7159004211426,42.7159004211426,42.7159004211426,42.7159004211426,42.7159004211426,42.7159004211426
"[-16,-12)",2,858,875.398195108946,300.9,362.8,548.5,858,1167.5,1353.2,1415.1,0.571174375712872,0.606451013759966,0.185231313854456,0.228113876283169,0.356761563569307,0.571174375712872,0.785587187856436,0.914234875142574,0.957117437571287,33.4831621004566,1.51115822495358,32.5214668949772,32.6283219178082,32.9488869863014,33.4831621004566,34.0174372146119,34.338002283105,34.4448573059361,0,,,,,,,,,
"[-12,-8)",1,744,,744,744,744,744,744,744,744,0.949814140796661,,0.949814140796661,0.949814140796661,0.949814140796661,0.949814140796661,0.949814140796661,0.949814140796661,0.949814140796661,32.5929223744292,,32.5929223744292,32.5929223744292,32.5929223744292,32.5929223744292,32.5929223744292,32.5929223744292,32.5929223744292,0,,,,,,,,,
