week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",48,344.139952818553,295.598404205893,107.8,120.558428192139,151.171913146973,196.230979919434,435.966865539551,698.331469726563,934.495083618164,0.491286591161043,0.296309534168827,0.0720128864049912,0.114446253329515,0.223616138100624,0.453932076692581,0.755722641944885,0.872619134187698,0.914239448308945,29.11799847793,3.20133810857658,23.9702682648402,24.6281506849315,26.5741438356164,29.7683219178082,30.9547089041096,33.2696461187215,33.4704680365297,13,24.3315104460105,3.00142607839644,20.8262599945068,21.2395066579183,22.9591007232666,23.4375,24.6770000457764,27.6562797546387,29.2944797515869
"[-56,-52)",47,488.448939871281,565.797490720102,138.287202453613,148.320977783203,174,295,525.363006591797,982.215539550781,1790.3314453125,0.571887724101543,0.283461687762433,0.165449160337448,0.227473145723343,0.302718266844749,0.645778596401215,0.813870489597321,0.953454971313477,0.988198864459991,29.1973015641698,3.3744732012549,23.3060844748858,24.9531506849315,26.7352739726027,29.2422374429224,32.1804794520548,33.3721689497717,33.9409931506849,12,25.3195984628465,4.64837927153844,20.3827503204346,20.5513440450033,22.1134327252706,23.1833992004395,28.3565254211426,31.5774147033691,32.8796680450439
"[-52,-48)",51,383.9576959049,337.778767794395,114.9069480896,135.838104248047,172.5,231.438751220703,508.428039550781,935,1059.66027832031,0.531429279814748,0.281618152677249,0.10589000210166,0.16331160068512,0.31401152908802,0.526030123233795,0.782796293497086,0.920944273471832,0.940694659948349,29.04482272361,3.5629159937395,23.6365296803653,24.6832191780822,26.1848173515982,28.7186073059361,32.0694634703196,33.9381278538813,34.5857876712329,13,30.4198768322284,9.4740967124197,20.2550193786621,21.0046794891357,24.6903991699219,29.9967002868652,31.097900390625,40.2603401184082,45.9819900512695
"[-48,-44)",37,411.372966044658,687.957953827746,98.1364501953125,103.660342407227,137,216,415.811431884766,748.28505859375,890.399999999998,0.463774862422331,0.305234402099773,0.0505137518048286,0.0609731525182724,0.181528270244598,0.428551405668259,0.752055585384369,0.868248605728149,0.910798752307891,29.107355300506,3.7870658398402,22.9916894977169,24.701803652968,25.9707762557078,29.5985159817352,32.3214611872146,33.9796118721461,34.4281050228311,6,32.9547913074493,11.4672617023921,23.5788497924805,24.5013999938965,26.3807252645493,28.6686999797821,35.7795486450195,45.6942739486694,49.8307118415833
"[-44,-40)",51,348.672058703853,291.66859544587,95,106,145.5,217,487.702774047852,737,903.412506103516,0.494253170329566,0.312505658801113,0.0473545379936695,0.0716318190097809,0.20521080493927,0.487046629190445,0.788539469242096,0.893558502197266,0.94020015001297,28.4351351956308,3.40673421410037,23.0572488584475,24.0586757990868,26.2611301369863,28.5679223744292,31.024200913242,33.4090182648402,33.7721461187215,10,27.0275298118591,6.10110845746249,19.3731001853943,20.4593999862671,23.2421998977661,25.0169749259949,32.7854995727539,34.0090341567993,35.0304665565491
"[-40,-36)",61,408.277837784564,343.460195964347,117,124,195,261,586.012878417969,811.357299804688,975,0.575228041908169,0.28909491678821,0.0983130149543285,0.156400173902512,0.394180625677109,0.563228249549866,0.849707961082459,0.919661462306976,0.934430301189423,27.8574238341193,3.7348152164548,22.5762557077626,22.6148401826484,24.9817351598174,27.4614155251142,30.7680365296804,33.0228310502283,33.6529680365297,17,21.4181236379287,3.01151865747678,18.9020004272461,18.9020004272461,18.9020004272461,19.9821500778198,23.5303993225098,26.3171600341797,26.4179203033447
"[-36,-32)",40,1030.36879882812,766.287408387051,284.5,311.603271484375,642.5,944.5,1174,1449.14296875,1881.05,0.882847529649735,0.126280078324611,0.589496243000031,0.663252055644989,0.867922022938728,0.938841789960861,0.96581394970417,0.977748411893845,0.99148722589016,28.9669834474886,3.23961288159229,24.2671118721461,26.0084132420091,26.5181221461187,28.2667808219178,31.297602739726,33.5782876712329,33.6835502283105,16,24.4771378040314,3.1899001538614,19.2583994865417,19.9635496139526,22.8036999702454,23.8728008270264,26.99347448349,28.3717002868652,28.5491757392883
"[-32,-28)",23,3439.48855458135,2057.22849184129,796.3,1087.51135253906,1985,3242,4196.19995117188,6326.6,6509.941015625,0.975657766279967,0.0536060032537325,0.911292886734009,0.934082138538361,0.984267920255661,0.996501743793488,0.998432129621506,0.998825943470001,0.998957204818726,28.8344798491165,3.41068180926729,22.7609132420091,24.1318721461187,26.9396689497717,29.1655251141553,30.9926940639269,32.6463926940639,33.5535159817352,9,26.7169225480821,3.86954635698724,21.6040996551514,24.7657001495361,26.3465003967285,26.5643005371094,27.3588008880615,29.8493202209473,31.6557601928711
"[-28,-24)",2,8760.5,2266.27723370289,7318.25,7478.5,7959.25,8760.5,9561.75,10042.5,10202.75,0.998395502567291,0.00140180418147234,0.997503399848938,0.997602522373199,0.997899889945984,0.998395502567291,0.998891115188599,0.999188482761383,0.999287605285645,27.5885844748858,3.41526117716927,25.4151255707763,25.6566210045662,26.3811073059361,27.5885844748858,28.7960616438356,29.5205479452055,29.7620433789954,0,,,,,,,,,
"[0,4)",1,86170,,86170,86170,86170,86170,86170,86170,86170,1,,1,1,1,1,1,1,1,29.648401826484,,29.648401826484,29.648401826484,29.648401826484,29.648401826484,29.648401826484,29.648401826484,29.648401826484,0,,,,,,,,,
