week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",52,453.557692307692,123.518580560132,260.1,270.8,375.75,455.5,538,572.7,648.1,0.574971827938078,0.315974934364955,0.0251591630280018,0.040585795417428,0.346937224268913,0.654504507780075,0.846867963671684,0.905576103925705,0.948089006543159,29.3683592377942,3.77409950488773,23.9682876712329,24.7730707762557,26.8307933789954,29.4054794520548,33.3864726027397,34.6586529680365,34.7441152968037,9,26.1740667555067,6.57616628513097,18.6307598114014,21.2771198272705,22.7189998626709,24.6567001342773,29.3878002166748,35.5020599365234,36.1935806274414
"[-56,-52)",68,453.691176470588,104.121378273247,316.35,338.4,389,445,492.25,557.6,598.65,0.575923560269396,0.253202201526309,0.142808476835489,0.190047109127045,0.39589861035347,0.616551488637924,0.747469365596771,0.878628504276276,0.916998910903931,29.8123724147193,3.58241420774275,24.0326997716895,24.7533675799087,26.7553082191781,30.3641552511416,32.5112728310502,34.3987671232877,34.7813755707763,21,28.2845553746299,8.55355595297482,18.8188991546631,20.4491004943848,22.7189998626709,23.8728008270264,34.5472984313965,43.288200378418,44.2814661661784
"[-52,-48)",60,445.966666666667,100.346174826248,333.6,347.9,376.25,421.5,498,574,674.3,0.546397088592251,0.251201718880202,0.181917874515057,0.234249565005302,0.33620697632432,0.536636263132095,0.777301490306854,0.894309371709824,0.962492924928665,28.7904318873668,3.85250234971691,22.2910102739726,23.6420091324201,25.404651826484,29.6473173515982,31.5319349315069,33.7964840182648,34.2093721461187,14,25.5419999531337,4.20634100046621,21.0426645278931,21.6861494064331,23.4029998779297,24.8640003204346,26.7920999526978,29.0116895675659,32.3430647850037
"[-48,-44)",48,429.84375,102.472318849137,295.85,308,357,413,474.25,585,597.3,0.497877010765175,0.293715401663658,0.0711776848882437,0.110953715443611,0.243773948401213,0.480653762817383,0.719665959477425,0.905230110883713,0.91932307779789,29.4947678843227,3.64930876948169,22.9646461187215,24.121997716895,26.8318778538813,30.7030251141553,32.5519406392694,33.4771575342466,34.174845890411,14,27.233192670913,8.12755955425888,19.144619846344,19.5312995910645,19.8178005218506,25.8487005233765,33.6325076421102,35.7825588226318,38.9322474797567
"[-44,-40)",48,444.666666666667,132.613714083878,315,318.4,359,408.5,485.25,667,725.55,0.510796944484658,0.294840365166403,0.128119297325611,0.139205503463745,0.280394732952118,0.500911757349968,0.759373128414154,0.952585619688034,0.972514325380325,28.500858542618,3.73724589592037,22.2346061643836,22.5163356164384,25.6317636986301,28.4157534246575,31.6573059360731,33.4903082191781,33.8564554794521,11,23.7301547310569,5.36331950846666,18.375,20.4517993927002,21.4513502120972,22.7189998626709,24.7573251724243,27.0538005828857,32.3058252334595
"[-40,-36)",32,415.40625,72.7824240459192,316.55,344.8,368,416,465.5,488.4,506.3,0.479793789156247,0.231680612525179,0.116374307498336,0.218628925085068,0.303943902254105,0.482116490602493,0.671369343996048,0.75337325334549,0.796459966897964,28.0197631278539,3.28481563013487,23.163453196347,24.1598059360731,25.3708904109589,27.4450342465753,30.6942636986301,32.9385159817352,33.0215753424658,14,23.8947748456682,3.25434979013369,18.794784450531,19.2977891921997,21.8724002838135,24.3366498947144,26.4963121414185,26.5625495910645,27.6311875343323
"[-36,-32)",50,518.32,132.926163331224,370.45,396.5,423.25,492,566,681.6,816.75,0.708233960270882,0.216121455233754,0.313749173283577,0.408107429742813,0.550014227628708,0.759925335645676,0.883102253079414,0.963255655765533,0.987054532766342,28.5352579908676,3.44954437338542,22.7366837899543,25.0780136986301,25.821147260274,28.9862442922374,30.5259132420091,33.3943493150685,34.0366894977169,17,26.2098233840045,5.53147394404109,20.0408199310303,20.3073997497559,20.8887996673584,25.5382995605469,30.6737003326416,32.9105201721191,33.8424987792969
"[-32,-28)",76,509.184210526316,104.754533461334,386.75,402,452,494.5,539.25,632.5,713.75,0.727449984412248,0.185586325510245,0.385673023760319,0.449059665203095,0.639055147767067,0.766591817140579,0.841804370284081,0.94242787361145,0.973400816321373,28.1553592886325,3.1670298317692,22.5149257990868,24.1151255707763,26.4455194063927,28.4886415525114,29.9043378995434,32.8919520547945,33.417551369863,11,27.5521997971968,6.06837572980655,19.9218502044678,20.7031002044678,22.5108499526978,27.3437995910645,32.9808492660523,34.5472984313965,35.5279998779297
"[-28,-24)",92,533.413043478261,87.0936280549749,413.55,440.3,474,533,586,642.7,667.8,0.788780618944894,0.167146669246715,0.529240697622299,0.602749443054199,0.705057695508003,0.841262727975845,0.906159907579422,0.940488284826279,0.95848089158535,28.7234713122891,3.42034285913282,21.8801198630137,23.5215867579909,27.7244577625571,28.5485159817352,31.145348173516,33.5498401826484,33.884948630137,17,29.5678706823611,7.40399214639093,20.8936401367188,21.2732799530029,23.6713008880615,28.3987007141113,32.9878997802734,37.2712593078613,39.6340782165527
"[-24,-20)",69,601.188405797102,116.275696130604,460.2,470,516,589,675,763.6,814.2,0.863969444364741,0.130634834555007,0.664968609809876,0.687231361865997,0.813075363636017,0.909732818603516,0.956311345100403,0.981485867500305,0.988197410106659,28.7076732181854,2.81545236859721,23.5025342465753,25.0717123287671,27.4945205479452,28.6231735159817,30.666095890411,31.9084931506849,32.4582876712329,11,28.2576771360455,7.72087714765905,19.8218994140625,20.576099395752,22.1609001159668,29.0006008148193,33.305716196696,34.6627006530762,39.461083094279
