week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",50,22.0045909976959,10.721681423756,9.66409997940064,12.6381199836731,14.3250000476837,19.4499998092651,25.8750004768372,33.5025638580322,49.4625497817993,0.587231272831559,0.269480646358666,0.11930077932775,0.249130979180336,0.375395573675633,0.597088575363159,0.817745581269264,0.920878154039383,0.994177532196045,29.3308242009132,3.34783634068244,23.9166438356164,25.040901826484,27.1810502283105,29.2026826484018,31.6632134703196,34.1860388127854,34.5513984018265,19,26.9967572898196,5.99356129260863,19.1355699539185,21.0529197692871,23.124400138855,26.2595996856689,30.045599937439,35.6347213745117,36.7300712585449
"[-56,-52)",54,19.0730370503885,9.1156225173724,8.09099988937378,9.9399998664856,12.4701874256134,18.1999998092651,22.7249999046326,30.3913803100586,38.7347724914551,0.510322783158497,0.291198391669775,0.0760029330849648,0.131605003029108,0.248503394424915,0.558008879423142,0.733123749494553,0.890116012096405,0.964265623688698,28.4919076610857,4.0336628270145,21.8941152968037,22.8400114155251,25.8509132420091,29.0670091324201,31.45,33.7276484018265,34.4224200913242,21,28.2557440344709,5.0802062549251,20.8299999237061,22.0386009216309,24.6096992492676,27.6601009368897,31.6443004608154,34.4496002197266,37.1716995239258
"[-52,-48)",45,19.5623821576436,9.52140132051426,7.97456016540527,9.35720024108887,12.1000003814697,17.2000007629395,26.0532493591309,34.0454292297363,36.9759994506836,0.510690877752172,0.310365762846058,0.0657044067978859,0.107716502249241,0.243449360132217,0.493733197450638,0.810303151607513,0.928067171573639,0.954540491104126,29.5639751395231,3.32361865821683,24.1883561643836,25.6844063926941,26.9077625570776,29.2147260273973,32.7569634703196,33.6244748858448,33.9617579908676,19,26.501569142258,5.83383042133234,19.3563642501831,20.4814598083496,22.8177995681763,25.0995006561279,29.7392997741699,32.2860000610352,34.1438772837321
"[-48,-44)",37,24.2564542615736,9.25627346546481,13.049280166626,14.1372001647949,17.7999992370605,21.6000003814697,29.5,35.1199996948242,43.7048309326172,0.678279534385011,0.238296572285918,0.289292818307877,0.336254584789276,0.530137121677399,0.6813023686409,0.877747356891632,0.936416411399841,0.982382893562317,29.7824386029866,3.39534597490308,23.7265525114155,25.4662328767123,27.7849315068493,29.6803652968037,32.8639269406393,33.9293150684932,34.2179908675799,12,26.2329539385709,5.37282915940902,19.1253504753113,19.6494602203369,23.0479497909546,26.4305248260498,28.9938093965704,29.1895256042481,33.6428828239441
"[-44,-40)",28,22.8069927692413,11.5204055673775,9.9020721912384,10.1999998092651,13.954487323761,19.351824760437,33.0573511123657,37.4700000762939,43.2282724380493,0.590816732496023,0.312751090389343,0.129342894256115,0.145754726231098,0.329472005367279,0.620926290750504,0.918071448802948,0.958068060874939,0.98018484711647,28.2293134377039,3.47737121548937,23.2639269406393,24.5362557077626,25.4251426940639,27.7505707762557,31.0535673515982,33.0558219178082,33.4010901826484,11,26.4532135183161,7.45388469312081,18.359724521637,18.8188991546631,22.1698503494263,24.6093997955322,28.1842498779297,37.8225994110107,39.8998498916626
"[-40,-36)",25,21.5285701370239,12.9621459589584,9.66000003814697,10.860000038147,13.8000001907349,15.8584995269775,22.3999996185303,44.3353202819824,46.7599998474121,0.524145148470998,0.299849461607122,0.134000679850578,0.170847603678703,0.326421737670898,0.428079187870026,0.72650009393692,0.983067011833191,0.98926842212677,28.5078356164384,3.16371961023789,23.6241324200913,24.4875114155251,26.1825342465753,28.8119863013699,31.1159817351598,32.0494063926941,34.0185388127854,6,26.4728278054131,6.0048839364219,20.8895001411438,21.0633001327515,21.9407749176025,24.7566995620728,29.929500579834,33.5984837214152,34.7752251625061
"[-36,-32)",54,24.2050675462793,11.6322947573741,6.4650000333786,9.98000001907349,15.6250002384186,23.3173246383667,32.0000004768372,39.8100006103516,42.5013498306274,0.6383748442383,0.316173302757662,0.0286170426756144,0.129476204514504,0.420142509043217,0.746414512395859,0.909773319959641,0.970097649097443,0.979628920555115,29.3661889058008,3.7557204337276,22.5319691780822,24.3789611872146,27.3358162100457,29.2392123287671,32.8241152968037,34.1116324200913,34.4797773972603,17,24.9563614620882,3.67265964523966,21.1407402038574,21.9345207214355,22.6002502441406,24.464599609375,26.6728000640869,29.681715297699,32.2237871805827
"[-32,-28)",45,29.8027009752062,12.2573323012847,12.5799999237061,16.0599994659424,19.7000007629395,28.1000003814697,39.7000007629395,45.7546203613281,49.3800010681152,0.76093145608902,0.254579299765289,0.270037788152695,0.428895163536072,0.617720246315002,0.858382821083069,0.970903813838959,0.988694262504578,0.993861627578735,29.5716007102993,3.39981646323326,23.5406849315069,24.7948858447489,27.4366438356164,30.1296803652968,32.0916666666667,33.8474657534247,34.3224429223744,15,30.2468541604501,6.16176436677947,22.0324892044067,23.6378795623779,25.6998500823975,32.6530990600586,34.8678065405952,36.8936790466309,38.0407192230225
"[-28,-24)",19,28.1944737685354,11.5767685743548,9.77200021743774,10.8400003433228,20.4499998092651,30.7999992370605,36.8372745513916,41.0464202880859,41.7488914489746,0.731960271142031,0.310645903300579,0.125253554433584,0.184730505943298,0.646334379911423,0.889798402786255,0.949087828397751,0.976279389858246,0.978490114212036,29.2566870944485,3.20702858220345,24.4984589041096,24.7967123287671,26.8885273972603,30.5712328767123,31.6612442922374,33.0445433789954,33.4487899543379,4,24.9280247688293,2.49030181862409,21.9010401725769,22.5714799880981,24.5827994346619,25.9594993591309,26.3047246932983,26.4593898773193,26.5109449386597
"[-24,-20)",14,27.9170068332127,9.6061526943294,16.0246730327606,17.7592353820801,20.9469375610352,26.3000001907349,34.0491609573364,37.5800003051758,41.3150100708008,0.770002137337412,0.21201698281592,0.433801566064358,0.523212081193924,0.654651969671249,0.824196189641953,0.92938905954361,0.960485166311264,0.97344599366188,28.6252690802348,3.59549353567443,22.9461586757991,23.5724200913242,27.2624714611872,28.8721461187215,31.6405821917808,32.4422146118721,32.9002625570776,3,22.9555832544963,5.9521911021749,17.0987851142883,18.1121200561523,21.1521248817444,26.2187995910645,26.3906497955322,26.4937599182129,26.5281299591064
"[-20,-16)",12,25.4698707858721,12.8703499080496,8.31393231153488,12.2364347457886,18.4999997615814,24.0664501190186,33.2000007629395,38.4799991607666,44.1549999237061,0.674598871303412,0.318893242520847,0.123714138683863,0.237445218861103,0.560260392725468,0.757528364658356,0.919174671173096,0.961085045337677,0.97753044962883,29.1981830289193,3.91403384170662,23.0984646118721,23.2880251141553,27.3331621004566,30.0974315068493,31.9734874429224,33.3725456621005,33.7806506849315,2,27.222749710083,2.9332911812396,25.3560146331787,25.5634296417236,26.1856746673584,27.222749710083,28.2598247528076,28.8820697784424,29.0894847869873
