week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",171,27.6894736819797,66.6036530116132,9.0,11.0,13.0,16.0,22.0,36.0,44.0,0.611383417261797,0.24703185621228,0.148120187222958,0.273231327533722,0.415919989347458,0.657867908477783,0.809663057327271,0.919350326061249,0.95359218120575,29.112468290208,3.56237274251179,22.7584474885845,24.302397260274,26.4931506849315,29.2859589041096,31.5625,33.8829908675799,34.4352168949772,55.0,28.4093974142364,7.25605952386946,19.6662895202637,21.0991729736328,23.3455495834351,26.6729497909546,32.0614004135132,39.6403602600098,42.5842098236084
"[-56,-52)",168,35.6505952335539,81.0935949217899,9.0,10.7,13.0,16.0,23.0,40.3,71.7500000000001,0.608261546718755,0.261220776548908,0.141148876398802,0.23038684874773,0.422817915678024,0.6300048828125,0.818303987383843,0.937863659858704,0.968929290771484,29.3203739943466,3.5752562688385,23.1028310502283,24.3756621004566,26.4549942922374,29.761301369863,32.416095890411,33.7393150684932,34.3011586757991,59.0,27.4841681489644,5.75766503652371,20.7837200164795,21.4627665201823,23.3196992874146,26.6728000640869,31.1841358457293,35.6511637687683,37.5017085075378
"[-52,-48)",178,26.5949438180816,45.8004518185031,9.0,11.0,13.0,18.0,27.0,38.6,62.1000000000001,0.644688062874072,0.266131788352608,0.123471579328179,0.244431301951408,0.477158725261688,0.715818703174591,0.873906344175339,0.932354027032852,0.964414584636688,29.4869997691242,3.5383863312907,22.8884817351598,24.6774315068493,26.9733447488584,30.1552511415525,32.4549942922374,33.8050456621005,34.2765125570776,74.0,27.2794810655955,5.39372990962485,19.4811543464661,21.9110898971558,23.7059245109558,26.5821504592896,30.0065751075745,33.8912858963013,37.7725791931152
"[-48,-44)",128,27.6500000059605,69.8278964168957,10.0,12.0,13.0,18.0,25.0,38.6,48.65,0.642168486461742,0.241163483313158,0.197616457939148,0.337017950415611,0.443076580762863,0.681366622447968,0.858997672796249,0.934200888872147,0.951084384322166,29.3183299443493,3.67265176733813,22.4669235159817,23.9165525114155,27.1482876712329,29.4870433789954,32.1228310502283,33.9241552511416,34.2985216894977,45.0,26.815480171688,5.54604890246382,19.493920135498,20.470719909668,23.1910991668701,25.3906002044678,29.2086505889893,35.7830589294434,37.9300399780273
"[-44,-40)",164,39.5402438931349,77.2620119634126,9.0,10.3,13.0,18.5,29.0,75.8000000000001,132.55,0.656276973032552,0.271791366733885,0.130618339776993,0.208416821062565,0.460853189229965,0.730874598026276,0.883020862936974,0.974358057975769,0.990571123361588,29.4721690889854,3.58437108351699,22.4025285388128,23.6407077625571,27.3754566210046,30.0578196347032,32.2127283105023,33.5247488584475,34.0587614155251,64.0,27.1030883093675,5.55395962441139,19.5866151809692,21.2306003570557,22.9204502105713,25.8685503005981,31.4478254318237,35.193510055542,37.2492889404297
"[-40,-36)",126,24.6936507906233,45.1482194498554,10.0,12.0,15.0,18.0,22.0,34.0,44.0,0.666995874369547,0.224329605578022,0.204137414693832,0.3519486784935,0.555714815855026,0.724441379308701,0.832029715180397,0.919414192438126,0.936206102371216,29.2642322606364,3.24756465501987,24.021803652968,25.0454337899543,27.1654680365297,29.3063926940639,31.6558789954338,33.8310502283105,34.4831050228311,32.0,28.195224104325,6.85678119683697,18.718949508667,19.5159395217896,24.3960747718811,26.525050163269,32.5732498168945,37.0651518249512,39.3872270107269
"[-36,-32)",323,26.7783281721936,38.4697464539427,9.0,11.0,13.0,18.0,28.0,42.0,65.0999999999998,0.64100267436289,0.27375414740248,0.124786499887705,0.245900201797485,0.43513548374176,0.712435066699982,0.880204796791077,0.944586431980133,0.966482824087143,29.299613003096,3.54987598899315,23.0335616438356,24.5562328767123,26.528196347032,29.5406392694064,32.0269406392694,33.8267579908676,34.4844748858448,91.0,26.5500377826202,5.68353860251565,19.3115501403809,20.3073997497559,22.7012748718262,24.2215003967285,30.3487831751506,34.9494018554688,36.6137504577637
"[-32,-28)",399,24.5719298228883,30.6508251006172,8.9,9.0,12.0,17.0,27.5,44.0,55.1,0.601589643580834,0.291664415433226,0.110642110556364,0.151125901937485,0.368993058800697,0.657867908477783,0.870551526546478,0.946099054813385,0.963023942708969,29.384152161225,3.54207490893178,23.3617694063927,24.592397260274,26.8394406392694,29.5158675799087,32.1236872146119,34.2344520547945,34.7056050228311,111.0,28.0194855013171,5.63697407699601,19.6120491027832,21.0937995910645,23.960599899292,27.1917991638184,32.015025138855,35.0764999389648,37.0700988769531
"[-28,-24)",260,20.4115384615385,20.1742376894362,7.0,8.9,11.0,14.0,21.25,35.1,55.15,0.523330870287744,0.299912495559617,0.033070551417768,0.111108446121216,0.278309710323811,0.547365963459015,0.798195615410805,0.927731829881668,0.96075267791748,29.1052932911837,3.5893932582547,22.1287214611872,23.7631735159817,26.5469178082192,29.5832762557078,31.9303938356164,33.6702397260274,34.2036301369863,73.0,28.4433219813865,6.19196099115961,20.7627605438232,21.2521202087402,23.3376998901367,27.7007999420166,33.0578994750977,36.0781993865967,39.6415199279785
"[-24,-20)",191,15.8382198972852,13.3729127224487,6.0,7.0,9.0,12.0,17.0,26.0,38.0,0.422216414152133,0.308788751756992,0.0108422213234007,0.0322876162827015,0.124207980930805,0.406158596277237,0.688849747180939,0.871818602085114,0.92779877781868,29.5322605130412,3.48748577639714,22.9873287671233,24.5600456621005,27.4710616438356,29.8639269406393,32.1489726027397,34.0098173515982,34.510502283105,50.0,27.8368334452311,6.39490899451982,19.2376445770264,19.7850494384766,22.9398002624512,26.4244003295898,33.5479454994202,37.3066291809082,38.0483499526978
