week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",433,5.06186296629667,2.93557310964771,2.20000004768372,2.57199993133545,3.40000009536743,4.40000009536743,5.80000019073486,7.57999992370606,10.273999786377,0.632157534573104,0.289272872066422,0.0997547909617424,0.16528192460537,0.422530263662338,0.689172685146332,0.891390085220337,0.96405394077301,0.989623057842255,29.0510202790345,3.43240589184953,22.9482876712329,24.3609360730594,26.8009132420091,29.2092465753425,31.8994292237443,33.606598173516,34.1077625570776,131.0,27.897799092698,7.79129604685364,17.4747009277344,19.42799949646,22.5827007293701,26.3701992034912,31.6394500732422,38.9738998413086,41.6416492462158
"[-56,-52)",421,4.6194774297524,2.50572813950713,2.09999990463257,2.59999990463257,3.20000004768372,4.1100001335144,5.30999994277954,6.80000019073486,8.39999961853027,0.591574847692681,0.28398776709019,0.0769487172365189,0.186390772461891,0.363451570272446,0.626993179321289,0.842745959758759,0.942959010601044,0.977181673049927,29.2376818078287,3.83183332803109,22.4885844748858,23.2683789954338,26.3440639269406,29.702397260274,32.4969178082192,34.224200913242,34.4940639269406,123.0,27.4493203250281,6.96104732097507,18.7487302780151,20.4684204101563,22.4219999313355,26.2712001800537,31.4328002929688,36.950843334198,40.815669631958
"[-52,-48)",396,4.74390572589204,2.23209151744973,2.17500001192093,2.50999999046326,3.40000009536743,4.30000019073486,5.55499994754791,7.4449999332428,8.44750022888184,0.617947822055468,0.28580684637123,0.0904707536101341,0.164881661534309,0.406378105282784,0.676443487405777,0.864646375179291,0.961917817592621,0.977558419108391,29.2273272104608,3.82420013994475,22.2343321917808,23.6749429223744,26.2503424657534,29.6803082191781,32.5051655251142,34.0135844748859,34.4850456621005,133.0,27.1745125531553,6.02567946092765,19.4439796447754,20.7046401977539,23.0468997955322,26.1718997955322,30.4272003173828,34.9009208679199,38.7290397644043
"[-48,-44)",348,4.68045978419397,2.21454425965033,2.23150001764297,2.56699993610382,3.20000004768372,4.19999980926514,5.69999980926514,7.33000016212464,8.67650022506714,0.599471940826919,0.291934203843374,0.0964335538446903,0.162995095551014,0.359170489013195,0.636768668889999,0.882539391517639,0.958836710453033,0.979188704490662,29.428907193093,3.48812166984209,22.8863470319635,24.6153538812785,27.294149543379,29.5997146118721,32.2016267123288,33.9398744292238,34.2904052511416,98.0,26.2289916336015,5.79406503401681,19.5312995910645,19.8178005218506,21.8224506378174,24.7262001037598,29.4210252761841,33.5478302001953,37.3802837371826
"[-44,-40)",379,4.35810026518588,1.88314289196184,2.11799988746643,2.50799999237061,3.09999990463257,4.0,5.20499992370606,6.35199995040894,7.20999984741211,0.567794063858354,0.28672552766887,0.0832024946808815,0.160562959313393,0.31874880194664,0.60037636756897,0.829420238733292,0.923871600627899,0.956763952970505,29.0134841748895,3.783686497785,22.1913584474886,23.4283789954338,26.1236301369863,29.365296803653,32.2057077625571,33.7050684931507,34.2769063926941,129.0,26.7711712950576,6.27446451491282,18.7658592224121,19.6951606750488,21.875,25.9106998443604,30.3253339131673,35.9582082475935,38.4733730316162
"[-40,-36)",336,4.58607143802302,1.98202190147147,2.07499992847443,2.59999990463257,3.29999995231628,4.20499992370605,5.54000020027161,6.88499999046326,8.27750039100647,0.606780325770593,0.287227127091378,0.0749718360602856,0.177984021604061,0.389560721814632,0.652261555194855,0.864618763327599,0.945888608694077,0.973793536424637,28.7534596515547,3.59283392130681,22.4598173515982,23.888698630137,26.1502568493151,29.1339611872146,31.5043378995434,33.7411529680365,34.4379851598174,107.0,26.8175865122409,5.92748025399266,19.1639696121216,20.2401996612549,22.8281497955322,26.3328990936279,29.7423753738403,35.0728934151786,38.2422008514404
"[-36,-32)",1132,4.95629416927432,1.70259449549287,2.70000004768372,3.0,3.79999995231628,4.77000021934509,5.84000015258789,7.28099994659424,8.19449968338013,0.687743689665775,0.246325025601535,0.199498722702265,0.303680184483528,0.527694880962372,0.756921082735062,0.890562534332275,0.95588093996048,0.97381574511528,29.0059849823322,3.60522505118393,22.6214497716895,23.8275,26.2603310502283,29.3858447488585,31.8522831050228,33.6537899543379,34.4038070776256,308.0,26.4321113149448,5.45125810812021,19.5166443824768,20.4879299163818,22.595862865448,25.106050491333,29.4097499847412,33.8341495513916,36.4969699859619
"[-32,-28)",1730,5.36423410439078,1.73231617810146,2.90000009536743,3.37900009155273,4.18499982357025,5.19999980926514,6.31750011444092,7.59999990463257,8.39999961853027,0.74860985865978,0.229066135071297,0.251545211672783,0.400523069500923,0.634105131030083,0.829488396644592,0.923018097877502,0.964874625205994,0.975929319858551,29.3018520864677,3.61368092721611,22.7992465753425,24.1812100456621,26.6317351598174,29.7612442922374,32.2041952054795,33.9503767123288,34.4243892694064,398.0,26.9338369928841,6.26162877968512,19.0345094680786,19.9183298110962,22.0552251338959,25.8760499954224,31.0614504814148,35.3826382954916,38.9065247535706
"[-28,-24)",1000,5.58632000243664,1.83429935924054,2.90000009536743,3.52899997234345,4.30750000476837,5.39499998092651,6.59999990463257,7.90000009536743,8.83099994659424,0.771340358028188,0.22081161265499,0.267591609060764,0.459149742126465,0.677076458930969,0.847060590982437,0.936234533786774,0.969156885147095,0.980249819159508,29.1262162100457,3.67336932196026,22.1173573059361,23.6133105022831,26.6412956621005,29.4903538812785,32.0825057077626,33.6587214611872,34.4068550228311,221.0,28.0471122181125,6.38899590128785,19.5716991424561,21.2306003570557,23.3726005554199,26.5625,32.8614006042481,36.0781993865967,37.5248985290527
"[-24,-20)",1213,6.19780708912081,1.91798938964773,3.40600008964539,4.0,4.80000019073486,6.0,7.34999990463257,8.69999980926514,9.40799980163574,0.832588709104631,0.184412563625623,0.422938960790634,0.586504137516022,0.773995101451874,0.90397310256958,0.959607541561127,0.979257357120514,0.984903287887573,29.4749260296559,3.48551960071822,22.9635844748858,24.4788127853881,27.1219178082192,29.9078767123288,32.2502283105023,33.8388127853881,34.3773744292238,254.0,27.1304073940738,5.59888592875243,19.8036997795105,20.4793403625488,22.7518630027771,26.2644500732422,30.4396500587463,34.375,38.1861335754395
"[-20,-16)",810,6.64877160243046,1.9828547924625,3.70000004768372,4.30000019073486,5.19999980926514,6.5,7.81750011444092,9.12799987792969,10.1319996356964,0.866682931017361,0.161806792702239,0.499905699491501,0.667968147993088,0.826313868165016,0.931207656860352,0.969125509262085,0.983186841011047,0.988353976607323,29.3664200349512,3.56435658130793,22.8982363013699,24.2945890410959,27.1279109589041,29.8710045662101,32.121404109589,33.8116324200913,34.445747716895,139.0,27.5069645353358,7.64147718936569,20.0674892425537,20.8208999633789,22.6282997131348,25.1485996246338,30.9672002792358,34.415160369873,38.7016090393066
"[-16,-12)",2102,6.9264367333375,2.03796504828635,4.0,4.54199995994568,5.5,6.69999980926514,8.10000038146973,9.59800033569336,10.6675000667572,0.887464720468709,0.136422872441796,0.587543687224388,0.716673302650452,0.859141826629639,0.94053703546524,0.972884252667427,0.986281979084015,0.990778958797455,29.3482535115502,3.53589354553161,22.8311872146119,24.3748858447489,26.8345605022831,29.7804223744292,32.194149543379,33.7592808219178,34.3954166666667,329.0,26.6240637075333,5.64844731800441,19.3337001800537,20.3069599151611,22.6408996582031,25.282600402832,29.7441997528076,33.962979888916,37.6950988769531
