week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",146,3.70321918023776,0.540801376902585,2.8474999666214,3.05999994277954,3.32499992847443,3.70000004768372,4.08500015735626,4.40000009536743,4.57499992847443,0.504469755169463,0.293087861466058,0.0545719834044576,0.0988568589091301,0.226793553680182,0.513632565736771,0.747355192899704,0.913808703422546,0.947493433952332,29.3415775317445,3.6264508127942,21.6369577625571,24.7763698630137,27.2024257990868,29.7625570776256,31.8399543378995,33.8691780821918,34.3462328767123,43.0,29.8681498017422,7.25616454378401,21.3775745391846,22.5131004333496,24.9861001968384,28.1336994171143,32.934850692749,41.0211002349854,44.432629776001
"[-56,-52)",171,3.5340058427108,0.627712847184088,2.54999995231628,2.88000011444092,3.17000007629395,3.51999998092651,4.0,4.30000019073486,4.45000004768372,0.433439097759363,0.308706101971567,0.0198491159826517,0.053833331912756,0.14810511469841,0.402256667613983,0.71116441488266,0.891184985637665,0.932466596364975,29.65472175492,3.58697341937797,23.4881278538813,24.6479452054795,26.8803082191781,30.2091324200913,32.6875570776256,33.9845890410959,34.3654109589041,60.0,27.22114311574,6.03780512111884,19.8615341186523,20.8290899276733,22.6849250793457,26.3423500061035,29.7829170227051,35.6601499080658,37.4338576634725
"[-52,-48)",173,3.67780346539668,0.548518971342733,2.86000003814697,3.01199998855591,3.29999995231628,3.70000004768372,4.0,4.40000009536743,4.59999990463257,0.49589060386912,0.291722759959463,0.0510627783834934,0.0791346058249474,0.266187846660614,0.511293530464172,0.752490162849426,0.901247024536133,0.949090790748596,29.4396125320031,3.87799666365169,22.8506392694064,23.7422831050228,26.6529680365297,29.9140410958904,33.1131278538813,34.1699543378996,34.4895662100457,60.0,27.9578089904785,5.97786156959395,19.5612391471863,21.3828207015991,23.8629250526428,27.2320499420166,31.9750003814697,35.5180650075277,39.4157123565674
"[-48,-44)",127,3.63976378703681,0.513032487729194,2.90000009536743,3.01199998855591,3.30499994754791,3.65000009536743,3.99500000476837,4.19999980926514,4.30000019073486,0.479074776264304,0.272619191598976,0.0746462419629097,0.109805376827717,0.240533113479614,0.468708127737045,0.703212141990662,0.842413663864136,0.886944323778152,29.5341036565635,3.45031850612066,22.6162100456621,24.1514840182648,27.9037671232877,30.0752283105023,32.0663242009132,33.4584246575342,34.2670205479452,42.0,28.5115644169503,6.70717327949058,19.8336504936218,20.7910501480103,23.2463002204895,27.7406997680664,32.8658266067505,36.7163692474365,39.0350799560547
"[-44,-40)",168,3.54601189636049,0.571373104642711,2.59999990463257,2.87000005245209,3.20000004768372,3.54999995231628,4.0,4.2239999294281,4.44299981594086,0.436503124103876,0.292976289321103,0.0231070237234235,0.0512581646442413,0.169556796550751,0.432096809148788,0.673104554414749,0.854802685976029,0.933245298266411,29.3273748369211,3.70314727802117,22.791752283105,23.8748401826484,26.3077625570776,29.8997716894977,32.2579623287671,33.6385502283105,34.2873915525114,56.0,27.2836089474814,5.49220435244453,19.6241755485535,21.3072500228882,22.8505253791809,26.3976001739502,30.9116253852844,35.4580993652344,37.0909366607666
"[-40,-36)",110,3.63949999267405,0.532682300965854,2.89450010061264,3.09099991321564,3.29999995231628,3.70000004768372,3.99750000238419,4.31000018119812,4.5,0.469238253619617,0.285509233129545,0.046487489528954,0.100401531904936,0.199106723070145,0.488506942987442,0.676886975765228,0.877745985984802,0.929541686177254,28.5733219178082,3.29797363962314,23.1170605022831,24.429394977169,26.430450913242,28.626997716895,30.7577910958904,32.9614840182648,33.8719235159817,33.0,26.5689328800548,6.37640120278183,19.3819995880127,19.6855396270752,21.327600479126,25.7413997650147,28.9589996337891,34.0637001037598,37.2123603820801
"[-36,-32)",300,3.52620000044505,0.534395127481074,2.7190000295639,2.87800009250641,3.20000004768372,3.5,3.90000009536743,4.19999980926514,4.40000009536743,0.410954667928163,0.286813510507256,0.0318777348846197,0.0513026550412178,0.160739727318287,0.357086837291718,0.643074065446854,0.831523358821869,0.916801166534424,29.4695597412481,3.61064627502312,22.6698401826484,24.441301369863,26.8942351598174,29.8255707762557,32.3618150684932,34.0893721461187,34.5287214611872,82.0,26.5288575784947,5.43589952780114,20.0671940803528,21.2544603347778,23.086199760437,24.8056507110596,29.3993248939514,35.9868305206299,37.303284072876
"[-32,-28)",312,3.6236538420885,0.50946612756555,2.79999995231628,3.0,3.29999995231628,3.59999990463257,3.95500004291534,4.30000019073486,4.40000009536743,0.460890651526801,0.285319329581273,0.0463393963873386,0.0884829498827457,0.220623627305031,0.432448953390121,0.706920668482781,0.874757587909699,0.928121808171272,29.429559990048,3.5218611181835,23.1879052511416,24.3992694063927,26.6680936073059,29.7913242009132,32.1581906392694,34.1255136986301,34.5043892694064,78.0,27.9400288246296,5.55740560373074,20.8941003799439,21.9772398948669,23.4550747871399,26.9838495254517,31.7921624183655,34.8130155563354,36.7119794845581
"[-28,-24)",197,3.74868022124779,0.5228632814602,2.86400008201599,3.09999990463257,3.40000009536743,3.79999995231628,4.09999990463257,4.31600017547607,4.51999998092651,0.532571123612733,0.294793116245908,0.0527292333543301,0.111654116213322,0.285607218742371,0.580008745193481,0.762836515903473,0.911037385463715,0.959846293926239,29.0965637531002,3.5891833560403,22.6432191780822,23.9905479452055,26.4284246575343,29.3027397260274,31.8413242009132,33.4875114155251,34.2453196347032,49.0,29.1497987414163,6.79972064166428,20.2143608093262,21.4336399078369,23.9869003295898,26.6728000640869,34.375,39.2269195556641,41.1016189575195
"[-24,-20)",151,3.68894038453007,0.534491855551402,2.79999995231628,3.05999994277954,3.31499993801117,3.70000004768372,4.02500009536743,4.5,4.59999990463257,0.494163099608526,0.303293108412138,0.0374061902984977,0.0820008888840675,0.255649298429489,0.506070494651794,0.767284721136093,0.933907926082611,0.96646049618721,29.1041625086939,3.66566138513822,22.5206621004566,23.8530821917808,26.5299657534247,29.6474885844749,31.9412671232877,33.6803652968037,34.2407534246575,36.0,27.8688533924244,6.66042461036069,19.2596001625061,20.6095495223999,23.2382249832153,26.2826499938965,32.4507999420166,37.2316493988037,41.9422998428345
