week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",5,52.9800003051758,21.6562233058662,26.9200004577637,28.6400001525879,33.7999992370606,67.8000030517578,68.6999969482422,69.1199996948242,69.2600006103516,0.564856648445129,0.279816621344256,0.228746181726456,0.250482243299484,0.31569042801857,0.755440652370453,0.769701242446899,0.773744976520538,0.775092887878418,29.5691095890411,1.43238054309796,27.8732420091324,27.9702283105023,28.2611872146119,30.3762557077626,30.7131278538813,30.7164840182648,30.717602739726,2,24.3360500335693,0.0778523098701711,24.2865051269531,24.2920101165772,24.3085250854492,24.3360500335693,24.3635749816895,24.3800899505615,24.3855949401856
"[-56,-52)",8,44.962500333786,24.0611684565672,19.5600001335144,20.1200002670288,23.9000000953674,41.9500007629395,59.8249998092651,75.5299987792969,79.4150009155274,0.452543492428958,0.29931710548402,0.121053844317794,0.127689085155726,0.197804179042578,0.418752282857895,0.662793204188347,0.830506610870361,0.864013010263443,29.285901826484,3.23824163516672,24.991946347032,25.5883447488585,27.646803652968,28.8722602739726,31.5762557077626,33.2505365296804,33.5066038812785,0,,,,,,,,,
"[-52,-48)",3,33.5666662851969,15.9544141638464,17.8599996566772,20.3199996948242,27.6999998092651,40,42.6499996185303,44.2399993896484,44.7699993133545,0.30364964902401,0.209860323879919,0.0971766635775566,0.129295617341995,0.225652478635311,0.386247247457504,0.422945618629456,0.444964641332626,0.452304315567017,30.2155631659056,4.09375823309784,26.1951598173516,26.9017351598174,29.0214611872146,32.5543378995434,32.5790525114155,32.5938812785388,32.5988242009132,3,34.3689657847087,7.69496239801958,27.1044996261597,28.0370994567871,30.8348989486694,35.4978981018066,38.4674987792969,40.249259185791,40.8431793212891
"[-48,-44)",9,42.2713777754042,13.9354636684326,22.9399997711182,28.9799999237061,32.4000015258789,45,47.7999992370606,59.1251190185547,60.5625595092773,0.424644557966126,0.186977635905706,0.159521546959877,0.238823541998863,0.31416580080986,0.471665591001511,0.494471877813339,0.649202048778534,0.668875634670258,31.3747336377473,3.35410805923916,26.512100456621,27.0534246575343,28.4035388127854,33.3187214611872,34.165296803653,34.2990867579909,34.3198630136986,3,29.5829869588216,6.89337798780654,25.0119998931885,25.1659999847412,25.6280002593994,26.3980007171631,31.9454805374146,35.2739684295654,36.3834643936157
"[-44,-40)",7,39.4243425641741,22.461474208473,18.2699998855591,20.0399997711182,23.75,38.5,45.2351989746094,63.0022392272949,73.0011196136474,0.386548771389893,0.270295210171457,0.117837489396334,0.15853642821312,0.213393002748489,0.365276753902435,0.469936177134514,0.678551971912384,0.787659853696823,28.3278212654925,3.76896490990435,23.6812671232877,24.4135616438356,26.226997716895,28.3132420091324,30.5422374429224,33.0356392694064,33.2648515981735,1,30.6579504013062,,30.6579504013062,30.6579504013062,30.6579504013062,30.6579504013062,30.6579504013062,30.6579504013062,30.6579504013062
"[-40,-36)",6,40.4499991734823,21.5412850445923,16.1500000953674,17.3000001907349,23.9749999046326,39.6999988555908,54.0749998092651,64.3499984741211,67.5249977111816,0.392939302449425,0.287077631181365,0.0682778423652053,0.0820415709167719,0.168624173849821,0.385793268680573,0.582491666078568,0.710983067750931,0.749112978577614,29.9142503805175,3.91046504212081,24.8875,25.7326484018265,27.7702054794521,30.2256278538813,32.5721461187215,33.7844748858448,34.2351598173516,2,25.0331497192383,5.55199019299897,21.4998847961426,21.8924697875977,23.0702247619629,25.0331497192383,26.9960746765137,28.1738296508789,28.566414642334
"[-36,-32)",11,44.9454538171942,31.8811961269629,15.3000001907349,16.6000003814697,21.75,39.0999984741211,63,70.1999969482422,94.6999969482422,0.420959545807405,0.328742519920841,0.0637944713234901,0.0781395360827446,0.147131308913231,0.400419741868973,0.710950613021851,0.779534876346588,0.883886456489563,28.8328455790785,2.76421525157793,25.276598173516,25.998401826484,26.2762557077626,29.2885844748859,30.2282534246575,31.6202054794521,32.6680365296804,2,27.6328001022339,0.143683664195459,27.5413603782654,27.5515203475952,27.5820002555847,27.6328001022339,27.6835999488831,27.7140798568726,27.7242398262024
"[-32,-28)",14,40.6571431841169,23.5681241809343,12.0400002479553,14.4300004959106,26.4000000953674,40.9500007629395,51.2999992370606,55.0700008392334,72.0600009918213,0.394291930565877,0.268569425854732,0.0229451189748943,0.050376907736063,0.218651045113802,0.462265029549599,0.540612518787384,0.625258564949036,0.747597882151604,29.3747064579256,3.93018026747143,23.0609132420091,24.8708447488585,26.9344178082192,29.996803652968,32.5803652968037,33.8971232876712,34.1944121004566,6,25.6732997894287,5.67107669239887,20.0854744911194,20.3532495498657,21.5126996040344,24.0637493133545,29.9921250343323,32.6029005050659,33.0334506034851
"[-28,-24)",3,17.1666666666667,3.98036814234619,13.2400003433228,13.8800003051758,15.8000001907349,19,19.4499998092651,19.7199996948242,19.8099996566772,0.100000691910585,0.0609763428516621,0.0402086280286312,0.049251663684845,0.0763807706534863,0.121595948934555,0.134418241679668,0.142111617326736,0.144676075875759,25.1471080669711,1.82748636998565,23.5801940639269,23.7319634703196,24.1872716894977,24.9461187214612,26.0064497716895,26.6426484018265,26.8547146118722,0,,,,,,,,,
"[-24,-20)",6,50.2000013987223,25.7511176005669,17.9750003814697,24.9500007629395,40.1500015258789,47.3500003814697,68.4250020980835,78.3000030517578,80.3000030517578,0.533118231222034,0.323182315677619,0.105820945464075,0.19393184222281,0.390653938055038,0.549151197075844,0.780967131257057,0.856271654367447,0.871453985571861,27.9424467275495,4.7612396474693,22.2605878995434,22.5365867579909,23.9214326484018,28.9063356164384,31.7234303652968,32.3844178082192,32.6597888127854,1,20.3243999481201,,20.3243999481201,20.3243999481201,20.3243999481201,20.3243999481201,20.3243999481201,20.3243999481201,20.3243999481201
