week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",97,93.25773211607,24.1975197717218,58.5599990844727,62.7800003051758,78.3000030517578,94.5999984741211,107.099998474121,121.960002136231,134.860000610352,0.468531391391058,0.279483409883383,0.0494291976094246,0.0672083333134651,0.231943711638451,0.478855460882187,0.699770569801331,0.832165908813477,0.897670710086822,28.6240914654239,3.68073730792079,22.62399543379,24.0702054794521,25.9735159817352,28.6308219178082,31.6803652968037,33.3384474885845,34.0452283105023,43.0,24.5173484469569,4.6178224080657,18.391089630127,18.7963405609131,20.6612005233765,23.8054008483887,27.3704249858856,32.066799736023,33.369229888916
"[-56,-52)",108,93.0490740316885,25.2499450133789,54.0,63.1099987030029,75.0,91.5,105.449996948242,124.3,137.095001983643,0.451760138212531,0.280758258463784,0.0348383523523808,0.0717652350664139,0.210793573409319,0.424598827958107,0.665738597512245,0.847582274675369,0.921807116270065,28.7072351175376,3.56516516019334,22.3178025114155,23.8630251141553,26.515296803653,28.7844748858448,31.400399543379,33.3515525114155,33.8354566210046,35.0,24.7892137164161,5.51381115906884,18.8742795944214,19.63297996521,20.8709993362427,23.0517997741699,26.5426006317139,33.3014305114746,35.2423545837402
"[-52,-48)",94,94.9468087947115,23.978617873766,60.3,68.1799995422363,77.2749996185303,89.7999992370606,108.449998855591,128.520000457764,140.804998016357,0.479201630629758,0.281375704274059,0.0701567929238081,0.13213777244091,0.247619576752186,0.467591091990471,0.704773157835007,0.88416046500206,0.92476943731308,28.2168075391042,4.07802742506034,21.3917694063927,22.5409132420091,24.8886130136986,28.7255707762557,31.639897260274,33.6795433789954,34.0797773972603,32.0,23.1753961543242,3.82731018419688,17.879452085495,18.3516854286194,20.5166249275208,22.8216495513916,25.8477621078491,28.9177696228027,29.4090406417847
"[-48,-44)",96,93.9729168812434,27.5896068372402,57.375,61.8500003814697,75.8750019073486,89.8500022888184,110.525001525879,127.5,135.499996185303,0.465540781791788,0.300076600011969,0.0354919596575201,0.0814022794365883,0.205639261752367,0.424389436841011,0.734402984380722,0.88084888458252,0.942442700266838,28.2227656487823,4.13130069569792,21.8544235159817,22.7679794520548,24.8748858447489,28.024200913242,31.86649543379,33.7749429223744,34.2626426940639,33.0,23.880516688029,3.80238140264797,19.2402599334717,19.529239654541,21.3628997802734,23.2005004882813,25.5587997436523,29.7548606872559,31.3573192596436
"[-44,-40)",88,99.3079544847662,23.1850538199027,64.7149999618531,71.85,82.9499969482422,98.6500015258789,114.0,130.969996643066,136.915000915527,0.53217807317957,0.273559075504136,0.0865467820316553,0.161089104413986,0.291322588920593,0.55175256729126,0.745254039764404,0.902333283424377,0.924310311675072,29.0108110211706,3.49867131080216,23.2274086757991,24.2865068493151,26.4283675799087,29.2721461187215,31.3474885844749,33.9132305936073,34.6205079908676,32.0,23.8442889686142,5.94160316808705,17.7408839464188,18.6557699203491,19.8242497444153,22.341799736023,25.9813756942749,31.3171007156372,35.4181548118591
"[-40,-36)",102,92.3009802500407,23.7936696257789,54.160000038147,63.15,79.25,89.2000007629395,106.999998092651,120.569997406006,133.855005645752,0.447205565586759,0.276852016213241,0.0358086198568344,0.0729903280735016,0.247682176530361,0.413540333509445,0.684684276580811,0.834557390213013,0.908955127000809,28.7666532366371,4.0322721948763,21.5298173515982,22.7329566210046,26.303053652968,29.5570776255708,31.7522545662101,33.9915182648402,34.5453025114155,30.0,24.8121817906698,5.85593091403585,19.177694606781,20.2299900054932,20.8498249053955,22.5042495727539,26.7954254150391,34.9644905090332,36.4926644325256
"[-36,-32)",230,85.424348084823,22.3860163689785,53.4149988174439,58.8400001525879,69.9250011444092,83.7000007629395,100.375,113.950001525879,125.1,0.377311996663111,0.271280240443757,0.0241290370933712,0.0439201768487692,0.143366824835539,0.349119231104851,0.598695889115334,0.774065762758255,0.856602251529693,27.859747369466,3.70121202118772,21.913904109589,22.6215753424658,25.0748573059361,28.0311073059361,30.6029394977169,32.5928652968037,34.2309988584475,58.0,23.9256265449211,6.34006339395585,17.8485576629639,18.5823106765747,19.7217171986898,22.4426002502441,26.1485753059387,31.2003700256348,32.480880355835
"[-32,-28)",87,85.9609194349969,20.8764600190619,54.4899990081787,59.7199996948242,70.9000015258789,84.0,102.099998474121,109.860000610352,114.249996948242,0.374026464935307,0.262182452040146,0.028530391305685,0.0617451474070549,0.137607462704182,0.316995561122894,0.597654730081558,0.726374411582947,0.773765480518341,28.9781740408335,3.60975973834537,23.4161301369863,23.890296803653,26.6488584474886,28.8117579908676,31.8597602739726,33.7685844748858,34.3863926940639,20.0,24.8804292678833,5.78900920128917,19.3059301376343,19.4716695785522,20.702525138855,22.3800001144409,27.5866003036499,31.7026007970174,36.4117434183757
"[-28,-24)",45,97.4855559455024,19.3896954823807,68.0799987792969,74.9200012207031,87.9000015258789,97.0,109.0,117.939999389648,129.4,0.52668978927864,0.240109590370138,0.141629591584206,0.177206030488014,0.380010336637497,0.541001796722412,0.702187836170197,0.774269771575928,0.899250566959381,28.4282597666159,3.72994182651561,22.6013926940639,23.1879223744292,25.5406392694064,28.2037671232877,31.2065068493151,33.6234703196347,33.9994520547945,7.0,26.8848238445464,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-24,-20)",47,112.459574273292,35.9483663998002,72.0299995422363,75.6,81.0,99.5,132.5,164.819995117188,178.920001220703,0.60964596065435,0.306206607384729,0.169088764488697,0.219279161095619,0.311781898140907,0.559595465660095,0.905842006206512,0.981735897064209,0.993632483482361,28.5469833867677,3.90001421539123,22.6247488584475,23.2573059360731,25.599600456621,28.5816210045662,31.7433789954338,33.5937442922375,34.236095890411,5.0,21.0173797607422,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
