week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",38,81.3421052631579,82.4579422086552,39.65,43.7,56.25,68.5,84.0,94.9,102.4,0.501589804029975,0.253659431670689,0.0922350894659758,0.118872194737196,0.324133738875389,0.516120195388794,0.694367438554764,0.778571778535843,0.817288902401924,29.6683669790916,3.68089307615843,23.0180136986301,23.7342808219178,27.5126997716895,30.796803652968,32.6487442922375,33.3568378995434,33.6411187214612,14.0,22.9883214405605,4.05996703065312,18.3544201850891,18.8635105133057,20.1951007843018,21.2990493774414,26.1189994812012,26.4509099960327,28.4685650825501
"[-56,-52)",27,68.5185185185185,33.5815544268099,39.0,40.2,46.0,59.0,80.0,96.2,136.2,0.42931244963849,0.283937637818394,0.0844433255493641,0.10159674435854,0.160058751702309,0.364092469215393,0.677371919155121,0.811229050159455,0.908144944906235,27.7737950279046,3.41631325917505,22.4114383561644,22.6273287671233,25.9112442922374,27.6721461187215,30.0611872146119,32.0641552511416,33.788401826484,10.0,23.0392149925232,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-52,-48)",22,77.6363636363637,39.5697641358428,50.1,52.0,55.0,64.5,78.0,103.5,146.8,0.517575630410151,0.236334682209421,0.232290009409189,0.249120369553566,0.323510624468327,0.483418360352516,0.668988630175591,0.850386559963227,0.932246395945549,28.6831257783313,3.62032884392133,24.4231107305936,24.6262214611872,25.7516267123288,28.161301369863,31.4407248858448,33.4025570776256,33.67899543379,7.0,22.2946043468657,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-48,-44)",35,69.8285714285714,30.2951031903,30.0,37.2,50.0,64.0,84.5,113.0,126.3,0.466023037615898,0.290762564209303,0.0213438738137484,0.0736998796463013,0.222375012934208,0.448664337396622,0.692885130643845,0.868339729309082,0.911217242479324,28.5511709067189,3.62321155586183,21.9169178082192,23.1472146118721,25.9460616438356,29.4479452054795,30.45850456621,32.296301369863,34.563299086758,10.0,23.8761301040649,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-44,-40)",25,72.76,27.0019752363909,40.2,45.4,58.0,65.0,84.0,107.4,118.6,0.504652856588364,0.263157085171008,0.0987514287233353,0.140439191460609,0.371999174356461,0.478526115417481,0.704181373119354,0.83690105676651,0.885955631732941,28.7544566210046,3.63607741121348,22.971803652968,23.7330821917808,26.924200913242,29.0010273972603,30.9955479452055,33.1708675799087,33.9292237442922,6.0,20.5286292235057,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-40,-36)",25,92.56,146.427479206147,37.2,38.4,47.0,67.0,72.0,94.6,123.0,0.430242412164807,0.285128020905889,0.0672875657677651,0.0855667278170586,0.174362033605576,0.476966887712479,0.592829823493958,0.799883270263672,0.885007858276367,29.811602739726,3.71135832209097,23.5729908675799,24.049703196347,27.8255707762557,30.3049086757991,32.4228310502283,34.2869634703196,34.5346347031964,6.0,24.268549601237,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-36,-32)",63,68.2857142857143,57.1462268591692,31.3,37.0,45.5,55.0,68.0,105.0,124.8,0.370890979749328,0.271709697912327,0.0245318286120892,0.056206102669239,0.156591400504112,0.309965938329697,0.541633784770966,0.839368665218353,0.907078194618225,28.4253551496702,3.39279702741691,22.4581621004566,24.4698858447489,25.6474315068493,28.702397260274,30.4601598173516,32.6914155251142,33.7192694063927,15.0,23.6352734883626,6.02907450179084,17.3944301605225,18.3129203796387,18.7404499053955,22.9591007232666,25.6233501434326,29.6186401367187,34.2145801544189
"[-32,-28)",28,52.2142857142857,23.468429767822,26.7,28.7,35.0,47.5,68.25,77.7,95.7,0.280783250725238,0.269919378404019,0.0103044997435063,0.0158098217099905,0.0478635216131806,0.194053076207638,0.490447536110878,0.643680608272553,0.800178557634354,28.4169765166341,3.75802116717953,23.4040410958904,23.6899200913242,24.8111015981735,28.665296803653,31.3771974885845,32.9557077625571,34.4020091324201,6.0,25.5698943667942,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-28,-24)",19,48.3684210526316,32.0263962768141,18.9,21.4,29.5,36.0,54.0,104.0,120.3,0.219184030705181,0.315710352892705,0.0021812824066728,0.0043427703902125,0.0193808954209089,0.053254209458828,0.317063689231873,0.823231554031372,0.88928108215332,29.425264359529,3.22738760960164,25.8876141552511,26.0851369863014,26.4489726027397,28.3022831050228,31.8933219178082,33.8009132420091,34.2921461187215,3.0,20.2781003316243,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-24,-20)",18,46.7777777777778,31.3191457241236,20.55,25.2,36.25,41.5,45.0,60.7,87.1999999999999,0.17203884122945,0.23709134542896,0.0024332152097486,0.0083376131020486,0.0484421700239182,0.110706817358732,0.167430676519871,0.373773404955864,0.640980005264282,28.0885908168442,3.9872047270675,22.1917694063927,23.0131621004566,24.9818207762557,28.240696347032,31.5590182648402,33.0658105022831,33.1682420091324,6.0,21.2028999328613,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
