week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",12,4.02083339743937,11.7469166103406,0.0054999998770654,0.0180000001564622,0.172500003129244,0.370000004768372,0.792500019073486,3.25099999904633,20.4650003433227,0.525478502735496,0.334700284612434,0.0070759915746748,0.0253224437125027,0.340825598686934,0.560757875442505,0.755986481904984,0.937445288896561,0.973943075537682,30.3485825722983,2.425135645588,27.5996289954338,28.0246347031964,28.0674086757991,29.9517123287671,32.3075627853881,33.0692922374429,33.8176598173516,6.0,29.1412892871433,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-56,-52)",18,5.23188881356166,9.54309895735584,0.0260999994585291,0.0369999991729856,0.112500002607703,0.599999994039536,6.01999998092651,15.5380001068115,29.1324994087219,0.587094045580468,0.383392299817971,0.0400978705612943,0.0562583673745394,0.241674896329641,0.669971346855164,0.961075454950333,0.985985779762268,0.997905984520912,29.9023845763572,3.03240035519577,25.0967408675799,26.0063242009132,27.0854166666667,31.3040525114155,31.3314783105023,33.6025228310502,33.8461415525114,11.0,29.6658086776733,8.56502349600116,17.6813998222351,18.1251993179321,21.160849571228,36.7187995910645,36.7187995910645,36.7187995910645,36.7187995910645
"[-52,-48)",14,0.995928572623857,1.48672010434395,0.0559999999590218,0.0849999994039536,0.162499997764826,0.459999993443489,0.945000037550926,2.58900007009506,3.73750004768371,0.552606953840171,0.302898807953401,0.0958568716421723,0.169094547629356,0.340115904808044,0.628732711076737,0.778761565685272,0.930889135599136,0.950122538208961,28.0579908675799,4.23394417514455,22.6862671232877,23.0559817351598,24.2342751141553,27.5599885844749,31.8066780821918,33.5163812785388,33.8104680365297,4.0,22.1046500205994,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-48,-44)",13,0.467692301823543,0.481822116646493,0.0639999985694885,0.0859999984502793,0.109999999403954,0.270000010728836,0.920000016689301,1.14799995422363,1.27199995517731,0.469704580994753,0.278100743535491,0.118922424316406,0.169063484668732,0.239053666591644,0.46160688996315,0.788973689079285,0.827503299713135,0.843597304821014,28.1919476642079,3.96418548735718,23.5587442922374,23.828401826484,25.2474885844749,26.2453196347032,31.075,33.6803652968037,33.8814611872146,5.0,26.2345001220703,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-44,-40)",19,0.522000003017877,0.88331724151902,0.0279999993741512,0.0299999993294477,0.0449999999254942,0.280000001192093,0.470000013709068,1.15999999046326,1.98799996376037,0.403091289029506,0.318478315228464,0.0357203538063914,0.0414582878351212,0.0716750100255013,0.484075874090195,0.621882647275925,0.830965137481689,0.897126913070679,29.3589882239846,3.94146777972219,22.9821575342466,23.5635844748858,26.6174657534247,30.047602739726,32.4256849315069,33.607602739726,33.9122374429224,5.0,24.2364032745361,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-40,-36)",6,0.370833339790503,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.348396699875593,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.761301369863,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-36,-32)",10,0.980299984291196,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.478799837827683,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.3237442922374,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-32,-28)",14,0.615357150988919,0.426165668275979,0.235999994724989,0.325999996066093,0.361250013113022,0.430000007152557,0.797499999403954,1.21100000143051,1.36200001835823,0.626636580697128,0.181309415497731,0.397193292528391,0.534196376800537,0.557412102818489,0.608717411756516,0.75018522143364,0.833846700191498,0.852757161855698,27.0381849315069,3.31184101528795,22.5805365296804,23.1308561643836,24.0959189497717,26.7770547945205,30.0715182648402,31.3584589041096,31.6923744292238,2.0,22.0795831680298,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-28,-24)",10,1.20400001257658,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.717869558930397,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.0462328767123,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-24,-20)",11,1.6695454147729,1.56179130318819,0.265000000596046,0.379999995231628,0.620000004768372,1.00999999046326,2.12999999523163,4.05499982833862,4.50249981880188,0.768024829300967,0.197705774640612,0.440245717763901,0.56982696056366,0.690459281206131,0.802818059921265,0.906280815601349,0.960805058479309,0.963230192661285,30.0571814030718,3.33292943440837,25.5367579908676,26.2949771689498,26.7554794520548,31.8563926940639,32.9188926940639,33.4327625570776,33.4719748858447,2.0,25.1748251914978,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-20,-16)",9,0.577777774797546,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.562783671801703,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.8670091324201,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-16,-12)",6,1.22166669741273,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.679592954615752,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.449600456621,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-12,-8)",9,2.25811112009817,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.718947033087413,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.7263698630137,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-8,-4)",3,0.469999998807907,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.600104947884878,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.3286529680365,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-4,0)",12,1.33658334612846,2.08975604009904,0.137499997764826,0.166999997198582,0.31250000372529,0.594999998807907,1.03499999642372,2.68199994564056,4.93950005769729,0.652962284783522,0.234038039551162,0.293983870744705,0.334586182236671,0.513739205896854,0.676754206418991,0.808452263474464,0.930299109220505,0.956052738428116,29.3274353120244,3.09442447544423,25.2520890410959,26.5166894977169,27.0121860730594,28.9531392694064,32.1740582191781,32.9592808219178,33.386198630137,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[0,4)",49,4.69924488283542,5.74520596054657,0.137999999523163,0.319999992847443,0.885999977588654,2.0,6.69999980926514,12.8099998474121,17.6419998168945,0.821694361388075,0.23311090216375,0.26574137210846,0.524750769138336,0.768022477626801,0.917005121707916,0.977215647697449,0.988186061382294,0.991397762298584,28.3184372379089,3.42042966974172,22.4761872146119,23.2774200913242,27.1300228310502,28.0941780821918,30.2208904109589,32.6962557077626,34.1920547945206,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[4,8)",3,0.156666665027539,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.251874101658662,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.4804794520548,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[8,12)",7,0.495714282350881,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.489205107092857,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.4748858447489,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[12,16)",5,0.271999998390675,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.438729867339134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.8502283105023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[16,20)",12,3.28191666056713,6.31436421685211,0.159500001370907,0.209000001847744,0.477500014007092,0.666500002145767,2.4799998998642,6.29899997711182,13.6280000686645,0.718491446226835,0.238730604247148,0.330171606689692,0.410317641496658,0.614385932683945,0.731746435165405,0.910450160503387,0.974085694551468,0.986260342597961,27.801997716895,3.83509671275384,20.7930251141552,21.3525570776256,25.726598173516,29.6743721461187,30.2835331050228,30.5396461187215,31.017950913242,3.0,21.6241334279378,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[20,24)",11,0.546181815930388,0.282557893738724,0.150000000372529,0.25,0.394999995827675,0.490000009536743,0.800000011920929,0.810000002384186,0.903499990701675,0.619721639562737,0.20156479995314,0.306676771491766,0.533198177814484,0.581041008234024,0.64347517490387,0.752534836530685,0.79229599237442,0.797338992357254,28.3371523453715,4.89594424243473,20.8265410958904,20.8319634703196,24.3154109589041,30.2664383561644,31.4968607305936,33.5955479452055,33.8146689497717,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[24,28)",10,0.542999997921288,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.42802300574258,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.1529680365297,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[28,32)",5,3.05180009156466,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.594297689199448,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.5407534246575,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[32,36)",12,0.666666674738129,1.31697102265148,0.0776999995112419,0.0845999993383884,0.0975000020116568,0.170000001788139,0.327000003308058,1.40699999928474,2.91750004291534,0.419460502763589,0.277186102416234,0.141878385096788,0.15438711643219,0.211242537945509,0.347532480955124,0.507962338626385,0.849194180965424,0.908683735132217,28.6034151445967,3.33606603614005,23.8186073059361,24.1831735159817,26.9111015981735,28.2112442922374,30.2490011415525,32.9499429223744,33.7788984018265,3.0,22.3689333597819,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[36,40)",7,2.76142860523292,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.59213864164693,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.2888127853881,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[40,44)",8,2.09174999175593,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.50493798032403,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.5215182648402,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[44,48)",6,0.31500000692904,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.426735556373994,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.8420662100457,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[48,52)",9,0.473222230457597,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.486469628082381,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.962899543379,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[52,56)",10,1.70300000011921,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.610640750825405,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.2680365296804,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[56,60)",8,0.837499998509884,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.655611883848906,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.0598173515982,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[60,64)",9,0.981222223904398,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.633326376477877,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.2311643835616,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
