week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",33,104.0,2.29128784747792,100.6,101.2,103.0,104.0,105.0,107.0,107.4,0.495052583684976,0.274469668249019,0.0873962566256523,0.124859011173248,0.319858580827713,0.485548555850983,0.664713740348816,0.895422470569611,0.919969475269317,27.3243877127439,3.71533020895855,21.835502283105,22.2811872146119,25.7625570776256,26.6914383561644,28.4010273972603,33.1102739726027,34.3423059360731,17.0,24.2379537657195,4.71013686277349,18.7282192230225,19.3618797302246,20.7031002044678,24.4472999572754,25.9548501968384,29.0630397796631,33.8252197265625
"[-56,-52)",46,104.006521805473,2.23978182977428,99.2000007629395,100.5,103.22500038147,104.0,105.0,106.0,107.0,0.515095129811569,0.258649282913785,0.0305044297128916,0.08790697529912,0.321920990943909,0.49229970574379,0.662860631942749,0.802172392606735,0.889416098594666,28.3169619813381,3.01090965596428,22.8803652968037,25.2106164383562,26.3280821917808,28.4078196347032,30.0305365296804,31.6375570776256,32.5075627853881,18.0,24.6343529489305,3.96223208005795,18.1034950256348,18.5465202331543,23.7709999084473,25.6340503692627,25.6368999481201,26.8190505981445,28.805775642395
"[-52,-48)",33,105.272727272727,2.36210614802668,102.0,102.0,104.0,105.0,107.0,108.0,108.0,0.638312745049144,0.295345778775888,0.191515186429024,0.192846581339836,0.478926539421082,0.657314717769623,0.89618706703186,0.94960709810257,0.949917984008789,27.8766258475163,4.09382052425424,21.8825114155251,22.8808904109589,25.3275114155251,27.6981735159817,31.0666666666667,33.4377397260274,33.8373287671233,11.0,24.241081757979,6.44035114560855,17.7049250602722,17.7405500411987,20.9512004852295,24.0881996154785,25.2779998779297,25.9548501968384,33.744074344635
"[-48,-44)",37,104.648648648649,2.2263100539809,101.0,102.2,104.0,105.0,106.0,107.0,108.0,0.584613562486059,0.265713026608932,0.108058093488216,0.239977520704269,0.480590671300888,0.648766338825226,0.799852609634399,0.896815133094788,0.949629187583923,28.5885844748858,2.87228360283774,24.2145205479452,24.9831050228311,26.872602739726,28.0536529680365,30.3377853881279,31.8904337899543,33.7905936073059,13.0,29.210702089163,7.7897149810847,21.5068597793579,22.140119934082,25.2566337585449,25.4027996063232,34.4841995239258,41.5332984924316,41.5332984924316
"[-44,-40)",35,103.665714372907,2.53504171312395,100.0,100.0,101.700000762939,104.0,105.0,106.6,107.3,0.462655146739313,0.310223367396761,0.0587021116167307,0.0613374263048172,0.151805434376001,0.485165536403656,0.660340458154678,0.859234726428986,0.91575493812561,27.0932028701892,3.91824706193752,21.4720890410959,22.0418264840183,24.2256278538813,27.3625570776256,29.2207191780822,32.8894520547945,33.2282420091324,10.0,26.7202399253845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-40,-36)",26,105.0,2.13541565040626,102.0,102.0,103.0,105.5,107.0,107.0,107.0,0.616782139413632,0.288053440297392,0.189349114894867,0.190355464816093,0.326066590845585,0.726401180028915,0.88990193605423,0.895310997962952,0.897241532802582,28.631129258869,3.19173904568417,23.4176369863014,24.6164383561644,26.8186358447489,28.9179794520548,30.0238869863014,32.8995433789954,34.4495719178082,5.0,26.7916801452637,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-36,-32)",90,104.032222239176,2.37192511346016,100.45,101.0,103.0,104.0,106.0,107.0,108.0,0.493052026029262,0.284730438323222,0.0869260918349028,0.109467914700508,0.316442370414734,0.484261617064476,0.792594254016876,0.897241532802582,0.949476858973503,27.5818607305936,3.74267190432881,21.2446746575342,22.9496917808219,24.6818207762557,27.5473173515982,30.3671232876712,32.3732762557078,34.1428025114155,31.0,26.2723834027526,6.96746353680779,18.1931505203247,19.4330005645752,22.8624000549316,24.3910999298096,26.5335337320964,36.5087013244629,38.8675489425659
"[-32,-28)",115,103.832173952849,3.61237026669753,99.7,101.0,102.0,104.0,105.0,107.0,110.3,0.447049892493321,0.292462080952267,0.0510645980015397,0.107369555532932,0.193765178322792,0.478926539421082,0.657782167196274,0.896151471138001,0.9913105905056,28.5080990669049,3.81508949681782,21.6935502283105,23.7436529680365,25.7176940639269,28.190296803653,31.9682077625571,33.279497716895,34.2466666666667,26.0,25.006869169382,5.73654904902074,18.5360503196716,20.0521750450134,22.1653249263763,23.0718498229981,26.0512628555298,33.0902830759684,36.1687250137329
"[-28,-24)",85,103.712941158519,2.83673976201704,99.0,100.0,103.0,104.0,105.0,107.0,107.0,0.488438750466551,0.29226215869406,0.0312736548483372,0.0555880628526211,0.316442370414734,0.489155620336533,0.66516649723053,0.889819467067719,0.894691479206085,28.1814987912973,3.89064979097804,21.0854109589041,22.3700456621005,25.5102739726027,28.533904109589,30.9381278538813,33.3299771689498,33.9357762557078,17.0,27.8701842625936,7.07041641861278,21.5588600158691,22.7168800354004,23.6613998413086,24.8579998016357,35.8835983276367,39.1774501800537,39.1774501800537
"[-24,-20)",71,104.497183141574,2.1604875363255,100.5,102.0,103.0,104.0,106.0,107.0,107.5,0.563111248386788,0.262893972819955,0.0833869576454163,0.192081108689308,0.323910295963287,0.499263614416122,0.796171218156815,0.896481156349182,0.922128409147263,28.2182584089009,3.95151819024982,20.8408675799087,22.553196347032,25.6086187214612,28.3803652968037,31.9323630136986,33.0207762557078,33.5462899543379,12.0,28.2873167991638,10.0444542984738,17.5091451644897,17.8744701385498,20.1646251678467,24.2994003295898,37.5149626731873,39.1774501800537,41.8521369934082
