week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",261,2.52950190689943,2.05705429883376,0.400000005960465,0.800000011920929,1.39999997615814,2.0,3.09999990463257,4.90000009536743,5.69999980926514,0.481630776007927,0.285036435447459,0.0339892543852329,0.0858411863446236,0.240476623177528,0.459503620862961,0.711446762084961,0.889594197273254,0.92727392911911,28.2751071572281,3.56954119203228,22.2256849315069,23.4091324200913,25.7625570776256,28.2638127853881,31.2036529680365,33.1174657534247,33.8673515981735,76.0,24.4281573475453,5.62152725022004,18.5878753662109,18.9594993591309,20.5223751068115,22.9867496490479,26.1346497535706,32.4658012390137,34.8331973075867
"[-56,-52)",273,2.43278389173004,2.04391052996503,0.400000005960465,0.699999988079071,1.20000004768372,1.89999997615814,2.90000009536743,5.22000017166138,6.68000001907348,0.44356573320202,0.295852544042053,0.0336662836372852,0.0644222348928452,0.194910824298859,0.422414183616638,0.674730718135834,0.905943667888641,0.954483580589294,28.473535634837,3.62437395822863,22.1588127853881,23.4184703196347,26.0229452054795,28.6721461187215,31.5872146118721,32.9833561643836,33.9367808219178,77.0,23.1369848292627,4.56872917731102,17.5100002288818,18.1591596603394,19.959400177002,21.9651498794556,25.1485996246338,29.7468601226807,31.385880279541
"[-52,-48)",268,2.56884329048778,2.03917841279505,0.370000007748604,0.699999988079071,1.29999995231628,2.0,3.22500002384186,4.83000016212464,6.4650000333786,0.479287640457459,0.297677327788526,0.0315686969086528,0.0729591175913811,0.210334576666355,0.469108998775482,0.740701019763947,0.891978597640991,0.952339935302734,28.1954061030464,3.93847836583111,21.8034931506849,22.8360730593607,25.2611872146119,28.1612442922374,31.5701198630137,33.5565753424658,34.1183390410959,80.0,23.0575598299503,3.92522774052624,18.2025301456451,19.1365501403809,20.1479005813599,22.5883250236511,24.9314751625061,28.5827346324921,29.4077604293823
"[-48,-44)",299,2.69230769385263,2.39309151681795,0.5,0.699999988079071,1.29999995231628,2.0,3.20000004768372,5.69999980926514,7.09999990463257,0.480867849376339,0.300884710711332,0.042136162519455,0.0657724589109421,0.227439939975739,0.476008653640747,0.735538601875305,0.924679338932037,0.963324528932571,28.5221220659428,3.89279505594059,22.0458561643836,23.2868264840183,25.6748858447489,28.961301369863,31.5721461187215,33.9082876712329,34.4888584474886,83.0,24.8554005075171,5.37213406604888,19.3470701217651,19.6394798278809,21.359899520874,23.5077991485596,26.202449798584,31.9804600524902,37.3568199157715
"[-44,-40)",252,2.79365079063508,2.10891661436848,0.5,0.709999990463257,1.47499999403954,2.29999995231628,3.90000009536743,5.59999990463257,6.19999980926514,0.521844271550118,0.30132623805008,0.0446906803175807,0.0754958771169186,0.271287351846695,0.517960637807846,0.813055321574211,0.922058069705963,0.939873337745667,28.6112451982315,3.61371952547926,22.6063812785388,23.5555479452055,25.7859589041096,28.909303652968,31.5295662100457,33.2127397260274,34.0732191780822,72.0,23.1339258633593,4.95956301129505,17.0833062887192,18.6557699203491,19.6856372356415,22.0495004653931,25.2536001205444,28.5298994064331,32.1503750801086
"[-40,-36)",238,2.59579831953434,1.91103370093778,0.585000020265579,0.699999988079071,1.20000004768372,2.0,3.5,5.22999992370606,6.41500008106231,0.485431736049501,0.306616565746372,0.0521315546706319,0.0741680435836315,0.203703500330448,0.466853439807892,0.755943953990936,0.913998943567276,0.9462317019701,28.2687363301485,3.86742421389167,21.4792465753425,22.5686187214612,25.1336757990868,28.6680936073059,31.0502568493151,33.4056506849315,34.4627568493151,63.0,23.7662047027911,5.21548770132117,18.2124994277954,18.7637798309326,20.0743999481201,21.93630027771,25.6212164560954,31.9559001922607,33.358349609375
"[-36,-32)",1039,2.07473532171405,1.65358234115394,0.5,0.699999988079071,1.10000002384186,1.60000002384186,2.70000004768372,3.90000009536743,5.0,0.398148848058045,0.275354268893334,0.0437248829752207,0.0704979106783867,0.159919396042824,0.343227237462997,0.630094051361084,0.810528564453125,0.89349712729454,27.8277286291262,3.62613608443525,21.6493835616438,22.7873287671233,25.1872716894977,27.8834474885845,30.6309931506849,32.8348858447489,33.8480365296804,292.0,23.5056284438219,5.36116905436126,18.0333047866821,18.778599357605,20.1954755783081,22.4040002822876,25.0033750534058,28.7109498977661,33.2363929748535
"[-32,-28)",1128,1.93785460941916,1.81109015210093,0.5,0.600000023841858,1.0,1.5,2.29999995231628,3.52999997138978,4.76500005722045,0.359808529789084,0.26898980314648,0.0412609688937664,0.0575431622564793,0.126241192221642,0.294005811214447,0.55247212946415,0.776582652330399,0.884792578220367,28.2981192719972,3.76872554232525,21.9207134703196,23.167796803653,25.4399543378995,28.3611872146119,31.4403538812785,33.4702625570776,34.1217180365297,235.0,23.158615283425,4.35365678040317,18.1116995811462,18.6312004089355,20.0132503509521,22.0604000091553,25.0810499191284,30.4750007629395,31.7679676532745
"[-28,-24)",725,2.02986206796663,1.59495750794419,0.5,0.699999988079071,1.0,1.60000002384186,2.70000004768372,3.79999995231628,4.69999980926514,0.388504960203608,0.277839149434735,0.0421637557446957,0.0657724589109421,0.142125621438026,0.327293217182159,0.620800793170929,0.810113370418549,0.878245985507965,28.1454090694379,3.78497452473846,21.6096803652968,22.8859589041096,25.487100456621,28.1736301369863,31.0502283105023,33.2974429223744,34.1987671232877,157.0,24.008953316399,4.72689061573085,18.8051193237305,19.1505004882813,20.6131000518799,22.8624000549316,25.6497001647949,29.8657398223877,33.5864410400391
"[-24,-20)",891,1.85011222870763,1.32150534282496,0.5,0.699999988079071,1.0,1.5,2.29999995231628,3.40000009536743,4.25,0.359242115549714,0.257688339283424,0.0435119122266769,0.0654826387763023,0.142125621438026,0.300932765007019,0.558734714984894,0.755122780799866,0.848754554986954,28.3890731259833,3.70455378445539,22.2274543378995,23.2092465753425,25.5969748858448,28.4831050228311,31.3309931506849,33.5767123287671,34.2461757990868,189.0,22.9534069882078,4.13731330123823,17.6462596893311,18.7460998535156,20.1951007843018,22.0703496932983,24.2423992156982,28.5024997711182,31.978759765625
"[-20,-16)",596,1.78791946742759,1.4412372354767,0.5,0.600000023841858,1.0,1.39999997615814,2.20000004768372,3.09999990463257,4.14999997615814,0.336626751251494,0.253227504073255,0.0407484825700521,0.0543378870934248,0.123457446694374,0.271287351846695,0.496257729828358,0.718338370323181,0.842154636979103,28.2180273359689,3.81447832060317,21.3098173515982,22.874200913242,25.3489155251142,28.3160388127854,31.2002568493151,33.3764269406393,34.1276255707763,110.0,23.9576220859181,5.21218344838258,18.3637753486633,19.2004098892212,20.2732496261597,22.6248006820679,25.6960000991821,31.0240104675293,34.2885555267334
"[-16,-12)",1639,1.63843807068956,1.14112308378225,0.5,0.600000023841858,0.899999976158142,1.29999995231628,2.0,3.0,4.0,0.3123164856724,0.242977699807521,0.0404191173613072,0.0554133579134941,0.111200399696827,0.2424336373806,0.459503620862961,0.695240437984467,0.820027649402618,28.3793968925255,3.73214429367006,21.839098173516,23.0612785388128,25.6920091324201,28.5461187214612,31.3038242009132,33.4201826484018,34.1837671232877,259.0,23.3345267278654,4.28885856082493,17.6693000793457,18.7185794830322,20.3184499740601,22.75830078125,25.5567998886108,29.2274600982666,31.3967925548553
"[-12,-8)",694,1.61311239183421,1.1458505769787,0.400000005960465,0.600000023841858,0.899999976158142,1.29999995231628,2.09999990463257,2.90000009536743,3.79999995231628,0.308456327790335,0.24419400001331,0.0324261970818043,0.0526192139834166,0.105534333735704,0.236784860491753,0.46728178858757,0.683479350805283,0.798267662525177,28.558525456292,3.81841367260768,21.6694178082192,23.2585159817352,25.835644977169,28.8210616438356,31.5817636986301,33.7649771689498,34.2683618721461,100.0,23.695616979599,4.97502455896746,18.3145008087158,19.0499099731445,20.3073997497559,22.284649848938,25.5587997436523,29.7251798629761,32.9086404800415
"[-8,-4)",987,1.50927051879926,1.13411181844578,0.400000005960465,0.5,0.800000011920929,1.20000004768372,1.87499997019768,2.70000004768372,3.59999990463257,0.280709364166032,0.230856008006474,0.0339892543852329,0.0450107306241989,0.0925817117094994,0.204455614089966,0.411939486861229,0.634538412094116,0.769852340221405,28.3923474344562,3.69032689899708,21.7764611872146,23.4201141552511,25.6946917808219,28.6094748858448,31.3078196347032,33.3075114155251,34.1285502283105,98.0,23.2040376890273,4.14666468831929,18.4442945480347,19.1653596878052,20.1084747314453,21.8372001647949,25.5573244094849,29.4241598129273,31.2115857124329
"[-4,0)",1048,1.47461832188184,1.19704541907089,0.300000011920929,0.5,0.800000011920929,1.20000004768372,1.79999995231628,2.59999990463257,3.29999995231628,0.27102805626799,0.228897007942696,0.026910375803709,0.041141689941287,0.0892557110637426,0.194910824298859,0.409565925598145,0.616710311174393,0.750252509117126,28.697602304019,3.66494923471269,22.2125171232877,23.6265182648402,25.9873858447489,28.996803652968,31.5902397260274,33.5047374429224,34.1980707762557,93.0,24.3437053618893,5.26355339651078,18.2548999786377,19.2669998168945,20.576099395752,22.5827007293701,26.4463005065918,33.3400997161865,34.9277000427246
"[0,4)",7240,0.945181862477549,0.991197884376253,0.0,0.100000001490116,0.300000011920929,0.600000023841858,1.29999995231628,2.20000004768372,2.90000009536743,0.16488827955982,0.214303752489244,0.0072707147337496,0.0133394999429584,0.0250346027314663,0.0583662949502468,0.227071210741997,0.507740914821625,0.677368435263632,28.2100556901032,3.8625380476563,21.4951655251142,22.5409246575342,25.3856164383562,28.5571917808219,31.2019121004566,33.3447831050228,34.2368892694064,576.0,23.7885454462634,4.30129621641876,18.5405373573303,19.3337001800537,20.576099395752,22.8328990936279,26.1718997955322,29.7326498031616,32.8614006042481
"[4,8)",340,3.27808823368567,2.20585117981831,0.899999976158142,1.20000004768372,1.89999997615814,2.70000004768372,4.0,5.90000009536743,6.82000017166138,0.608646112724262,0.26947658420926,0.121086988225579,0.194910824298859,0.424142107367516,0.64988049864769,0.835440054535866,0.933549183607101,0.957002845406532,28.5651212060167,3.67651918596897,21.887448630137,23.2698173515982,25.7789668949772,28.6780821917808,31.2490296803653,33.3055821917808,34.2454337899543,37.0,25.3651515599844,5.08411056492517,18.7465599060059,20.2485599517822,21.4843997955322,23.8087005615234,29.2101001739502,31.2510612487793,34.3672393798828
