week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",31,516.192514727193,514.314550313711,94.5,118,172.552612304688,299,594.550598144531,1370.49633789063,1664.8642578125,0.587530787433347,0.318646323071213,0.0405878685414791,0.0979961603879929,0.306551918387413,0.65515148639679,0.846837610006332,0.980510592460632,0.984674364328384,28.3810870525851,4.02101715234769,21.2257420091324,22.4533105022831,25.6133561643836,28.8255707762557,31.437899543379,33.3926940639269,33.3981735159817,9,22.5697631129512,4.27084578305005,18.824627049764,18.9872534434001,19.9480991363525,21.4533004760742,22.7189998626709,27.4176399230957,29.8153205871582
"[-56,-52)",19,1060.82390072471,1803.6245633097,93.8,114,161,223.949295043945,876.5,3536.8,4836.1,0.537101303080195,0.360789834787982,0.0395431246608496,0.0888337522745132,0.261467881500721,0.448604673147202,0.915243268013,0.992962419986725,0.996236228942871,29.3569394376352,3.52388668789468,22.0444178082192,23.891095890411,28.2201484018265,30.1190639269406,31.861301369863,32.568196347032,32.8867579908676,4,22.6305836041768,3.78705981071313,19.6230650901794,19.9567300796509,20.9577250480652,21.5789667765299,23.2518253326416,26.1457305908203,27.1103656768799
"[-52,-48)",18,675.196512010362,767.712826648354,180.666437530518,184.899919128418,221.746520996094,321.5,708.927627563477,1698.4,2186.3,0.665203124284744,0.239255713377103,0.337652836740017,0.355853202939034,0.507706955075264,0.669021785259247,0.884266659617424,0.973111969232559,0.989287918806076,29.1549594114663,2.97266596082041,23.8863926940639,25.0009132420091,27.8728310502283,30.0968607305936,31.0343892694064,32.0878652968037,32.3879166666667,7,24.2174287523542,5.65201904744995,17.5626945495605,18.510139465332,19.9762001037598,24.9108009338379,28.472825050354,31.097900390625,31.097900390625
"[-48,-44)",27,373.313418070475,336.990877195918,103.4,109,143.5,229,499.7109375,938.8,1045.4,0.494375447984095,0.325233893070287,0.0580786887556315,0.0870976328849793,0.191723115742207,0.495929718017578,0.777581512928009,0.940373277664185,0.956314343214035,27.7608066971081,4.787390624924,21.3743378995434,21.8836529680365,23.390296803653,27.647602739726,32.0091894977169,34.1647945205479,34.6267808219178,4,21.9238872528076,3.57207498308078,18.6395842552185,18.7298692703247,19.0007243156433,21.8778247833252,24.8009877204895,25.1547552108765,25.2726777076721
"[-44,-40)",41,423.061776510099,434.340048517651,125,127,153,248.547012329102,523.89453125,777,1170,0.522889801005765,0.308165197640068,0.118858084082603,0.11963015794754,0.223853960633278,0.545713245868683,0.800259590148926,0.893558502197266,0.963008761405945,29.6938244793407,3.13494757288618,24.5900684931507,25.5078767123288,27.8695205479452,30.6117579908676,31.9926940639269,32.6583333333333,34.4801369863014,4,20.8009252548218,2.35169616785882,18.5759553909302,18.8651103973389,19.7325754165649,20.4828500747681,21.5511999130249,22.9912002563477,23.4712003707886
"[-40,-36)",37,785.307580071527,977.541451127606,136.8,176,296,581,770,1329.6,2182.69404296874,0.739869683175474,0.238795218616359,0.188407969474792,0.377494996786118,0.632706046104431,0.824399769306183,0.895552217960358,0.962034869194031,0.987869334220886,28.9078211773417,3.42575226473991,23.4881278538813,24.7915296803653,25.765296803653,29.2803652968037,31.0747716894977,33.7341324200913,33.9128082191781,1,20.0795993804932,,20.0795993804932,20.0795993804932,20.0795993804932,20.0795993804932,20.0795993804932,20.0795993804932,20.0795993804932
"[-36,-32)",20,1196.13101997376,913.333948399418,370.554762649536,394.8,714.881286621094,858,1405.25,2692.3,2908.3,0.869556444510818,0.195839938875735,0.661827671155334,0.771624094247818,0.873452305793762,0.910841137170792,0.964920043945312,0.994935804605484,0.997574731707573,29.9609703196347,3.34796373859152,25.056095890411,25.1565753424658,27.7329623287671,30.0583904109589,31.6796232876712,34.656198630137,34.658698630137,1,23.9512004852295,,23.9512004852295,23.9512004852295,23.9512004852295,23.9512004852295,23.9512004852295,23.9512004852295,23.9512004852295
"[-32,-28)",5,3371.8,1938.74100900559,1244.2,1334.4,1605,3835,4594,5240.2,5455.6,0.990743803977966,0.00964612465623538,0.978869104385376,0.979920017719269,0.983072757720947,0.99593323469162,0.997876048088074,0.998561692237854,0.998790240287781,26.8310502283105,4.04427477562796,22.8173515981735,23.2611872146119,24.5926940639269,25.4340182648402,29.1679223744292,31.2194292237443,31.9032648401827,2,23.1799507141113,4.89169406199214,20.0668956756592,20.4127906799316,21.450475692749,23.1799507141113,24.9094257354736,25.947110748291,26.2930057525635
"[-28,-24)",1,10363,,10363,10363,10363,10363,10363,10363,10363,0.999386727809906,,0.999386727809906,0.999386727809906,0.999386727809906,0.999386727809906,0.999386727809906,0.999386727809906,0.999386727809906,25.1736301369863,,25.1736301369863,25.1736301369863,25.1736301369863,25.1736301369863,25.1736301369863,25.1736301369863,25.1736301369863,0,,,,,,,,,
"[8,12)",2,320.91455078125,101.702533046812,256.191455078125,263.38291015625,284.957275390625,320.91455078125,356.871826171875,378.44619140625,385.637646484375,0.663396567106247,0.0776675802331479,0.613969221711159,0.61946114897728,0.635936930775642,0.663396567106247,0.690856203436852,0.707331985235214,0.712823912501335,28.4026255707763,6.72074321935981,24.1255707762557,24.600799086758,26.0264840182648,28.4026255707763,30.7787671232877,32.2044520547945,32.6796803652968,0,,,,,,,,,
