week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",19,481.631578947368,166.830989169784,308.3,329.8,364.5,438.0,559.0,632.0,861.0,0.580963645326464,0.308427039004322,0.114098453521729,0.190447415411472,0.299280852079392,0.617074608802795,0.88463681936264,0.924471759796143,0.99094363451004,26.8472963229993,3.53652246981996,21.2564611872146,21.6704566210046,25.5795091324201,26.7715753424658,28.9571917808219,30.900502283105,32.258401826484,8.0,23.1141874790192,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-56,-52)",21,499.52380952381,172.097826554439,319.0,349.0,387.0,444.0,586.0,811.0,834.0,0.597662737326963,0.29771438810597,0.136382088065147,0.209547594189644,0.378433227539063,0.602830946445465,0.909519851207733,0.985336065292358,0.987780034542084,29.4980050010872,2.99851598273887,25.5078767123288,26.0368721461187,27.724200913242,29.3406392694064,32.1351598173516,32.9849315068493,33.6944063926941,6.0,26.9080333709717,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-52,-48)",18,387.833333333333,91.2445002371618,286.55,295.4,318.5,369.0,414.5,528.0,562.15,0.385294751988517,0.27870213434469,0.0653541184961796,0.0773257359862328,0.137475654482842,0.330729469656944,0.504266425967217,0.833192068338394,0.890533983707428,26.2940512430238,3.60405040698713,20.403647260274,21.9462899543379,24.8734874429224,26.0658105022831,28.4570776255708,29.8521232876712,30.9970319634703,5.0,25.9653265635173,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-48,-44)",24,451.25,127.902901350646,312.3,316.4,353.75,414.0,524.75,614.3,656.55,0.531347502954304,0.313005460168352,0.120481465756893,0.129456757009029,0.233039751648903,0.512207239866257,0.821967974305153,0.928745889663696,0.949574893712997,27.5736396499239,3.96110222044788,22.6391152968037,23.0812442922374,24.7190924657534,27.2050228310502,30.9332762557078,32.9777054794521,34.4341837899543,9.0,23.3378535376655,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-44,-40)",16,382.84375,63.8225975523821,302.0,319.0,340.5,380.5,408.75,464.5,496.0,0.377215094398707,0.218472579546918,0.0937307309359312,0.1420923396945,0.231066331267357,0.356449261307716,0.469663329422474,0.686741888523102,0.761083155870438,27.511700913242,3.9331144645221,21.0849885844749,22.4126712328767,25.4256278538813,27.2517123287671,30.4914668949772,32.1365296803653,33.5619006849315,5.0,21.3144599914551,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-40,-36)",17,402.235294117647,123.384829604253,277.6,299.0,340.0,374.0,426.0,540.8,608.6,0.394962541813798,0.30243599438968,0.0476760843768716,0.0727003499865532,0.203530207276344,0.333160698413849,0.544987142086029,0.846040391921997,0.910541617870331,28.811361804996,2.37614711805931,26.0667579908676,26.4439269406393,26.8173515981735,28.637100456621,29.5325342465753,31.1790182648402,32.5986529680365,5.0,25.5373603820801,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-36,-32)",31,501.064516129032,135.911474983748,305.5,377.0,417.5,470.0,597.5,685.0,742.0,0.662408876322931,0.28226500496144,0.0987304635345936,0.341882705688477,0.517543360590935,0.7198805809021,0.921596229076385,0.967456042766571,0.97653728723526,28.6716600382973,4.02312336505015,22.8381849315069,23.5737442922374,25.5670091324201,28.4640410958904,32.2639840182648,34.237899543379,34.2434360730594,7.0,27.3607857567923,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-32,-28)",25,468.36,66.9140493469047,367.0,395.0,413.0,459.0,525.0,550.2,565.0,0.651259221434593,0.193630389735197,0.31022036075592,0.430051100254059,0.488567173480988,0.672939896583557,0.83939927816391,0.866161441802979,0.884171748161316,27.8874292237443,3.05367228409658,23.4162785388128,24.0614383561644,25.7341324200913,27.2956621004566,30.1151826484018,31.3937214611872,31.5823515981735,8.0,23.1131207148234,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-28,-24)",41,525.658536585366,114.793425281263,389.0,405.0,439.0,513.0,584.0,641.0,692.0,0.742949017664281,0.20751532274897,0.370211035013199,0.457723677158356,0.585456967353821,0.797907888889313,0.904005408287048,0.943788170814514,0.96591991186142,28.5609783940305,3.8058980013653,21.7598173515982,23.2174657534247,26.1206621004566,28.5801369863014,30.7617579908676,33.541894977169,34.166894977169,7.0,21.469399860927,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[-24,-20)",29,537.896551724138,94.0430542842655,412.8,435.8,468.0,536.0,577.0,656.4,691.0,0.792467114226572,0.157031373140625,0.503065431118012,0.590374851226807,0.688943803310394,0.842807173728943,0.909731328487396,0.957053625583649,0.966908431053162,27.8866556447804,3.87915252538052,21.611301369863,22.3847488584475,25.7027397260274,27.4474885844749,30.4229452054795,32.428401826484,34.7071461187215,5.0,22.7647197723389,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
