week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",154,67.5357142857143,20.2316734744797,41.65,45.0,53.0,65.0,78.75,92.1000000000001,102.35,0.527774680133715,0.278807785535008,0.0777519319206476,0.120767331123352,0.277904696762562,0.55443662405014,0.770846039056778,0.883941572904587,0.942203509807587,28.5716427978414,3.80875371413103,21.7247659817352,23.4276255707763,25.9801084474886,28.6366438356164,31.7844748858448,33.228002283105,34.0463584474886,51.0,25.3895249429092,6.47287870918237,18.6417007446289,18.8188991546631,20.7977504730225,23.5519495010376,28.0036501884461,32.7186012268066,36.9793748855591
"[-56,-52)",177,70.0655367145431,24.6276751889169,42.8,45.0,55.0,65.0,81.0,100.0,114.2,0.543628167171599,0.280870132246511,0.0903484597802162,0.125844568014145,0.323219478130341,0.55081307888031,0.796846091747284,0.921863043308258,0.96181755065918,28.4655644557955,3.83633287202679,21.5918264840183,22.568698630137,25.7383561643836,28.7199771689498,31.2777397260274,33.6573515981735,34.3958904109589,58.0,23.8005680818667,4.8667107282166,18.1050544261932,19.0283905029297,20.2419753074646,22.7614994049072,25.9662878513336,31.5004709243775,34.34521484375
"[-52,-48)",151,72.0463576158941,32.2850507713904,39.0,43.0,54.5,66.0,80.5,105.0,120.5,0.547546243510943,0.293268764594317,0.0533178132027388,0.0937787368893623,0.318966209888458,0.579551041126251,0.801882833242416,0.940628707408905,0.970530152320862,28.6958087634945,3.95683709127066,21.8421232876712,22.8321917808219,25.4215182648402,29.4062785388128,31.7861301369863,33.6818493150685,34.0912671232877,40.0,23.5378197193146,4.40152660314148,18.6533969402313,19.3457792282105,20.6503248214722,22.8216495513916,25.4534829457601,28.6327896118164,29.4910509109497
"[-48,-44)",157,66.5605095541401,16.8588931031004,42.8,46.0,54.0,64.0,78.0,91.0,97.4,0.527918507528912,0.265953339392861,0.0962765604257584,0.146955072879791,0.317343056201935,0.537156879901886,0.753835439682007,0.879888021945953,0.921853172779083,28.7108425675479,3.63415270174667,22.6267808219178,23.5704566210046,25.8091324200913,29.288698630137,31.3187214611872,33.6348173515982,34.2770776255708,55.0,25.2389836525195,5.75118425990158,19.0326505661011,19.4929595947266,21.4081001281738,23.8750991821289,26.202449798584,33.4905197143555,37.8145549138387
"[-44,-40)",126,66.0555555555556,19.4686642810669,38.75,45.0,54.0,63.5,73.0,87.0,102.5,0.512721684848195,0.263936310017751,0.0498378956690431,0.129581019282341,0.32403527200222,0.517154008150101,0.711899384856224,0.862407952547073,0.938984125852585,28.3778575052548,3.64200598132551,22.4424372146119,23.1845319634703,25.7706050228311,28.5710045662101,31.0843892694064,33.3639269406393,33.9539668949772,38.0,23.512498599246,5.62529317147736,16.9561298370361,17.2322423458099,19.6289496421814,22.341799736023,25.3011255264282,31.717830657959,33.5360066413879
"[-40,-36)",153,66.562091503268,19.4752981415458,39.6,44.4,53.0,62.0,77.0,96.8,108.0,0.512651519271624,0.279187866016263,0.0577761456370354,0.123944050073624,0.277229964733124,0.496513813734055,0.759817957878113,0.911513876914978,0.94726710319519,28.5806294207181,3.7088824791731,21.7626484018265,23.2399086757991,26.3707762557078,29.0803652968037,31.1433789954338,33.892602739726,34.6025570776256,44.0,25.2880794893612,5.79944662777813,18.8347091674805,19.5935697555542,20.881374835968,23.6915502548218,29.9233250617981,33.6333713531494,36.5937197685242
"[-36,-32)",416,60.3213942326032,16.9362318955073,39.0,42.0,49.0,57.0,68.0,81.5,91.5,0.418218683661857,0.262890109026311,0.0486811064183712,0.0895745120942593,0.210246197879314,0.368824392557144,0.617879927158356,0.818823784589768,0.891344457864761,28.2160953415876,3.82814344918918,21.7543664383562,22.7159246575343,25.317950913242,28.3816780821918,31.2217180365297,33.0956050228311,34.2625285388128,129.0,22.9669275646414,5.08897030552734,16.8895500183105,18.4342002868652,19.7238998413086,21.9899005889893,24.9769992828369,28.5795495986938,31.631120300293
"[-32,-28)",304,57.4253289448588,17.009383452244,33.4049993515015,38.3,46.75,55.0,66.0,80.7,84.85,0.374251214860507,0.266185570359668,0.0140674469061196,0.0473054882138968,0.153939083218575,0.322330445051193,0.576410502195358,0.795362108945847,0.826345443725586,28.9587880767844,3.58556626728858,22.5405821917808,23.7291438356164,26.6173801369863,29.2571917808219,32.0288812785388,33.4500684931507,34.1296803652968,66.0,23.0241699122419,4.56829271360417,17.9586000442505,19.3148498535156,20.1951007843018,21.3957500457764,24.6220126152039,30.8224506378174,31.3645000457764
"[-28,-24)",219,59.9301369897851,20.2361314006218,33.9,38.0,47.0,56.0,69.5,85.2,101.1,0.402215978172693,0.291406283788462,0.0175688307732344,0.0460429690778256,0.157833382487297,0.345841526985168,0.639302551746368,0.856681370735169,0.934234535694122,28.7917860344864,3.74485133911315,21.9170890410959,22.888698630137,26.1435502283105,29.3607305936073,31.413299086758,33.7203652968037,34.223401826484,67.0,23.6570270595266,5.51163336938807,17.9542802810669,18.9720600128174,20.3657493591309,22.5214996337891,24.7661504745483,30.8128997802734,35.2687187194824
"[-24,-20)",155,62.158064516129,20.8450338879077,37.7,40.4,50.0,59.0,68.0,91.6,102.3,0.435475964270506,0.276359973926817,0.0406532905995846,0.0647913694381714,0.223926410079002,0.411206096410751,0.613794505596161,0.880278635025024,0.936907774209976,28.4759198703786,3.76715961389472,21.2675456621005,23.1488127853881,26.1521118721461,28.5049086757991,31.7541095890411,33.2864155251142,34.1629794520548,30.0,22.4433900197347,4.86262955771394,17.3010005950928,17.3121603012085,18.7935748100281,22.247200012207,23.4858250617981,28.1734504699707,32.5068254470825
