week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",111,14.0224247923842,26.6885187368216,0.927014976739883,1.11303496360779,1.79999995231628,2.70000004768372,9.75,41.7000007629395,65.5499992370606,0.508878484993401,0.31158662907129,0.0417162626981735,0.0799820423126221,0.222165755927563,0.498181819915772,0.781726002693176,0.928266644477844,0.978357136249542,28.4404716360196,3.50751097440602,21.2873858447489,23.1740867579909,26.3461757990868,28.8640410958904,30.3598173515982,32.9244292237443,33.6143835616438,39.0,24.3415461564675,4.09304408086471,19.0218000411987,19.4259197235107,21.5926008224487,23.5883007049561,26.8267993927002,31.4861001968384,31.4861001968384
"[-56,-52)",62,11.5925403525752,21.1867361784848,0.80500001013279,1.0,1.93381598591805,3.20595049858093,8.82500004768372,29.4715738296509,48.9100008010864,0.517539596560622,0.308074535927219,0.0307267241179943,0.0592946287244558,0.253565117716789,0.578578621149063,0.772711828351021,0.886721646785736,0.946702232956886,28.3404220061865,3.65536821100755,21.3430707762557,22.8991095890411,26.1124714611872,29.0364155251142,31.2578767123288,32.9451369863014,33.6274942922374,23.0,24.3984436366869,4.61268437092911,19.4869995117188,19.5810596466064,21.1389007568359,22.8374004364014,26.8006496429443,31.4861001968384,31.7041702270508
"[-52,-48)",69,9.51426875072977,14.8528672095266,0.899999976158142,0.973110616207123,1.5,2.29999995231628,7.90000009536743,34.9959144592285,43.7600006103515,0.434917227216605,0.319814053243039,0.0445018887519836,0.0493409648537636,0.155363917350769,0.389842987060547,0.751107215881348,0.916989767551422,0.935602903366089,29.2371385083714,3.36755312155967,23.1613242009132,25.0536301369863,26.9050228310502,28.9899543378995,32.239497716895,33.7017351598174,34.0039726027397,26.0,24.1653924501859,5.32355220184819,17.0874004364014,17.0874004364014,20.4063248634338,22.4058990478516,30.8510003089905,31.4861001968384,31.4861001968384
"[-48,-44)",97,10.9985883961019,18.1120954629107,1.26763200759888,1.39999997615814,2.09999990463257,3.09999990463257,10.6000003814697,33.1,48.2919311523438,0.539525964402968,0.280439351058934,0.105727665126324,0.144074821472168,0.290346801280975,0.555980324745178,0.781046330928803,0.892209577560425,0.94579256772995,28.3036564986113,3.81715390262053,21.2129908675799,22.762602739726,25.4092465753425,28.6696347031964,31.4777397260274,32.9209132420091,33.2722374429224,30.0,23.3349000295003,4.48216467455561,17.0281106948853,18.1668603897095,21.0076999664307,22.1197500228882,26.2187995910645,28.7672046661377,30.4774854660034
"[-44,-40)",101,14.1040397286415,20.4314349674249,0.899999976158142,1.29999995231628,2.09999990463257,2.90000009536743,22.6000003814697,40.0692596435547,57.5598106384277,0.539610639790829,0.305709474144766,0.0432942099869251,0.10358539968729,0.330944061279297,0.539971113204956,0.844442903995514,0.927589178085327,0.964274287223816,29.8876791446268,3.40874835924024,22.3925799086758,24.5900684931507,28.2367579908676,30.5433789954338,32.3708904109589,33.3380136986301,34.1546803652968,33.0,24.4601801284636,5.46366207403295,17.8470802307129,18.8062198638916,20.75119972229,23.2434005737305,28.5779495239258,31.8031600952148,34.270399983724
"[-40,-36)",112,27.4414710934673,49.9752994775906,1.05500001311302,1.2072040438652,2.12300020456314,3.20595049858093,33.8999996185303,87.4705795288086,125.070002365112,0.577519640255819,0.319405820023444,0.0639515195041895,0.10321061834693,0.335469022393227,0.58788537979126,0.902254492044449,0.992017960548401,0.99717672765255,29.7153834393346,3.16196637403232,23.2375342465753,25.0236529680365,28.2299372146119,29.8901255707763,32.2392979452055,33.0936301369863,34.0206335616438,38.0,25.537074247996,5.02225010597052,18.9770694732666,19.7650493621826,22.0386009216309,25.7930254936218,28.5779495239258,32.0,32.735209941864
"[-36,-32)",109,72.2658247575847,51.9238447448815,3.20000004768372,7.19999980926514,39.4000015258789,63.2999992370606,96.5999984741211,131.199993896484,146.220004272461,0.919105940592398,0.15446333386319,0.57478768825531,0.757736384868622,0.924611687660217,0.976732015609741,0.993189036846161,0.99742888212204,0.997997045516968,29.3711616605924,3.04381504891817,23.8456392694064,24.8305251141553,27.5380136986301,29.8038812785388,30.9680365296804,33.1724657534247,34.2782648401827,29.0,25.5705088582532,5.07136686966604,19.3828006744385,21.0734607696533,22.3080997467041,25.3906002044678,28.0862668355306,31.189680480957,34.8949199676514
"[-32,-28)",18,98.2388889789581,45.1313656949887,43.8199987173081,51.720000076294,64.4499998092651,97.4000015258789,141.549999237061,150.949996948242,152.744997406006,0.969947563277351,0.0678582894199255,0.913144046068192,0.951839596033096,0.976137846708298,0.993494838476181,0.997747763991356,0.998479890823364,0.998564839363098,30.3024099441908,2.31316774409497,26.3421404109589,27.3422374429224,28.6974600456621,30.785901826484,32.2892123287671,32.9844406392694,33.1710901826484,3.0,22.0351003011068,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[8,12)",3,2.39999997615814,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.35493066906929,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.0560502283105,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"[12,16)",2,19.449999332428,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.803805708885193,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.9147260273973,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
