week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",17,21.0588235294118,16.494205756247,5,5,10,18,29,33.6,45.6,0.573412164169199,0.262334853696885,0.163366958498955,0.170749559998512,0.380483716726303,0.649997115135193,0.781679689884186,0.848076677322388,0.925500297546387,28.6752820306205,3.78458883538488,22.6703196347032,23.4256849315068,27.0857305936073,28.8365296803653,30.165296803653,33.3040867579909,34.2901598173516,7,25.24124281747,7.28077260282163,19.8790998458862,19.8790998458862,20.1617503166199,23.1110992431641,26.4855003356934,32.0528999328613,36.2284496307373
"[-56,-52)",11,15.7272727272727,5.78084611611327,8,8,12,16,18.5,19,23.5,0.528985603289171,0.157879104699011,0.273408219218254,0.289592176675797,0.453152135014534,0.573002398014069,0.622618556022644,0.664201736450195,0.714144557714462,29.4688771274388,2.9485565018519,25.9309931506849,26.6173515981735,27.0227739726027,29.4062785388128,31.3228881278539,33.5187214611872,33.8186643835616,6,24.9238998095195,6.1468837555568,18.3689243793488,18.6126494407654,19.6488995552063,24.8109493255615,29.9440498352051,31.3481006622314,31.7805509567261
"[-52,-48)",12,12.0833333333333,7.48888064622032,2,2.4,7.5,11.5,16,20.8,23.25,0.416570820535223,0.237650025555442,0.0608213376253843,0.0779466256499291,0.266461942344904,0.443035438656807,0.578189179301262,0.675139617919922,0.725865358114243,27.6676560121766,3.4520061303998,23.1224200913242,23.3773858447489,24.914098173516,27.4941780821918,29.5297089041096,32.5543493150685,33.1110502283105,3,25.737933476766,8.7638579201948,20.5723001480103,20.5989002227783,20.6787004470825,20.8117008209229,28.3340501785278,32.8474597930908,34.3519296646118
"[-48,-44)",12,17.3333333333333,14.760717729121,5,5.1,7.5,11.5,20.25,41.4,43.35,0.479217749089003,0.294290671543689,0.150955361872911,0.160789509117603,0.239166043698788,0.444420516490936,0.621740430593491,0.922831106185913,0.93187076151371,29.1057458143075,3.59403898001822,24.1480251141553,24.7496118721461,26.0221461187215,30.2462899543379,32.1700057077626,32.8354337899543,33.3303652968037,2,26.7578001022339,4.14322132910391,24.1210701942444,24.414040184021,25.2929501533508,26.7578001022339,28.2226500511169,29.1015600204468,29.3945300102234
"[-44,-40)",13,17.7692307692308,14.2252934718049,3.8,5,8,13,25,34.6,41,0.504929306988533,0.300433717052593,0.107760652899742,0.145398101210594,0.289295315742493,0.475170463323593,0.729677617549896,0.888462889194489,0.925502574443817,29.0244028802248,3.13280150124629,24.4108904109589,24.7041324200913,26.2611872146119,29.0858447488585,31.0036529680365,32.9954337899543,33.4239726027397,4,21.9293494224548,8.04012489537438,16.8101650238037,16.88922996521,17.1264247894287,18.5900497436523,23.3929743766785,29.6409086227417,31.7235533714294
"[-40,-36)",12,19.25,14.3154398528937,5.3,8,8,17,27.25,28.9,40.25,0.541565028640131,0.28944933968669,0.184208293445408,0.289592176675797,0.293172433972359,0.569336354732513,0.802360162138939,0.842117947340012,0.898458576202392,29.2681221461187,3.54910943980306,24.293801369863,24.7634703196347,26.5461757990868,29.789897260274,31.4825627853881,33.8854223744292,34.3534246575343,2,27.3374509811401,9.3645698327097,21.3778752326965,22.0400503158569,24.0265755653381,27.3374509811401,30.6483263969421,32.6348516464233,33.2970267295837
"[-36,-32)",15,21.5333333333333,18.2751457553956,4.1,5.8,8,15,28.5,40.4,50.7,0.559195969502131,0.298094379217046,0.14144007563591,0.197905659675598,0.274062588810921,0.550756990909576,0.804294437170029,0.90189642906189,0.930606955289841,28.1513318112633,3.74034418550093,22.3724543378995,23.4132191780822,26.0748858447489,28.261301369863,30.5666095890411,32.497397260274,33.3831050228311,2,18.6620006561279,0,18.6620006561279,18.6620006561279,18.6620006561279,18.6620006561279,18.6620006561279,18.6620006561279,18.6620006561279
"[-32,-28)",2,50,60.8111831820431,11.3,15.6,28.5,50,71.5,84.4,88.7,0.621623806655407,0.529009804250171,0.28496402874589,0.322370670735836,0.434590596705675,0.621623806655407,0.808657016605139,0.920876942574978,0.958283584564924,26.4585045662101,3.87851298278909,23.9902340182648,24.2644863013699,25.0872431506849,26.4585045662101,27.8297659817352,28.6525228310502,28.9267751141553,1,29.3847999572754,,29.3847999572754,29.3847999572754,29.3847999572754,29.3847999572754,29.3847999572754,29.3847999572754,29.3847999572754
"[-28,-24)",4,43.25,10.8742815854658,33.2,34.4,38,41.5,46.75,53.5,55.75,0.909717813134193,0.0662444696794788,0.832006937265396,0.845464420318604,0.885836869478226,0.923765689134598,0.947646632790565,0.96273290514946,0.967761662602425,29.9482305936073,4.02030058447245,25.7642751141553,26.395901826484,28.2907819634703,29.8694063926941,31.5268550228311,33.5636187214612,34.2425399543379,1,29.3847999572754,,29.3847999572754,29.3847999572754,29.3847999572754,29.3847999572754,29.3847999572754,29.3847999572754,29.3847999572754
"[-24,-20)",7,36,27.4347711247363,10.2,14.4,20.5,22,48,66.6,76.8,0.729853534272739,0.274789032502543,0.333503200113773,0.469935160875321,0.657295614480972,0.724390864372253,0.939927071332932,0.974834144115448,0.983950704336166,29.183039791259,3.26385721707368,25.7733219178082,25.9730136986301,26.6324771689498,27.7681506849315,32.0819063926941,32.7282648401827,33.119497716895,1,18.75,,18.75,18.75,18.75,18.75,18.75,18.75,18.75
