week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",1,202,,202,202,202,202,202,202,202,0.163636356592178,,0.163636356592178,0.163636356592178,0.163636356592178,0.163636356592178,0.163636356592178,0.163636356592178,0.163636356592178,32.5795662100457,,32.5795662100457,32.5795662100457,32.5795662100457,32.5795662100457,32.5795662100457,32.5795662100457,32.5795662100457,1,22.4609498977661,,22.4609498977661,22.4609498977661,22.4609498977661,22.4609498977661,22.4609498977661,22.4609498977661,22.4609498977661
"[-56,-52)",2,332.399993896484,0,332.399993896484,332.399993896484,332.399993896484,332.399993896484,332.399993896484,332.399993896484,332.399993896484,0.439613521099091,0,0.439613521099091,0.439613521099091,0.439613521099091,0.439613521099091,0.439613521099091,0.439613521099091,0.439613521099091,28.2571917808219,0.00613471636645729,28.2532876712329,28.2537214611872,28.2550228310502,28.2571917808219,28.2593607305936,28.2606621004566,28.261095890411,0,,,,,,,,,
"[-28,-24)",1,329,,329,329,329,329,329,329,329,0.328947369009256,,0.328947369009256,0.328947369009256,0.328947369009256,0.328947369009256,0.328947369009256,0.328947369009256,0.328947369009256,31.1324200913242,,31.1324200913242,31.1324200913242,31.1324200913242,31.1324200913242,31.1324200913242,31.1324200913242,31.1324200913242,0,,,,,,,,,
"[0,4)",2,358.714996337891,68.5540110677104,315.087490844727,319.934991455078,334.477493286133,358.714996337891,382.952499389648,397.495001220703,402.342501831055,0.494652390480042,0.0794076971676171,0.444117641448975,0.449732613563538,0.466577529907227,0.494652390480042,0.522727251052856,0.539572167396545,0.545187139511108,33.2216324200913,0.0951688236323008,33.1610673515982,33.167796803653,33.1879851598174,33.2216324200913,33.2552796803653,33.2754680365297,33.2821974885845,0,,,,,,,,,
"[4,8)",3,601.366658528646,120.758436942408,505.4,512.8,535,572,653.049987792969,701.67998046875,717.889978027344,0.757623632748922,0.0326986014724604,0.727650040388107,0.731162178516388,0.74169859290123,0.759259283542633,0.774366497993469,0.783430826663971,0.786452269554138,30.9993150684932,3.70813324612733,27.5716095890411,27.983401826484,29.2187785388128,31.2777397260274,32.9190639269406,33.9038584474886,34.2321232876712,0,,,,,,,,,
"[12,16)",2,878.090026855469,0,878.090026855469,878.090026855469,878.090026855469,878.090026855469,878.090026855469,878.090026855469,878.090026855469,0.829670310020447,0,0.829670310020447,0.829670310020447,0.829670310020447,0.829670310020447,0.829670310020447,0.829670310020447,0.829670310020447,24.3667237442922,0.00201799880475691,24.3654394977169,24.3655821917808,24.3660102739726,24.3667237442922,24.3674372146119,24.3678652968037,24.3680079908676,2,28.3736991882324,0,28.3736991882324,28.3736991882324,28.3736991882324,28.3736991882324,28.3736991882324,28.3736991882324,28.3736991882324
"[16,20)",2,268.690002441406,0,268.690002441406,268.690002441406,268.690002441406,268.690002441406,268.690002441406,268.690002441406,268.690002441406,0.403940886259079,0,0.403940886259079,0.403940886259079,0.403940886259079,0.403940886259079,0.403940886259079,0.403940886259079,0.403940886259079,34.9804223744292,0.00589255650988756,34.9766723744292,34.9770890410959,34.9783390410959,34.9804223744292,34.9825057077626,34.9837557077626,34.9841723744292,0,,,,,,,,,
"[20,24)",1,139,,139,139,139,139,139,139,139,0.0802139043807983,,0.0802139043807983,0.0802139043807983,0.0802139043807983,0.0802139043807983,0.0802139043807983,0.0802139043807983,0.0802139043807983,33.1195205479452,,33.1195205479452,33.1195205479452,33.1195205479452,33.1195205479452,33.1195205479452,33.1195205479452,33.1195205479452,0,,,,,,,,,
"[32,36)",1,338,,338,338,338,338,338,338,338,0.373737365007401,,0.373737365007401,0.373737365007401,0.373737365007401,0.373737365007401,0.373737365007401,0.373737365007401,0.373737365007401,26.7901826484018,,26.7901826484018,26.7901826484018,26.7901826484018,26.7901826484018,26.7901826484018,26.7901826484018,26.7901826484018,0,,,,,,,,,
"[52,56)",2,840.694976806641,687.498680796551,403.173495483398,451.786993408203,597.627487182617,840.694976806641,1083.76246643066,1229.60296020508,1278.21645812988,0.736363619565964,0.321412161772018,0.531818172335625,0.554545444250107,0.622727259993553,0.736363619565964,0.849999979138374,0.918181794881821,0.940909066796303,32.0040525114155,0.0000807199521890705,32.0040011415525,32.0040068493151,32.0040239726027,32.0040525114155,32.0040810502283,32.004098173516,32.0041038812785,0,,,,,,,,,
"[64,68)",1,157,,157,157,157,157,157,157,157,0.103030301630497,,0.103030301630497,0.103030301630497,0.103030301630497,0.103030301630497,0.103030301630497,0.103030301630497,0.103030301630497,32.3931506849315,,32.3931506849315,32.3931506849315,32.3931506849315,32.3931506849315,32.3931506849315,32.3931506849315,32.3931506849315,0,,,,,,,,,
"[72,76)",1,337.940002441406,,337.940002441406,337.940002441406,337.940002441406,337.940002441406,337.940002441406,337.940002441406,337.940002441406,0.484848484396935,,0.484848484396935,0.484848484396935,0.484848484396935,0.484848484396935,0.484848484396935,0.484848484396935,0.484848484396935,32.3495433789954,,32.3495433789954,32.3495433789954,32.3495433789954,32.3495433789954,32.3495433789954,32.3495433789954,32.3495433789954,0,,,,,,,,,
"[76,80)",2,831.000030517578,352.563466994636,606.630014038086,631.560015869141,706.350021362305,831.000030517578,955.650039672852,1030.44004516602,1055.37004699707,0.803797453641892,0.161112945488109,0.701265802979469,0.712658208608627,0.746835425496101,0.803797453641892,0.860759481787682,0.894936698675156,0.906329104304314,30.189497716895,0.0368082981987513,30.1660730593607,30.1686757990868,30.1764840182648,30.189497716895,30.2025114155251,30.2103196347032,30.2129223744292,0,,,,,,,,,
