week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",166,25.8588030137211,5.51749128546546,18.6780004501343,19.8625993728638,21.7582244873047,25.144100189209,29.1362991333008,33.6707000732422,37.4307498931885,0.5602928895997,0.262786854384193,0.107471041381359,0.173310607671738,0.372620560228825,0.589354306459427,0.780632898211479,0.904178410768509,0.943011999130249,26.9456263409804,4.51343338267341,20.4753424657534,20.7219178082192,23.0869863013699,26.5698630136986,30.8458904109589,32.8520547945206,33.7143835616438,145.0,25.8607122212094,5.4460303291688,18.7385597229004,20.0191005706787,21.875,24.9333500862122,29.2968997955322,33.4986707051595,37.1873397827148
"[-56,-52)",163,25.2339177453445,5.85212809811687,18.2672199249268,19.080659866333,20.9024496078491,23.7332000732422,29.2540502548218,33.4303398132324,37.0395305633545,0.527065239043941,0.273560193839331,0.0711915411055088,0.139510849118233,0.302045047283173,0.553922712802887,0.76677942276001,0.887768054008484,0.938316529989243,26.3988878617251,3.96580795314904,20.4731506849315,21.0252054794521,23.0808219178082,26.4328767123288,29.1438356164384,31.7084931506849,33.1975342465753,149.0,24.9898440649796,5.79441372344743,17.9298801422119,19.0024600982666,21.0303001403809,23.6420001983643,29.4423999786377,32.744010925293,36.7138008117676
"[-52,-48)",133,26.3460314757842,5.492713151743,18.4802795410156,19.5306995391846,22.4995994567871,25.3155002593994,30.1159992218018,33.7108596801758,35.7750198364258,0.590138446735708,0.263627812972614,0.0977261498570442,0.18975535929203,0.418927788734436,0.623261749744415,0.818524658679962,0.887382364273071,0.932996296882629,26.641819445875,4.29573386920362,20.3101369863014,20.9632876712329,23.1643835616438,26.186301369863,30.1013698630137,32.4465753424658,34.3956164383562,112.0,26.6594134704596,5.745868584417,18.4734146118164,19.5088495254517,22.8311629295349,25.7375001907349,30.4624901771545,34.6451479593913,36.8381723403931
"[-48,-44)",124,26.1233556501327,6.49786707362106,18.9055248260498,19.512689781189,21.2824997901917,24.445650100708,30.4424500465393,35.5112899780274,37.2196062088013,0.549743617118727,0.273824694881787,0.113797582685947,0.180715516209602,0.28982500731945,0.576012551784515,0.797913700342178,0.911987996101379,0.93293516933918,27.3411235086169,4.3695486114837,20.0427397260274,20.646301369863,24.1095890410959,27.8465753424658,30.4075342465753,33.3383561643836,33.9602739726027,107.0,25.9186051783161,5.79396582406385,19.0252792358398,19.6184995651245,21.2572755813599,24.6354494094849,30.0454502105713,33.7532207489014,36.8401508331299
"[-44,-40)",120,26.6368007898331,5.89194350147109,18.7304699897766,19.5144195556641,22.145299911499,25.7447500228882,30.2052001953125,35.4348403930664,37.5509986877441,0.595372583794718,0.271198400048292,0.110137492790818,0.167012320458889,0.420898869633675,0.640894830226898,0.828947693109512,0.918570739030838,0.941029593348503,26.8563470319635,4.40698260829755,20.12,20.4095890410959,22.6582191780822,27.5520547945206,30.3171232876712,32.3539726027397,33.8421917808219,103.0,26.5021949436801,5.63354817262954,18.5916895866394,19.7816596984863,22.5139503479004,25.6368999481201,30.0196002324422,34.7723304748535,37.0737808227539
"[-40,-36)",132,25.8408900535468,6.06674176500508,18.6343992233276,19.3470701217651,22.4455003738403,24.6166505813599,28.3902249336243,33.6706283569336,35.8186105728149,0.562374474233807,0.253391184281401,0.102037773653865,0.172885927557945,0.406629860401154,0.609493225812912,0.725128576159477,0.882939112186432,0.926296433806419,26.6141613048291,4.54761536257683,20.2017808219178,20.7687671232877,22.5164383561644,26.5178082191781,30.3335616438356,32.9295890410959,34.1031506849315,87.0,25.525770018932,5.25155025614353,18.2537603378296,19.2134002685547,22.0690002441406,24.2187995910645,28.4301500320435,33.99521484375,35.1260894775391
"[-36,-32)",218,25.8840403863049,5.65986886847117,18.5571745872498,19.3238296508789,21.7169003486633,24.7054996490479,29.6321506500244,34.4838287353516,36.2945743560791,0.563940928599567,0.269711435660129,0.0931899838149548,0.145534005761147,0.35486926138401,0.589142560958862,0.798274606466293,0.907029098272324,0.920418643951416,26.4581547693855,4.10452458117521,20.312602739726,20.9832876712329,22.5130136986301,26.5684931506849,29.2719178082192,31.9506849315069,33.7156164383562,64.0,26.4729733864466,5.87187157864921,18.2772149085999,20.02935962677,21.9043502807617,25.5288496017456,30.8273754119873,35.2186944961548,36.6983774185181
"[-32,-28)",267,26.1183887867445,6.12434121854318,18.6400896072388,19.6511207580566,21.5079002380371,24.6483993530273,30.1634998321533,34.0920593261719,37.0084312438965,0.566644786103966,0.275028331142824,0.0819362200796604,0.171988835930824,0.353490546345711,0.572750806808472,0.817452102899551,0.904212164878845,0.931877189874649,26.555971987071,3.9863116044831,20.4397260273973,21.198904109589,23.1369863013699,26.7150684931507,29.2808219178082,32.0065753424658,33.732602739726,68.0,25.9103999296824,5.79029663683117,18.1610750675201,19.7606904983521,21.6571245193481,24.4917001724243,30.2260325908661,33.5350549697876,35.0184301376343
"[-28,-24)",372,27.356998561531,6.84190743709482,18.5681198120117,19.7238998413086,22.3378744125366,26.0826501846314,31.2032256126404,36.4240196228027,39.1404104232788,0.609472953954772,0.272448560751936,0.0968751683831215,0.190083429217339,0.4007188975811,0.655196070671082,0.844119384884834,0.93383817076683,0.965619957447052,26.7240302941032,3.93319791676482,20.8027397260274,21.5364383561644,23.5856164383562,26.3890410958904,29.6972602739726,32.198904109589,33.3498630136986,109.0,27.1778156741731,6.18749120614983,19.3337001800537,20.405369758606,22.3477993011475,25.9095001220703,32.8731002807617,36.4009391784668,37.6542015075684
"[-24,-20)",456,26.6030649051332,6.11690410253042,19.0853753089905,20.0488996505737,22.0848751068115,25.1634492874146,30.5152244567871,35.5683002471924,37.6781492233276,0.586361800385802,0.261719765050001,0.130922552198172,0.190517567098141,0.364574737846851,0.608143419027329,0.818186596035957,0.915905237197876,0.940000727772713,26.9998668188737,4.17040350434908,20.5787671232877,21.4205479452055,23.6678082191781,26.8356164383562,30.2931506849315,32.9616438356164,33.9041095890411,113.0,25.5859331873666,5.89888635710234,18.4740200042725,19.1511993408203,21.2584991455078,23.8281002044678,29.4559993743897,34.8575795491536,37.4844017028809
