week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",16,1.94062497466803,0.268116091283811,1.50750002264977,1.63999998569489,1.89249995350838,2,2.08499991893768,2.18999993801117,2.26499998569489,0.450951353104756,0.309420146757306,0.00975187185395043,0.0168488468043506,0.239495789632201,0.474618166685104,0.657975167036057,0.837212592363358,0.924045220017433,26.0970819063927,3.42430803162514,21.9601883561644,22.1122146118721,23.8392408675799,25.1791095890411,29.2333047945206,30.4594748858448,30.8992865296804,9,22.5967443254259,5.13976163071724,17.9149402618408,18.2517803192139,19.031099319458,21.0480003356934,23.4951992034912,29.2935806274414,31.0833404541016
"[-56,-52)",15,1.93800000349681,0.178253435790046,1.73400001525879,1.74000000953674,1.80999994277954,1.89999997615814,2,2.1840000629425,2.23600001335144,0.34894840468963,0.316220321219955,0.0468863524496555,0.0487896881997585,0.0984066650271416,0.245497539639473,0.475100457668304,0.856866109371185,0.908609914779663,25.9133561643836,4.20690836903411,20.4943493150685,20.5038812785388,22.9551940639269,25.6667808219178,28.5811643835616,32.0853652968037,32.6287442922374,2,21.3028497695923,0.360411525782966,21.0734852790833,21.0989702224731,21.1754250526428,21.3028497695923,21.4302744865417,21.5067293167114,21.5322142601013
"[-52,-48)",4,2.05500003695488,0.163605231095068,1.87400001883507,1.89800001382828,1.96999999880791,2.07000005245209,2.15500009059906,2.20000004768372,2.2150000333786,0.576624363660812,0.336960447415161,0.195498070120811,0.247744542360306,0.404483959078789,0.626299321651459,0.798439726233482,0.865764218568802,0.888205716013908,30.0248002283105,0.576082129870793,29.5106792237443,29.5421347031964,29.6365011415525,29.9204337899543,30.3087328767123,30.5909589041096,30.6850342465753,1,29.0317993164063,,29.0317993164063,29.0317993164063,29.0317993164063,29.0317993164063,29.0317993164063,29.0317993164063,29.0317993164063
"[-48,-44)",5,1.90599999427795,0.136857613003556,1.717999958992,1.76599996089935,1.9099999666214,1.96000003814697,1.98000001907349,1.99800000190735,2.0039999961853,0.30018099360168,0.17639111759397,0.0691271170973778,0.117427188530564,0.262327402830124,0.348243862390518,0.377945244312286,0.446114945411682,0.468838179111481,27.4579908675799,2.73647770237432,24.2988127853881,24.5540182648402,25.3196347031964,27.8970319634703,29.537899543379,30.1102283105023,30.30100456621,2,31.8938802719116,7.92267880581177,26.8519183540344,27.4121363449097,29.0927903175354,31.8938802719116,34.6949702262878,36.3756241989136,36.9358421897888
"[-44,-40)",12,1.95999998847644,0.254665571946371,1.52899998426437,1.63600001335144,1.87749999761581,1.99000000953674,2.09999990463257,2.14500007629395,2.2670000910759,0.444108204062407,0.327727035261331,0.00779023463837802,0.0275102321989834,0.173858534544706,0.434770926833153,0.717796429991722,0.789880341291428,0.881329995393753,24.9687785388128,3.80776744276219,21.0955308219178,21.0959703196347,21.0989155251142,25.1825342465753,27.9320776255708,30.0479680365297,30.474651826484,3,22.108299891154,0.610576035987407,21.5065500259399,21.6021999359131,21.8891496658325,22.3673992156982,22.4569997787476,22.5107601165772,22.528680229187
"[-40,-36)",12,2.03999999165535,0.193531777776038,1.75499999523163,1.81199995279312,1.95000001788139,2.04999995231628,2.11249995231628,2.19500005245209,2.31250004768372,0.536699341299633,0.305732935331113,0.0667748192325234,0.110552215576172,0.324400462210178,0.574965536594391,0.736027628183365,0.86886225938797,0.926604560017586,28.0407153729072,3.90813431742084,21.1816952054795,22.0338698630137,26.6119863013699,29.3271689497717,30.6197773972603,31.8953767123288,32.0920148401827,3,26.5531667073568,9.10784300705814,19.9310398101807,20.2990798950195,21.4032001495361,23.2434005737305,30.0482501983643,34.1311599731445,35.4921298980713
"[-36,-32)",23,1.96304348240728,0.159214959708319,1.70000004768372,1.72000002861023,1.83500003814697,1.98000001907349,2.10999989509583,2.15600008964539,2.16000008583069,0.418144017619931,0.299833587926747,0.0347060076892376,0.0463585168123245,0.122214943170547,0.381496220827103,0.732914000749588,0.79944509267807,0.811985296010971,27.2471957514394,3.98536711485001,20.8949543378995,21.4037899543379,23.9194634703196,27.1327625570776,30.8231164383562,31.7264840182648,32.0553082191781,8,24.3012023369471,3.97661746444229,19.4109949111938,19.7699897766113,22.0586748123169,23.4910507202148,27.0179505348206,29.3053650856018,29.8041910330455
"[-32,-28)",32,1.88156250491738,0.209255351378348,1.43850000500679,1.67499996423721,1.75,1.9200000166893,2,2.09999990463257,2.16700007915497,0.313736175899976,0.270455671357298,0.0104921995662153,0.0329465862363577,0.0593463703989983,0.275060325860977,0.464175894856453,0.713971996307373,0.827012619376183,28.9396974885845,3.76336852150051,21.6557762557078,22.9639155251142,27.3952054794521,30.5316780821918,31.301198630137,32.1464611872146,32.8672146118721,11,24.3925454399803,5.79443615903811,17.6442999839783,20.0776996612549,21.2439994812012,24.1287994384766,25.5256004333496,32.8731002807617,34.3756504058838
"[-28,-24)",28,1.87642855729376,0.193452339660589,1.59050003290176,1.63099999427795,1.78749996423721,1.88499999046326,2.00749999284744,2.08899991512299,2.1490000128746,0.294699078600388,0.277757587655351,0.0111419484950602,0.0156005632132292,0.0702506769448519,0.183956779539585,0.493762359023094,0.673232305049896,0.791811481118202,25.4598091976517,3.8378449635321,20.8095205479452,21.3954680365297,22.7438926940639,24.6462899543379,28.217551369863,30.8157534246575,31.9242579908676,8,22.4834127426147,3.17636764798339,18.610115146637,18.9639303207398,19.2672004699707,23.1100006103516,25.2073502540588,25.5827396392822,26.0089696884155
"[-24,-20)",21,1.83999999364217,0.177932580020315,1.53999996185303,1.66999995708466,1.74000000953674,1.83000004291534,1.91999995708466,2.05999994277954,2.20000004768372,0.219185019155876,0.264036740361435,0.00694234855473042,0.0217575877904892,0.0373228900134563,0.123009219765663,0.27217635512352,0.601320207118988,0.884691834449768,27.3777234181344,4.34977351733036,21.1328767123288,21.4676940639269,24.7601598173516,27.1577625570776,30.2954337899543,32.0392694063927,34.9542237442922,2,27.5702495574951,1.42517309168508,26.6632749557495,26.764049911499,27.0663747787476,27.5702495574951,28.0741243362427,28.3764492034912,28.4772241592407
"[-20,-16)",30,1.86533331473668,0.18472222236093,1.58949996829033,1.65899996757507,1.78249996900558,1.87000000476837,1.97499999403954,2.01099998950958,2.0254999756813,0.231390389117102,0.226656975314957,0.0125314987730235,0.0195165902376175,0.0703066904097796,0.163269184529781,0.382417269051075,0.496334716677666,0.528933870792389,26.6442161339422,3.69497894625057,21.9028938356164,22.680399543379,23.2629566210046,26.3865867579909,29.2032534246575,32.4102054794521,33.1216095890411,8,31.507431268692,7.95682332357127,22.4813003540039,22.4813003540039,24.3974003791809,32.3253002166748,36.4365997314453,38.8667045593262,41.7018268585205
"[-16,-12)",43,1.78581395260123,0.187885880279495,1.54199995994568,1.57200005054474,1.6700000166893,1.77999997138977,1.9200000166893,2.02599997520447,2.08699991703033,0.181351079721935,0.231544789756667,0.00502400039695203,0.00734622925519943,0.0234073745086789,0.0645940229296684,0.273934163153172,0.529512166976929,0.652681374549866,26.3016857810343,3.87937696283919,21.5281164383562,22.4134246575342,22.9190639269406,25.6413242009132,28.9377283105023,32.8417579908676,32.8963812785388,9,27.2258556154039,5.30786998210862,22.4813003540039,22.4813003540039,23.0300006866455,25.0864992141724,32.0461006164551,33.9145202636719,35.1755599975586
"[-12,-8)",76,1.78105261921883,0.197197548201866,1.45500001311302,1.52499997615814,1.64999997615814,1.77999997138977,1.92999994754791,2.01999998092651,2.0699999332428,0.176696641408949,0.216084228262022,0.00262999691767618,0.0052299490198493,0.0186529611237347,0.0658783204853535,0.278555825352669,0.516698956489563,0.617132961750031,26.3966128935352,4.28460794277231,20.653196347032,21.040296803653,23.1143835616438,25.3495433789954,30.2849600456621,32.9393835616438,33.0168093607306,18,23.2313583162096,3.52289676098068,18.395932674408,20.112705039978,21.1512498855591,22.4813003540039,25.3122997283936,26.7853494644165,29.5658542633057
"[-8,-4)",110,1.86513635136864,0.658205913075126,1.44699998497963,1.54899995326996,1.67999994754791,1.79499995708466,1.9099999666214,2.09099991321564,2.30549994707108,0.200575394909406,0.274783027549174,0.00271315003046766,0.00697807502001524,0.023132998496294,0.076079361140728,0.249753639101982,0.665268307924271,0.927658884227276,25.4932347447074,3.96219778115211,21.1567979452055,21.48399543379,21.935901826484,24.4231735159817,28.4498858447489,31.9508219178082,33.0283219178082,38,24.8455845682245,4.63124614802816,22.4813003540039,22.4813003540039,22.4813003540039,23.2254009246826,23.7713499069214,28.349249458313,34.9794263839722
"[-4,0)",551,3.04231397253199,1.7248492876847,1.60000002384186,1.66999995708466,1.7849999666214,1.97000002861023,4.62999987602234,5.69999980926514,6.3050000667572,0.50584753463742,0.425294338131813,0.0133731565438211,0.0223176870495081,0.0718531087040901,0.351466774940491,1,1,1,27.8451688088904,3.95381807223257,21.2502283105023,21.8753424657534,24.8310502283105,28.124200913242,31.1570205479452,32.9078767123288,33.9222602739726,73,26.9776814081898,5.58822513044972,20.1347999572754,22.4421005249023,22.9480991363525,24.5578002929688,32.0461006164551,35.0555992126465,36.287899017334
"[0,4)",6109,3.80153723961399,1.9300952674025,1.60000002384186,1.70000004768372,1.89999997615814,4,5.19999980926514,6,6.40000009536743,0.711388731587112,0.407316561979579,0.0123637886717916,0.0344277024269104,0.240884318947792,0.999800443649292,1,1,1,27.2544257069628,4.06574700177632,21.0358447488584,21.7787671232877,23.8337899543379,27.1649543378995,30.6746575342466,32.8565753424658,33.9300456621005,520,25.2624482057033,5.7515161133114,18.1319999694824,19.1326999664307,21.6446008682251,23.8754005432129,27.3398990631104,35.0555992126465,37.182300567627
"[4,8)",28,2.3875000008515,0.903350251525904,1.66000000834465,1.82500001192093,1.93000003695488,2.03999996185303,2.28250002861023,3.51799998283386,4.2815000295639,0.56574219187522,0.342813388469723,0.0359173447359353,0.122215916216373,0.300500825047493,0.558729529380798,0.931634306907654,0.999654948711395,0.999879232048988,28.6769528701892,3.8884284110397,22.2754566210046,23.472796803653,25.4189212328767,29.8817351598174,32.1298801369863,32.1330936073059,32.9380079908676,1,20.177149772644,,20.177149772644,20.177149772644,20.177149772644,20.177149772644,20.177149772644,20.177149772644,20.177149772644
