week,val_n,val_mean,val_sd,val_5,val_10,val_25,val_50,val_75,val_90,val_95,qval_mean,qval_sd,qval_5,qval_10,qval_25,qval_50,qval_75,qval_90,qval_95,age_mean,age_sd,age_5,age_10,age_25,age_50,age_75,age_90,age_95,bmi_n,bmi_mean,bmi_sd,bmi_5,bmi_10,bmi_25,bmi_50,bmi_75,bmi_90,bmi_95
"[-60,-56)",242,58.205578425699,10.6956878444623,42.5999984741211,44.930001449585,50.649998664856,57.8500003814697,65.2500019073486,70.5899971008301,79.285001373291,0.566581215259661,0.301415932862282,0.0874728254973888,0.139732152223587,0.302788659930229,0.596535533666611,0.844975739717484,0.933333319425583,0.981270426511765,27.5011198535794,4.02044792290219,21.0169805936073,21.9237442922374,24.4290525114155,27.4090182648402,30.9625285388128,33.0964155251142,33.9410159817352,79.0,25.9166730818366,6.81374105499432,18.1458895683289,18.6256805419922,20.9375505447388,24.0881996154785,28.5650005340576,35.1521915435791,37.901961517334
"[-56,-52)",294,58.0979590188889,12.0870417853405,39.0899997711182,43.2999992370605,49.8249998092651,57.6999988555908,65.6749973297119,74.0799987792969,77.0699989318848,0.568060442555235,0.314229217633751,0.0429201131686568,0.108398981392384,0.273388959467411,0.606553137302399,0.865683868527412,0.963497972488403,0.976552465558052,27.3300368092442,4.15778663947089,20.8274885844749,21.3897602739726,24.1820205479452,27.2752283105023,30.6716038812785,33.3142694063927,34.3375627853881,98.0,24.7393512816656,5.27342653194373,17.9001543045044,19.128450012207,20.6930751800537,23.4375,27.2769370079041,33.5388801574707,35.7277488708496
"[-52,-48)",230,56.2700000845868,11.7606112979049,38.4149988174439,40.5799987792969,48.4250011444092,56.4500007629395,63.375,70.9800010681152,75.0,0.51363815481815,0.312699324168891,0.0374400222674012,0.0774456255137921,0.233288481831551,0.526129633188248,0.783191606402397,0.937426459789276,0.967980605363846,27.5163976573357,4.18165844860301,20.8641324200913,21.3974543378995,23.8890696347032,27.6711757990868,31.0489726027397,33.3045433789954,33.9170776255708,83.0,25.04019140278,4.86368575383945,19.1282995223999,19.8356601715088,21.909649848938,24.2769999504089,27.2228994369507,30.7579601287842,34.9459087371826
"[-48,-44)",238,57.0453781961393,10.7950194841665,40.6799993515015,44.3400012969971,49.0999984741211,57.25,64.7750015258789,70.1200004577637,73.8750030517578,0.54116810729508,0.308400709318155,0.0720681745558977,0.128674260526896,0.244812618941069,0.547451496124268,0.835873246192932,0.932764422893524,0.962271717190742,27.5117373661794,3.99350243655152,21.388852739726,21.9097945205479,24.0119863013699,27.664098173516,30.7442636986301,32.8364269406393,33.9792694063927,67.0,24.8947186446309,5.36202695159559,18.4375366210937,19.1051601409912,20.9526332219442,23.3843994140625,28.0402002334595,32.2716007232666,35.3695495605469
"[-44,-40)",224,56.6928570611136,11.4272408341252,38.7000007629395,42.9300010681152,49.8750009536743,56.0499992370606,64.0999984741211,71.5,74.8700008392334,0.526519490944338,0.308070492177915,0.0402040354907513,0.101855067163706,0.258514069020748,0.514355182647705,0.812957882881165,0.945135402679443,0.965890744328499,27.5214270425636,4.07206804167896,21.0952111872146,21.8964269406393,24.1121860730594,27.7697488584475,30.7865296803653,33.1307191780822,33.9676940639269,75.0,26.1628783094618,5.55066655102941,19.4810991287231,20.8283996582031,22.3461335500081,24.4444007873535,28.5885496139526,34.7359603881836,37.1363584899902
"[-40,-36)",206,56.097087304569,10.3428256019377,38.125,43.0499992370606,49.7250003814697,56.0499992370606,62.3000011444092,68.75,72.7500019073486,0.505532164184277,0.29426604473444,0.0420416686683893,0.0947526805102825,0.262664705514908,0.533241301774979,0.77850329875946,0.918563693761826,0.955346256494522,27.5610514474443,4.09621916771001,20.9625285388128,21.7590753424658,24.1099315068493,27.5065639269406,30.50399543379,33.4406392694064,34.3472602739726,74.0,25.4375060428012,6.34794139679141,18.2107146263123,19.1255198478699,20.2912998199463,23.6371002197266,29.3138251304626,34.0015502929688,38.2788105010986
"[-36,-32)",797,60.9168756932506,8.7938823743956,45.0999984741211,50.0,55.2999992370606,61.5,66.6999969482422,71.2399993896484,74.0600006103515,0.667808902136154,0.255664672761922,0.160482320189476,0.274976378679276,0.491488218307495,0.736359119415283,0.885328948497772,0.943727457523346,0.962302136421203,27.3032774158803,3.99652152988488,21.089200913242,21.8537214611872,24.0706621004566,27.327397260274,30.3220319634703,33.0459132420091,33.9024885844749,215.0,25.440625633565,5.60724950285849,18.7448196411133,19.1000995635986,21.6461505889893,24.0795993804932,29.1009998321533,32.9965393066406,35.8207647323608
"[-32,-28)",1284,64.7737150147697,8.24032938480348,51.2000007629395,54.5999984741211,59.4750003814697,65.0,70.5,75.0999984741211,77.6999969482422,0.768116043328969,0.214808577069363,0.307375232875347,0.444120374321938,0.668624579906464,0.839527666568756,0.936239838600159,0.967732286453247,0.977713987231255,27.6502493812145,4.05773922963839,21.0359589041096,21.9926940639269,24.3584474885845,27.7626141552511,31.0406678082192,33.191404109589,34.1215353881279,295.0,25.4782465573758,5.04279003720676,18.8039705276489,19.7365600585938,21.8152503967285,24.5603008270264,28.2978000640869,32.7518203735352,34.7057151794434
"[-28,-24)",897,66.8634335763478,7.66842689744427,53.1800003051758,56.7999992370606,62.5999984741211,67.5,71.8000030517578,76.0,78.3400024414062,0.823464125050118,0.186250013914224,0.406002163887024,0.554826247692108,0.769566893577576,0.894089937210083,0.946433961391449,0.971413588523865,0.979537606239319,27.4851152751689,4.14052504511767,20.9278310502283,21.8204109589041,23.9819634703196,27.4126712328767,30.9133561643836,33.3657762557078,34.1947260273973,184.0,25.06386897443,5.404537007344,17.5521147727966,18.465089225769,21.0771166483561,24.4458503723145,27.8474497795105,33.3412278652192,35.5095575809479
"[-24,-20)",924,69.286904721033,7.06880836871391,57.629998588562,60.2000007629395,65.0,69.8500022888184,73.9000015258789,77.3700019836426,79.5999984741211,0.872481999129613,0.147397028277747,0.57567243874073,0.682417857646942,0.840057328343391,0.927580296993256,0.962386950850487,0.976675593852997,0.983284816145897,27.7693488208899,4.11104619339697,21.1555707762557,22.0225570776256,24.3708618721461,27.9822488584475,31.1198344748859,33.4858904109589,34.2605650684932,175.0,25.2988864760626,5.30540925432405,18.3521600723267,19.2952995300293,21.7465496063232,24.4444007873535,27.995849609375,32.5813606262207,34.0068099975586
